,0.496,0.496,0.496,0.496,0.248,0.248,0.248,0.248,0.124,0.124,0.124,0.062,0.062,0.062,0.031,0.031,0.031,0.0155,0.0155,0.0155,0.0077,0.0077,0.0077
0,19.679591836734694,39.56666666666666,12.869014084507043,5.85068493150685,,7.723999999999999,3.278688524590164,4.26,3.341891891891892,3.6878378378378374,2.5432432432432432,5.945238095238095,12.812162162162162,29.021739130434778,4.9324324324324325,3.4851351351351347,4.923287671232877,1.6018181818181814,10.9768115942029,6.916216216216216,5.0859375,,15.356756756756758
4,41.69111111111111,43.079166666666666,13.824324324324325,30.22222222222222,14.933870967741937,8.603935483870966,5.4541666666666675,21.227397260273975,98.48732394366198,7.059459459459459,16.98611111111111,18.02093023255814,14.395945945945945,48.02666666666667,10.35890410958904,67.56438356164385,11.971621621621619,3.4820000000000007,22.60833333333333,6.676712328767123,3.502631578947369,75.96617647058824,25.663380281690138
6,30.908219178082188,40.03648648648649,10.079166666666667,15.019178082191782,6.84054054054054,9.483870967741934,3.3039999999999994,11.233333333333333,9.542465753424658,5.371621621621622,71.15694444444445,12.283561643835617,12.143243243243242,44.22837837837838,8.002777777777776,6.089041095890412,6.963013698630137,1.3753424657534248,19.79855072463768,6.16027397260274,4.695945945945946,75.25441176470588,24.4044776119403
9,26.91111111111111,40.345205479452055,69.34246575342466,14.302739726027395,5.111538461538462,8.832432432432432,3.3794520547945206,10.633783783783784,7.146575342465754,5.033783783783784,10.382666666666667,10.376000000000001,11.691666666666666,44.10821917808219,7.521126760563378,5.116666666666666,6.244594594594594,1.2041095890410958,18.587142857142855,62.3138888888889,5.397222222222222,75.13,24.05764421137556
12,22.670270270270272,41.00410958904109,8.581081081081079,13.401369863013699,4.867123287671233,66.57866666666666,3.4013698630136986,9.891891891891891,6.870422535211268,4.504054054054054,9.820547945205481,9.036,11.524999999999999,43.33108108108108,7.167123287671232,5.572972972972972,6.529999999999999,1.0445945945945945,18.300000000000004,6.038666666666666,6.4082191780821915,73.12941176470588,23.710810810810816
14,20.664383561643834,41.81369863013699,67.6876712328767,12.500000000000002,4.467567567567568,7.022972972972972,2.5229729729729726,9.567123287671233,5.205405405405405,3.814864864864865,10.810810810810812,9.954054054054053,12.138356164383563,42.729729729729726,7.452777777777778,6.348611111111111,6.1589041095890416,1.2945205479452053,19.587837837837842,6.593055555555555,7.460810810810811,72.62753623188406,23.145205479452052
17,19.631944444444443,41.365753424657534,8.16111111111111,12.394520547945206,4.675000000000001,6.775675675675676,2.5652777777777778,9.506756756756756,4.190277777777777,4.026760563380282,11.358108108108109,10.343835616438355,12.475999999999997,42.92972972972973,7.3175675675675675,6.406944444444444,5.9958904109589035,0.9797297297297297,20.306849315068494,4.604166666666667,7.72054794520548,73.7260869565217,24.494117647058825
19,23.248648648648647,41.865753424657534,8.286301369863015,12.639726027397261,4.841333333333334,6.695833333333334,2.808219178082192,9.44931506849315,3.164383561643836,4.548611111111111,12.454794520547946,10.097222222222221,12.870833333333334,42.74864864864865,7.4150684931506845,6.33943661971831,6.213888888888889,0.8347222222222223,21.856164383561644,3.036986301369863,8.12361111111111,73.71911764705884,25.104477611940297
22,24.60958904109589,36.54324324324324,7.809722222222224,13.80958904109589,4.1641025641025635,6.619178082191781,3.787837837837838,10.278082191780822,3.332876712328767,3.9694444444444446,13.698611111111111,9.893150684931507,13.894520547945206,43.9281690140845,7.7,6.944444444444445,6.747297297297298,1.091891891891892,23.155405405405407,3.3847222222222224,9.57837837837838,74.04264705882353,27.856521739130432
24,24.785135135135135,32.648648648648646,8.242857142857142,14.61780821917808,4.485441112559756,6.976712328767124,3.9821917808219185,10.92162162162162,3.5662162162162168,58.77972972972974,13.842465753424657,10.567605633802817,14.863013698630137,44.946575342465756,8.035135135135137,7.890410958904109,6.3271428571428565,0.7319999999999999,25.32361111111111,4.789189189189189,9.276712328767122,74.17246376811593,29.081428571428567
27,25.886486486486486,32.209722222222226,9.230136986301371,15.929166666666667,4.806779661016948,7.2875000000000005,4.35068493150685,11.960810810810813,3.6945945945945944,3.9081081081081086,15.654166666666665,12.035616438356165,15.711111111111112,47.00985915492957,8.122972972972974,9.185135135135136,6.366216216216216,0.7783783783783783,27.201946400625978,4.464383561643836,9.701408450704225,74.04583333333333,32.55000000000001
30,26.06027397260274,31.109589041095898,10.942465753424656,17.467142857142857,5.294899264470738,8.205479452054794,5.884931506849314,12.805555555555555,3.8507042253521124,4.069444444444445,15.881944444444445,13.354054054054053,16.63150684931507,48.400000000000006,8.656756756756756,9.652054794520549,6.740277777777778,1.0424657534246575,29.080281690140843,4.4082191780821915,9.527777777777779,72.92714285714287,36.436764705882354
32,27.565714285714286,29.804166666666667,16.497260273972604,19.435616438356163,5.783018867924527,8.775342465753425,5.1756756756756745,14.201351351351349,3.964788732394367,3.902702702702703,16.79859154929577,14.798666666666668,17.165217391304346,49.11301369863014,9.402702702702703,10.502816901408451,7.70945945945946,1.330263157894737,30.723611111111115,4.552702702702702,71.63561643835617,73.83150684931506,38.18970588235294
35,27.841666666666665,31.583561643835615,23.907999999999994,21.525,6.432432432432433,10.162162162162163,5.631081081081081,15.824,4.77972972972973,4.8297297297297295,18.102739726027398,15.938356164383558,17.505633802816895,49.826027397260276,9.26029411764706,10.68169014084507,8.408219178082192,1.5729729729729731,32.16486486486487,4.4866666666666655,10.120833333333332,73.5391304347826,39.53239436619718
37,28.561111111111114,32.49014084507042,31.013513513513512,23.448611111111113,7.279729729729729,11.29189189189189,5.1042253521126755,17.609333333333336,5.102702702702702,59.88266666666668,19.64864864864865,16.898630136986302,18.952777777777776,50.53904109589042,9.95972222222222,11.341666666666665,8.83108108108108,2.358108108108108,33.5445945945946,2.9657534246575343,10.714666666666668,73.89253731343283,41.627941176470586
