Time,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.2,1.5.1,0.75.2,0.75,0.75.3,0.75.1,0.38.2,0.38,0.38.1,0.38.3,0.19,0.094
0,0.1437741057344263,0.0003581679895107,0.1634534073022172,0.008515621032983,0.0135755626297589,0.0025584597328538,,0.1065185742791435,0.0983263377527388,0.0650537836826959,0.0705820970262431,0.1616088398222855,0.0009197605078966,0.0095695438497101,0.0256993078498844,0.0707866695768459,,0.0772115984116729,0.1448771669399818,0.0493129071544596,0.0408739546042457,0.1341677839163405,0.1546442256271067
4,0.0103546758938562,0.0003895480599071,0.1267314139510121,0.0949062122819024,0.0121614704828483,0.1365150243681499,0.0010927060768256,0.0655700963229255,0.1665135285761803,0.14534127727762,0.0333475674141948,0.2253242124369351,0.0535326175452987,0.1920457345117151,0.0239211724565154,0.0005959143156827,0.0005565964956717,0.2283995146266519,0.0549299785162899,0.0441975539659897,0.0004512358024743,0.102529270822612,0.1103109037923971
6,0.0266620039037909,0.0003836255131181,0.1455240464804187,0.1894193264182316,0.0293294743727255,0.1630255859247093,0.0017591059444043,0.0834090334832314,0.1553418139853603,0.1336118577122076,0.0493506569318249,0.1803296838627741,0.0773246543723808,0.1977016772033411,0.1517646768909014,0.0003622947136041,0.0004932321156044,0.2160388771214214,0.0258864931566697,0.0617102367376056,0.000328951530975,0.1030154034897907,0.1061677356476784
9,0.2189319984993865,0.0004202605866813,0.1519511171744368,0.16394225203389,0.1762369274012477,0.1386492819354104,0.040288399571316,0.0788397838063328,0.1778492826020408,0.1231921359049647,0.0909793397628861,0.1790421004620021,0.0911713657568845,0.1782620005584876,0.1712692633351947,0.0003482754982436,0.0004990980087363,0.2004926917488224,0.0765534977668838,0.0792229195092216,0.0003716794794699,0.1169911161075806,0.0003965806536302
12,0.2358978008853295,0.0004817546093521,0.1610244899668512,0.1650444335872996,0.2061114778021545,0.1831041403995597,0.0411383739040919,0.0754866762382494,0.0807674240355922,0.1118498390283026,0.0763086874519165,0.1505864251302185,0.0945160003187719,0.1897871451433391,0.1356477206940803,0.0005101568553399,0.0004473855676637,0.1978293244564789,0.0966017933591975,0.0823434807677553,0.0004221064281657,0.100769464167851,0.0439671280502011
14,0.1986697662115114,0.0005872642069858,0.1755499278486985,0.0934499723339316,0.1815324352086989,0.2008238507482757,0.0452964412304707,0.0784751965939924,0.1543388393938603,0.1185772631236927,0.070447911905517,0.1693424608890993,0.0007860226987973,0.2293218318452973,0.1297649896761916,0.0004253078211799,0.0004879113716493,0.194995778136473,0.0937385887890841,0.0930367336540197,0.0003630527945468,0.1236865717987094,0.0592160737825139
17,0.2073536399294043,0.0005371625570344,0.2214225951787773,0.0218555110805635,0.192990679821921,0.1847748088154392,,0.1087645495648474,0.1665680421194057,0.1460683030651877,0.0875247346527279,0.1823176100130359,0.0894192123938709,0.2176806313222867,0.1487534595032328,0.0004075608577915,0.0004771684027358,0.1941774802261111,0.0840032786709232,0.0940049063289825,0.0003931257419584,0.1124652970575969,0.0250294382993896
19,0.2224739995713703,0.0080890937164842,0.2432393707295508,0.142422165732162,0.1933184173891777,0.2029155751543894,,0.0887219703419255,0.1558644944186544,0.1316487032535831,0.1044117421937342,0.1635480715959319,0.0947882805510001,0.2399775599969929,0.0640958682496954,0.0003898138944031,0.0005490573772492,0.1996720468725591,0.0938245819349804,0.0773663294628289,0.0003842154127256,0.1151396677344388,0.0410989323637663
22,0.2430931969237106,0.0156410248759341,0.1672466576403832,0.1331811507004672,0.1935047308176064,0.0792786348899785,,0.0842349214345715,0.16592991919672,0.1264124013532933,0.0962494601083246,0.1716202129969537,0.0858423634828432,0.1951261267746482,0.06510557036448,0.0003720669310147,0.0004518418009837,0.0996839149272539,0.0832154126013321,0.0857444282661621,0.0004799086937244,0.1078238980155013,0.0962408586261676
24,0.0016726778601987,0.0008847568664547,0.1040632433338752,0.1458255224443317,0.2213492563991973,0.2255369620688538,,0.0826213789722594,0.1792798211148386,0.1175113581524594,0.0463940761023875,0.123023979078714,0.0844363546013803,0.1141947471049446,0.0676589318743227,0.0003543199676263,0.0005019715301015,0.1792571820033964,0.0825229501359983,0.065194026833483,0.0003677191745127,0.107916062990854,0.1116779073573571
