,precision,recall,f1-score,support
No Concern,0.25,0.25,0.25,4.0
Less Concern,1.0,0.3333333333333333,0.5,6.0
Most Concern,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.6447368421052632,0.48333333333333334,0.5049019607843137,25.0
weighted avg,0.6905263157894737,0.64,0.6188235294117647,25.0
