# {"key": "Fig_7a_Organoid", "digest": "f92837c268b8", "method": "cv_fold_mean_std", "n_folds": 10, "AUC_mean": 0.8285, "AUC_std": 0.02133658829335185}
FPR,TPR_mean,TPR_lower,TPR_upper
0.0,0.0,0.0,0.0
0.005,0.36225000000000007,0.34577919249095546,0.3787208075090447
0.01,0.7245000000000001,0.6915583849819109,0.7574416150180894
0.015,0.7327000000000001,0.6993721212796254,0.7660278787203748
0.02,0.7335999999999999,0.7002167706774793,0.7669832293225205
0.025,0.7344999999999999,0.7010606893013626,0.7679393106986373
0.03,0.7354,0.7019038808218027,0.7688961191781974
0.035,0.7362999999999997,0.7027463489318969,0.7698536510681026
0.04,0.7372000000000001,0.703588097346327,0.7708119026536732
0.045,0.7381,0.704429129800375,0.771770870199625
0.05,0.7389999999999999,0.705269450048954,0.7727305499510457
0.055,0.7399000000000002,0.7061090618656424,0.7736909381343581
0.06,0.7407999999999999,0.7069479690417251,0.7746520309582747
0.065,0.7416999999999999,0.7077861753852502,0.7756138246147496
0.07,0.7426,0.7086236847200877,0.7765763152799123
0.075,0.7434999999999999,0.7094605008850012,0.7775394991149986
0.08,0.7444,0.71029662773273,0.77850337226727
0.085,0.7453000000000001,0.7111320691290796,0.7794679308709206
0.09,0.7461999999999999,0.7119668289520236,0.7804331710479762
0.095,0.7471,0.7128009110908176,0.7813990889091824
0.1,0.748,0.7136343194451208,0.7823656805548792
0.105,0.7489,0.7144670579241332,0.7833329420758668
0.11,0.7498,0.7152991304457409,0.7843008695542592
0.115,0.7506999999999999,0.7161305409356755,0.7852694590643243
0.12,0.7516,0.7169612933266845,0.7862387066733156
0.125,0.7525000000000002,0.7177913915577131,0.7872086084422872
0.13,0.7534,0.7186208395731006,0.7881791604268993
0.135,0.7543,0.7194496413217883,0.7891503586782116
0.14,0.7552,0.7202778007565388,0.7901221992434612
0.145,0.7561,0.7211053218331701,0.7910946781668299
0.15,0.757,0.721932208509802,0.792067791490198
0.155,0.7579,0.7227584647461156,0.7930415352538844
0.16,0.7588000000000001,0.7235840945026258,0.7940159054973744
0.165,0.7597000000000002,0.7244091017399672,0.7949908982600331
0.17,0.7605999999999999,0.7252334904181936,0.7959665095818063
0.17500000000000002,0.7615000000000001,0.7260572644960918,0.7969427355039084
0.18,0.7623999999999999,0.7268804279305056,0.7979195720694942
0.185,0.7633,0.7277029846756782,0.7988970153243218
0.19,0.7642,0.7285249386826035,0.7998750613173965
0.195,0.7651,0.7293462938983942,0.8008537061016058
0.2,0.7660000000000001,0.7301670542656623,0.8018329457343379
0.20500000000000002,0.7669,0.730987223721912,0.802812776278088
0.21,0.7677999999999999,0.7318068061989491,0.8037931938010507
0.215,0.7687,0.7326258056223012,0.8047741943776989
0.22,0.7696,0.7334442259106515,0.8057557740893484
0.225,0.7705,0.7342620709752888,0.8067379290247111
0.23,0.7714000000000001,0.7350793447195677,0.8077206552804325
0.23500000000000001,0.7722999999999998,0.7358960510383831,0.8087039489616165
0.24,0.7732,0.7367121938176602,0.8096878061823398
0.245,0.7741,0.7375277769338533,0.8106722230661467
0.25,0.7749999999999999,0.738342804253462,0.8116571957465378
0.255,0.7759,0.7391572796325585,0.8126427203674416
0.26,0.7768,0.739971206916327,0.8136287930836731
0.265,0.7777000000000001,0.7407845899386178,0.8146154100613823
0.27,0.7786000000000001,0.7415974325215129,0.8156025674784873
0.275,0.7795,0.7424097384749042,0.8165902615250957
0.28,0.7804,0.7432215115960855,0.8175784884039144
0.28500000000000003,0.7813000000000001,0.744032755669355,0.8185672443306452
0.29,0.7821999999999999,0.7448434744656304,0.8195565255343694
0.295,0.7831,0.7456536717420786,0.8205463282579214
0.3,0.7839999999999999,0.746463351241753,0.8215366487582468
0.305,0.7849,0.7472725166932467,0.8225274833067534
0.31,0.7858000000000002,0.7480811718103546,0.8235188281896457
0.315,0.7867,0.7488893202917483,0.8245106797082516
0.32,0.7876000000000001,0.7496969658206629,0.8255030341793372
0.325,0.7885000000000001,0.7505041120645931,0.8264958879354071
0.33,0.7894,0.7513107626750023,0.8274892373249977
0.335,0.7903,0.7521169212870413,0.8284830787129587
0.34,0.7912000000000001,0.7529225915192788,0.8294774084807215
0.34500000000000003,0.7921,0.7537277769734408,0.8304722230265592
0.35000000000000003,0.7930000000000001,0.7545324812341635,0.8314675187658368
0.355,0.7938999999999998,0.7553367078687515,0.8324632921312481
0.36,0.7948000000000002,0.756140460426953,0.8334595395730473
0.365,0.7957000000000001,0.7569437424407361,0.834456257559264
0.37,0.7966,0.757746557424084,0.8354534425759159
0.375,0.7975,0.7585489088727928,0.8364510911272072
0.38,0.7984,0.7593508002642819,0.8374491997357181
0.385,0.7992999999999999,0.7601522350574134,0.8384477649425864
0.39,0.8002,0.7609532166923199,0.8394467833076802
0.395,0.8011000000000001,0.7617537485902406,0.8404462514097597
0.4,0.8019999999999999,0.7625538341533679,0.841446165846632
0.405,0.8029,0.7633534767647016,0.8424465232352983
0.41000000000000003,0.8038000000000001,0.76415267978791,0.8434473202120901
0.41500000000000004,0.8047000000000001,0.764951446567202,0.8444485534327981
0.42,0.8055999999999999,0.7657497804272045,0.8454502195727952
0.425,0.8065,0.7665476846728504,0.8464523153271496
0.43,0.8074,0.7673451625892702,0.8474548374107298
0.435,0.8083,0.7681422174416963,0.8484577825583037
0.44,0.8092,0.7689388524753703,0.8494611475246298
0.445,0.8100999999999999,0.7697350709154592,0.8504649290845406
0.45,0.8110000000000002,0.7705308759669797,0.8514691240330207
0.455,0.8119,0.7713262708147254,0.8524737291852745
0.46,0.8128,0.7721212586232071,0.8534787413767928
0.465,0.8137000000000001,0.7729158425365928,0.8544841574634073
0.47000000000000003,0.8146000000000001,0.7737100256786582,0.855489974321342
0.47500000000000003,0.8155000000000001,0.7745038111527426,0.8564961888472576
0.48,0.8164,0.7752972020417102,0.8575027979582899
0.485,0.8173,0.7760902014079176,0.8585097985920824
0.49,0.8182,0.7768828122931872,0.8595171877068128
0.495,0.8190999999999999,0.777675037718786,0.8605249622812139
0.5,0.82,0.7784668806854096,0.8615331193145903
0.505,0.8209,0.779258344173172,0.862541655826828
0.51,0.8218,0.7800494311416,0.8635505688584
0.515,0.8227,0.7808401445296331,0.8645598554703668
0.52,0.8236000000000001,0.7816304872556281,0.8655695127443721
0.525,0.8244999999999999,0.7824204622173674,0.8665795377826324
0.53,0.8253999999999999,0.7832100722920742,0.8675899277079256
0.535,0.8263,0.7839993203364296,0.8686006796635705
0.54,0.8271999999999998,0.7847882091865952,0.8696117908134045
0.545,0.8280999999999998,0.7855767416582407,0.870623258341759
0.55,0.829,0.7863649205465734,0.8716350794534266
0.555,0.8299,0.7871527486263736,0.8726472513736263
0.56,0.8308,0.7879402286520332,0.8736597713479668
0.5650000000000001,0.8317,0.788727363357597,0.874672636642403
0.5700000000000001,0.8326,0.7895141554568093,0.8756858445431908
0.5750000000000001,0.8335000000000001,0.7903006076431625,0.8766993923568378
0.58,0.8343999999999999,0.7910867225899493,0.8777132774100506
0.585,0.8352999999999999,0.7918725029503195,0.8787274970496803
0.59,0.8362,0.7926579513573374,0.8797420486426627
0.595,0.8371000000000001,0.7934430704240438,0.8807569295759563
0.6,0.8379999999999999,0.7942278627435213,0.8817721372564784
0.605,0.8389,0.7950123308889615,0.8827876691110385
0.61,0.8398,0.7957964774137343,0.8838035225862657
0.615,0.8407,0.7965803048514613,0.8848196951485388
0.62,0.8415999999999999,0.7973638157160905,0.8858361842839093
0.625,0.8425,0.7981470125019746,0.8868529874980254
0.63,0.8434000000000001,0.7989298976839496,0.8878701023160507
0.635,0.8442999999999999,0.7997124737174173,0.8888875262825826
0.64,0.8452000000000002,0.8004947430384302,0.8899052569615702
0.645,0.8461000000000001,0.8012767080637757,0.8909232919362244
0.65,0.8470000000000001,0.8020583711910662,0.891941628808934
0.655,0.8479000000000001,0.8028397347988275,0.8929602652011727
0.66,0.8488,0.8036208012465914,0.8939791987534086
0.665,0.8497,0.8044015728749883,0.8949984271250118
0.67,0.8506,0.8051820520058425,0.8960179479941576
0.675,0.8514999999999999,0.8059622409422685,0.8970377590577313
0.68,0.8523999999999999,0.8067421419687695,0.8980578580312304
0.685,0.8533000000000002,0.8075217573513357,0.8990782426486646
0.6900000000000001,0.8542,0.8083010893375452,0.9000989106624547
0.6950000000000001,0.8551,0.8090801401566671,0.9011198598433329
0.7000000000000001,0.8560000000000001,0.8098589120197628,0.9021410879802374
0.705,0.8569000000000001,0.8106374071197907,0.9031625928802095
0.71,0.8578000000000001,0.811415627631712,0.9041843723682882
0.715,0.8587,0.8121935757125964,0.9052064242874036
0.72,0.8596,0.8129712535017293,0.9062287464982708
0.725,0.8604999999999998,0.813748663120719,0.9072513368792806
0.73,0.8614,0.8145258066736077,0.9082741933263924
0.735,0.8623,0.8153026862469779,0.909297313753022
0.74,0.8632,0.8160793039100651,0.9103206960899348
0.745,0.8641,0.8168556617148679,0.9113443382851321
0.75,0.865,0.817631761696259,0.912368238303741
0.755,0.8658999999999999,0.8184076058720977,0.9133923941279021
0.76,0.8667999999999999,0.8191831962433427,0.9144168037566571
0.765,0.8677000000000001,0.8199585347941646,0.9154414652058357
0.77,0.8686,0.8207336234920587,0.9164663765079414
0.775,0.8695,0.8215084642879602,0.9174915357120399
0.78,0.8704000000000001,0.822283059116357,0.9185169408836431
0.785,0.8713000000000001,0.8230574098954048,0.9195425901045954
0.79,0.8722,0.8238315185270407,0.9205684814729592
0.795,0.8731,0.8246053868970996,0.9215946131029004
0.8,0.8739999999999999,0.825379016875427,0.9226209831245727
0.805,0.8749,0.8261524103159962,0.9236475896840038
0.81,0.8757999999999999,0.8269255690570212,0.9246744309429786
0.8150000000000001,0.8766999999999999,0.8276984949210741,0.9257015050789258
0.8200000000000001,0.8775999999999999,0.8284711897151986,0.9267288102848013
0.8250000000000001,0.8785000000000001,0.8292436552310264,0.9277563447689737
0.8300000000000001,0.8794000000000001,0.8300158932448911,0.928784106755109
0.835,0.8802999999999999,0.8307879055179442,0.9298120944820555
0.84,0.8812,0.8315596937962707,0.9308403062037293
0.845,0.8821,0.8323312598110019,0.9318687401889981
0.85,0.883,0.8331026052784316,0.9328973947215684
0.855,0.8839,0.8338737319001307,0.9339262680998693
0.86,0.8847999999999999,0.8346446413630606,0.9349553586369392
0.865,0.8856999999999999,0.8354153353396883,0.9359846646603116
0.87,0.8865999999999999,0.8361858154880989,0.937014184511901
0.875,0.8875,0.8369560834521106,0.9380439165478893
0.88,0.8884000000000001,0.837726140861387,0.9390738591386132
0.885,0.8893000000000001,0.8384959893315499,0.9401040106684503
0.89,0.8902000000000001,0.8392656304642927,0.9411343695357075
0.895,0.8911000000000001,0.8400350658474919,0.9421649341525083
0.9,0.892,0.8408042970553191,0.9431957029446809
0.905,0.8929,0.8415733256483532,0.9442266743516469
0.91,0.8938,0.8423421531736899,0.9452578468263102
0.915,0.8946999999999999,0.8431107811650534,0.9462892188349464
0.92,0.8956,0.843879211142907,0.9473207888570929
0.925,0.8964999999999999,0.8446474446145611,0.9483525553854386
0.93,0.8974,0.8454154830742845,0.9493845169257155
0.935,0.8983000000000001,0.8461833280034116,0.9504166719965886
0.9400000000000001,0.8991999999999999,0.8469509808704507,0.951449019129549
