# {"key": "Fig_8a_Organoid", "digest": "9b6e7242f0be", "method": "cv_fold_mean_std", "n_folds": 10, "AUC_mean": 0.8766666666666667, "AUC_std": 0.0637529955723215}
FPR,TPR_mean,TPR_lower,TPR_upper
0.0,0.0,0.0,0.0
0.005,0.40933333333333327,0.36988829421418534,0.4487783724524812
0.01,0.8186666666666665,0.7397765884283707,0.8975567449049624
0.015,0.8270666666666667,0.7475306790048961,0.9066026543284373
0.02,0.8272,0.7478174942306417,0.9065825057693584
0.025,0.8273333333333334,0.7481037092440237,0.906562957422643
0.03,0.8274666666666667,0.7483893205638373,0.906544012769496
0.035,0.8276,0.7486743246958114,0.9065256753041886
0.04,0.8277333333333333,0.7489587181327498,0.9065079485339168
0.045,0.8278666666666666,0.7492424973546796,0.9064908359786537
0.05,0.828,0.7495256588290018,0.9064743411709981
0.055,0.8281333333333333,0.7498081990106482,0.9064584676560183
0.06,0.8282666666666666,0.750090114342243,0.9064432189910901
0.065,0.8283999999999999,0.7503714012542694,0.9064285987457305
0.07,0.8285333333333332,0.7506520561652402,0.9064146105014262
0.075,0.8286666666666666,0.7509320754818751,0.906401257851458
0.08,0.8288,0.7512114555992818,0.9063885444007181
0.085,0.8289333333333333,0.7514901929011427,0.9063764737655239
0.09,0.8290666666666666,0.7517682837599072,0.906365049573426
0.095,0.8291999999999999,0.7520457245369887,0.9063542754630112
0.1,0.8293333333333333,0.7523225115829671,0.9063441550836994
0.105,0.8294666666666666,0.7525986412377971,0.9063346920955361
0.11,0.8295999999999999,0.752874109831021,0.9063258901689788
0.115,0.8297333333333332,0.7531489136819882,0.9063177529846782
0.12,0.8298666666666665,0.7534230491000792,0.9063102842332539
0.125,0.8299999999999998,0.753696512384936,0.9063034876150637
0.13,0.8301333333333332,0.753969299826697,0.9062973668399693
0.135,0.8302666666666665,0.7542414077062395,0.9062919256270935
0.14,0.8304,0.7545128322954255,0.9062871677045745
0.145,0.8305333333333333,0.7547835698573551,0.9062830968093116
0.15,0.8306666666666667,0.755053616646625,0.9062797166867084
0.155,0.8308,0.7553229689095933,0.9062770310904067
0.16,0.8309333333333333,0.7555916228846494,0.9062750437820172
0.165,0.8310666666666666,0.7558595748024903,0.9062737585308429
0.17,0.8311999999999999,0.7561268208864029,0.906273179113597
0.17500000000000002,0.8313333333333333,0.7563933573525525,0.906273309314114
0.18,0.8314666666666666,0.7566591804102765,0.9062741529230567
0.185,0.8315999999999999,0.756924286262385,0.9062757137376148
0.19,0.8317333333333332,0.7571886711054671,0.9062779955611994
0.195,0.8318666666666668,0.7574523311302036,0.9062810022031299
0.2,0.8320000000000001,0.7577152625216848,0.9062847374783154
0.20500000000000002,0.8321333333333334,0.7579774614597364,0.9062892052069303
0.21,0.8322666666666667,0.7582389241192496,0.9062944092140838
0.215,0.8324,0.7584996466705185,0.9063003533294816
0.22,0.8325333333333333,0.758759625279583,0.9063070413870837
0.225,0.8326666666666667,0.7590188561085789,0.9063144772247544
0.23,0.8328,0.7592773353160931,0.9063226646839069
0.23500000000000001,0.8329333333333333,0.7595350590575258,0.9063316076091408
0.24,0.8330666666666666,0.7597920234854588,0.9063413098478744
0.245,0.8331999999999999,0.7600482247500293,0.9063517752499706
0.25,0.8333333333333333,0.7603036589993112,0.9063630076673553
0.255,0.8334666666666666,0.7605583223797013,0.9063750109536318
0.26,0.8336,0.7608122110363131,0.9063877889636869
0.265,0.8337333333333333,0.7610653211133751,0.9064013455532915
0.27,0.8338666666666666,0.761317648754637,0.9064156845786963
0.275,0.834,0.761569190103781,0.9064308098962189
0.28,0.8341333333333333,0.7618199413048393,0.9064467253618272
0.28500000000000003,0.8342666666666666,0.7620698985026184,0.9064634348307148
0.29,0.8343999999999999,0.7623190578431287,0.9064809421568711
0.295,0.8345333333333332,0.7625674154740206,0.9064992511926458
0.3,0.8346666666666666,0.7628149675450268,0.9065183657883064
0.305,0.8347999999999999,0.7630617102084094,0.9065382897915903
0.31,0.8349333333333334,0.7633076396194154,0.9065590270472514
0.315,0.8350666666666667,0.7635527519367347,0.9065805813965988
0.32,0.8352,0.7637970433229673,0.9066029566770328
0.325,0.8353333333333334,0.7640405099450942,0.9066261567215725
0.33,0.8354666666666667,0.7642831479749546,0.9066501853583788
0.335,0.8356,0.7645249535897287,0.9066750464102713
0.34,0.8357333333333333,0.7647659229724266,0.90670074369424
0.34500000000000003,0.8358666666666666,0.765006052312382,0.9067272810209513
0.35000000000000003,0.836,0.7652453378057515,0.9067546621942484
0.355,0.8361333333333333,0.7654837756560202,0.9067828910106464
0.36,0.8362666666666666,0.7657213620745111,0.9068119712588221
0.365,0.8363999999999999,0.7659580932809011,0.9068419067190987
0.37,0.8365333333333332,0.7661939655037411,0.9068727011629254
0.375,0.8366666666666666,0.7664289749809816,0.9069043583523515
0.38,0.8368,0.7666631179605037,0.9069368820394963
0.385,0.8369333333333333,0.7668963907006532,0.9069702759660134
