Time,20.0,20.0.1,20.0.2,10.0.2,10.0,10.0.1,5.0.2,5.0.1,5.0,2.5.1,2.5,2.5.3,2.5.2,1.25.1,1.25,1.25.2,0.63,0.63.1,0.63.2,0.31.1,0.31.2,0.31,0.31.3,0.16.1,0.16
64,71.01156,58.53333,62.2,47.72143,48.03243,44.96849,43.23243,43.96351,35.53889,40.0137,111.0904,35.41,29.97162,28.58056,39.06389,15.22945,53.0875,42.19167,37.83288,41.31644,39.08056,13.52778,12.47945,28.94865,9.822222
66,70.94366,58.60972,62.29459,47.57059,48.79189,45.48904,42.77808,43.60548,34.15507,39.73889,28.98667,35.63099,29.96027,28.78028,37.20548,17.46301,52.23662,42.3726,33.99726,40.32917,39.66,13.65541,11.46301,26.43944,9.712162
69,71.60959,59.28784,62.15541,47.71618,49.4726,45.5,42.06892,43.24795,35.49315,40.12535,28.54533,36.53944,30.85342,27.41233,34.21644,19.50556,51.56081,42.49452,32.40423,40.3411,39.8338,78.00137,10.86667,25.09577,10.00137
72,71.68784,58.72254,62.43649,48.5971,49.5473,46.68378,43.4274,43.35753,36.08082,40.81351,28.13562,36.03243,30.76849,27.34507,32.1027,20.67027,51.31622,42.28472,38.26667,40.28514,38.66667,77.50139,10.32466,25.53067,10.02958
74,72.56056,58.596,62.81831,47.14118,49.95541,46.93649,43.31408,43.07083,36.00822,40.76892,28.22877,35.79863,30.90417,26.09155,31.53194,20.7,50.52466,42.47534,38.90286,40.04658,38.18,73.46849,9.797222,24.94865,10.39855
77,73.59014,58.75479,63.2507,49.44286,50.22703,47.30278,42.21757,42.88919,34.86111,41.08724,27.35811,36.30139,30.45405,26.71944,30.07467,22.0863,50.94265,41.69315,36.2971,39.7137,37.50946,10.62329,9.147297,24.65753,10.3473
80,73.84722,58.36164,63.02809,51.92714,50.83288,47.62466,43.36438,42.39861,35.19452,41.40556,27.49189,35.23378,30.06528,25.60556,29.87568,21.03056,50.73194,41.13919,36.08406,38.66479,38.09589,10.36944,7.639726,24.68767,10.79028
82,73.5,58.51892,62.80548,53.46,51.10723,47.57361,42.92267,41.25972,35.53649,40.95811,26.57397,34.59178,28.8411,24.575,29.99079,20.77917,49.33108,40.84247,35.70282,38.83919,37.36757,9.868056,6.706944,23.9027,10.97206
85,74.03836,58.75193,62.92973,56.85143,51.38158,48.03699,43.64933,41.68378,35.83944,41.10685,26.21216,34.82466,29.13194,24.37536,29.79452,19.48493,49.1029,39.93108,37.6403,38.23699,35.7274,9.070833,6.254167,22.88378,12.36667
88,74.03514,58.98493,63.83067,,52.01486,48.30411,43.75541,41.05833,35.07808,41.628,26.375,33.63333,28.49306,23.85,29.40278,18.37222,49.70548,39.96301,39.88,37.47397,34.37297,9.005634,6.5375,23.08919,12.33919
90,75.04521,59.70811,63.5973,,52.02319,48.46081,43.33288,40.58525,35.19242,41.08056,25.06712,33.24521,27.90405,22.45278,29.4589,16.26986,48.05441,40.01268,39.44638,38.21972,34.33699,8.814865,5.918919,22.36667,9.778082
93,75.16301,59.73005,62.88919,,52.03151,48.71486,44.6625,40.11216,35.30676,41.47808,102.3324,33.67746,108.4055,22.22222,29.73973,13.86622,47.73151,39.72329,37.63571,36.59306,32.87297,7.657534,5.375676,21.30423,9.579412
96,74.2831,59.752,63.00822,,51.86712,48.44521,43.85405,39.42639,34.44444,41.45694,25.09315,31.57534,26.73378,20.56164,30.17162,13.02533,,39.12083,40.22464,35.78082,32.51781,7.734247,4.966216,19.75068,11.01286
