Time,20,20.1,20.2,10,10.1,10.2,5,5.1,5.2,2.5.2,2.5,2.5.3,2.5.1,1.25,1.25.2,1.25.1,0.63.1,0.63.3,0.63,0.63.2,0.31.3,0.31.2,0.31.1,0.31,0.16.3,0.16.2,0.16.1,0.16
0,0.0371004256542306,0.0003710708628277,0.067462821216274,0.1080630001624332,0.1056733015360251,0.0432451497313366,0.0937736461402438,0.0705443863131268,0.0021904724620705,0.0067925346776226,0.034768948038166,0.0841951369789464,0.0005672723951855,0.0924576854176698,0.0003950233895111,0.0465585534193153,0.0867024653189841,0.1680667120118868,0.0470630155377537,0.0698439513075153,0.2002860797281646,0.1861850408561238,0.0657548569644434,0.0622170462580024,0.0740717838509475,0.1086861899446507,0.1627196099934114,0.0484020059696637
4,0.0448722065426459,0.0572034074847763,0.0419698519288892,0.1006616163822188,0.1234574276999615,0.0166566359892708,0.1025081524812221,0.1211625688964213,0.0605829793705042,0.1167399778173937,0.0390358076372512,0.085509907092021,0.0450155285195126,0.0984599117629167,0.0707953043316766,0.0683647532110801,0.1083708563397244,0.0798230803894556,0.0430289341092598,0.0538777720149288,0.1364905754082452,0.1526444419003672,0.0579368219275193,0.0454810436831328,0.1236353259271183,0.0962538203914971,0.1270918674430722,0.000718454223029
6,0.044554952111192,0.0605119156700588,0.0452212822032338,0.1132668639008292,0.1229831479663669,0.0009307967665884,0.1131867181642975,0.1377462084445907,0.0266519158425356,0.1267573490133718,0.0419261206551739,0.0954506348639519,0.0486295817805074,0.1160888017737296,0.0755615316589201,0.0692554214190567,0.1116122648006192,0.0770767308044837,0.0406168545984713,0.0611772921558937,0.1251229220880276,0.1727780755744475,0.0566192253772172,0.049295457445372,0.1079081237911411,0.1032978710293697,0.1389223071212258,0.000569598537055
9,0.04607152439806,0.0632353898673746,0.0405315071504714,0.1022465809327755,0.1177186142257954,0.0006696087722389,0.10914936109344,0.1550332466320249,0.0521443450164259,0.1228475666910679,0.0889941210971024,0.0014262982430771,0.0496200206739703,0.1033507409452082,0.077200225652518,0.0724028622233797,0.1065028642371047,0.0828411035241479,0.0376975216537241,0.0522901318043566,0.1372583048046699,0.1726091354030356,0.0580882423912928,0.0490387091611802,0.0886982189598494,0.0955601456390214,0.1260763034769342,0.0005374627011781
12,0.0498681303939701,0.0763755483667103,0.0389463828036834,0.1046753582037849,0.1326523678569315,0.0131037790277663,0.117744513878543,0.1245435303253879,0.0491861835879799,0.124520987187717,0.0785592138995321,0.0816894035085521,0.0498405822152232,0.1288042838448171,0.0752695390471562,0.0735666196885204,0.1101181971752623,0.0788358862237414,0.0404874523878784,0.0737160156975377,0.1259646694838026,0.1518679354249948,0.0640751033806379,0.0576112956986475,0.0936204733064984,0.1180101364568024,0.1358460934525035,0.039877194714464
14,0.0466830996984816,0.0603130792455648,0.0411567817618876,0.1075066351836939,0.1230656180011433,0.0025947417731066,0.1102321511629662,0.1446265130316138,0.0506333378066697,0.1177958725541221,0.051561681465345,0.0869005643338903,0.0490790815517399,0.1080831419008807,0.0353552743436826,0.0324827062055382,0.1074798021477445,0.0841845793025903,0.0006311939457103,0.0742738707791475,0.1424844037809534,0.152951450432346,0.033065540866479,0.0502756934523301,0.1060212177251468,0.1089178921124634,0.1115200627284899,0.0371904901425258
17,0.0408756970338315,0.0616004430900003,0.0406673926682113,0.1040340679541622,0.1103550311425296,0.0006991396424629,0.0927377471697305,0.1522233873823654,0.0421833718667699,0.1116239120129017,0.0426103989342516,0.0856716429757028,0.0535284095152758,0.1105846115894781,0.0724514742357658,0.0691628184912879,0.1282365938065824,0.0911616316549729,0.0369922973182634,0.0742930622223121,0.1508240363837789,0.1481528194121715,0.0356419527382013,0.0499770889409745,0.1182474202875688,0.1172811307019226,0.1359570946260166,0.0345037855705877
19,0.0007221625480753,0.054339624995789,0.0416820259715499,0.1028165416693028,0.0997496548714535,0.0005933727586349,0.1025392897365498,0.125467704962782,0.0417702183339931,0.116415161037562,0.0574847262767752,0.078507538725561,0.0462613832850021,0.1191502519812893,0.072349700529212,0.072957813340221,0.1197143116072745,0.0971301412113098,0.000604850386269,0.0005028323216897,0.1433983315611541,0.143354188391997,0.0578349848520514,0.0503091731152816,0.117061158643735,0.1339400246583502,0.1175681374541778,0.0356115230147289
22,0.0339595065509829,0.0007129824048721,0.0037409497153882,0.1055216043342191,0.1165157363774692,0.0007398657614204,0.0878517907185515,0.1294051754509243,0.0359964226549744,0.1193168578071966,0.0532540622537915,0.0645301267914809,0.0497780390946907,0.0518895809544201,0.0719242860572327,0.0672999709915365,0.1075842835006026,0.0815446819603349,0.0369187212494016,0.0005534922561529,0.14330672435393,0.1236318322489274,0.0268946717321462,0.0479949593075755,0.1259092338947732,0.149640062166625,0.1170064537764995,0.0005373183001824
24,0.03950751846942,0.0359996949738488,0.047919251742867,0.0979715064250029,0.1005151490957009,0.0006223074069858,0.0974451703491523,0.1296694073457099,0.0006463816867559,0.1312270712389488,0.0549703098691135,0.0603321574667301,0.0433926076575818,0.1106575315486129,0.0745886715376587,0.0617280583895351,0.1050937969385204,0.0731527022542138,0.0384642637422831,0.0006165169646504,0.1355136645996437,0.1356277965432272,0.0550580717708429,0.0476799113013624,0.1074483759705292,0.1464360611118072,0.052316762425373,0.0401964276430258
