,10,5,5.1,5.2,5.3,2.5,2.5.1,2.5.2,1.25,1.25.1,1.25.2,0.63,0.63.1,0.63.2,0.31,0.31.1,0.31.2,0.31.3,0.16,0.16.1,0.16.2
0,0.174902297587207,0.07068767954204819,0.1661962805939926,0.1825424107387142,0.1066914943959788,0.0605133929243272,0.0006494125502871946,0.03780950634189861,0.1719532857079312,0.105335215577657,0.08480813546794491,0.1709373681013091,0.0008685264735712521,0.03537284803883309,0.0700927628185919,0.03776225414137559,0.06630113462691138,0.05416407939752961,0.001157184489962756,0.1307483707637768,0.04968738573692385
4,0.2073922652467655,0.1844693983517211,0.1741738841412804,0.1880935100099555,0.117479257251856,0.05808120118214101,0.04458873954858892,0.0008871236995780094,0.1977192690582418,0.1350740318148331,0.08876556638493696,0.1329095759540361,0.04676589483085178,0.08180629178707036,0.05675527711334947,0.03427921755916838,0.07234848723804668,0.04931849064165061,0.0005147915616702308,0.1460004568316102,0.09739426864784709
6,0.2451689551643091,0.1946383677341152,0.155893811943544,0.2371932250027873,0.1439477570647526,0.05587815224381855,0.04716271666391989,0.01849701597259373,0.18989578899854,0.1306298285642291,0.09411081561753241,0.1203747365257012,0.0478792453240105,0.08195938946862658,0.04957027275131003,0.03555845750738372,0.06923844292509054,0.06213709917136467,0.000453192709245806,0.1442440346073538,0.09847727250565082
9,0.2513869055218657,0.1990369752900784,0.2007375873031225,0.2379171108723625,0.1588457443151988,0.05637566896982824,0.05494870835409407,0.03274800468530576,0.2306230032644254,0.1390050626365691,0.1095135558701766,0.1305908891587118,0.05298961505477246,0.09208876442505531,0.05816657750120733,0.04047735362858115,0.06960990658352735,0.0009416297927883655,0.0005197250573200411,0.1151065196571415,0.097771031706641
12,0.2758164841100924,0.2106950152317357,0.2037270646879576,0.1782002988481736,0.1703645538819854,0.05714105350831119,0.05362507303769776,0.03501389459271952,0.2209822257689153,0.1287715445614313,0.1124445463700725,0.1237715368157113,0.00137334225465202,0.08257748052970071,0.06616742954714738,0.000811640238705033,0.0685559323192704,0.05854281125423982,0.003397372486561744,0.1486602517646475,0.0970647909076312
14,0.2636418797506278,0.2337704265625963,0.2165440587978629,0.2313720180326565,0.2010827365144455,0.05769345586621517,0.05125687890075251,0.03722824397466028,0.1805535440070926,0.1545266269354968,0.1006700654684934,0.1177439321838664,0.06967819674362928,0.08394055742692212,0.0307036367232623,0.0006953855596750323,0.0763679351696117,0.0582272919724196,0.01451607598709397,0.1258477335496108,0.0518051144697866
17,0.169442956641918,0.1876448490153557,0.001026540872932885,0.2537853956625989,0.2206334875433739,0.05620675199165202,0.05741277376923078,0.0479363156284745,0.1760306204062861,0.1442806219722951,0.1022782524838121,0.1262740706193231,0.06878549416662265,0.07978960311243678,0.06365522364254085,0.0006082053542297647,0.07425868302984673,0.05859540104472437,0.0004799316780380472,0.1470563162220225,0.1055700465755288
19,0.08539081911349221,0.1366240031315548,0.2128703810300854,0.05572502108475508,0.2834103400966149,0.05765738357151361,0.06356866863770907,0.04441913465117019,0.1740047165489446,0.1470874333307182,0.09297536484719202,0.1225759111392961,0.06844136414977653,0.04187017524852823,0.06728305087130777,0.03349169422419033,0.07291541804540849,0.05813341953881171,0.0003717824931626341,0.03665159139036075,0.1149845609383525
22,0.00133868158506643,0.2102876589976844,0.2123488420275818,0.1052643387652037,0.1051234591116748,0.05795141301274406,0.06405096716293932,0.04697409522726446,0.1703843063245695,0.09682106394913467,0.1087245836325529,0.1172839139036985,0.07450482018362038,0.09127415147986981,0.06703076406678617,0.03647577822693128,0.03521384105716472,0.05834690405525001,0.0003333700586188412,0.1157710156436658,0.1020049658563775
24,0.1518059799431951,0.09655496805931506,0.2172933537710336,0.0941186674432814,0.2352614600943033,0.0538307575528847,0.001470107473513585,0.04592099412405169,0.1856058193591157,0.0007533938805042755,0.104723222221485,0.108503274400156,0.07012731780318689,0.1001290330765267,0.06419841687292034,0.03592609296692582,0.0761429924090095,0.06257006657015483,0.0002949576240750483,0.05949840580215975,0.1012014149173742
27,0.2123774511131432,0.1588337084408153,0.2083872651936196,0.102625967373269,0.2759214837348332,0.06164774117006633,0.06464398086735085,0.04809880049738759,0.1790064148778038,0.1561197042589531,0.1129177794616449,0.1017857821959337,0.07595290576901871,0.08673867038777612,0.06215487474928201,0.03765489365562218,0.07867066993141818,0.06677833390610799,0.0004823947123731292,0.1238541462656142,0.1199271581338129
30,0.2450046666410487,0.1614116311370508,0.2434413289220695,0.09913433453537547,0.2701960991445175,0.07363318712098008,0.07178030014036478,0.04749788269481447,0.2095424367761107,0.150948940496402,0.1248850319424152,0.1089154192143829,0.06959040395542221,0.08289359327697172,0.0575667478912667,0.02911250947853371,0.07941031672549569,0.06333322908498341,0.0004499407936801933,0.1267533379579798,0.1029596812087945
32,0.2328796124853187,0.1318693062593254,0.2301981107801412,0.1420950353409238,0.2523957395368374,0.07457475948116529,0.07423217206691693,0.04015649606532828,0.2167233624626992,0.1690892596841696,0.1079298812544776,0.1363468698707957,0.08058628563861793,0.08267739923333235,0.0648614573991027,0.0166206480005622,0.07677403800086918,0.07032352501864338,0.0004445655561043141,0.1186428345206679,0.1040580201009975
35,0.2560063270517329,0.1454016659357293,0.2269901972268844,0.06822473463430859,0.3098710341149731,0.0713646913569262,0.08685052836307162,0.04238280114405826,0.1774556060333853,0.1687392216750654,0.1085100270043517,0.1637783205272086,0.001154864798351867,0.08262637332288736,0.06831620333084716,0.03418481125289035,0.07263536620751737,0.05693195583439389,0.0004437542320063705,0.1340193708335027,0.1029765129639872
38,0.2318526484589092,0.1334152255998087,0.2694332611616329,0.06177575178202244,0.3028575876167368,0.0571976605697979,0.09009135784180042,0.04760602675880272,0.2014432852888764,0.1748509532065688,0.1085717527306323,0.1444265919795414,0.08342240885449638,0.08412368735473807,0.06139121953795108,0.04007952705076293,0.06781332539004868,0.07236990274582299,0.0004429429079084269,0.1175244242402339,0.1064835123196598
40,0.2521066236427263,0.136951871851031,0.2661460019041625,0.05532676892973629,0.2692804568521615,0.06012082846821352,0.09597144122955814,0.04634823783780666,0.1923877667610282,0.1663741899389927,0.1022716150135532,0.1411221961775681,0.08127502237339614,0.07523377361625466,0.06335217340282148,0.01850933623743192,0.06659998709977458,0.06272788527699782,0.0004555161401016928,0.1163851929726469,0.1096975054871685
43,0.2216869641184121,0.1472072497411406,0.2306178688464048,,0.3130467021466289,0.05739348324271207,0.09000380396933873,0.05559873068080662,0.2179321481880332,0.1671237747938043,0.09955271558387657,0.1371847593872501,0.08123392519448948,0.07200984799413004,0.07524051551549904,0.03575538691507716,0.06971422473442634,0.05428216618852766,0.0004680893722949588,0.13156858299982,0.1008802002105495
45,0.2154867812861567,0.1250324882489899,0.2859517627026441,,0.2753452987224209,0.0631000152512398,0.08358487979301939,0.05162751261521793,0.1949895704641188,0.1661258573881795,0.08653233365560138,0.1589089435373975,0.08456592963118165,0.08071111731439305,0.07127657500607511,0.04024622926211738,0.03536508692370456,0.06322277276803726,0.01286901200478483,0.1192909714833977,0.1012295577564628
48,0.245073245984359,0.1610827316581513,0.2269203752902701,,0.2457622384918388,0.05156578102178231,0.03830113259144288,0.05392257387142929,0.2134384969490727,0.1503700342646067,0.07476709857738473,0.003990428044926403,0.0009502478700280005,0.08286872010069156,0.06961384093206657,0.03860763835027417,0.001015949112982785,0.07379418202927562,0.0005981337435350707,0.1328608474710115,0.09886244142727788
51,0.1924643763635537,0.1515646695703706,0.2235179422391204,,0.2675289644422801,0.06655351974406644,0.08228055357843679,0.02700934705171328,0.1725471851398787,0.1862544967018279,0.06372745168756985,0.1919939698132473,0.06967551300619218,0.0909586925163958,0.07300589590742447,0.03928218363451123,0.05965613673314671,0.05534052077308832,0.0004345726261902946,0.1242424412199639,0.04946447572119264
53,0.1732483265244198,0.1475337320758465,0.2331743524713655,,0.2391873791752546,0.06773331368946792,0.08577181268280573,0.03957153893274663,0.1864181841343577,0.1695041687865995,0.06809015162339861,0.1591882382703832,0.07320270937947661,0.08671646702860734,0.08014480897057262,0.0492337317729212,0.0662190567006178,0.06152039300677266,0.0005011291597807978,0.1132322195223158,0.1168049553860611
56,0.1898446599209035,0.1339075838420551,0.2241698598307985,0.06064164811206768,0.2648970402908937,0.06653769598089741,0.07748162562320474,0.05213373081377998,0.2311667052882028,0.1532497106698598,0.06336638599185052,0.1419334913277523,0.07170743679444004,0.08328026757904017,0.08125382533642977,0.000583906016888966,0.06611622808507138,0.06261745638996252,0.0005174367936904204,0.1053620966594479,0.1017110890188308
59,0.2058178876403889,0.1367087480937788,0.2151653671902314,0.07739478597755416,0.2254805001810639,0.06050631317181922,0.0773496886863092,0.05520704439945458,0.2288797536548763,0.1537316747672087,0.04559847707008548,0.06155196920067606,0.07348624360405631,0.06840332048943244,0.08359331388988504,0.04154448295414134,0.06597502406866343,0.06617210025761545,0.0009308440192831941,0.1117976141331969,0.09817407066740408
61,0.1692982136342555,0.1305724701988889,0.2206499894093933,0.08672191998406033,0.2019115504801501,0.001078109336217037,0.08100910934597232,0.05916631745508306,0.2473202216606105,0.1487898238263525,0.04422128797017617,0.1358123922496021,0.07526505041367258,0.05608646211766893,0.08575025433259312,0.04380228439790143,0.07061840591503045,0.06327762089663318,0.01339764296516864,0.1364338616684808,0.1040106543064485
64,0.1604159982149228,0.1204828575525433,0.218771919091237,0.07683430049082407,0.07543353757429706,0.06441394822818026,0.08351342157315268,0.05135391321827846,0.2355081435443138,0.1528221406173251,0.0405810824091347,0.1500049405147132,0.08710329940689714,0.05512176497948797,0.08674065238779313,0.04034098427731978,0.06433187863238922,0.0302521437050012,0.0004836367627973193,0.1162614984637611,0.04746429524051572
66,0.1532030087535789,0.008191270121232528,0.2382213245075701,0.07923800577414163,0.08923808764081004,0.06577953088533364,0.001007966936689331,0.04057322226010054,0.223696065428017,0.1363306397870591,0.0322841754437057,0.1536764067616984,0.07600064733302524,0.05019235581616884,0.07985762840062005,0.03687968415673813,0.0731580860052066,0.06328160322502319,0.0004786279593187341,0.1190663755800943,0.1021366061724323
69,0.1840839954202372,0.1250594450962328,0.2206468071741828,0.06549506273865242,0.09401568218930866,0.067145113542487,0.03232331041192973,0.04147181838458258,0.2215801495509876,0.1657428037010688,0.02940406221070363,0.1615608078956259,0.07595201902552168,0.04024316655455805,0.09595548579447685,0.03785773279327904,0.07270855879742846,0.06024424385973826,0.0004967190099434682,0.1221484253884579,0.09533419788152774
72,0.1491648730148536,0.1181671921708632,0.1795964643020342,,0.1919226854022163,0.06552881720892927,0.06363865388717013,0.04065024711676049,0.2216224959081137,0.155728076432406,0.02753983761775251,0.1246324516114192,0.07320124028421678,0.0365613323032259,0.08869159675469983,0.03584700524992469,0.06918563721799686,0.06510137436077652,0.0005148100605682023,0.113698961888625,0.1132932671086244
74,0.1843530401175952,0.118765710369491,0.1713379904865385,,0.1684085191924814,0.0710856401205432,0.06511735463185216,0.03982867584893839,0.23624574109894,0.07589659830283674,,0.1679823470580628,0.07208783353208073,0.03971575691899902,0.08712151206961921,0.01262613748642422,0.07815725621373007,0.06036046149611808,0.0004780156533036475,0.098432190730441,0.1080283598112542
77,0.1771371755826009,0.1221270597402441,0.2160409831192246,,0.1571821469256451,0.0639699621030962,0.06659605537653417,0.0390071045811163,0.1868002544238548,0.177437923718176,,0.1768931769416596,0.06950608469018842,0.0009434816984234606,0.08461834441968695,0.0004230466368475164,0.06870227583915581,0.05447513768663729,0.0004758803033180749,0.1152782164347461,0.09995057520727475
80,0.1259923857174546,0.1421158778724741,0.1872304174473697,,0.1476723609028253,0.06726961360331413,0.03019774317082487,0.04092749592063375,0.2146003655252284,0.1737277697387255,,0.1941733852091787,0.06822023156253942,0.04008495182329718,0.08405472416974041,0.003521613179338939,0.0660899671047171,0.04553297440984855,0.0004313087994435148,0.1198291438554987,0.09094806107351718
82,0.1456974314177535,0.1311880310597132,0.1960420455565318,,0.1463567462326861,0.06943040512184437,0.07043455943718051,0.0428478872601512,0.1998845587607655,0.170017615759275,,0.1715129223506354,0.06891744536903556,0.03650947348187236,0.08152033014867806,0.0004846615719579487,0.06458567896756737,0.04570659744158398,0.0004877142804529683,0.1116979257808419,0.04496572527794575
85,0.06985508672490177,0.1202601842469523,0.194670860705349,,0.1665813836112431,0.07176127638108402,0.0624400538420392,0.03839461045842628,0.2040838339753791,0.1542084128670767,,0.2295610266450686,0.0349232135512879,0.0392334094205956,0.08409666878482303,0.03038412140781052,0.06752070749327532,0.04120362962855827,0.0004951277094236982,0.1101582537116139,0.0997899112771129
88,0.134507386480584,0.1193894688926034,0.1822804635974137,,0.1714155700357608,0.0684596387425398,0.05586198621254616,0.04063970512888207,0.2290495380571506,0.1491717449877915,,0.1957834832015217,0.06669555866519224,0.04524372880515955,0.08751851847960256,0.0397700870876815,0.07010419118200605,0.04472046712601178,0.0004845305160378102,0.1084623887622289,0.1026712975776154
90,0.1407390301444556,0.132755528495711,0.1884055968664905,,0.1867134148869381,0.06667259412977014,0.06666732471612029,0.0432276334765987,0.1861943998943965,0.1737813562805728,,0.1972763355608024,0.07550507137541256,0.04659476313980783,0.08245537076106946,0.04174895634787558,0.07363436501258563,0.0418945153297002,0.0004854218045763998,0.1176472591607138,0.1055526838781179
93,0.1400678913033648,0.1214128226789174,0.1828652980070263,,0.1547413792721632,0.0007400730744902401,0.05853629766619926,0.04566908544787814,0.2124408082846793,0.189931981876872,,0.1896992078324766,0.0672614466049547,0.04473767502016669,0.08979922300786256,0.05194307212301939,0.07602508850735303,0.0387313484841846,0.0004642060636556592,0.1239380870159787,0.09388944048416091
96,0.1642314815222385,0.1337572823610123,0.167924947772183,,0.1768814097686,0.06069103869781352,0.05599540072922439,0.04570721929431777,0.1938676217709568,0.2060826074731713,,0.1785937600388221,0.0665720667284196,0.0418660132720163,0.08940847193146025,0.04375370817074845,0.07859937461672861,0.03905423876417271,0.01381006184704392,0.1071766410102239,0.09169815418105803
