,10,5,5.1,5.2,5.3,2.5,2.5.1,2.5.2,1.25,1.25.1,1.25.2,0.63,0.63.1,0.63.2,0.31,0.31.1,0.31.2,0.31.3,0.16,0.16.1,0.16.2
0,0.174902297587207,0.07068767954204819,0.1661962805939926,0.1825424107387142,0.1066914943959788,0.0605133929243272,0.0006494125502871946,0.03780950634189861,0.1719532857079312,0.105335215577657,0.08480813546794491,0.1709373681013091,0.0008685264735712521,0.03537284803883309,0.0700927628185919,0.03776225414137559,0.06630113462691138,0.05416407939752961,0.001157184489962756,0.1307483707637768,0.04968738573692385
4,0.23160900113016838,0.18973804817497789,0.16899090988900123,0.1880935100099555,0.11895930737086033,0.057054072134290416,0.04573171482161482,0.008388797521118874,0.2035502583645191,0.13166532204241566,0.08993689684034466,0.12944942469958348,0.04494784268007268,0.08302480777476673,0.05459263188609904,0.039407776633511485,0.07000727029564413,0.05096440088629302,0.0005002329159135623,0.14529243441884163,0.09668714761157036
6,0.23686611435603602,0.19335552870757458,0.18056654448558476,0.213005310441159,0.13872194270078153,0.05698618231429767,0.048191536206228784,0.01672450180268085,0.2025768845566997,0.13419392570862074,0.0926259564514701,0.1276142356349168,0.04960247773292367,0.08331072729900661,0.05677860283421742,0.03143284672095503,0.07043359572296952,0.05299469815156751,0.0004940074762523152,0.1426635146654551,0.09761364030315332
9,0.2391067880643185,0.19592725668809297,0.19159575993605485,0.2379171108723625,0.1588888074721985,0.05692026542143273,0.05056697392567933,0.024800343605828466,0.20027714467307708,0.13687292197996023,0.09530436474470876,0.1257869600675464,0.05426812078555282,0.08343781087371764,0.05884777771718481,0.023792751226863668,0.07098412095437599,0.05497868396414447,0.0004858652985433037,0.1401445720584751,0.09882965612366361
12,0.23779009987860145,0.1972803294253843,0.20232321676689263,0.262828911303566,0.17940502104864423,0.05684313103594379,0.053055851491636635,0.032778419645783284,0.19822904119377635,0.13959591135813534,0.09805817460419135,0.12419087186529237,0.05881505283808943,0.08356060758387268,0.06082092073499695,0.016981299579787047,0.07154725359560507,0.05739323724991201,0.00047709791285961635,0.13767271491357969,0.10034367484291318
14,0.22117477941834834,0.19507296849242112,0.20819995203033653,0.18485600202949898,0.2032236458807132,0.057016754952502524,0.055714854811530615,0.03831474004275591,0.19300518934437408,0.14251623057239074,0.10050733874324537,0.12340908313248967,0.0630375031627141,0.0835228359508521,0.06308950103463007,0.015145838461336282,0.07243071495003164,0.05847810139136562,0.00045626378085114773,0.135032518375715,0.1024381107599394
17,0.1996399256539917,0.1887869624156646,0.2115457700887396,0.15948541000800165,0.22300413902386906,0.05724004364731629,0.05817796553923672,0.04179496993040032,0.18419525178760188,0.14580125533425664,0.10272700730581187,0.12154934460020524,0.06753902848052354,0.08491973609539354,0.06492348318043509,0.01614767254980536,0.07352984797216516,0.05852139079435154,0.00043805585157307553,0.13007295241059208,0.10355187775030797
19,0.18937503811202752,0.18086182966828362,0.2134022658756781,0.10831343936991784,0.23350019165038222,0.05752151074844491,0.06080544537097836,0.044167468422671136,0.17819721977249353,0.14828825871074416,0.10454423084186273,0.11879808053010182,0.07015048071870772,0.0864872776380905,0.06552213099108345,0.02213279315304059,0.0746382025564246,0.0593131128278936,0.00039751137690964046,0.12626097216736473,0.10474897709496608
22,0.18291023115621016,0.17413506420635902,0.21418382061041505,0.10269586272950988,0.24681807830650784,0.05849779446874105,0.0631699502930246,0.0459347916950419,0.1783399087667295,0.14993974806355329,0.10652225945678226,0.11539918744258289,0.07132532031537717,0.08685897148393072,0.06500332758719989,0.029480207450470506,0.07555658107005589,0.06062603303741083,0.00038018461045976546,0.12496838791832342,0.104379801187799
24,0.18287765776064852,0.16770826301154476,0.21741460616571448,0.1011129516592296,0.2568793257061645,0.0604575887669993,0.06577909361677842,0.04646178129627842,0.18372062771371817,0.1518089989358859,0.10804373790095553,0.11318961271693577,0.07270933109940536,0.087875829192305,0.06408585633323383,0.03335946683105763,0.07641415725632611,0.06214653038278898,0.0003876417246887844,0.12203676208122302,0.10366529823750602
27,0.19792142757848422,0.16148311415752822,0.22185907180348693,0.09723931027646936,0.2600120895339931,0.06337482422553888,0.06849166035212162,0.04595469838563967,0.19061950016536613,0.1545957168546024,0.10837351165898389,0.11444612972806543,0.07447947062614907,0.08715687994732219,0.06361746676281443,0.032473016690810985,0.07720519304553132,0.0639086058587578,0.000402568998872681,0.12185905210952981,0.102955437710199
30,0.220047567570381,0.15367389169142373,0.22657673063591882,0.089129360078422,0.2686982895574822,0.0659537677615143,0.07190225456538701,0.04532198733890179,0.19466862433825088,0.15837842942446673,0.10851644372522957,0.11997697489170898,0.07655364278439156,0.08508382543384657,0.06355408853365338,0.03145876154034544,0.07674681555687929,0.06509012906487115,0.00042564174149482944,0.1238476594415165,0.10300684555916437
32,0.23424431954743802,0.14758016812499272,0.23469250569856606,0.08159519910168929,0.2787768559411466,0.06649236331901939,0.0774616146993728,0.045132332037542265,0.1972477370261604,0.1632740335907798,0.10864076054245778,0.1268558464744748,0.07844779963383786,0.08344345146519377,0.0635081512640268,0.03098713824952621,0.07493419077003263,0.06526036628728585,0.00044458781592585344,0.12395179194469692,0.1037831126281555
35,0.24058650505270915,0.14289284633131868,0.24238185331462264,0.07303226584184491,0.2837705516022214,0.0662793463714826,0.08319121955630213,0.04527567692924529,0.19928412793899503,0.16651254942226226,0.10762236005412681,0.13380708161882693,0.07998103234219292,0.08168798261998098,0.06403071013637385,0.030116570168781262,0.07261432571345629,0.0646409532064466,0.00044852323816052005,0.12294747734283093,0.10469678021810107
38,0.2392839101808126,0.13998564156605667,0.24565719258468943,0.06383257086008871,0.2887175439162482,0.06534125651832998,0.0869862533215286,0.04645458752941981,0.19945777592207445,0.16848223069573162,0.10486284993241655,0.14000465732160555,0.08137403599921302,0.0800186581758296,0.06553930351016136,0.03113178149652116,0.07010977769909459,0.06368283255957079,0.00045075894764977484,0.12294211062431294,0.10471308826029119
40,0.2353818873339668,0.13994608698143338,0.2458916028560275,0.05949954156101196,0.2895811079718658,0.06235276370751515,0.08895461532530302,0.04857921551167081,0.19957153070483485,0.16816079399291775,0.0999957340823943,0.14390092284887973,0.0820538580393383,0.07936780743474953,0.06692265729239252,0.03366872320261573,0.0681357962715927,0.06272690936789055,0.00046305890705250485,0.12312761009872863,0.10412490017312566
43,0.23076605500526168,0.14265203316613645,0.24315485755899893,0.05788325920431671,0.2823094960278189,0.06102396285562013,0.08845012413340982,0.05075796056337297,0.20151549926783,0.16609189292151885,0.0937344541659418,0.14688458571011392,0.08112586655588447,0.07943553739019889,0.06800059793537025,0.03507721286163103,0.06640254528996006,0.06181444067023904,0.00048266175981437326,0.12359070581891424,0.10305319599095415
45,0.22233111590283702,0.14570141451665977,0.23703025069881795,0.05741033116754765,0.27402516927644127,0.0622323952685764,0.08693897836032229,0.05266664239364282,0.20035575528316785,0.1655509980781396,0.08634022755803572,0.15063307422916145,0.07853442859176595,0.08058712753133819,0.07006374091306018,0.03656355523218789,0.06508071604566401,0.06062147639696793,0.00048761451985960245,0.1243082500403687,0.1010047717720342
48,0.21098069558531085,0.14721184816166571,0.2302694293286028,0.057984208520902,0.2663900526826298,0.0639116112198126,0.08505356162264098,0.053000960023007374,0.19898827134593905,0.16541109851421168,0.0795528973674423,0.15164490811198836,0.07676810536905326,0.08281270759360418,0.07269505655017675,0.03993253738683977,0.06475174591960497,0.060364235900933705,0.0004950191156245176,0.12324066405239101,0.10060181680918934
51,0.20285960836900946,0.14703827314821052,0.2269472050753715,0.05953928077529174,0.2577044703623744,0.06531338557206828,0.08298444531674243,0.05302179521702544,0.2018800656717638,0.16343169464574064,0.07291760825492548,0.15281167608592064,0.07497027425827613,0.08364359745787837,0.0750940193558956,0.042201165814941946,0.06332489751571169,0.0607767424479603,0.000506031970287289,0.12001995358765326,0.10057148613894525
53,0.19630407259505245,0.14497025128775545,0.2252139886955995,0.06285987609086095,0.24878492186945614,0.06593962941205134,0.08160123290180427,0.05344866962044293,0.20768476340629494,0.1614889985871017,0.06598944005061347,0.15244748004320027,0.07259144548780437,0.08131358090343076,0.07775709407567914,0.04269843801446694,0.06359686318728848,0.06109015887681474,0.0005025517566414079,0.11709023330121507,0.10047061864325556
56,0.1876343058316296,0.1399533307759128,0.22347141344108795,0.06726354342558559,0.2383930631661191,0.06523602804541624,0.0807759703461984,0.05371199936396546,0.21561880429824543,0.15951387224467553,0.05961791942368118,0.14860682747710807,0.07276891011014786,0.07659721774307109,0.08070935828523439,0.043245594461045554,0.06557533545723782,0.06229025139023144,0.000500271087421436,0.11552441756967771,0.10088826446851476
59,0.18064384744563963,0.13398596870891136,0.22218933877728494,0.07101853326479095,0.21957370992537723,0.06491676476959528,0.08039827177470417,0.05360585786075173,0.22574731082400787,0.1550256024093136,0.05308206883105024,0.1463714326289608,0.07371627629950739,0.06986861999365175,0.08312716823284161,0.043239803169915915,0.06700510484113434,0.06348725107780395,0.0004963291354365208,0.11521469706828297,0.10142573538735238
61,0.17594435908918513,0.1293895334773194,0.22171094143329417,0.07420776717126731,0.18732563269343808,0.06469637615250581,0.08081600432801361,0.051551579903946786,0.2316985796004056,0.15154698903618807,0.04598679294452625,0.14620072875221968,0.07443932205950181,0.06217289708192609,0.08444603133497386,0.04182065467734135,0.06832815792374015,0.06354997610114597,0.0004955741746303395,0.11633140124717689,0.10136705483021805
64,0.17099788949363812,0.12681437155162018,0.22073115470743898,0.07548096326750027,0.15885783069795506,0.06465255704116074,0.07824986325486363,0.048937100060776666,0.23157725996835635,0.15177242905965022,0.03949797209190545,0.1479439544256217,0.07495544321473137,0.05462591702591297,0.08549184441447125,0.040146830562607795,0.06951743326980056,0.06324445284672103,0.0004893618965438456,0.11847938543158178,0.10126525625351304
66,0.16601220438782094,0.1239706738801064,0.21581364030685066,0.07385384893803942,0.14510573898007278,0.06539788893968523,0.07430874595570992,0.04613313265827382,0.22928952934254662,0.1532104106634399,0.0349469553570225,0.15377162763934082,0.07506938756539018,0.04855202051374574,0.08640214144078624,0.03773164934290363,0.07037336670916976,0.06279566784205527,0.0004871464823398656,0.11871263857405208,0.10229877662683756
69,0.16619479032096973,0.1217567416980497,0.20853206333572089,0.07071602289193155,0.13300801876154356,0.06634153334139282,0.07164471651121518,0.043012149789017795,0.2256741082563215,0.15636723352238954,0.031615661298900734,0.15949613463138393,0.07469258109878371,0.0440297675805774,0.0866363351949992,0.03241424563792943,0.07087712477408424,0.06207278806717912,0.0004907657578853556,0.11609852055197871,0.10298334863867019
72,0.16764463694687712,0.12143053784753809,0.20363733586034002,0.06798263909116677,0.13516658660374745,0.0666750052409715,0.06727625283025393,0.04095241594737335,0.22054223258020828,0.16162707985711527,0.02918822658462072,0.16562066576506065,0.07342186370437606,0.04086596477225047,0.08667086840205658,0.0251284303897113,0.07064924434104884,0.06034696250641319,0.0004880427792105681,0.11466167353836935,0.10276214232274418
74,0.1641587012440744,0.12325114365045495,0.19758211861113356,0.06604797252889485,0.14882059474465742,0.06693086313082071,0.06514284062940207,0.040379077531343996,0.21645372756590658,0.16632129262675988,0.027992845377111625,0.1716380775303225,0.07181543711504866,0.03940079573769925,0.08667854882972365,0.01751372655204918,0.0695366561947482,0.057343738285715866,0.0004817726246709558,0.11410682490044946,0.10202449653341068
77,0.15694911033388018,0.12527791770035523,0.19241149274069808,0.06549506273865241,0.15668294112325465,0.06747686656043772,0.0661372259879575,0.04043970550227965,0.21267654009119627,0.16883974220400874,0.027613204363011335,0.17634249022042076,0.07035328894096343,0.03871153960958679,0.0854061226886004,0.011632793995807054,0.06826959363053095,0.053861351152057875,0.0004766896756882932,0.1130302081196658,0.1009055836001865
80,0.14721230021326331,0.12601689049507195,0.19246434175142493,0.06549506273865242,0.1570951744193439,0.06811220432850178,0.0656716540656549,0.04038706706287123,0.20898684389891728,0.17000498525285843,0.02753983761775251,0.18038554156511896,0.06917802335473719,0.0390191135740589,0.08446708922964091,0.011340910514438958,0.0675258500854244,0.04984473175609568,0.0004744926011396388,0.11262520836819011,0.1000866706504953
82,0.13876145702347,0.126647702950673,0.1928093384527322,0.06549506273865242,0.15856441164470864,0.06843719191436744,0.06477552462232705,0.040570456696040993,0.2070413706301624,0.1672256270882589,0.02753983761775251,0.18525441056275294,0.06840491647200904,0.039750874096799324,0.08421293321209444,0.016226878223799604,0.06751141761015148,0.04649306034123665,0.00047560736493891623,0.11298708028031346,0.09952951488833149
85,0.13380584834385623,0.12683128620605547,0.19045979786303213,0.06549506273865244,0.16276036228026097,0.06869093164594395,0.06398889291046134,0.04119894995050059,0.20649871164899786,0.16711230772559124,0.027539837617752517,0.18856618564298386,0.06816381716367097,0.04115787412563615,0.08441968223808172,0.024325382689577735,0.06859646390954785,0.04412305031990841,0.0004792062559698203,0.11328606580196293,0.09960804566402703
88,0.13408458063964765,0.12569664969193994,0.18779343643286234,0.06549506273865244,0.16683493945103475,0.06801972417286299,0.062305953560731604,0.04200515557725882,0.20574831770905658,0.17063127120980398,0.027539837617752506,0.18969541080054148,0.06792325278456961,0.04257870171115647,0.08536974153824514,0.03368278249095841,0.07055313219303999,0.04252495300298489,0.00048222673919708846,0.1137172513500087,0.10016292929672246
90,0.14058634489974514,0.12662036999670717,0.18306137983071696,0.06549506273865242,0.16966192697765092,0.06588937298672137,0.060361510024498355,0.043218414685220766,0.20383657613874878,0.17953358336299774,0.027539837617752506,0.1893111276558388,0.06755632235344772,0.04337435367827252,0.08677785772754096,0.040297244545116566,0.07322788360505018,0.04128169951345396,0.0004785167986841069,0.11388998869582448,0.09821450251764603
93,0.14809164210823828,0.1280314876993243,0.1782696217314252,0.06549506273865235,0.1724070452317485,0.06378220080125893,0.058627578232992916,0.04454001178170605,0.20143590801010688,0.18906444297749808,0.02753983761775248,0.18796370511087734,0.06724198366493783,0.044141067933167466,0.08812120003541923,0.04625778157496274,0.07594917603032904,0.040047993603996045,0.00047354561209905305,0.1142452130966013,0.09586839928611042
