Time,10,5,5.1,5.2,5.3,2.5.1,2.5,2.5.2,1.25,1.25.1,1.25.2,0.63,0.63.2,0.63.1,0.31,0.31.2,0.31.3,0.31.1,0.16.1,0.16.2,0.16
0,0.174902297587207,0.0706876795420481,0.1661962805939926,0.1825424107387142,0.1066914943959788,0.0006494125502871,0.0605133929243272,0.0378095063418986,0.1719532857079312,0.105335215577657,0.0848081354679449,0.1709373681013091,0.035372848038833,0.0008685264735712,0.0700927628185919,0.0663011346269113,0.0541640793975296,0.0377622541413755,0.1307483707637768,0.0496873857369238,0.0011571844899627
4,0.2073922652467655,0.1844693983517211,0.1741738841412804,0.1880935100099555,0.117479257251856,0.0445887395485889,0.058081201182141,0.000887123699578,0.1977192690582418,0.1350740318148331,0.0887655663849369,0.1329095759540361,0.0818062917870703,0.0467658948308517,0.0567552771133494,0.0723484872380466,0.0493184906416506,0.0342792175591683,0.1460004568316102,0.097394268647847,0.0005147915616702
6,0.2451689551643091,0.1946383677341152,0.155893811943544,0.2371932250027873,0.1439477570647526,0.0471627166639198,0.0558781522438185,0.0184970159725937,0.18989578899854,0.1306298285642291,0.0941108156175324,0.1203747365257012,0.0819593894686265,0.0478792453240105,0.04957027275131,0.0692384429250905,0.0621370991713646,0.0355584575073837,0.1442440346073538,0.0984772725056508,0.0004531927092458
9,0.2513869055218657,0.1990369752900784,0.2007375873031225,0.2379171108723625,0.1588457443151988,0.054948708354094,0.0563756689698282,0.0327480046853057,0.2306230032644254,0.1390050626365691,0.1095135558701766,0.1305908891587118,0.0920887644250553,0.0529896150547724,0.0581665775012073,0.0696099065835273,0.0009416297927883,0.0404773536285811,0.1151065196571415,0.097771031706641,0.00051972505732
12,0.2758164841100924,0.2106950152317357,0.2037270646879576,0.1782002988481736,0.1703645538819854,0.0536250730376977,0.0571410535083111,0.0350138945927195,0.2209822257689153,0.1287715445614313,0.1124445463700725,0.1237715368157113,0.0825774805297007,0.001373342254652,0.0661674295471473,0.0685559323192704,0.0585428112542398,0.000811640238705,0.1486602517646475,0.0970647909076312,0.0033973724865617
14,0.2636418797506278,0.2337704265625963,0.2165440587978629,0.2313720180326565,0.2010827365144455,0.0512568789007525,0.0576934558662151,0.0372282439746602,0.1805535440070926,0.1545266269354968,0.1006700654684934,0.1177439321838664,0.0839405574269221,0.0696781967436292,0.0307036367232623,0.0763679351696117,0.0582272919724196,0.000695385559675,0.1258477335496108,0.0518051144697866,0.0145160759870939
17,0.169442956641918,0.1876448490153557,0.0010265408729328,0.2537853956625989,0.2206334875433739,0.0574127737692307,0.056206751991652,0.0479363156284745,0.1760306204062861,0.1442806219722951,0.1022782524838121,0.1262740706193231,0.0797896031124367,0.0687854941666226,0.0636552236425408,0.0742586830298467,0.0585954010447243,0.0006082053542297,0.1470563162220225,0.1055700465755288,0.000479931678038
19,0.0853908191134922,0.1366240031315548,0.2128703810300854,0.055725021084755,0.2834103400966149,0.063568668637709,0.0576573835715136,0.0444191346511701,0.1740047165489446,0.1470874333307182,0.092975364847192,0.1225759111392961,0.0418701752485282,0.0684413641497765,0.0672830508713077,0.0729154180454084,0.0581334195388117,0.0334916942241903,0.0366515913903607,0.1149845609383525,0.0003717824931626
22,0.0013386815850664,0.2102876589976844,0.2123488420275818,0.1052643387652037,0.1051234591116748,0.0640509671629393,0.057951413012744,0.0469740952272644,0.1703843063245695,0.0968210639491346,0.1087245836325529,0.1172839139036985,0.0912741514798698,0.0745048201836203,0.0670307640667861,0.0352138410571647,0.05834690405525,0.0364757782269312,0.1157710156436658,0.1020049658563775,0.0003333700586188
24,0.1518059799431951,0.096554968059315,0.2172933537710336,0.0941186674432814,0.2352614600943033,0.0014701074735135,0.0538307575528847,0.0459209941240516,0.1856058193591157,0.0007533938805042,0.104723222221485,0.108503274400156,0.1001290330765267,0.0701273178031868,0.0641984168729203,0.0761429924090095,0.0625700665701548,0.0359260929669258,0.0594984058021597,0.1012014149173742,0.000294957624075
27,0.2123774511131432,0.1588337084408153,0.2083872651936196,0.102625967373269,0.2759214837348332,0.0646439808673508,0.0616477411700663,0.0480988004973875,0.1790064148778038,0.1561197042589531,0.1129177794616449,0.1017857821959337,0.0867386703877761,0.0759529057690187,0.062154874749282,0.0786706699314181,0.0667783339061079,0.0376548936556221,0.1238541462656142,0.1199271581338129,0.0004823947123731
