Drug,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points
Amiodarone,23.422873545642148,49.99999999999999,11.039334561168555,1.1405730826586027,0.21749460913287605,1.7333066801710715,5.999999999999994,28.72061954678914,2.4251131224327964,2.8,0.7489054991116095,255
Bortezomib,9.729432485281674,49.999995382511145,23.12312868611316,0.07560721924910954,0.16962380114211636,0.8763391190124968,5.999999916848346,32.81188144160551,29.769985761771352,0.29,0.3196284874148255,296
Chlorpromazine,22.34014512739263,49.9999999995649,10.940041372277403,1.9999999999999998,0.21276054390340335,2.316828040463637,1.5743290143866842,14.283477682233631,4.503050915428147,2.5,0.7095165306534081,272
Cobimetinib,14.604152055638243,49.99999999999999,3.3016621685651895e-19,0.7826601663339574,1.9738582458205527,0.7891850568382037,0.13670854023569623,27.543381856029132,94.80933189781291,0.53,0.6172379792541298,296
Dactinomycin,23.955428729277248,49.99999999999995,2.753675547210188e-13,0.3641619025450662,1.9992717254783734,1.1752656835471589,0.10000001074053148,33.128950192355596,94.97369145860269,0.034,0.8426779028738728,272
Daunorubicin,8.862142432948337,49.99999999999999,4.942209018380457,1.9999999999999998,0.6804983485293054,1.1694670205304363,5.990305540006366,27.61031703950834,3.845061715122218,0.24,0.6792072197917625,259
Doxorubicin,14.045393439200623,49.9999999996767,10.138899034746087,1.999999999971505,0.01071015335236918,1.6414807718272701,4.502541504394046,27.523714310054896,5.214636847719909,0.13,0.6993954594711156,259
Epirubicin,17.96597055256123,49.99999999999999,6.522194437240195e-15,1.5867523050246222,1.9999907984898049,1.0630418026510158,0.10076223292486139,31.57976432832462,93.0797164786404,0.45,0.6806239628110878,296
Erlotinib,16.880613639522853,49.99999999999999,12.494803392818284,1.9969285163159345,1.4244174933468976,1.01603725285159,5.999999999999999,24.988304899304232,3.2344408038915566,0.65,0.6661287634602977,296
Etomoxir,24.999999999371248,49.99999999999999,27.677504437203265,1.9999999998981737,1.7997630354658996,0.7921234751690839,5.99999991588472,15.85086448663573,5.066698413764388,0.1,0.36206674946105943,272
Gemcitibine,24.999999999999996,49.99999999999999,21.111303417946743,0.458159387254325,0.13263224995008277,1.6327871995778045,5.999998854151783,15.928917044292636,3.506456947152136,20.0,0.3338693881607918,264
Ibrutinib,21.007029894275384,49.99999999999999,18.53854946995865,1.9999999999642633,1.06684313275723,0.774979680151385,3.483864100637665,21.44917224083607,4.9438926799761935,0.53,0.44909000920116837,296
Ibuprofen,24.999999999999996,45.86547297490599,36.02350368133625,1.9999999999999998,1.9999999999999998,0.3466488887774688,5.999999999999999,0.10000000000000002,95.99999999999999,150.0,0.1421947317929323,648
Isoproterenol,19.179244850828415,49.9999995747453,48.249506302442605,1.999999900011264,1.9999999999862454,3.9208229358318847,1.5536792795882612,12.314965998650893,5.728383826566875,0.013,0.17049878538716678,238
Mexiletine,23.325276875777018,49.999965538687206,30.06842983535422,1.0884363707279738,0.9797869332356629,2.351592309523438,5.999999999999999,11.45105302324441,6.450713495191006,3.6,0.42158932683092876,272
Nifedipine,17.223328108930477,49.99999999825457,22.00055584406617,1.9999999999608196,0.6661111329497449,1.103889448624276,3.144998929011973,13.438613528597548,6.492871767553627,0.39,0.46835280923236566,272
Panobinostat,15.50438346484044,49.99999999999918,21.572823387584087,0.17594789798204732,0.26271076066619903,1.3686434733127766,5.999999999999999,52.084885776287116,14.846610410535149,0.063,0.3299433493308681,259
Plicamycin,17.32399725099386,49.99999999999999,6.878021728277516,1.9999999999915088,0.9566315381850984,0.7681516402024867,5.999279907901551,37.88589784348823,2.94948793732614,0.15,0.5693620463126383,272
Rosiglitazone,24.999999999999996,49.99999979125364,23.60130128181426,1.2016491937844438,1.9999999999999998,0.50318279872707,1.0742345423096815,0.5992346521491102,0.49440383816484584,0.85,0.18399049631296216,612
Sotalol,24.9999999999995,49.99999999999985,23.187670595633538,0.7142471401310088,0.20429411679171922,0.8506950545827142,3.5516825195136406,13.032542231827868,5.868446825899412,3.2,0.5061472305498874,272
Sunitinib,23.060564785437553,49.99999999999999,17.65081081246728,1.7014839710794576,0.8629973461441071,5.995733662118187,5.999999999999999,44.49072231418607,5.433867347612282,0.15,0.5530167393787717,296
Vandetanib,7.210337899303062,49.99999999999999,0.7246953658121151,0.1176399839948854,1.9999999999999998,0.5753380504213382,5.9999999999999885,26.1310595078752,95.9999999999845,1.2,0.4631489363400465,296
Vincristine,23.709619328481967,49.99999999999999,29.17046799957355,1.9999999999999998,0.0100020480276383,0.26163243317665086,5.999988261854237,15.423755488126387,5.912267553679615,0.063,0.1328232891630171,263
Vioxx,24.999999999999662,11.552527123755192,21.928439490381297,0.04183757772661841,1.5751664143175594,3.6727267116149247,5.999999999999999,2.190925943602439,95.99999999999997,0.66,0.34608700483893395,588
Vorinostat,18.249581414980906,49.999999998859145,16.610416476036512,0.11462542743230233,0.056070091308296086,0.8430258305706655,5.999998496752624,39.44105492472086,6.94112586342958,1.5,0.49954459785898975,296
