Drug,R0,E_stim,E_inhib,EC50_stim_norm,IC50_norm,n1,n2,tau_stim,tau_inhib,Cmax_used,R2,N_points
Amiodarone,20.391430498374866,49.999999999802796,6.813691089850875e-16,1.757642580658962,1.9837686215925194,2.450992764589821,5.970647407407415,39.170811347002505,95.99999763384795,2.8,0.7111636206369059,255
Bortezomib,9.730147101075774,49.999999740583526,23.123948444265675,0.07562931573532414,0.16963087558852358,0.8764792850047157,5.999999999999973,32.8071394919112,29.75954753903779,0.29,0.31962849186150355,296
Chlorpromazine,19.04793712923111,49.999999997778644,11.565969510132218,1.9999999999999982,1.2214070923177123,3.378556663125013,5.999995676389719,11.940235546032046,5.648644722094764,2.5,0.7223725212198441,272
Cobimetinib,19.691901997200624,49.99999999999999,12.225172298197371,0.6070736789349617,0.2685688458784322,1.2137598077643357,5.999999929172001,22.021603552685193,2.151375584937351,0.53,0.6551711483212155,296
Dactinomycin,23.95533766466889,49.99999999984291,4.19780506949989e-11,0.364159338681245,1.9998150569359219,1.1752559446958732,0.10000017116327312,33.1287261525285,95.99993738043814,0.034,0.8426779028596427,272
Daunorubicin,5.399306442476066,49.999999999988816,1.2144328273256538e-08,1.9999999999999922,0.34631626738370735,1.0934161444869719,5.7039624605119075,29.498328185956368,88.00314629372781,0.24,0.6747076003847806,259
Doxorubicin,14.045530433599026,49.999999999991594,10.138907754436433,1.9999999999999996,0.03206700405605063,1.6414737197681832,5.94986253910191,27.523912131130153,5.214334420171403,0.13,0.6993954595092693,259
Epirubicin,17.966277749601048,49.99999999999999,6.952210498728752e-18,1.5868234195621826,1.9997695829879596,1.063071445319374,0.10000058127570587,31.580096743950314,95.99999773810178,0.45,0.6806239631152414,296
Erlotinib,16.866341687253023,49.99999999999999,12.49474135064393,1.9921997037182642,1.4240380511778734,1.015892455187864,5.999999999999999,24.986722823713045,3.2390143437385968,0.65,0.6661266809824391,296
Etomoxir,24.9999999995911,49.9999999998586,27.677139549989906,1.999999999999904,1.799752939882169,0.7920912500130541,5.999999999999988,15.85088875749336,5.066374502356317,0.1,0.36206674992896737,272
Gemcitibine,24.999999999999996,49.99999999999999,21.108000975089322,0.45824164520713706,0.13263282545302144,1.6327862625862688,5.999858883361093,15.930966687867937,3.505828677107895,20.0,0.3338693841377821,264
Ibrutinib,21.006143299527732,49.99999999999999,18.53682838450683,1.999999391013013,1.0668169217185195,0.7749094106832797,3.484184741532469,21.449362320234396,4.944083319184241,0.53,0.449090005721995,296
Ibuprofen,24.999999999999996,49.999999999344425,53.86561482058227,0.10299037978434658,0.010000000000024694,0.21206918118712068,0.10000000000153385,3.2543998386903477,95.99999999999997,150.0,0.33256054950211644,648
Isoproterenol,19.179171896880558,49.99999989666146,48.248964462776904,1.9999981540072092,1.999999999999647,3.9234049442182832,1.553897675757918,12.314998180863897,5.7284602731544805,0.013,0.17049878349864955,238
Mexiletine,23.32545121547818,49.99996478229164,30.068006596496485,1.0884495224407018,0.9796988701965217,2.3515726170493605,5.999999999999999,11.45064786429565,6.450471235911048,3.6,0.4215893260446435,272
Nifedipine,17.223342202206638,49.99999996679278,21.999715228747693,1.999999999828495,0.6660128980928737,1.103767054346637,3.145107786178263,13.43843365526612,6.492635694045186,0.39,0.4683528100170333,272
Panobinostat,15.50361797273104,49.99999970858007,21.570889607345915,0.17592960487450773,0.26270797097367815,1.3685194672918088,5.999999982240689,52.089185731813146,14.848523461379614,0.063,0.3299433491905468,259
Plicamycin,17.328977145003144,49.99999999999999,6.88438990590872,1.9999999999999998,0.9563866114143108,0.7681566565606878,5.999976679933755,37.88132658142009,2.9492408635028324,0.15,0.5693621003095838,272
Rosiglitazone,24.999999999999996,32.48675317181485,2.188150237993079e-19,1.9999999878452823,0.016198822736657403,0.16953174889478206,5.56393610366196,0.7226749809579108,25.380983426773184,0.85,0.15746976080279318,612
Sotalol,24.999999999954337,49.99999999999921,23.187874278077285,0.7142382523126074,0.20429370492881732,0.8506953002489485,3.551542249670421,13.032125694938758,5.868033830847343,3.2,0.5061472306988388,272
Sunitinib,23.060475161684607,49.99999999999999,17.65471668378552,1.7014276471839644,0.8630334627340516,5.9951720347207615,5.999999999999999,44.48043647588652,5.437075375968145,0.15,0.5530166644950401,296
Vandetanib,7.207840821784069,49.99999999999999,0.7207523688913556,0.11759464249721538,1.9999999999999998,0.5752459176496199,5.999999999999999,26.127406676542225,95.99993513859228,1.2,0.46314893600568263,296
Vincristine,21.145441213690773,49.999999999858815,42.76220769166858,1.9999999999999283,1.2947606085686194,5.999999999999999,1.9897675461211177,14.973079017205405,8.481474704248232,0.063,0.15431811931552197,263
Vioxx,24.999999999999996,11.55259375770662,21.92851166154051,0.04183765713248195,1.5751460977633607,3.6724170922065102,5.999999999999999,2.1910139007506833,95.99999999999999,0.66,0.34608700472806975,588
Vorinostat,18.25070023090437,49.99999998095116,16.61337931448498,0.11461303422982813,0.056069815336062596,0.8431225300915212,5.999998264714538,39.43886157038014,6.940981561367258,1.5,0.49954459696914544,296
