Drug,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points
Amiodarone,15.667485254571346,99.9999999999985,24.325589116831694,1.2443278223478274,0.2210988305220622,0.7818244422900247,5.999999999997643,25.693607337660854,10.041963023077509,2.8,0.8144497232471332,255
Bortezomib,9.477617655106075,99.99999999974473,73.90255230857127,0.11395483964387747,0.14969222396525392,1.8067485681100108,4.600291305848368,39.646204366432244,40.65596713054693,0.29,0.32614714068115824,296
Chlorpromazine,18.409473295265318,99.99999642722565,50.57451350493287,1.9999999999999998,1.3776938292266037,2.7833477606679007,5.347210310495367,12.247595437573766,8.897609043570313,2.5,0.7797639912606656,272
Cobimetinib,7.597761893264363,99.99999999965317,44.507169133841096,0.31597717850367313,0.2500064833043295,1.055772523798536,5.999999999999709,16.880437551920913,10.042141843463499,0.53,0.7439252185965514,296
Dactinomycin,14.157658159727765,99.99999998152882,32.20657007889588,0.4924666755396991,1.9999999985874937,0.6699462388896322,1.1495114481214108,43.099957311571686,95.99999999951646,0.034,0.9176060956262044,272
Daunorubicin,9.993760061340867,99.99999965777783,37.93231033018634,1.9999999989988948,0.7093916352487114,0.8657081230675099,2.0633334196375337,24.145118353137796,9.154693639428203,0.24,0.8096016715688146,259
Doxorubicin,14.586083342418137,99.9999999999969,36.37405052907907,1.999999999999999,0.013136790752427213,0.6522615715200675,5.9603802571277,29.69228316291832,14.706259828659617,0.13,0.7952912162317443,259
Epirubicin,16.052273173620634,99.99999999999862,28.324966077331897,1.9999999997848745,1.01526240871993,0.8366568395523694,1.5924095621439172,26.115488401763965,5.494094090656609,0.45,0.7857259175230972,296
Erlotinib,8.481862933598652,99.99999999999999,38.68825144669555,1.9999999999999998,1.5704504596283826,0.9130798700881159,5.999999999999999,22.78230014624964,11.584145098428342,0.65,0.8116845358168074,296
Etomoxir,24.999999999999996,99.99999999999999,77.12518279850863,1.191483631940497,1.4943239572733062,0.919936377274891,3.115822460821524,12.028749688509508,7.220798874811641,0.1,0.38048699193332836,272
Gemcitibine,22.351188970844483,99.99999988110474,45.616049426925045,0.4515376542931269,0.11563663511164256,0.8956312411875427,2.3494573371893046,14.320235473466125,6.851599893274259,20.0,0.36054340484296066,264
Ibrutinib,16.295121294878218,99.99999999887629,49.88329522622924,1.999999999991473,1.0972207918426349,0.7416611973707159,2.044086817733234,17.17221589100638,9.752163841506984,0.53,0.5424993216008462,296
Ibuprofen,24.999999999999996,99.99999835278734,60.248145733981495,0.07326778122509849,0.010000000000000002,0.3784430312622786,0.7773356965311513,8.502742371285969,24.387022183414153,150.0,0.42282343785609655,648
Isoproterenol,19.187695550226334,99.99999999899686,98.25867142083816,1.9999999999886933,1.9999999999999998,2.8110342694497015,1.8598416840391812,10.282440828775954,7.016870527039515,0.013,0.17433891677251567,238
Mexiletine,22.74981828499109,99.99990856879948,78.30152623600621,1.0321812673600117,0.9843883262606176,3.1100106363321816,5.999999999999999,10.713979652831261,8.377506579272197,3.6,0.5004553545855324,272
Nifedipine,17.755474804794364,99.99999999781357,58.127540436720075,1.99999999999986,0.6256926787791801,0.7962218923794326,1.3916337232492941,12.05705110334533,8.145579253755153,0.39,0.5282335379586263,272
Panobinostat,13.929766087752094,99.99997211801738,14.775974440634394,0.970280149206813,0.28520713172487105,0.3409420586858697,5.999999999999999,95.99982053529224,18.54540307110466,0.063,0.33833233603272306,259
Plicamycin,18.34265442082792,99.99999992078155,36.66509403808599,1.9999999995286224,0.7103678768008159,0.5115249898220533,1.6093610577354092,33.52049115933879,10.066685943567977,0.15,0.6883046527964535,272
Rosiglitazone,24.999999999999996,32.486756496052216,1.0968778315476198e-20,1.999999999999753,0.5084975407197186,0.16953172949285178,4.683965789644088,0.7226819669537599,95.99981952844334,0.85,0.1574697607969957,612
Sotalol,24.999999999999996,99.99999998775428,81.99816751544839,0.7183223382577347,0.615789138447556,5.999999999999999,5.999999999999999,9.711845304425964,7.846759725017501,3.2,0.5125090155882803,272
Sunitinib,16.736138702344252,99.99999976023521,38.66559287338106,1.1229217409620473,0.3912820445504956,0.7550525161167426,2.427322266411085,36.81296584329272,14.869964188513977,0.15,0.6148242327847081,296
Vandetanib,7.115213761426535,99.99999999404045,34.215147335576404,1.3475253954777877,1.9204176075843244,0.48124056490913303,5.999999999877931,30.546667525138208,95.99999876702854,1.2,0.5166716913999412,296
Vincristine,20.540660093084536,99.99999999998586,92.26168813165785,1.9999999946306406,1.80078211199107,5.999999999999999,3.191608872239212,13.560483782294906,10.47599451446406,0.063,0.16032670767536317,263
Vioxx,24.999999999999996,11.552584660886616,21.928524618807952,0.0418383502397414,1.5751548124753771,3.6726079771465256,5.999999999999999,2.1909691757235845,95.99999999999999,0.66,0.34608700490301003,588
Vorinostat,13.968602311531761,99.99999993043835,27.63871509149812,1.069616347253784,0.6912246359105028,0.8596454463427537,5.521581398257182,44.51708487890343,14.415846704636913,1.5,0.5713067079092775,296
