Drug,R0,A1,A2,muC1,muT1,sigC1,sigT1,rho1,muC2,muT2,sigC2,sigT2,rho2,Cmax_used,R2,N_points
Amiodarone,0.015479506387920068,0.09292367979237887,0.39999999999916547,3.2473361385145254e-35,43.181148215585466,0.35139682484832957,95.99999999999999,-0.5684826041004156,1.380337290162339,48.10267499409057,0.23681709685368676,95.99999999999999,-0.17232921066095394,2.8,0.8496281030015808,255
Bortezomib,0.08924163092449104,0.05484457511172819,0.09039609135357178,1.0553690681447312,0.00022084870420813841,1.1977668883741337,19.96746015379681,-0.8404561873707387,1.7963680996379088,1.658760105088312e-05,0.5700650434843558,23.766296540936388,0.6536844123306057,0.29,0.31415744024681513,296
Chlorpromazine,0.07513911355532965,0.14364934507833432,0.39999999999999997,0.07152904389237198,4.088064459001422e-06,0.019923913420873213,95.99999999766209,-0.5987061353301938,1.4671660253689511,5.236378890699402,0.24381065575897856,41.22939719949434,-0.026749787377788478,2.5,0.8511957925964954,272
Cobimetinib,0.06188943785711447,0.10416709004007443,0.12757621748677886,0.5018237522818789,9.13725479627927,0.04241319087727843,95.99999999999999,-0.0010779152222999383,1.7240610252410102,95.99764310286444,0.09108996066670381,95.99999999995788,0.09262604659821426,0.53,0.5974210516662508,296
Dactinomycin,0.07458951765386247,0.048339066084937606,0.06901636294076594,0.5865822052548751,0.000454870908083969,0.17567590075834183,39.84087426709919,0.16274964906811562,1.8952355747647223,41.67949968403634,0.04416050936483512,4.895168228800257,0.10453274284933388,0.034,0.08691498042622492,272
Daunorubicin,0.15630700804379774,0.0006756050661638627,0.003404966272206284,0.020534657330881334,24.445439943756366,0.024437696516315555,0.17896560314458299,-0.8736825275416069,0.25497349145997616,22.157208926100417,0.02777080985968612,0.38174594170532705,0.8601623584682385,0.24,0.0,259
Doxorubicin,0.12716551839340473,0.09707141583028622,0.09997763997817706,0.6210132629797226,13.833491391994379,0.3214348793471271,6.231118382475963,-0.58521071392599,0.7929924641135684,46.39789702291035,0.013259128553992527,9.01446539525734,0.17621911483188085,0.13,0.0009324087291989747,259
Epirubicin,0.10351704868447971,0.1939245004484134,0.15720449014163818,0.4970553019981372,95.99616678323322,0.04446991645890019,95.03137365412067,-0.40598640174922035,1.6471736964105563,59.511760121171605,0.059702245526413955,0.01903691859818757,-0.8702378469794078,0.45,0.02163782526176594,296
Erlotinib,0.07098462671607168,0.3999999577067685,0.037413454340669505,0.5340433707084492,1.5129717870275263e-35,0.0261054472379902,95.99999999999999,0.20413825955786577,1.7642983575196876,41.57984600581884,0.10411498917400631,45.34482034150893,-0.029834581067945485,0.65,0.17824738393387973,296
Etomoxir,0.05718338684695108,0.19979051615041687,0.22409184973631333,1.071635891990968,21.328612213657518,0.3596855836983706,70.55337823510781,-0.22980770222640245,1.2692887273724134,82.02625983757916,0.17978162424927283,9.965209548077508,0.8557650138584122,0.1,0.353429564290219,272
Gemcitibine,0.07164138237132947,0.0642104781374066,0.23506313419590738,0.5509113290522001,19.787491651129066,0.2216647366855042,29.80118884812216,0.3310126164013902,1.917615438186565,91.80057775808143,0.1487602764099596,5.3246688787092005,-0.7748965418199116,20.0,0.2516959188035909,264
Ibrutinib,0.10256580589061984,0.06622185139988823,0.1110207814760984,0.1743406263150535,21.918929486875296,0.054413536178284434,53.40641877814955,0.7888395842386206,1.8378585132697267,26.04479938154489,0.17228430653542345,57.16419963743933,0.6702523970339438,0.53,0.5587490294851651,296
Ibuprofen,0.004528054262739682,0.11530783493581372,0.22846633838343358,1.8133634933081546,16.487350104177825,0.17821495307563273,4.911753244769003,0.8430305902899597,1.010152474186985,50.96173054945755,0.11601512971983885,17.978201359221057,0.3178027284532648,150.0,0.12561467287721384,648
Isoproterenol,0.0919506213105111,0.024,0.036,0.5,24.0,0.3,12.0,0.0,1.5,48.0,0.3,12.0,0.0,0.013,0.0,238
Mexiletine,0.0832020491041169,0.39999999999983077,0.08862353881288536,0.5379935440489233,41.17059608964498,0.08419861538949426,95.99999997247507,0.0963132633598333,1.3809395431543823,33.515159623689634,0.1185842689746796,44.22832219305469,-0.6914501088426601,3.6,0.3655208865541042,272
Nifedipine,0.06044073561840254,0.39999999999999997,0.12543533504875592,0.45434151852227417,43.143991533550874,0.07286892853846058,53.04999006712466,0.3021854956078005,1.8322051776338477,46.50556952727199,0.48604580849519585,29.3174478708852,-0.899999999999994,0.39,0.687598204057436,272
Panobinostat,0.11088395878090886,0.39999999999999997,0.3999999911544678,0.7644184461508713,1.1887784815270473e-10,0.12514739813286804,84.36846830444766,-0.5239344569468373,1.345584661830856,95.99999999999999,0.2612108915899902,50.878416948140774,-0.7514024776272127,0.063,0.1674616173358563,259
Plicamycin,0.06514288607885343,0.08680449483437382,0.09455128231791189,0.3016442144543112,2.075695969322159,0.1296506182821567,75.89913228075314,-0.7911205038229532,1.9914284206419834,37.88871071382899,0.1507235217901945,16.503172177273456,-0.5122580709279649,0.15,0.14554535672799096,272
Rosiglitazone,0.0030526797331170883,0.004127104603630734,0.045900545776353746,1.9999999999999998,2.1921393077084653e-17,1.9999999999999998,12.797741149227662,0.5058690740241644,1.4132172741326847,0.007678724266934162,0.1554246220794191,95.99308927856255,0.3430847359124961,0.85,0.5408582472100947,612
Sotalol,0.08286740744921027,0.04545757689392904,0.08597657917126621,0.38575354240001647,0.8363872679704769,0.19244555788222337,32.0733104436209,-0.15114341843093335,1.5972651224464032,25.2483977185974,0.11869588551449752,62.965975245793054,0.07999524234992184,3.2,0.7409145286513112,272
Sunitinib,0.03308012537488694,0.0862108918811291,0.39999999999999547,0.040861530653558034,20.153073701074835,0.18152795973214944,90.81885585898111,-0.08793138326884092,1.2480480506418508,29.229763264774476,0.22668916780039705,95.99999999999999,0.041815358164087484,0.15,0.8772354250911162,296
Vandetanib,0.1024192357314391,0.037650337101598604,0.3999999992590467,1.9999999999999998,15.131493209976291,1.9999999999999998,13.187303109501347,-0.45678037294380675,1.2139816303579472,95.99999999999999,0.20739778527247918,95.94681934146047,0.3699348890866893,1.2,0.4218000956445861,296
Vincristine,0.07859310180050064,0.21328688217958638,0.020748009326172465,1.0154889997209966,8.833677917037415,0.48921887630115385,0.7761958106783758,-0.4050747603038082,1.223525783240602,19.089729028786373,0.328141954203904,2.921500276138357,-0.5141684996403231,0.063,0.0004163261350157432,263
Vioxx,0.0034529189168330723,0.0029014722263243434,0.034182351546031844,1.6340781499492345,16.826684915950306,1.9999999999999998,44.1167019495766,0.8781418408875883,1.6225436947639003,66.75750200415294,0.13149957242738278,54.00933552834052,0.7228305534284428,0.66,0.1227446939726976,588
Vorinostat,0.01822177114231203,0.058352115929363874,0.05062061389640302,0.26906225677640105,33.51256394037851,0.1979193481155178,95.99999999999999,-0.5633417720453644,1.8546181063998168,2.0882671163750372e-35,1.999999999999999,88.42188434639473,0.4293800630961177,1.5,0.8037664714291188,296
