Target,Model,N_Folds,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,F1_Mean,F1_Std,MCC_Mean,MCC_Std
Arrhythmia,RandomForest,5,0.736,0.04800000000000001,0.8022727272727274,0.038919079136890564,0.7720004884910334,0.031240237800578077,0.46340354333499567,0.10251020439139899
heart_damage,GaussianNB,5,0.812,0.025612496949731372,0.8285,0.02133658829335185,0.8859384706803878,0.01677577284401317,0.36392027258791615,0.08136052894420451
Concern_Binary,GaussianNB,5,0.74,0.051380930314660525,0.8766666666666667,0.0637529955723215,0.7985247398079467,0.04019483219779777,0.44791895677144594,0.11531157719329094
