mean_fpr,mean_tpr,std_tpr,auc_mean,auc_std
0.0,0.0,0.0,0.8285,0.02133658829335185
0.010101010101010102,0.7318181818181818,0.03327435860413052,0.8285,0.02133658829335185
0.020202020202020204,0.7336363636363636,0.0333854810946867,0.8285,0.02133658829335185
0.030303030303030304,0.7354545454545454,0.03349958540373632,0.8285,0.02133658829335185
0.04040404040404041,0.7372727272727273,0.03361664116790813,0.8285,0.02133658829335185
0.05050505050505051,0.7390909090909092,0.03373661766527142,0.8285,0.02133658829335185
0.06060606060606061,0.7409090909090909,0.03385948384817237,0.8285,0.02133658829335185
0.07070707070707072,0.7427272727272728,0.03398520837552306,0.8285,0.02133658829335185
0.08080808080808081,0.7445454545454546,0.034113759644488484,0.8285,0.02133658829335185
0.09090909090909091,0.7463636363636365,0.03424510582152248,0.8285,0.02133658829335185
0.10101010101010102,0.7481818181818182,0.03437921487270686,0.8285,0.02133658829335185
0.11111111111111112,0.75,0.0345160545933535,0.8285,0.02133658829335185
0.12121212121212122,0.7518181818181818,0.0346555926368328,0.8285,0.02133658829335185
0.13131313131313133,0.7536363636363638,0.03479779654259703,0.8285,0.02133658829335185
0.14141414141414144,0.7554545454545455,0.03494263376336976,0.8285,0.02133658829335185
0.15151515151515152,0.7572727272727272,0.035090071691478944,0.8285,0.02133658829335185
0.16161616161616163,0.7590909090909091,0.035240077684312886,0.8285,0.02133658829335185
0.17171717171717174,0.760909090909091,0.035392619088883755,0.8285,0.02133658829335185
0.18181818181818182,0.7627272727272726,0.03554766326548573,0.8285,0.02133658829335185
0.19191919191919193,0.7645454545454545,0.03570517761043969,0.8285,0.02133658829335185
0.20202020202020204,0.7663636363636364,0.035865129577918084,0.8285,0.02133658829335185
0.21212121212121213,0.7681818181818181,0.036027486700848245,0.8285,0.02133658829335185
0.22222222222222224,0.7699999999999999,0.03619221661089407,0.8285,0.02133658829335185
0.23232323232323235,0.771818181818182,0.03635928705751924,0.8285,0.02133658829335185
0.24242424242424243,0.7736363636363637,0.03652866592613853,0.8285,0.02133658829335185
0.25252525252525254,0.7754545454545454,0.03670032125536386,0.8285,0.02133658829335185
0.26262626262626265,0.7772727272727272,0.03687422125335705,0.8285,0.02133658829335185
0.27272727272727276,0.7790909090909092,0.0370503343132997,0.8285,0.02133658829335185
0.2828282828282829,0.780909090909091,0.03722862902799608,0.8285,0.02133658829335185
0.29292929292929293,0.7827272727272726,0.037409074203622904,0.8285,0.02133658829335185
0.30303030303030304,0.7845454545454544,0.03759163887264444,0.8285,0.02133658829335185
0.31313131313131315,0.7863636363636364,0.037776292305910494,0.8285,0.02133658829335185
0.32323232323232326,0.7881818181818182,0.03796300402395746,0.8285,0.02133658829335185
0.33333333333333337,0.79,0.038151743807532015,0.8285,0.02133658829335185
0.3434343434343435,0.7918181818181819,0.03834248170736003,0.8285,0.02133658829335185
0.3535353535353536,0.7936363636363637,0.03853518805318135,0.8285,0.02133658829335185
0.36363636363636365,0.7954545454545453,0.03872983346207415,0.8285,0.02133658829335185
0.37373737373737376,0.7972727272727271,0.03892638884609106,0.8285,0.02133658829335185
0.38383838383838387,0.7990909090909092,0.039124825419230944,0.8285,0.02133658829335185
0.393939393939394,0.800909090909091,0.039325114703769745,0.8285,0.02133658829335185
0.4040404040404041,0.8027272727272727,0.03952722853597414,0.8285,0.02133658829335185
0.4141414141414142,0.8045454545454545,0.03973113907122154,0.8285,0.02133658829335185
0.42424242424242425,0.8063636363636364,0.03993681878855013,0.8285,0.02133658829335185
