mean_fpr,mean_tpr,std_tpr,auc_mean,auc_std
0.0,0.0,0.0,0.8022727272727274,0.038919079136890564
0.010101010101010102,0.6405723905723906,0.10557123485329994,0.8022727272727274,0.038919079136890564
0.020202020202020204,0.6411447811447811,0.10489799427498984,0.8022727272727274,0.038919079136890564
0.030303030303030304,0.6417171717171717,0.10422955249009017,0.8022727272727274,0.038919079136890564
0.04040404040404041,0.6422895622895621,0.10356600241660671,0.8022727272727274,0.038919079136890564
0.05050505050505051,0.6428619528619528,0.10290743868026345,0.8022727272727274,0.038919079136890564
0.06060606060606061,0.6434343434343434,0.10225395762419784,0.8022727272727274,0.038919079136890564
0.07070707070707072,0.6440067340067339,0.10160565731687274,0.8022727272727274,0.038919079136890564
0.08080808080808081,0.6445791245791246,0.10096263755805794,0.8022727272727274,0.038919079136890564
0.09090909090909091,0.6451515151515151,0.10032499988272733,0.8022727272727274,0.038919079136890564
0.10101010101010102,0.6457239057239057,0.09969284756271221,0.8022727272727274,0.038919079136890564
0.11111111111111112,0.6462962962962961,0.09906628560594455,0.8022727272727274,0.038919079136890564
0.12121212121212122,0.6468686868686868,0.09844542075311805,0.8022727272727274,0.038919079136890564
0.13131313131313133,0.6474410774410774,0.09783036147158908,0.8022727272727274,0.038919079136890564
0.14141414141414144,0.6480134680134679,0.09722121794633407,0.8022727272727274,0.038919079136890564
0.15151515151515152,0.6485858585858585,0.09661810206777435,0.8022727272727274,0.038919079136890564
0.16161616161616163,0.6491582491582492,0.09602112741627543,0.8022727272727274,0.038919079136890564
0.17171717171717174,0.6497306397306397,0.09543040924312232,0.8022727272727274,0.038919079136890564
0.18181818181818182,0.6503030303030302,0.0948460644477697,0.8022727272727274,0.038919079136890564
0.19191919191919193,0.6508754208754207,0.094268211551162,0.8022727272727274,0.038919079136890564
0.20202020202020204,0.6514478114478115,0.0936969706649166,0.8022727272727274,0.038919079136890564
0.21212121212121213,0.6520202020202019,0.09313246345616187,0.8022727272727274,0.038919079136890564
0.22222222222222224,0.6525925925925925,0.09257481310782038,0.8022727272727274,0.038919079136890564
0.23232323232323235,0.6531649831649831,0.09202414427412998,0.8022727272727274,0.038919079136890564
0.24242424242424243,0.6537373737373737,0.09148058303119506,0.8022727272727274,0.038919079136890564
0.25252525252525254,0.6543097643097642,0.09094425682236525,0.8022727272727274,0.038919079136890564
0.26262626262626265,0.6548821548821547,0.09041529439824186,0.8022727272727274,0.038919079136890564
0.27272727272727276,0.6554545454545455,0.0898938257511195,0.8022727272727274,0.038919079136890564
0.2828282828282829,0.656026936026936,0.08937998204367682,0.8022727272727274,0.038919079136890564
0.29292929292929293,0.6565993265993265,0.08887389553174102,0.8022727272727274,0.038919079136890564
0.30303030303030304,0.6571717171717171,0.08837569948096087,0.8022727272727274,0.038919079136890564
0.31313131313131315,0.6577441077441077,0.0878855280772373,0.8022727272727274,0.038919079136890564
0.32323232323232326,0.6583164983164982,0.08740351633077523,0.8022727272727274,0.038919079136890564
