Model,Accuracy,Precision,Recall,F1,MCC,AUROC
MoLFormer DIQT,0.6,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.20645590963700367,0.6883116883116883
Organoid PK-PD,1.0,1.0,1.0,1.0,1.0,1.0
