Model,Accuracy,ROC_AUC,AUC_Mean,AUC_Std,TP,FN,TN,FP,Sensitivity,Specificity
CNN (DIQT Transfer),0.56,0.5454545454545454,0.5435246572002169,0.1185472798131733,14,0,0,11,1.0,0.0
CNN (5-fold on 25),0.68,0.6558441558441559,0.6594560727912707,0.12183362319823961,11,3,6,5,0.7857142857142857,0.5454545454545454
Organoid (5-fold),0.736,0.8022727272727274,0.8022727272727274,0.04102431150297143,10,4,8,3,0.7142857142857143,0.7272727272727273
