Time,20.0.1,20.0,10.0,10.0.1,10.0.2,5.0.3,5.0.2,5.0.1,5.0,2.5.3,2.5.1,2.5,2.5.2,1.25.2,1.25.1,1.25.3,1.25,0.625.2,0.625,0.625.1,0.625.3,0.313.2,0.313.3,0.313.1,0.313,0.156.1,0.156
59,55.28929,34.17361,34.56479,41.71233,12.83056,25.80896,18.07857,11.74189,7.746269,39.02174,21.32083,10.56667,9.95,106.7538,25.73088,27.76164,35.39265,39.95417,44.4589,35.1375,10.44571,32.96471,40.72174,23.94627,19.58056,30.17027,15.06213
62,55.06629,34.57722,36.3027,41.13785,13.05342,24.78209,18.33425,73.72055,8.660294,39.89863,21.58056,71.21351,9.184507,27.3274,26.17467,27.03333,35.79452,42.49855,45.98472,36.08356,10.32329,28.55797,41.13768,23.56522,18.77671,114.3101,7.819718
64,54.84328,34.98082,36.15753,40.56337,12.49028,24.88676,19.13378,11.67534,8.837313,41.53333,21.66429,10.01081,9.088889,29.31471,26.75068,27.51806,35.14379,42.37286,46.17898,36.46622,10.68194,26.43472,39.12174,23.68406,18.24286,30.58,10.60811
67,45.21014,35.22917,36.25135,39.98889,12.39014,99.81159,19.7507,11.208,9.552239,40.92879,22.26216,9.561972,8.183562,27.83056,26.54444,27.69429,34.49306,42.44861,46.37324,35.43899,10.13239,26.35075,37.08261,25.06269,17.15205,30.6,14.4526
70,41.69853,35.98873,37.32817,39.16479,11.76528,96.10147,19.55556,11.02571,9.355882,39.975,21.30278,9.223611,8.333803,26.375,25.59155,28.49028,33.40278,42.2274,45.50556,34.41176,10.41644,26.52877,37.64118,26.65441,15.97361,30.39863,18.2971
72,36.04328,36.20822,38.99296,39.26479,10.77671,23.0,20.69028,11.01233,9.216667,39.34861,22.12083,9.015493,7.380822,103.27,25.29861,29.47808,31.80556,42.39718,41.54028,34.20278,10.55714,103.6319,36.525,26.31739,14.83194,29.71507,10.36712
75,36.19706,37.575,40.20833,39.78102,11.06667,22.48676,20.40571,12.875,9.226389,40.29577,21.30571,9.239437,7.080822,26.36081,24.53288,29.12639,30.8169,44.68235,35.70274,35.15634,10.10405,24.93562,39.53623,26.02899,14.21429,29.73467,10.91449
78,31.875,38.80563,40.52254,40.29726,11.32973,22.12319,20.68169,12.86571,7.938356,39.42838,21.35833,8.919444,7.194366,26.5169,24.70563,28.86027,30.29041,56.62667,25.62639,33.71644,72.46857,26.74722,38.23562,25.74058,12.45211,112.8486,9.763014
80,30.16176,39.40137,40.64648,41.24658,10.88904,21.44638,21.01781,12.8274,11.93333,41.1169,20.93889,7.6125,7.070423,25.78056,24.21892,29.32778,29.57639,56.89406,19.225,34.5087,9.425352,27.02162,35.99412,26.7942,12.29577,29.4875,8.34507
83,29.62817,40.76286,41.22537,42.19589,10.88493,20.98356,21.02466,13.61507,12.04493,41.52941,20.58667,6.631944,6.48169,26.46029,25.42958,29.73425,27.90423,57.16145,13.04324,33.63662,8.842254,27.76111,38.5,31.06567,11.00685,29.22113,8.00274
86,38.03333,41.32329,41.34348,42.3493,11.47867,21.33188,20.60141,13.73425,7.891781,42.43824,21.4863,6.584932,6.232877,25.38472,24.63699,29.89452,27.44932,57.42885,71.03562,32.66479,9.19,27.95652,36.23188,31.68824,8.99589,28.8493,8.141096
88,40.42239,42.08904,41.07647,42.66232,11.24795,20.86618,21.20274,14.15972,7.108219,41.20811,21.32817,6.190541,6.280556,25.12639,24.24167,29.10972,26.23239,57.69624,6.20411,32.61429,9.094521,25.79167,36.29275,33.53636,6.69589,27.96056,8.991781
91,33.38529,42.57361,40.06389,43.02537,11.58857,20.32286,20.30959,14.13239,6.997222,41.75797,20.71096,6.042466,6.39863,27.29054,23.92027,28.21268,104.8562,57.96364,5.206944,31.66429,9.366197,25.0973,38.05507,,6.512676,26.94189,71.63099
94,43.84286,42.60959,41.78333,41.36765,11.75972,20.54627,19.94722,14.15493,6.380882,41.17286,20.93611,5.934247,5.810959,26.17027,23.62192,28.95833,24.67397,,5.315068,30.79571,8.416438,24.37612,,,6.138571,25.83239,15.16986
