,8,8,4,4,4,4,2,2,2,2,1,1,1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.0623,0.0623,0.0623
0,1.4363234712818875,2.5270487855610746,1.4186220724614733,1.5129916839217714,4.158195309902376,2.188680753302828,1.692565112472711,1.5370540690774694,12.49037458442135,2.9988924896340583,3.0473564410056815,1.5466195277023758,1.3959924756871984,1.4234345380782543,2.4268006402770332,1.3042509047477067,5.569435613562029,1.387593135787697,1.9169366007102087,2.133497921321155,1.3089523155499445,1.8945354247792119,1.1559568792689738,1.6204959223742872,2.3247305534445752,2.7404357185610815,1.7743870139747748
3,1.485718172864083,2.7467480989684505,1.3088931141723115,1.5522160579290718,4.153189861803006,2.1136304493256515,2.674022415277397,1.5955737440908055,14.647602258204383,2.793079910109405,2.87193658180753,1.860219911098299,1.2010974312538423,1.5397186974284207,2.539949843430933,1.3369925916628762,4.947677197865426,1.4940649419824767,1.8498678259557195,2.2374527163999245,0.9626312076493948,1.7877159905055626,1.2606987537270828,1.4868342396978984,1.8423770298838213,2.5870651437382794,2.0371600044148037
14,1.5351128744462783,2.966447412375827,1.1991641558831496,1.5914404319363722,4.148184413703636,2.038580145348475,3.655479718082083,1.6540934191041416,16.804829931987417,2.5872673305847513,2.6965167226093785,2.1738202944942224,1.0062023868204861,1.6560028567785872,2.6530990465848325,1.3697342785780457,4.325918782168823,1.6005367481772568,1.7827990512012302,2.3414075114786943,1.0520854541418685,1.583380456179587,1.281201158255316,3.2595901001940804,1.900143619479298,2.641125351728525,2.299932994854833
16,1.7151087934926987,2.5715018502037323,1.3257791138616954,1.4890224899734992,3.073845008915218,2.199270960236422,2.5142780848485957,1.6814888850730025,15.435176441549224,3.071643271874181,1.5039357296251814,2.274692146499752,1.3199218279838214,1.8547405742607448,3.0892058108609284,1.4702172420219874,4.0133550972946495,1.405887551505707,1.641333559984315,2.2459293054369196,1.0205852673588434,1.945934212597782,1.481928659182712,1.5832746467997105,1.8356531417901385,3.1753887356975863,2.325990710558085
19,1.9368188152967925,2.9198152019899335,1.3577193474661904,1.391826548967225,3.540950306169057,2.4183453467472225,2.1541449845790765,1.779408748853252,10.877489623493952,2.716211086362652,1.391704603972559,2.392060712303464,1.5710183294759152,1.8658791488595488,3.134638812548109,2.6235969650477204,3.7007914124204753,1.5762420688484216,1.9569846019819284,1.9269695295287146,1.0008708481759125,3.798660546320211,1.1684575295995703,1.6256606352897611,1.9454528460522584,3.3718973162578907,2.232665846176742
22,1.6908567292568697,3.1189105052447443,1.486491686571632,1.2957501522083632,3.1075486291486167,2.493087469989841,1.9746678751949442,2.0236738261082743,9.506151147200352,2.6505676009486625,1.3490230031630532,2.377881930028926,1.725732136935134,6.2513275148547995,2.513814192823849,1.4497119011283903,3.8786849142125637,1.281391346426289,2.2591593261033793,2.201200513859035,2.2316505292063633,1.8235027729804232,1.2531601903893455,2.046997331406936,1.7861704648709946,2.2698158012310157,2.735633407612407
24,2.383968190167182,2.7617952636773833,1.4361101910975094,1.4555214247686037,4.528248409025962,2.200086479551157,1.68642624669457,1.6887063878826725,7.155754693562489,3.078147813829397,1.3092224065777471,2.283446846155506,2.0514910904425077,,3.103289372517082,1.3459147396794815,2.751344707267651,1.234386593239499,2.188800711356218,1.8267138696697507,1.1682559420648253,1.8674730216371112,1.3560044409287406,1.9732478212343882,1.7227040618246343,2.4499316296459455,3.994239882619863
27,1.8221232617817962,2.412963408345773,1.6794553162261556,1.596953180108753,3.024434988807342,2.359364768889299,1.6672945832588149,1.4655885922566194,6.40507294544641,3.0275007902571405,1.260958226688049,2.3083021464210103,1.8049484851943092,,2.5270806567980246,1.5318777330828797,4.319432586429923,1.4399397560437026,1.7075822494124173,2.05987954015369,1.0154591817973189,1.60626463323684,1.3677941072671735,2.0900478958720865,1.6756487677185035,2.70612863206263,3.0547725558152656
29,2.619339040856418,2.634012214149348,1.3145508048251136,1.4321860120848717,3.4942029914494874,2.3774563115443437,1.7205734239356743,1.8698346380091913,5.654391197330329,3.1286337246129663,1.2135999669059796,2.434397075998629,1.7795520659861446,,2.9527738212461547,1.2828345835213,4.692914914536956,1.3499797741433297,1.5954133274171327,2.293045210637629,1.1210656655980267,1.711100609784139,1.2599990418699052,3.246514304725101,1.7340419281120927,2.762007851292319,3.2854625969174185
