,9.6,9.6,9.6,9.6,4.8,4.8,4.8,4.8,2.4,2.4,2.4,1.2,1.2,1.2,1.2,0.6,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.15,0.15,0.15,0.15,0.075,0.075,0.075,0.075
0,108.58611111111112,,12.697014925373136,,6.39,5.6306666666666665,8.012857142857142,11.943835616438356,12.612328767123289,7.71232876712329,8.779710144927536,5.086301369863014,9.478378378378379,3.8905405405405404,7.889189189189189,2.2357142857142853,4.501351351351351,19.579729729729735,11.553521126760563,4.32,7.421621621621623,2.916216216216216,16.15072463768116,3.7226666666666657,3.014864864864865,6.737837837837838,6.8824324324324335,10.304166666666667,7.7041666666666675,27.774666666666665,33.204285714285724
4,35.69027777777777,83.19130434782609,34.26086956521739,35.30588235294118,15.347297297297297,24.02676056338028,25.488235294117647,31.895714285714277,106.90566037735849,25.3,13.308695652173913,11.579166666666667,12.447297297297297,8.020547945205479,18.43285714285714,8.36056338028169,7.51095890410959,26.972602739726028,10.657534246575343,6.379365079365079,18.41081081081081,11.006849315068491,27.582608695652176,5.276388888888889,2.6301369863013697,5.788888888888888,8.611428571428572,10.15068493150685,7.973611111111111,5.265217391304348,47.95
6,24.02933333333333,83.12352941176471,22.105797101449276,21.869014084507043,7.5478873239436615,10.387671232876711,16.492647058823533,20.075675675675672,23.624637681159424,80.98266666666666,12.017647058823528,66.05479452054793,9.614864864864865,5.319444444444445,16.576470588235292,14.58695652173913,5.228767123287671,25.90694444444445,8.656944444444443,5.324657534246574,19.006944444444443,7.601351351351352,25.787142857142857,4.485333333333334,2.1868421052631577,5.095945945945946,7.744444444444444,9.412676056338027,7.947945205479453,4.321739130434781,49.09420289855073
9,20.43108108108108,81.49850746268656,19.322388059701492,21.340579710144926,6.509589041095889,9.012162162162163,10.83235294117647,15.371621621621625,23.826086956521742,11.075,12.337681159420288,64.21643835616439,9.214473684210526,4.882432432432433,17.9955223880597,13.668571428571427,5.243243243243242,26.15342465753425,9.074647887323946,5.3676056338028175,22.28591549295774,8.120833333333334,25.985294117647058,4.1083333333333325,2.057534246575343,4.973611111111111,7.225675675675674,9.47972972972973,7.379999999999998,4.957971014492753,48.88507462686567
12,18.385135135135137,80.09130434782611,18.3,21.568055555555556,6.108571428571428,9.215277777777779,10.540298507462685,14.13150684931507,22.97313432835821,11.097222222222221,11.855072463768115,6.730985915492958,70.37702702702703,4.816666666666666,18.78857142857143,14.208823529411765,5.471232876712328,27.147945205479452,8.709722222222222,61.357142857142854,23.56027397260274,8.282432432432433,25.207462686567162,4.313698630136987,1.841666666666667,4.763888888888889,7.788157894736842,9.32638888888889,6.99054054054054,4.713235294117648,51.72753623188406
14,16.21351351351351,79.62028985507247,85.34927536231885,21.488405797101446,5.680000000000001,8.543835616438356,9.323188405797099,14.076712328767124,24.233823529411765,10.55810810810811,13.74927536231884,63.53243243243244,8.152054794520549,4.77945205479452,21.476811594202896,19.84428571428571,4.635616438356164,26.194366197183093,8.636619718309857,5.249315068493151,24.97638888888889,8.965753424657533,24.181159420289855,4.602702702702702,1.7958904109589044,4.359722222222222,8.006849315068493,8.808219178082192,7.206944444444444,4.091428571428572,50.24925373134329
17,12.648611111111112,79.5439393939394,14.97826086956522,23.77205882352941,5.986111111111111,8.865753424657536,8.780597014925373,15.5013698630137,27.45507246376812,10.525675675675675,14.231428571428571,6.523287671232876,8.01764705882353,4.812162162162163,23.982089552238804,16.169117647058826,4.901369863013699,25.96901408450704,8.582191780821915,5.105714285714285,25.855405405405406,9.919444444444444,26.53478260869565,4.390540540540541,1.9712328767123288,4.3780821917808215,8.516666666666667,8.972602739726028,8.69054054054054,4.515942028985507,50.26521739130435
19,10.515068493150686,80.92028985507247,14.49710144927536,24.952238805970147,6.05945945945946,9.629166666666666,9.575362318840577,17.604225352112678,26.976811594202896,11.704166666666667,15.620588235294118,7.570270270270268,8.287671232876713,5.671232876712328,27.169565217391305,16.065714285714286,60.137499999999996,24.642465753424656,8.223287671232876,4.8999999999999995,27.93972602739726,10.912500000000001,26.72028985507247,3.368493150684931,2.1684931506849314,4.158666666666666,8.554166666666667,9.76849315068493,9.780821917808218,5.748529411764706,47.25652173913042
22,11.240277777777777,80.53235294117647,14.261428571428572,27.177272727272726,6.1819444444444445,10.42191780821918,71.26376811594204,18.80945945945946,30.515384615384612,11.572972972972975,13.550724637681158,8.463888888888889,8.319444444444445,5.6219178082191785,108.87924528301886,17.240714285714283,4.646478873239436,99.26619718309858,67.95890410958904,4.969444444444445,29.15068493150685,11.754794520547945,27.314492753623185,3.0690140845070424,2.6291666666666664,4.968055555555556,9.292000000000002,9.864383561643834,11.32876712328767,20.49264705882353,46.463043478260865
24,12.798630136986302,79.39142857142856,15.353030303030303,31.366666666666664,6.367647058823529,12.06986301369863,11.243939393939392,22.504166666666666,,13.365753424657536,14.154285714285713,8.78888888888889,7.436111111111111,64.1191780821918,31.73623188405797,18.415714285714284,4.522554505112868,22.73561643835616,8.572972972972973,5.186486486486486,31.82083333333334,13.475342465753425,29.42089552238806,5.498630136986302,3.0694444444444446,4.515068493150684,10.133783783783786,10.841095890410958,13.819178082191781,26.359999999999996,45.66956521739131
27,12.393150684931506,80.04264705882352,14.62463768115942,33.54705882352942,6.289041095890411,13.126388888888888,14.329411764705881,24.71780821917808,,15.177027027027027,14.005882352941175,9.267567567567568,9.009722222222223,6.451351351351351,34.691176470588246,19.590714285714284,4.398630136986301,22.040277777777778,8.770833333333334,4.972,32.78767123287671,15.10277777777778,30.571014492753626,5.9671232876712335,3.6426666666666665,5.104054054054055,10.76986301369863,11.333783783783783,16.94027777777778,28.712191780821914,43.87391304347826
30,15.25,79.66666666666669,15.195588235294117,37.25223880597014,5.266666666666667,15.132876712328764,14.54861111111111,27.461643835616442,,17.36164383561644,14.13939393939394,10.093150684931507,7.276712328767123,7.131506849315069,36.27971014492754,20.76571428571428,4.16027397260274,22.279452054794522,9.23611111111111,5.078378378378377,34.22567567567568,16.593055555555555,32.92714285714286,7.758823529411765,4.864383561643836,5.051351351351351,11.183561643835615,11.390410958904111,20.598630136986298,31.064383561643833,44.973134328358206
