Time_h,8_mM,4_mM,2_mM,1_mM,0.5_mM,0.25_mM,0.125_mM,0.062_mM
0.0,13.708427716094146,13.708427716094146,13.708427716094146,13.708427716094146,13.708427716094146,13.708427716094146,13.708427716094146,13.708427716094146
0.0960960960960961,13.70843120617637,13.708435157093296,13.708427713907238,13.70843152578357,13.708428984764595,13.708427672905668,13.708428036299042,13.708430114350206
0.1921921921921922,13.70844619894026,13.708466611601228,13.708427900941977,13.708447414215366,13.708434479365645,13.708427680993553,13.70842934854069,13.708440133078737
0.2882882882882883,13.708479478161664,13.70853577688364,13.708428567591573,13.708482070434814,13.708446732781834,13.708427946837778,13.708432180259534,13.708462008220264
0.3843843843843844,13.708537827616418,13.708656350206244,13.708430004249234,13.708542183487191,13.708468277897703,13.708428676918318,13.708437058896008,13.708499975715323
0.4804804804804805,13.70862803108037,13.70884202883475,13.708432501308154,13.708634442417777,13.708501647597807,13.70843007771515,13.708444511890566,13.70855827150444
0.5765765765765766,13.708756872329353,13.709106510034863,13.708436349161552,13.70876553627185,13.708549374766676,13.708432355708252,13.708455066683639,13.708641131528138
0.6726726726726726,13.70893113513921,13.709463491072288,13.708441838202617,13.708942154094695,13.708613992288864,13.708435717377599,13.708469250715677,13.708752791726958
0.7687687687687688,13.709157603285782,13.709926669212738,13.708449258824567,13.709170984931585,13.708698033048911,13.708440369203167,13.708487591427115,13.708897488041416
0.8648648648648649,13.70944306054491,13.710509741721918,13.708458901420597,13.709458717827804,13.708804029931358,13.708446517664935,13.7085106162584,13.709079456412047
0.960960960960961,13.70979429069243,13.711226405865537,13.70847105638392,13.709812041828629,13.70893451582075,13.708454369242872,13.708538852649966,13.709302932779377
1.057057057057057,13.710218077504194,13.7120903589093,13.708486014107738,13.71023764597934,13.709092023601633,13.708464130416964,13.708572828042264,13.709572153083938
1.1531531531531531,13.71072120475603,13.713115298118916,13.708504064985256,13.710742219325223,13.70927908615855,13.708476007667187,13.70861306987573,13.709891353266258
1.2492492492492493,13.711310456223785,13.714314920760092,13.708525499409674,13.711332450911545,13.709498236376039,13.708490207473512,13.708660105590809,13.71026476926686
1.3453453453453452,13.7119926156833,13.715702924098538,13.7085506077742,13.712015029783595,13.70975200713865,13.708506936315917,13.708714462627938,13.710696637026281
1.4414414414414414,13.712774466910412,13.717293005399961,13.708579680472043,13.712796644986646,13.710042931330923,13.708526400674382,13.708776668427564,13.711191192485048
1.5375375375375375,13.71366279368097,13.719098861930068,13.708613007896403,13.71368398556599,13.710373541837406,13.708548807028876,13.708847250430123,13.711752671583682
1.6336336336336337,13.714664379770806,13.721134190954562,13.70865088044049,13.71468374056689,13.710746371542637,13.708574361859382,13.708926736076062,13.71238531026272
1.7297297297297298,13.71578600895576,13.72341268973916,13.708693588497503,13.71580259903464,13.711163953331166,13.708603271645876,13.709015652805823,13.713093344462694
1.8258258258258258,13.717034465011682,13.725948055549564,13.70874142246065,13.717047250014508,13.71162882008753,13.708635742868335,13.70911452805984,13.71388101012412
1.921921921921922,13.718416531714404,13.728753985651482,13.70879467272313,13.718424382551781,13.712143504696272,13.70867198200673,13.709223889278563,13.714752543187537
2.018018018018018,13.71993899283977,13.73184417731062,13.708853629678158,13.719940685691734,13.712710540041945,13.708712195541043,13.709344263902432,13.71571217959347
2.114114114114114,13.721608632163617,13.73523232779269,13.70891858371893,13.721602848479652,13.71333245900908,13.708756589951248,13.709476179371888,13.716764155282446
2.21021021021021,13.723432233461793,13.738932134363397,13.708989825238657,13.72341755996081,13.71401179448223,13.708805371717325,13.709620163127367,13.717912706194996
2.3063063063063063,13.725416580510135,13.742957294288448,13.70906764463054,13.72539150918049,13.714751079345938,13.708858747319248,13.70977674260932,13.71916206827165
2.4024024024024024,13.727568457084482,13.747321504833558,13.709152332287783,13.727531385183969,13.71555284648474,13.708916923236991,13.709946445258185,13.720516477452934
2.4984984984984986,13.729894646960675,13.752038463264421,13.709244178603594,13.72984387701653,13.71641962878319,13.708980105950532,13.710129798514398,13.721980169679378
2.5945945945945947,13.73240193391456,13.757121866846756,13.709343473971177,13.732335673723448,13.717353959125822,13.709048501939852,13.710327329818412,13.723557380891513
2.6906906906906904,13.73509710172197,13.762585412846262,13.709450508783739,13.735013464350004,13.718358370397182,13.70912231768492,13.710539566610661,13.725252347029866
2.7867867867867866,13.737986934158746,13.768442798528657,13.709565573434478,13.737883937941481,13.719435395481817,13.70920175966572,13.710767036331587,13.72706930403496
2.8828828828828827,13.741078215000737,13.77470772115964,13.709688958316606,13.740953783543159,13.72058756726427,13.709287034362221,13.711010266421633,13.729012487847331
2.978978978978979,13.744377728023776,13.781393878004922,13.709820953823323,13.744229690200308,13.721817418629085,13.709378348254408,13.711269784321242,13.731086134407505
3.075075075075075,13.747892257003706,13.788514966330212,13.709961850347838,13.747718346958221,13.7231274824608,13.709475907822249,13.711546117470853,13.73329447965601
3.171171171171171,13.751628585716366,13.796084683401217,13.710111938283351,13.751426442862163,13.724520291643966,13.709579919545728,13.71183979331091,13.73564175953338
3.2672672672672673,13.755593497937602,13.80411672648364,13.710271508023073,13.755360666957428,13.725998379063121,13.709690589904817,13.712151339281853,13.738132209980137
