Time_h,20_mM,10_mM,5_mM,2.5_mM,1.25_mM,0.625_mM,0.156_mM
0.0,10.25410577418777,10.25410577418777,10.25410577418777,10.25410577418777,10.25410577418777,10.25410577418777,10.25410577418777
0.09509509509509509,10.253994797804317,10.254189225690581,10.254161825390968,10.254206160834482,10.254058080495133,10.25409661960803,10.253940915468796
0.19019019019019018,10.253669001544479,10.254434234411688,10.254326430312226,10.25450088823462,10.25391809547669,10.254069752247283,10.253456907142096
0.2852852852852853,10.253139084744014,10.254832781670096,10.254594265919044,10.25498030757821,10.253690463221641,10.254026066673237,10.252669600953014
0.38038038038038036,10.25241574673869,10.255376848784817,10.254960009178928,10.255634770055263,10.253379827819186,10.253966457453597,10.251594848646887
0.4754754754754754,10.25150968686427,10.25605841707486,10.255418337059371,10.2564546268558,10.252990833358524,10.253891819156069,10.250248501969054
0.5705705705705706,10.250431604456526,10.25686946785923,10.255963926527881,10.257430229169834,10.252528123928855,10.253803046348361,10.248646412664852
0.6656656656656657,10.249192198851215,10.257801982456943,10.256591454551954,10.258551928187387,10.251996343619375,10.253701033598183,10.246804432479623
0.7607607607607607,10.247802169384112,10.258847942187002,10.257295598099091,10.259810075098471,10.251400136519296,10.253586675473239,10.244738413158707
0.8558558558558558,10.246272215390977,10.259999328368414,10.258071034136796,10.261195021093107,10.250744146717802,10.253460866541237,10.242464206447439
0.9509509509509508,10.244613036207578,10.261248122320193,10.258912439632565,10.262697117361311,10.250033018304103,10.253324501369883,10.239997664091161
1.046046046046046,10.242835331169676,10.262586305361348,10.2598144915539,10.264306715093099,10.249271395367392,10.253178474526887,10.237354637835214
1.1411411411411412,10.240949799613047,10.264005858810883,10.260771866868303,10.266014165478486,10.24846392199688,10.253023680579954,10.234550979424933
1.2362362362362362,10.238967140873443,10.26549876398781,10.261779242543277,10.267809819707493,10.247615242281755,10.252861014096789,10.23160254060566
1.3313313313313313,10.236898054286641,10.26705700221114,10.26283129554632,10.269684028970136,10.246730000311222,10.252691369645103,10.228525173122732
1.4264264264264264,10.234753239188398,10.268672554799876,10.263922702844928,10.271627144456433,10.24581284017448,10.252515641792602,10.225334728721492
1.5215215215215214,10.232543394914488,10.270337403073032,10.265048141406611,10.2736295173564,10.244868405960732,10.25233472510699,10.222047059147274
1.6166166166166165,10.230279220800668,10.272043528349613,10.26620228819886,10.27568149886005,10.243901341759175,10.252149514155978,10.218678016145418
1.7117117117117115,10.227971416182712,10.27378291194863,10.267379820189182,10.277773440157405,10.242916291659004,10.251960903507271,10.215243451461268
1.8068068068068066,10.22563068039638,10.275547535189093,10.268575414345078,10.279895692438485,10.241917899749426,10.251769787728577,10.211759216840157
1.9019019019019017,10.223267712777439,10.277329379390007,10.269783747634044,10.282038606893298,10.24091081011964,10.251577061387604,10.20824116402743
1.996996996996997,10.220893212661657,10.279120425870383,10.270999497023586,10.284192534711869,10.239899666858841,10.251383619052055,10.204705144768422
2.092092092092092,10.218517879384796,10.280912655949232,10.2722173394812,10.28634782708421,10.238889114056233,10.25119035528964,10.201167010808474
2.187187187187187,10.216152412282625,10.282698050945559,10.273431951974388,10.288494835200341,10.237883795801016,10.250998164668069,10.197642613892922
2.2822822822822824,10.213807510690907,10.284468592178374,10.274638011470651,10.290623910250279,10.236888356182387,10.250807941755042,10.194147805767109
2.3773773773773774,10.21149387394541,10.286216260966688,10.275830194937493,10.29272540342404,10.235907439289548,10.250620581118271,10.190698438176375
2.4724724724724725,10.209222201381895,10.287933038629507,10.277003179342408,10.29478966591164,10.234945689211699,10.250436977325464,10.187310362866054
2.5675675675675675,10.207003192336133,10.289610906485839,10.278151641652904,10.296807048903101,10.234007750038039,10.250258024944324,10.183999431581487
2.6626626626626626,10.20484754614389,10.291241845854698,10.279270258836474,10.298767903588432,10.233098265857766,10.25008461854256,10.180781496068017
2.7577577577577577,10.202765962140926,10.292817838055088,10.280353707860623,10.300662581157658,10.232221880760084,10.24991765268788,10.177672408070977
2.8528528528528527,10.200769139663013,10.294330864406017,10.281396665692853,10.30248143280079,10.231383238834189,10.249758021947992,10.174688019335711
2.947947947947948,10.198867778045912,10.2957729062265,10.282393809300663,10.30421480970785,10.230586984169282,10.249606620890598,10.171844181607558
3.043043043043043,10.197072372606943,10.297136097376674,10.283339916066081,10.305853246658444,10.229837671682835,10.249464326864638,10.169156444935082
3.138138138138138,10.195387490989223,10.298417003738129,10.284232680874972,10.307392612554303,10.229137265443562,10.249331516934538,10.166631593688177
3.233233233233233,10.193810992963746,10.299617206554666,10.28507310011765,10.308834812494116,10.228484797665,10.249208002032981,10.16426649282318
3.328328328328328,10.192340377495206,10.300738556838834,10.285862347767347,10.31018207625448,10.227879142860646,10.249093562641283,10.162057473746184
3.423423423423423,10.190973143548298,10.301782905603178,10.2866015977973,10.31143663361199,10.22731917554398,10.248987979240761,10.160000867863287
3.518518518518518,10.18970679008772,10.302752103860238,10.287292024180756,10.312600714343242,10.2268037702285,10.248891032312729,10.158093006580577
3.613613613613613,10.188538816078168,10.303648002622564,10.28793480089094,10.313676548224832,10.22633180142769,10.248802502338503,10.156330221304152
3.7087087087087083,10.187466720484332,10.304472452902703,10.288531101901095,10.314666365033354,10.225902143655045,10.248722169799398,10.154708843440105
3.8038038038038033,10.186488002270917,10.305227305713197,10.289082101184462,10.315572394545407,10.225513671424054,10.248649815176728,10.153225204394529
3.898898898898899,10.185600160402608,10.305914412066597,10.289588972714274,10.316396866537584,10.225165259248199,10.248585218951813,10.151875635573514
3.993993993993994,10.184800693844114,10.306535622975444,10.290052890463768,10.317142010786483,10.22485578164098,10.248528161605963,10.150656468383161
4.0890890890890885,10.18408710156012,10.307092789452286,10.290475028406183,10.317810057068701,10.22458411311588,10.248478423620497,10.149564034229558
4.184184184184184,10.183456882515328,10.307587762509666,10.290856560514758,10.318403235160831,10.224349128186388,10.248435785476728,10.1485946645188
4.279279279279279,10.182907535674433,10.308022393160135,10.291198660762728,10.318923774839469,10.224149701366002,10.248400027655972,10.147744690656982
4.374374374374374,10.182436560002127,10.308398532416236,10.291502503123331,10.319373905881212,10.223984707168201,10.248370930639545,10.147010444050194
4.469469469469469,10.182041454463112,10.308718031290512,10.291769261569806,10.319755858062656,10.223853020106482,10.248348274908762,10.146388256104535
4.564564564564565,10.18171971802208,10.308982740795509,10.292000110075392,10.320071861160397,10.223753514694334,10.24833184094494,10.145874458226093
4.65965965965966,10.181468849643727,10.30919451194378,10.29219622261332,10.32032414495103,10.223685065445242,10.24832140922939,10.145465381820964
4.754754754754755,10.18128634829275,10.309355195747862,10.292358773156831,10.320514939211153,10.223646546872699,10.248316760243432,10.145157358295243
