Time,0.625,0.625.2,0.625.1,0.5.1,0.5,0.5.2,0.5.3,0.313,0.313.1,0.313.2,0.313.3,0.25.3,0.25.2,0.25,0.25.1,0.156.2,0.156.1,0.156,0.156.3,0.125.3,0.125.2,0.125,0.125.1,0.078.1,0.078,0.078.2
0,0.185996655251755,0.1480953144816473,0.0504510723599525,0.1849930915738862,0.0392269916678233,0.0730502995210002,0.0003914387158138,0.1183078568026852,0.0769889252987711,0.0427171249331819,0.0277888744806454,0.0260495819838804,0.1791151094872496,0.0498260407713289,0.043153464079044,0.0649021352527045,,0.0856354999730474,0.0005680293501724,0.2185773071333572,0.1605035800487268,0.2225114497995899,0.013576915288968,0.0512262067376531,0.1075362806463528,0.0628698049683674
3,0.1854164829875217,0.1332400169956524,0.0603307793510825,0.1705548347503982,0.019959688459487,0.0766045556624793,0.0035789768781708,0.116171146899191,0.0908522938335238,0.0643960371066756,0.0141358454420549,0.1402048814444412,0.1730314562345922,0.0368586343234947,0.0410225756081167,0.0466664899350508,0.1019355820089296,0.0764665425588081,0.0003790833763719,0.1974682716186318,0.1704710271217854,0.2323370204445377,0.0217184602717818,0.1096325100865812,0.0957762467056885,0.0613944964144837
14,0.1848363107232885,0.1183847195096575,0.0702104863422125,0.1561165779269103,0.0006923852511507,0.0801588118039585,0.0067665150405278,0.1140344369956968,0.1047156623682767,0.0860749492801693,0.0004828164034644,0.254360180905002,0.1669478029819348,0.0238912278756605,0.0388916871371895,0.0822120566600421,0.1011887235941273,0.066045119286613,0.04181493956741,0.1763592361039064,0.180438474194844,0.2421625910894854,0.0298600052545957,0.1014382312931585,0.0960420886528026,0.0599191878606
16,0.0564401380392302,0.1308492363043875,0.0008934254055173,0.1452533691798439,0.0007200674404078,0.0760118984109834,0.0014163053246928,0.0596267355957801,0.1202440683101778,0.0012109537005051,0.000594496907836,0.2155916065675784,0.1651460190701183,0.1401193872480937,0.038364018499231,0.0838738669723971,0.1085737822977321,0.0459705354876397,0.000615240511195,0.1862176945685749,0.1673050989168522,0.1698692944653197,0.0287908259380899,0.1048008339135097,0.0973239769029866,0.0551179120390954
19,0.1845903267962881,0.1326264175312563,0.0653999519407379,0.1357625681811329,0.0004710849063783,0.0786331760978714,0.000629470927279,0.1301162675913043,0.0899899672236479,0.0863753138638026,0.0150261347780511,0.2759623428979104,0.1665281867144615,0.1383007895412526,0.0429043247544183,0.0350133561594167,0.109826766334536,0.0032054538553557,0.0363219506935458,0.1865545422866501,0.1773032987848167,0.183004773616038,0.0005317465517381,0.0911048671637556,0.1104942435844366,0.0613876682548825
22,0.1629685379266286,0.1163080610724061,0.0582192833547262,0.0023170491792417,0.0006101622170845,0.0831032404041716,0.0348295372462711,0.1339839742700208,0.0947963349010075,0.090446910725329,0.029558135738405,0.2623721615318381,0.1564830469641353,0.1251581563320774,0.047033286971304,0.072342266369814,0.1024943956893403,0.0004209767751568,0.0004546359023534,0.0018180240031612,0.1584100892669995,0.1981386312531723,0.0005362843571973,0.0955007590995195,0.0904841003185796,0.0499817523241468
24,0.1689782868685208,0.0020016581545713,0.0626803620886054,0.166388486407568,0.1242419727683173,0.0303452924868094,0.0240216532644623,0.1378516809487373,0.0807130901550326,0.1062659454404861,0.0006455567790307,0.2721809939821133,0.1856603573202935,0.1344917222777726,0.0482076052337669,0.058196916899832,0.0292762539888396,0.0006049877934132,0.000702197864873,0.2297028521704103,0.1588251994722327,0.1673252853214318,0.000562817468685,0.1126058513499085,0.1052467310197426,0.0584170343662454
27,0.174988035810413,0.1316428633849648,0.0055208679022746,0.139696556161894,0.1195024613834704,0.0914266375749133,0.0414718208117164,0.1207893960914522,0.1004109713991512,0.0800797221611591,0.0145767717250595,0.2529270395187885,0.1495697979980094,0.1399224943645842,0.0538642578264959,0.0841283447830227,0.0932030727390297,0.0005595887879107,0.0004063215980813,0.2201753535143691,0.162108067011499,0.1728058299064071,0.0005882160984951,0.1010149798640857,0.1021491431544244,0.0549147231911551
29,0.1712698560742537,0.1272351644995829,0.0589018279172382,0.1342285158062535,0.1025128527635239,0.0791827716080757,0.0430428388840534,0.1128065424028482,0.0854250386677602,0.0609483067516269,0.0004812729991214,0.2446319023960269,0.1481210613430356,0.142605129548585,0.0578231416292907,0.0378335941212542,0.1004079899042886,0.0005141897824083,0.0003940629296164,0.2082489444070301,0.1696491712801432,0.1704976099121363,0.0133906195300607,0.1154844389815345,0.1097501080697781,0.0592639017981269
32,0.0885204541498287,0.1239524361190392,0.0551559580302747,0.1560511861355617,0.0984767919108243,0.081102720682816,0.0413631225309754,0.1143734790180954,0.0708657415505447,0.0009000449927183,0.0009320022438901,0.2793274826979329,0.1608232825875351,0.167729334772706,0.0485595198721834,0.0758254396753542,0.0017158709973882,0.0004687907769058,0.0003269281076592,0.2631903447243989,0.1507077878701843,0.1726709604616708,0.0307547194646078,0.1115459177495958,0.1155145322023333,0.0552521959958431
34,0.193271727440549,0.1257897291924887,0.0511470909581462,0.1652704773416925,0.1019323323482501,0.0826818281520965,0.0419700442496449,0.1190379323137937,0.0670318790945414,0.069853070200951,0.0336473983018148,0.0020113129184573,0.1324859612878307,0.1219959768003545,0.0567975714495769,0.0804901296578913,0.0838257515192206,0.0004233917714034,0.0004203556335389,0.2268397283745675,0.1735045729636806,0.2066197509526006,0.0005166788007225,0.1265815550162989,0.1174665354722781,0.0581166087212212
37,0.096771468110685,0.1320874216845628,0.0458970812118975,0.1519103909819709,0.0974678297236258,0.0751931813638472,0.0429503832793214,0.123702385609492,0.0547076998865692,0.0542283699488186,0.0005809966519327,0.2303005500074047,0.001178955042898,0.1021714542371915,0.0541411201296197,0.0402915325585707,0.0892670058921194,0.0003779927659009,0.0013111821520963,0.2000607596564584,0.1855384277116326,0.1751195114707274,0.0286220898717716,0.1365294799121557,0.10573979982281,0.0580085856355202
40,0.1407957023954645,0.1134381574390465,0.0398301570226719,0.1411514138302927,0.1058479568680373,0.0922100696303812,0.0398090192307456,0.0994206835315635,0.0529569832345667,0.0530113732735441,0.0161274915419867,0.2633510986479717,0.1375618470816407,0.1172293077171771,0.0485737732152636,0.0656013079578743,0.0885412110510232,0.0005393966239685,0.0003200530113805,0.2028271414786977,0.1653680061452711,0.0034710937421429,0.0005938964930055,0.1179995702401688,0.1013254736573858,0.055299598064489
42,0.1205838597329293,0.1128709544168965,0.0006885577689941,0.1544950048766281,0.0983947587143059,0.0959749147233589,0.0454484913912432,0.1096349708978005,0.0506581497571804,0.0531040678735907,0.0161785408571048,0.2235372261979854,0.1284579878732958,0.1121282248492895,0.0474288980514313,0.0545136885327247,0.0851197260037587,0.0007363101249952,0.000423533199257,0.1849307220580937,0.1558134624975806,0.1649843341536231,0.0005401181658698,0.1290110550051678,0.1018068935098156,0.0643205909705933
45,0.1575354853117865,0.1110866718557357,0.0005385490864582,0.1657341203677545,0.1014518298474367,0.0787670738696018,0.0424300438926693,0.0915703816568473,0.0730077803286935,0.0491795021942379,0.0006293658011234,0.2318693288058156,0.151380812099227,0.1190428910596398,0.0500762885985793,0.0494680263589183,0.0797590154860743,0.0009887814531391,0.000332533373603,0.2257343323618138,0.1590837356867274,0.1715576426567087,0.0004709888244667,0.115503878713135,0.0995663435032501,0.0501318219847294
48,0.1546955756281861,0.1191162147839171,0.0025005523646437,0.1380391037965663,0.0885468439921175,0.0454869460292403,0.0369438776476583,0.1052751505216288,0.0699283456198326,0.0483151380095597,0.000433669290714,0.2334266937185494,0.162724166556378,0.1169177134726585,0.0497015159385557,0.040743876688371,0.0762377205792751,0.0012868212396022,0.0002415335479491,0.2132962703801041,0.1723953901643855,0.165367728737558,0.0007762579264237,0.109261493218354,0.1080312893099925,0.0583377249814575
50,0.1279359838347232,0.1271457577120984,0.0007316544687439,0.1522896255163643,0.1017179795576193,0.0917814394694414,0.0394283058839722,0.1267966984275051,0.0719369930446766,0.0381854214125064,0.0004140488952268,0.0030702955995027,0.1313466860635803,0.1214467980083013,0.0450391148627528,0.0614170175575312,0.0642770137058783,0.0007117763804479,0.0002919931798009,0.1987880153415644,0.1638423136113843,0.1684434066711333,0.0151184537161854,0.0206472134814188,0.1055821219280279,0.0338542544171663
53,0.0937849292572655,0.1137874599840037,0.0006863826187842,0.1376855479709736,0.104321397181252,0.0832382047614271,0.0379824430354447,0.1194530383832719,0.0011194765487812,0.037252201164879,0.0309073875006069,0.2281103645158337,0.1605253432519207,0.1199668990108209,0.0449194281530414,0.0649248964329968,0.0630221386954887,0.0019536614956752,0.0002585700727529,0.2038405538318478,0.1504011151568174,0.169307671517896,0.0018978820279764,0.1238307689926662,0.101113230698927,0.0502302368051128
55,0.1114529403085469,0.1334009687609264,0.0006411107688245,0.1299555543723054,0.0898885662333562,0.0829787713049587,0.0442042810085787,0.119628074076723,0.0691434211200967,0.047631428668875,0.0011641257501112,0.2378101467066268,0.0280292315125595,0.1292323522407649,0.0420731125795755,0.0684327753084624,0.0583813002271807,0.0019090147034112,0.000267459392907,0.1879966020186543,0.1587339382793239,0.1665343654677854,0.0005239993675267,0.1105413099190983,0.1021185298910284,0.0586048677426955
58,0.0741113874278364,0.1171748886740186,0.024006235985618,0.1414502145606319,0.083980518970731,0.076827767375137,0.0380219069602963,0.0981473876074396,0.0725850755290605,0.0004329582314596,0.0005173777951397,0.2295245748227288,0.1506089270928404,0.1385826364378376,0.0402007993011992,0.0297678357115033,0.0740569887858544,0.0018882521619344,0.0002457308114859,0.1917228016407524,0.155599205862488,0.1933081233477625,0.0004681190337214,0.133626462115381,0.1032033266284335,0.0567191751855099
61,0.0451563453471841,0.1172381343953175,0.0006104949847678,0.1590943531163388,0.0866005717080648,0.0809203208302168,0.0005284801905648,0.0942086413159193,0.0713538586042491,0.000518574045974,0.0024234315225085,0.2565501389239043,0.1363463307146896,0.1229997514041142,0.0395267783289443,0.0884506355288973,0.055232956947815,0.0018674896204577,0.0002842824400253,0.1945077402818314,0.163901529887324,0.1472502446361013,0.0005718573325958,0.1185792062002212,0.1044465103348444,0.0558862066395218
63,0.0047820382710278,0.1311244388139609,0.0007003135334857,0.1454869815439951,0.079237545480241,0.08439022260745,0.0009694961836509,0.1041029831267597,0.0752836378666359,0.0412616282277645,0.0005529943979472,0.21721862643937,0.1363636002975436,0.1055510706029549,0.019702570718184,0.092517204763877,0.0584106601517031,0.0024018097294935,0.0003137717090847,0.1721267955130018,0.1975581419311611,0.1516015856846407,0.0006708056996956,0.1315876317035594,0.1015193840815041,0.0622075561728008
66,0.0945679489429452,0.1277993182530742,0.000628229083819,0.1333731511309306,0.088345439476791,0.0799409415578182,0.0005216131794524,0.1051224300185192,0.0798928726702248,0.0012500144926696,0.0002081665999466,0.2132166384079454,0.1180048844462398,0.1108492687573983,0.0488815179274687,0.078166671759412,0.0429935796526421,0.001791875136751,0.0003560335753266,0.1993481019865099,0.0042974319324031,0.145761884832129,0.0006076372868563,0.1433273740108465,0.1144240729924981,0.0610922339600403
69,0.1215802013163026,0.1348961553644717,0.0006534908556209,0.1465965536957922,0.0938595447624897,0.0813975369301515,0.0004672110915863,0.0975791075478381,0.0655119828994705,0.0005827149322285,0.0004349602413766,0.2157046011702038,0.1428105885287326,0.1188887051201096,0.0568832449904531,0.0886992193994401,0.0462385648638982,0.0335815826931528,0.0065417686325721,0.2207160300975228,0.1573989779153291,0.1529817118249744,0.0006170292807532,0.1222680747563638,0.1145047978596387,0.0542376977389807
71,0.1408769860882587,0.1291705107333491,0.0005239619552373,0.1305804633364314,0.0952850087456634,0.0723873206112453,0.0005018942577667,0.085950712108579,0.0770060813663727,0.0009764946433175,0.0005631933067493,0.2261066357745716,0.1579717858633624,0.1440776749905509,0.0489078190258933,0.0849957671780463,0.0599141289604928,0.0324998326708103,0.0002640752172679,0.1861304045511295,0.1781331401110897,0.1537651769793921,0.0005779116209976,0.1206885885785584,0.1103610308700639,0.0554941190190131
74,0.0952007279897278,0.1321687715652316,0.0004716187468965,0.1286406240070078,0.0935186290030159,0.0729974099149394,0.0004678946576024,0.0799667629714009,0.0647557775674898,0.0005992679174413,0.000516942285476,0.2063237412099289,0.1362949721660504,0.1257191100411696,0.0481730847339858,0.0875130889434175,0.0773915281793954,0.0013024694584054,0.0003506175285427,0.1954049583381601,0.1670375550595093,0.140687965337541,0.0005635329768683,0.119109102400753,0.1199475480902152,0.0534356424623842
77,0.1667710690785782,0.1451045890942559,0.000433810322562,0.1299793261379878,0.0826067358752624,0.0775763676538718,0.001927708329461,0.0050457972845775,0.0407361977464888,0.0025737577305802,0.0142266807490213,0.2139607053797979,0.1438644197146973,0.1654751089771914,0.0505619123157841,0.104769589098401,0.0062359232781068,0.0167896848570288,0.0002547424449359,0.178799479779261,0.1589678450195532,0.1326546493938131,0.0004758393415173,0.1208176234788393,0.1031177448152094,0.0583624838123153
79,0.1627483700676143,0.148871360356748,0.0005087875461071,0.1304348308917216,0.0956542499730902,0.0779632501033707,0.0004707768828423,0.0879112650032733,0.0430820936464404,0.0006811184186787,0.0299244047232993,0.2072328918248401,0.1625141295979311,0.1721872416549768,0.049289810462319,0.093898543623012,0.0613095904748519,0.0012141903936452,0.0002794308234278,0.2017270499562711,0.1564301493422808,0.1381733777336496,0.0004276201914369,0.1463130023199829,0.0993527193034895,0.0541255506402999
82,0.2061541992812141,0.1512886495326346,0.0003855831159438,0.1492207674257343,0.0820657037533609,0.0866416792412893,0.000424843563914,0.0876533370294003,0.0418108084858507,0.0099930598070069,0.0442892456822762,0.2425002897185946,0.144980918861804,0.1983846822990118,0.0415799676522002,0.1037605928464843,0.0436983255602913,0.0440596762183558,0.0002714768561059,0.1764692857701783,0.1610719208937921,0.1352058733834247,0.0003952145783209,0.1274771581701239,0.1194020351650881,0.059314361696988
85,0.208054137640898,0.1603714244231746,0.0004515720386083,0.1282399781319412,0.0892726835491229,0.0838289164316019,0.0014118879439653,0.0862441639743818,0.034964977706213,0.0005640039069506,0.0463575122502166,0.1971312561015806,0.1295373462180372,0.1720230944230578,0.0394319764861302,0.1163800989332011,0.0687919500770919,0.0406608863414019,0.0002824807894697,0.1752497193706764,0.203715601391024,0.132546154294841,0.0005475537177177,0.1064312109296881,0.1004182727773675,0.0484466886508903
87,0.3101454608066582,0.1540138737845154,0.0004961488515198,0.1458331300642602,0.0752978119731042,0.0908762520521306,0.0004814371433902,0.0879430677267364,0.0356805724332483,0.0008760784539965,0.0439050226737412,0.1835428978467009,0.1511176895752343,0.1831229157000815,0.0442288359045205,0.1359229453964117,0.0010894896917048,0.043313815939493,0.0002768940679147,0.170685347672368,0.1794854076906814,0.1230813939829833,0.0005024372455764,0.1272473312267559,0.1058534509517125,0.0521763912013159
90,0.14387900129475,0.135582843173514,0.0004429181307964,0.1517100041693976,0.0744925377655277,0.0710853499384095,0.0004080990090403,0.0866454116893611,0.0363961671602836,0.0004838457114822,0.0221984913782015,0.1686953658270174,0.1240085950469986,0.1730309449564183,0.0315721244395505,0.1180070310032296,0.0469715479883571,0.042166081136268,0.0002921647625008,0.1773778601842357,0.1821474164115004,0.1106674105736543,0.0008170076169104,0.1319160641440779,0.0923830684173428,0.0462864593636469
93,0.1978885020570341,0.1343288780462673,0.0004751567033873,0.1384949243057118,0.0675360911454438,0.0714664133605292,0.0003539961854184,0.0956215288322291,0.0357921804679234,0.0015137241633945,0.0004919600826618,0.1669303678398315,0.1465329780390885,0.1954886421081987,0.0509312505845239,0.1258771860906128,0.0466807295837987,0.042197621271839,0.0003023776199786,0.1586021935814889,0.167924797602652,0.1226072501800897,0.0004071778549921,0.1219780118721472,0.0976163573977839,0.0515323891760711
95,0.2028218053651552,0.149139591326049,0.0005309619047889,0.1247321483611607,0.077754497709864,0.0715397312247361,0.0003585374375223,0.092655312226568,0.0368583495071164,0.0003946831671838,0.0141680584385152,0.2044442111011743,0.1341034490472914,0.202290994588089,0.0404127219641228,0.1376382301443181,0.0421061693458558,0.0467765379767044,0.0002850842796999,0.1955828522687333,0.1824194850865289,0.1365411652587769,0.0004369691781503,0.1443097021581927,0.0993083935624953,0.0513670125897386
