Time(h) / Well,8.0,4.0,4.0.1,4.0.2,4.0.3,2.0,2.0.1,2.0.2,1.0,1.0.1,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.125,0.125.1,0.125.2,0.125.3
0,16.0973,6.4571,4.9492,3.9296,10.1405,6.275,2.0055,20.6459,4.1708,2.6205,4.417,5.9031,3.9986,5.2657,2.4459,6.6,4.8562,2.35,8.0534,5.1767,5.6157
4,24.551587410506276,20.12051661710622,12.269133333333329,6.506442324774401,15.148894659728901,20.8148,0.960175429828195,9.020359670164105,8.808506360290966,4.149727598679436,5.676866385564603,8.239082964070024,4.318568236287283,5.055463813722673,3.8013311669306944,5.144473278177391,7.749925362457248,1.7933887983553765,9.32765680515363,6.768938927268265,5.332202321861482
6,21.163393888448848,18.339775714613967,12.0471,6.350580925781103,14.32984238434882,13.9562,1.908374796571797,9.559377826875366,9.779053305991525,3.98870708508539,6.056886268528228,7.795560898248549,5.188652092689142,5.001762650729582,3.910237168336466,4.64474820834951,7.319213904996807,1.7858318911228843,9.29431139487891,6.560574496251549,5.075353358531642
9,17.855052956890262,16.55992247842037,11.825066666666666,6.219037751760791,13.443733403802455,12.3893,2.889941035456384,10.137598007931388,10.720322162354808,3.843380658145076,6.454512338343559,7.372689605627843,6.0914983702364465,4.947115478191839,4.03682300820427,4.170946763875297,6.9241492794107256,1.78984147451691,9.264107216520243,6.382374779534453,4.8415341215909535
12,14.653518528349416,14.781423181026675,11.603033333333332,6.098692821248564,12.472941908473443,11.5836,3.9127924874060844,10.77408683805959,11.616959093599958,3.708891009805117,6.862964607761278,6.970093946542094,7.006629557051094,4.894506129390422,4.1659090457581875,3.706839961225069,6.552784070662136,1.799865282738291,9.249072083484116,6.230902393798162,4.614082843604101
14,11.726098518481987,13.016937663330712,11.381,6.020547740123909,17.352263050124307,11.550799999999992,4.980024200607627,11.498745905743828,12.4635267051378,3.6315181271040706,7.342114152164917,6.857015292449268,8.01588707092934,4.839730280844561,4.436467084201801,3.4144219666677462,6.447237666210586,1.871126924647196,9.186538258325783,6.369904756149231,4.550030681339016
17,9.654217699024919,11.201400000000003,15.110012054084486,5.996434264068433,20.727540275302275,14.386320264105775,6.20540182097233,12.29636972468099,13.360428067492832,3.593120613654702,7.883630443933866,6.884571810397653,9.235195411892759,4.859404563222528,4.747937263175234,3.2456526527235012,6.447596208862297,2.04463251926171,9.123810874224988,6.720944767697056,4.6518304433114315
19,25.648939173613954,15.307734148870118,18.22380017900026,5.982422956900722,24.160275,17.25248262136239,7.7388204254815305,13.251971527480151,14.26871450210228,3.61572380240707,8.45166054202462,6.908510866396517,10.611453737856824,4.978091613508617,5.025812970723677,3.160194207257531,6.595984497000327,2.4112944164269674,9.262113322159095,7.276467375806266,4.846960736353387
22,33.2310281585611,19.509283056578834,21.169286405246883,10.893236078526977,28.1831,19.879900397925706,9.419445411059288,15.366914210077372,15.223596107940384,3.7420933623906905,9.075005677558268,6.91608957968212,12.123806762394906,5.159845383949158,5.2986972353941,3.172197375263635,6.891891541965281,2.9317338606746466,9.615691536380664,8.025595238746366,5.009927708740365
24,42.86419803753314,23.69450813139798,23.695999999999998,14.5865811155601,31.9500718185677,22.350576840133698,11.180268923998511,18.054129431992276,16.27843954282628,3.9323255302375477,9.727070988114262,6.9592645663418775,13.801047498359363,5.437339545315619,5.658082460704269,3.3053417489408,7.273138264089594,3.5776232224617335,10.195073451986849,9.008189432569617,5.146441282031792
