Time(h) / Well,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.25.3,0.125,0.125.1,0.125.2,0.125.3,0.062,0.062.1
0,0.1859,0.0774,0.0416,0.0239,0.171,0.1006,0.2039,0.1278,0.1459,0.1902,0.1517,0.1044,0.0388,0.014,0.1079,0.1345,0.0006,0.0093,0.101,0.0113,0.0885,0.1733,0.0926,0.0992,0.0005,0.068,0.1455
4,0.16384017575744003,0.0733,-0.011674172838325662,0.17612407535853827,0.21912594132514343,0.08049761061022546,0.2039,0.24254801440975862,0.15793093675547853,0.18758559280502227,0.15546301917052815,0.096903916731275,0.05254914113680197,0.20221167962986844,0.18117435187367978,0.11163984288408531,0.04851292187046305,0.18590638054556474,0.15295623775940653,0.2259908502962817,0.0031639741885295235,0.08689750944071117,0.09863334558883011,0.09106721148761697,0.0049494607797272916,0.06590203060087917,0.16443820391188582
6,0.16559666760852854,0.0817,0.03141803406253756,0.1848305423058212,0.21208224855984992,0.09355682296946063,0.2039,0.23059934338206212,0.16166369034345957,0.18551967073091252,0.1575677381834554,0.1058087619359082,0.05384526026907791,0.20121102417913642,0.1697994685589026,0.11544763751474256,0.051429092555454026,0.1887457452554549,0.1529693846992558,0.20821063837263531,0.007385082607422398,0.11701712048285626,0.10149408847057441,0.08771235592286128,0.0048957670740005085,0.06759955783243027,0.17599962022542648
9,0.16765086105285673,0.0915,0.07437290477985337,0.19375650399458447,0.20496026616191046,0.10665586576601378,0.2169,0.21965074958039738,0.16576141298190838,0.183206082262436,0.15995995917410777,0.11530596044851572,0.05518814725329308,0.19710328849454656,0.1593197671411625,0.11892531396874322,0.054433051571626326,0.19115251744389244,0.15302238372307392,0.19014873732708554,0.009946707534369489,0.14717229801848333,0.10398505331713252,0.08482706328898801,0.004935581750909606,0.06955947602103885,0.18707483705546374
12,0.17027436112706407,0.0955,0.11544847772726748,0.20565732145507426,0.1973883671490263,0.11868520724764481,0.1858,0.20984482622732797,0.16982645177577457,0.18049737778672104,0.16284305175543656,0.12490038302753316,0.05655017026085984,0.19046344797333606,0.14887430722258277,0.12236951275316235,0.05739444477026457,0.19345952941686412,0.1528967999493113,0.17197241367038643,0.01093912452891921,0.17734317618513867,0.10639905664717227,0.08216869723137955,0.004737000284643343,0.0717501845794404,0.19734583401943953
14,0.1767095038828949,0.1017,0.1546531694167629,0.21076888065549723,0.19748489063340935,0.13005146852485872,0.2168,0.20472491963323888,0.17432864710143245,0.1757140365794767,0.16733914295163307,0.13658172211420705,0.05833229175598213,0.18525880556459418,0.14210454812448622,0.12424715243001706,0.059926781359586866,0.1949661442359638,0.152136377100029,0.15454897538833828,0.00880469520717639,0.18897189378762008,0.10771371493800455,0.08275125284988076,0.003383079087819204,0.07514159982543209,0.20193008795098322
17,0.18307570833578352,0.1317,0.19211302055258073,0.21140077054565012,0.20189856636912554,0.1444566226894273,0.213,0.20296325618402816,0.17827411015261715,0.16835975311826518,0.17118797447294085,0.14674762850522438,0.05867527279329506,0.18122589264137653,0.14267823798302512,0.12464622164820816,0.06152853389443377,0.19816751233601268,0.15237226484947422,0.13947309880897854,0.005239238126662936,0.19419285251739105,0.10600546585483728,0.08383032500239743,0.0028441801243690203,0.07863624989538101,0.20394114421321016
19,0.18805392188235687,0.1481,0.19980374369358428,0.21858030847692156,0.2072417206418067,0.16051660025377903,0.2001,0.2053660097523904,0.18098865148062004,0.1613995646782663,0.1745546081848408,0.15415506317897026,0.05814735596581548,0.17333290640651935,0.1520046439179543,0.12460480622920005,0.06185355089473422,0.20104406326956256,0.1536275618167445,0.12501257288343542,-0.0008949545069731624,0.20222829099689338,0.10195009527688338,0.08321001208446714,0.0024018916935853434,0.08176756525986456,0.2042247887167687
22,0.19247098033205112,0.1661,0.20077363516035457,0.22791226628866537,0.2240673076218393,0.1839716797233481,0.0887,0.21148234812677366,0.18336095034659952,0.16163338051558135,0.1747609838407965,0.15898593791101398,0.057773515294603166,0.1743677582720766,0.16710316039352172,0.1249338246152967,0.0609836809488796,0.20052325961427614,0.15673920660171034,0.11321498011412602,0.006987769592540352,0.20208944475730845,0.10066026008583151,0.08069679561765392,0.001177428049713284,0.08442820794508349,0.2050753937138917
24,0.19621311912806721,0.1798,0.20162256229636333,0.23332401000413666,0.2422810426508934,0.21511707447420553,0.1003,0.21890612976724078,0.18447185095513705,0.1666820015496476,0.17099794123805034,0.16225581176167386,0.0563,0.17896509008913053,0.17951403257603332,0.12623012649513196,0.060042139789109855,0.20072072746622577,0.16150259304546044,0.10924725191791201,0.016455469769737722,0.20122651122015175,0.10207727008829107,0.07701918539250736,0.00116429028534444,0.08647439142137824,0.20843811552563604
