,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.25.3,0.125,0.125.1,0.125.2,0.125.3,0.062,0.062.1
0,0.1859292266465088,0.07739479873563294,0.04157632760761529,0.02388262093220566,0.1709713055739102,0.1005947299317276,,0.127756436528956,0.1458729914458378,,0.1516749861933999,0.1044092078686832,0.03883911482334394,0.01402475289475973,0.1079120247209044,0.1344549785314868,0.0006033569648554877,0.009309165822242662,0.1010235713825533,0.01127772403111701,0.08851960587377639,0.1733070243468961,0.09264132346607762,0.09915755191985998,0.0005495638819628324,,0.007240718560960287
4,0.1670944444775224,0.07331289864196587,0.004878576682509423,0.1382073556485402,0.2051966017482426,0.0936476371761216,0.05754706341900379,0.107884720192486,0.1633056178170167,0.1901942362149619,0.1551883215506132,0.1173437642333236,0.0522097164715449,0.1155298822859954,0.1795228699875145,0.1104465278817164,0.04957892843124957,0.01804862749432996,0.1475274602631325,0.02408372423445984,0.0005800975900495059,0.215333630421126,0.09716717155311201,0.1030398530685857,0.0006903280992509164,0.06803980856672344,0.1454733577076912
6,0.1603945560624012,0.08168763833488676,0.01401343985656118,0.218966112153851,0.2349234714067963,0.08915670307358961,0.2039140271771499,0.2346910209827696,0.1619414522057292,0.1837555052212791,0.1575989446802807,0.09440955399159236,0.05542166954878706,0.1890775270736643,0.1888948062769842,0.1117943619022008,0.05188716533447914,0.1816208644289833,0.1651163932428996,0.2039304569679475,0.03197487374268614,0.1087072452728871,0.1016930196401464,0.08190783201668839,0.0150666638649069,0.06759730923798829,0.201690516573644
9,0.1744646325758905,0.09149245927007162,0.02314830303061294,0.2353575935482723,0.2033738736690272,0.07405438927315969,0.2168798812451875,0.2232331809545003,0.1532449769374498,0.1716780052053179,0.1651077038000625,0.1048322615265232,0.0526821403722668,0.211106002669746,0.1365989849253954,0.1249665751367479,0.05152928727610249,0.2076017505300983,0.1439930118775165,0.1997199784416481,0.01633450536721281,0.002080860124648219,0.1289005598293674,0.07901339654133334,0.0006613071819813302,0.06583656133349597,0.1869665784867673
12,0.1623296586171752,0.09553369037978317,0.1984004345334074,0.1347897536091592,0.1946086464263088,0.1299449432425368,0.1858252620505054,0.19609287053214,0.1724756440910471,0.2027579370630065,0.1568460148918266,0.1175465141057639,0.05943725075881311,0.2065682391129344,0.146891035248264,0.126429028897989,0.05670293978517948,0.1767889580947445,0.1600036757751815,0.1622004144046153,0.0006941369917394865,0.1759832616224225,0.1271799653690096,0.07744293935523926,0.0006084193382378908,0.0724024371747384,0.1948371921234521
14,0.1692100790498328,0.1017256479780872,0.1773445481227608,0.03422191367004606,0.1086621567610703,0.1598216051914181,0.2168430536935367,0.1966772673911874,0.1726509131899827,0.1673038791532414,0.1572629670746593,0.1573288339698638,0.05409366955039085,0.09038886168433898,0.1339279321866313,0.1220015030972605,0.06265748980966622,0.2131572035396701,0.1483377748018788,0.1649237590104869,0.03468342650383104,0.2201879926430903,0.1169346644156861,0.08354137451411583,0.02824087257509613,0.06851758211639318,0.2254512348566936
17,0.1785742340326236,0.131743928286214,0.2266782495356002,0.2209858608269471,0.02271566709583172,0.1364109975795188,0.2130160985449222,0.1957442097724099,0.1938463364892325,0.1845911420255699,0.1759649376815891,0.1497386864725547,0.06243930792611777,0.1641747149370082,0.1423168372041752,0.1273311189323906,0.06495058830195524,0.1854059340077787,0.1521830878449619,0.1214472430194368,0.03631713538363342,0.264392723663758,0.1012686625038923,0.08571067084454043,0.0006016022300619933,0.08626387863269745,0.1846901786171251
19,0.2096466675900559,0.1481151147235061,0.1935887435824122,0.2423949960171908,0.201533652708473,0.1360653612103802,0.2000503380827449,0.211813387075276,0.1759750321494158,0.1518983717527527,0.1893789200726224,0.1623051175492969,0.053428497921582,0.1673961925543414,0.139275853336185,0.1233157787704376,0.06419124204714811,0.1930670911317674,0.1509712202836785,0.1764722950733704,0.0006523460061017532,0.1333578213677847,0.09149224406366913,0.087879967174965,0.0005002213962051658,0.08201655067872533,0.2242546740212916
22,0.1996896624267396,0.1661121336437874,0.2134615981980212,0.2185346865965048,0.2479526969787568,0.1568488401241989,0.08872162486004279,0.09417703269240314,0.1833150892611028,0.1437303215942554,0.1733091023943667,0.1498663227624809,0.05935902218493456,0.1908842370245496,0.1413281098398264,0.1238038729498477,0.06045868053732138,0.2236992042163969,0.1527553554936394,0.1107626917562214,0.0006326637250053643,0.002322919071811243,0.09766110263718027,0.0864597162833656,0.00145521167726246,0.08670030030689735,0.1952695540735867
24,0.1832503871468245,0.1798179214512142,0.1904261235767852,0.21559147001837,0.2298808302527493,0.234088477021195,0.1003348437293503,0.2071708574299409,0.1757880873340206,0.1424244234427694,0.1835467941445386,0.1584144909820102,0.05634583927154842,0.1864466339787004,0.199073845797658,0.1272515380639379,0.05784278951681668,0.2070307568658152,0.1611098770869428,0.1001138231780417,0.0007791020472312965,0.2285141715433724,0.0984390187616886,0.07313343036902925,0.0007145719373254546,0.08413827317058703,0.1967885455097314
