Time_h,10_mM,5_mM,2.5_mM,1.25_mM,0.782_mM,0.625_mM,0.313_mM,0.156_mM
0.0,8.431742059982824,8.431742059982824,8.431742059982824,8.431742059982824,8.431742059982824,8.431742059982824,8.431742059982824,8.431742059982824
0.09509509509509509,8.431567681640658,8.431658135518443,8.431761166607583,8.431702473514752,8.431646230033154,8.431698736111745,8.431683235677456,8.431806764975056
0.19019019019019018,8.431051456386736,8.431409682190438,8.431817717176283,8.43158526498795,8.431362515060655,8.431570496205515,8.431509066892277,8.431998314887801
0.2852852852852853,8.430203748879919,8.431001680096529,8.431910557730566,8.431392760718545,8.430896577380114,8.431359937824649,8.431223009823666,8.432312862125135
0.38038038038038036,8.429034923779067,8.430439109334433,8.432038534312069,8.431127287022663,8.430254079306307,8.431069658529664,8.430828520668006,8.432746559091136
0.4754754754754754,8.427555345743047,8.429726950001866,8.432200492962433,8.430791170216432,8.429440683154013,8.430702255881071,8.430329055621682,8.433295558189876
0.5705705705705706,8.425775379430714,8.428870182196547,8.432395279723295,8.430386736615976,8.42846205123801,8.430260327439393,8.42972807088107,8.43395601182544
0.6656656656656657,8.423705389500933,8.427873786016194,8.432621740636298,8.429916312537422,8.427323845873083,8.429746470765139,8.42902902264256,8.434724072401893
0.7607607607607607,8.421355740612569,8.426742741558524,8.43287872174308,8.42938222429689,8.426031729374007,8.429163283418823,8.428235367102529,8.435595892323319
0.8558558558558558,8.41873679742448,8.42548202892125,8.433165069085279,8.428786798210515,8.424591364055559,8.428513362960965,8.42735056045736,8.436567623993788
0.9509509509509508,8.415858924595529,8.424096628202092,8.433479628704536,8.428132360594418,8.423008412232527,8.42779930695208,8.426378058903438,8.437635419817381
1.046046046046046,8.412732486784577,8.422591519498763,8.433821246642486,8.427421237764726,8.42128853621968,8.427023712952678,8.425321318637142,8.438795432198171
1.1411411411411412,8.409367848650486,8.42097168290899,8.434188768940775,8.426655756037565,8.419437398331805,8.42618917852328,8.42418379585486,8.440043813540237
1.2362362362362362,8.405775374852121,8.419242098530482,8.434581041641037,8.425838241729059,8.417460660883679,8.425298301224396,8.422968946752967,8.441376716247653
1.3313313313313313,8.40196543004834,8.417407746460958,8.434996910784916,8.424971021155338,8.415363986190078,8.424353678616544,8.42168022752785,8.442790292724494
1.4264264264264264,8.397948378898008,8.415473606798136,8.435435222414048,8.424056420632525,8.41315303656579,8.42335790826024,8.420321094375886,8.44428069537484
1.5215215215215214,8.393734586059983,8.413444659639731,8.435894822570072,8.423096766476746,8.410833474325587,8.422313587716,8.418895003493464,8.44584407660276
1.6166166166166165,8.38933441619313,8.41132588508346,8.43637455729463,8.422094385004126,8.408410961784249,8.421223314544331,8.417405411076961,8.44747658881234
1.7117117117117115,8.384758233956308,8.409122263227047,8.43687327262936,8.421051602530795,8.405891161256559,8.42008968630576,8.415855773322763,8.449174384407646
1.8068068068068066,8.380016404008384,8.406838774168197,8.4373898146159,8.419970745372874,8.403279735057295,8.418915300560794,8.41424954642725,8.45093361579276
1.9019019019019017,8.375119291008213,8.404480398004639,8.437923029295892,8.418854139846493,8.400582345501231,8.41770275486995,8.412590186586806,8.452750435371756
1.996996996996997,8.370077259614664,8.402052114834085,8.438471762710972,8.417704112267776,8.397804654903156,8.416454646793744,8.410881149997813,8.454620995548714
2.092092092092092,8.364900674486593,8.39955890475425,8.439034860902781,8.416522988952849,8.394952325577842,8.41517357389269,8.409125892856654,8.456541448727704
2.187187187187187,8.359599900282866,8.397005747862853,8.439611169912958,8.415313096217838,8.392031019840074,8.413862133727307,8.407327871359707,8.458507947312807
2.2822822822822824,8.35418530166234,8.394397624257612,8.440199535783146,8.414076760378869,8.389046400004627,8.412522923858106,8.405490541703358,8.460516643708097
2.3773773773773774,8.348667243283883,8.391739514036246,8.44079880455498,8.412816307752067,8.38600412838628,8.411158541845602,8.403617360083988,8.462563690317646
2.4724724724724725,8.343056089806353,8.389036397296469,8.4414078222701,8.411534064653562,8.382909867299816,8.409771585250311,8.40171178269798,8.464645239545538
2.5675675675675675,8.337362205888612,8.386293254135994,8.442025434970148,8.410232357399474,8.379769279060014,8.40836465163275,8.399777265741719,8.466757443795842
2.6626626626626626,8.331595956189522,8.38351506465255,8.442650488696758,8.408913512305933,8.376588025981649,8.406940338553435,8.397817265411582,8.468896455472642
2.7577577577577577,8.325767705367944,8.380706808943843,8.443281829491573,8.407579855689063,8.373371770379505,8.405501243572875,8.395835237903954,8.471058426980006
2.8528528528528527,8.319887818082744,8.377873467107593,8.443918303396233,8.40623371386499,8.370126174568359,8.404049964251591,8.393834639415216,8.473239510722014
2.947947947947948,8.313966658992781,8.375020019241521,8.444558756452377,8.404877413149842,8.366856900862993,8.402589098150097,8.391818926141752,8.47543585910274
