,20,20,10,5,5,5,5,2.5,2.5,1.25,1.25,1.25,0.625,0.625,0.625,0.313,0.313,0.156,0.156,0.156
0,33.261111111111106,32.19583333333333,32.874324324324334,11.502777777777778,13.601408450704225,7.097297297297298,11.224324324324323,106.66944444444444,34.13970588235295,9.563380281690142,22.273972602739725,36.71323529411765,53.52537313432836,13.588405797101451,10.148936170212766,6.952112676056339,6.401408450704225,24.55492957746479,115.75000000000001,75.78333333333333
3,35.76206240487062,33.373592342342334,31.62277860051833,10.141666666666667,23.839989939637825,5.502120870870871,34.088874490929285,61.56359546165884,39.94705882352942,6.7533117624666925,23.310866898384788,39.35444373401535,46.42592186128182,13.008091787439614,7.807801418439716,5.422222222222222,13.412328767123288,24.512676056338027,39.0527027027027,75.30142857142857
14,38.26301369863014,34.55135135135134,30.371232876712327,8.780555555555557,34.07857142857143,3.9069444444444437,56.95342465753424,16.457746478873243,45.754411764705885,3.9432432432432427,24.347761194029847,41.99565217391305,39.32647058823529,12.427777777777779,5.466666666666667,3.797222222222222,12.666458501208703,25.568055555555556,33.604109589041094,75.59585317460318
16,45.21999999999999,34.14266666666667,32.25753424657535,9.054054054054056,37.09864864864865,4.158108108108108,2.941666666666667,16.89315068493151,51.561764705882354,4.974324324324325,28.36521739130435,44.505797101449254,31.48285714285714,14.479166666666666,5.191891891891893,3.2211267605633807,11.920588235294119,28.73194444444444,37.96712328767123,75.89027777777778
19,52.34084507042253,36.2972602739726,34.23285714285714,9.602739726027398,38.52054794520548,4.778082191780822,3.132876712328767,16.72972972972973,55.15,6.724285714285714,29.584931506849312,47.88823529411764,36.25217391304348,13.786486486486485,5.761971830985916,3.3208333333333333,12.720289855072464,32.38219178082192,41.21126760563381,76.14999999999999
22,55.43194444444445,37.61388888888889,37.172222222222224,9.96756704611229,42.03142857142858,5.822535211267605,4.882432432432433,19.03972602739726,54.692647058823525,10.156756756756756,33.06527777777778,50.42686567164179,39.21666666666667,15.671232876712331,6.523287671232876,4.6899999999999995,13.582608695652171,34.87222222222223,45.958333333333336,76.6581081081081
24,56.41111111111112,31.186301369863013,39.71126760563381,10.332394366197184,42.55342465753425,64.14166666666668,6.012162162162162,22.721621621621622,58.472463768115944,13.227397260273971,33.012499999999996,54.95285714285714,39.856521739130436,18.891780821917806,7.1416666666666675,5.534722222222222,13.578260869565216,36.54794520547945,51.75753424657534,75.69583333333334
27,56.7375,31.447297297297297,40.733333333333334,11.047222222222222,42.480281690140835,7.745714285714286,7.447887323943663,25.516666666666666,57.78955223880597,18.250000000000004,35.05555555555556,55.36060606060606,40.62352941176471,20.66944444444444,7.98,6.294520547945205,14.97,36.62285714285715,54.92602739726027,76.29154929577466
29,57.094594594594604,31.298630136986304,41.367123287671234,11.23013698630137,41.66388888888889,8.471232876712328,9.024285714285716,29.98611111111111,58.32608695652174,21.49545454545455,35.85342465753425,58.05797101449276,43.56617647058824,24.88285714285714,10.115277777777777,8.161428571428571,15.31594202898551,36.50547945205479,56.4986111111111,75.73098591549297
32,56.56266666666668,31.66216216216216,41.61780821917808,73.74794520547944,41.73380281690141,8.497222222222222,10.319444444444445,33.579166666666666,61.1439393939394,25.394444444444442,37.00972222222222,58.66417910447761,44.97941176470589,27.124324324324323,14.262499999999998,11.10277777777778,20.12463768115942,37.463013698630135,56.224999999999994,75.76857142857143
35,56.919444444444444,32.039726027397265,42.1986301369863,11.824285714285717,41.56111111111111,9.305555555555555,13.077777777777776,38.07042253521127,59.07611940298507,27.28219178082192,36.92253521126762,59.91492537313433,44.97536231884058,28.726760563380285,20.72222222222222,16.173972602739727,21.41194029850746,36.74027777777778,55.5472972972973,76.52162162162163
37,57.28028169014084,116.87727272727274,42.03611111111111,12.146478873239438,41.48550724637681,9.804054054054054,80.00405405405405,41.68333333333334,67.32058823529411,28.264788732394365,37.27945205479452,60.1134328358209,47.0231884057971,30.27361111111111,27.08783783783784,22.0041095890411,22.708695652173915,37.78055555555555,56.902857142857144,76.98194444444444
40,57.8394366197183,32.48082191780822,42.628169014084506,13.395714285714288,42.52941176470588,9.99189189189189,16.604166666666668,44.985915492957744,62.813235294117646,29.15,37.21714285714285,60.58382352941176,46.07794117647059,30.170833333333334,32.33888888888889,26.768493150684932,21.714705882352945,37.11571428571428,56.80917505030182,76.95714285714287
42,57.599999999999994,32.71388888888888,42.528571428571446,12.962318840579712,45.78358208955224,10.54861111111111,16.511267605633805,46.40281690140846,61.8470588235294,108.63134328358208,37.83150684931507,60.21976890756302,46.85588235294118,28.266666666666666,35.46666666666667,31.301369863013694,23.91029411764706,37.85374755381605,56.715492957746484,76.86712328767125
45,57.664788732394356,33.487500000000004,42.294444444444444,13.701369863013698,49.67778712073436,10.249295774647889,17.890410958904106,52.15072463768115,61.02058823529411,108.64999999999999,37.46527777777778,59.85571428571429,48.36857142857143,27.868055555555557,35.900000000000006,35.01111111111111,25.76060606060606,38.59178082191781,56.93733333333335,76.96301369863012
48,58.143055555555556,32.92876712328767,41.849295774647885,14.433783783783786,53.57199215191648,10.84794520547945,18.30810810810811,50.978571428571435,60.9955223880597,28.605405405405406,36.484507042253526,59.61764705882352,45.56376811594203,26.814084507042253,35.46690140845071,35.5986301369863,26.624637681159424,38.41095890410959,57.28493150684932,77.56216216216214
50,58.36231884057972,32.95479452054794,42.446575342465756,15.835714285714285,57.4661971830986,11.101388888888888,20.020547945205475,49.48823529411764,66.14626865671642,26.96712328767123,36.64189189189189,62.41176470588237,48.42173913043479,26.290277777777778,35.03380281690141,31.818309859154922,25.67536231884058,39.09428571428571,58.513698630136986,78.22054794520548
53,59.21805555555555,33.33802816901408,41.104166666666664,15.54057971014493,45.72647058823529,11.26027397260274,23.03194444444445,49.35915492957748,61.43880597014925,27.140277777777776,36.35479452054794,62.365714285714276,46.07272727272728,25.378571428571433,33.895890410958906,31.302739726027397,27.072058823529414,38.68472222222223,59.22876712328767,77.41944444444444
55,59.473611111111104,32.9554054054054,41.26478873239437,16.407462686567168,44.743478260869566,10.684931506849317,26.212676056338033,48.07462686567165,63.92028985507246,103.29863013698629,36.39295774647888,62.42575757575758,51.06567164179105,27.048529411764708,31.954285714285717,28.334246575342465,27.34264705882353,38.05416666666666,59.91095890410959,77.93287671232878
58,60.11971830985915,32.37972972972973,41.40821917808219,16.961764705882356,45.85882352941177,10.394444444444446,28.622222222222224,48.67313432835821,60.25735294117647,24.49041095890411,36.19647887323944,62.96666666666666,49.38805970149254,26.505555555555553,30.03055555555555,107.58493150684933,26.426086956521733,37.802739726027404,61.12777777777777,77.30422535211267
