Model,ROC_AUC_Mean,ROC_AUC_Std,PR_AUC_Mean,PR_AUC_Std,Accuracy_Mean,Accuracy_Std
ADMET-AI,0.7170291204441064,0.055206308280460505,0.7507001959920145,0.07126512499574283,0.6385321100917432,0.05160499490064306
SwissADME,0.6607414796715396,0.05886596612105176,0.6793951729099253,0.04430213451876209,0.5990825688073395,0.057447604420012004
