Drug,Mutagenicity,Blood-Brain Barrier Penetration,Oral Bioavailability,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Substrate,CYP2C9 Inhibition,CYP2D6 Substrate,CYP2D6 Inhibition,CYP3A4 Substrate,CYP3A4 Inhibition,Carcinogenicity,Clinical Toxicity,Drug Induced Liver Injury,Human Intestinal Absorption,Androgen Receptor (Ligand Binding Domain),Androgen Receptor (Full Length),Aryl Hydrocarbon Receptor,Aromatase,Estrogen Receptor (Ligand Binding Domain),Estrogen Receptor (Full Length),Peroxisome Proliferator-Activated Receptor Gamma,PAMPA Permeability,P-glycoprotein Inhibition,Nrf2-Antioxidant Responsive Element,ATPase Family AAA Domain-Containing Protein 5 (ATAD5),Heat Shock Factor Response Element,Mitochondrial Membrane Potential,Tumor Protein p53,Skin Reaction,hERG Blocking,Cell Effective Permeability,Drug Clearance (Hepatocyte),Drug Clearance (Microsome),Half Life,Hydration Free Energy,Acute Toxicity LD50,Lipophilicity,Plasma Protein Binding Rate,Aqueous Solubility,Volume of Distribution at Steady State,Arrhythmia,heart_damage,Concern
Gemcitibine,0.734927487,0.943537283,0.94266144,0.001541687,0.006202342,0.110797943,0.004329363,0.014571036,0.000605414,0.12705344,0.001056114,0.170065483,0.590453029,0.945125449,0.993067193,0.029054172,0.041872737,0.00364577,0.075094649,0.012834577,0.108294898,0.009526659,0.176959611,0.003115435,0.163343922,0.023749595,0.002133014,0.006154323,0.327805661,0.229843041,0.081495477,-5.522361994,22.76257662,-12.7219322,4.969988581,-18.22750834,2.668719665,-1.2827402,16.61055114,-0.896886382,0.183793719,True,True,less
Ibrutinib,0.319577089,0.880228722,0.800593913,0.177904198,0.81570425,0.207222983,0.785231137,0.155195072,0.14416426,0.746828341,0.825918591,0.149543429,0.524940938,0.923198259,0.9992293,0.014366184,0.029648959,0.31748504,0.40532701,0.045211373,0.149252731,0.079688115,0.932225442,0.857813656,0.852166593,0.133012153,0.092380711,0.304438716,0.245824474,0.245345238,0.89220736,-5.197941161,55.93952694,84.219291,-8.125452236,-10.63762788,3.207971013,3.768400458,98.87992915,-4.80800003,2.006669468,True,True,most
Ibuprofen,0.00582915,0.510697985,0.944992447,0.004451636,0.075487051,0.652716517,0.094799357,0.036394273,0.007718957,0.258253041,0.002579935,0.476971528,0.011836079,0.486830053,0.999234402,0.000242401,0.005815612,0.004711604,0.001666084,0.018857114,0.135385118,0.072256216,0.607558668,0.002627879,0.010067065,0.000914441,0.005994069,0.042047513,0.00070965,0.392618686,0.008396036,-4.285483007,22.04938728,0.677861803,8.318586263,-6.952248759,2.394046134,0.874054999,90.74887842,-2.954356192,1.117562627,False,True,most
Isoproterenol,0.108624181,0.122242653,0.569271505,0.027911264,0.010081872,0.111222663,0.003507684,0.418373597,0.040560835,0.132915941,0.001898486,0.283573905,0.031203768,0.009418703,0.993304193,0.004364752,0.029894848,0.036749139,0.001158649,0.009814031,0.049556282,0.000272877,0.169059449,0.009923853,0.00923553,0.000204061,0.002283377,0.003838542,0.000753977,0.668096709,0.090284297,-5.865228839,11.06810833,-30.27689272,-3.932988984,-13.12535071,2.250035601,-0.792786412,16.18250033,-0.866254856,3.570926514,True,True,most
Mexiletine,0.106678533,0.971721315,0.981159031,0.772037488,0.07873933,0.233927497,0.00731559,0.855555165,0.220323074,0.358586782,0.042651798,0.326642428,0.014291157,0.027656811,0.999983263,0.000152158,0.011281044,0.026497776,0.003722766,0.003985393,0.031983756,0.000271776,0.984947193,0.008911062,0.001930909,0.000230579,0.001762925,0.001694957,0.00010847,0.429050905,0.331927365,-4.254527223,86.7039811,9.131306095,-0.138254773,-5.562595483,2.288439948,0.586104827,52.14870897,-1.015654361,3.891327272,True,False,most
Nifedipine,0.186945389,0.481300658,0.35412859,0.634174997,0.93447721,0.066421694,0.835120392,0.063508181,0.18028975,0.789495683,0.825681353,0.090215465,0.015678564,0.960089374,0.999745548,0.01135252,0.004024185,0.483503509,0.393479028,0.045301147,0.050269334,0.025044241,0.98718493,0.24445305,0.212723655,0.006669821,0.211147991,0.635394102,0.082735721,0.778670025,0.286710227,-4.414853277,68.31377286,118.1840296,-10.46126096,-6.757870585,2.026119211,2.837203307,95.73603909,-4.831104768,6.321711768,True,True,less
Panobinostat,0.906551969,0.927202523,0.846936274,0.822115755,0.756217563,0.326242724,0.230295128,0.394336998,0.829399395,0.71794703,0.698280537,0.421004015,0.823909354,0.768859768,0.998484564,0.023679594,0.014980023,0.694976842,0.173042437,0.064609232,0.127695037,0.039308591,0.83018558,0.655426002,0.468645495,0.138323911,0.192800184,0.344141781,0.291354594,0.67653321,0.867519987,-6.038791096,14.35879579,16.3218357,32.12512482,-12.13562712,2.697169941,1.842465884,93.8356839,-3.198714161,3.35677407,True,True,most
Plicamycin,0.90759424,0.160078733,0.775790429,0.006882456,0.005390596,0.005548373,0.006524762,0.008185993,0.0038364,0.58920483,0.0279239,0.008311317,0.230416358,0.69216944,0.936442661,0.409508169,0.263699062,0.267734761,0.679495704,0.286936843,0.422276381,0.076080103,0.365956613,0.190151867,0.372739241,0.522817904,0.030341925,0.847266442,0.750656646,0.207334843,0.47858575,-6.710273578,65.34176589,62.23149952,12.14186093,-12.76387803,2.991803786,0.908400377,83.19064705,-4.632277951,13.27796583,False,False,no
Rosiglitazone,0.342944971,0.927497888,0.928839922,0.795962584,0.864652586,0.66095264,0.534647006,0.199693143,0.115274877,0.538615268,0.704587805,0.169826779,0.42739023,0.96391151,0.999843872,0.009450745,0.012956833,0.161569951,0.177138124,0.016371754,0.202236161,0.294237264,0.938238084,0.141259226,0.588466728,0.036042916,0.111213163,0.261089283,0.209430531,0.526144004,0.286225003,-5.09625323,102.514223,53.32452854,-0.194329723,-12.46787754,2.027640387,2.614594908,99.17813267,-4.554520242,1.833208145,False,True,most
Sotalol,0.012996459,0.552296299,0.887280571,0.015776713,0.013697796,0.193511899,0.003401716,0.172641988,0.081605374,0.154366241,0.003764383,0.325280151,0.048562077,0.266932726,0.993854189,0.018099347,0.110522414,0.005793325,0.000456641,0.000541023,0.035340983,8.62e-05,0.553362662,0.010147113,0.006731501,7.53e-05,0.000462635,0.004518625,0.000555247,0.201418702,0.152391124,-5.66864679,-16.84607919,-29.82965314,-17.46119626,-12.51488591,1.863871229,-1.173808456,21.17241144,-1.357760434,-0.538770617,True,True,most
Sunitinib,0.824532425,0.947787166,0.86963557,0.513769472,0.142339458,0.146890189,0.050484785,0.384210181,0.585032958,0.654112107,0.298891148,0.482737124,0.744467777,0.717958373,0.993296778,0.027590233,0.01969403,0.413990003,0.035802242,0.012444157,0.046326754,0.003140617,0.850959229,0.660030079,0.097989643,0.059866723,0.018516159,0.113827009,0.110522396,0.488264573,0.937355149,-5.074622017,2.331895072,28.7101588,168.0537636,-12.74896509,3.443756239,2.468614756,78.87961769,-3.531910693,29.42743746,True,True,most
Vandetanib,0.329207429,0.961779797,0.954339027,0.346960595,0.141545692,0.18873174,0.053842164,0.718052185,0.366565576,0.742045832,0.438012701,0.257894027,0.7739721,0.774358749,0.999071085,0.020611091,0.030996381,0.547129148,0.129888363,0.012962644,0.065586044,0.012041249,0.931177819,0.913190866,0.47627703,0.105350906,0.055283456,0.126429528,0.125744633,0.134781149,0.963064945,-4.876026598,14.53400451,27.96916003,33.63194876,-9.215964171,3.061275483,2.76351365,96.61738833,-3.525484115,10.9703903,True,True,most
Vincristine,0.452295643,0.836891711,0.651316643,0.022185646,0.047360961,0.019667554,0.052021797,0.126234723,0.226772147,0.87272687,0.911685169,0.03999769,0.81991272,0.544087303,0.98508867,0.122982737,0.16892526,0.278865194,0.372349933,0.050322015,0.071329135,0.018399067,0.751966429,0.668327713,0.393470207,0.573418897,0.050856681,0.740169203,0.705591953,0.116801615,0.923998487,-5.560747944,75.16437849,122.3823204,8.035056476,-10.57845663,4.043382727,2.383605531,88.18955718,-4.822605654,9.077810612,False,True,less
Vioxx,0.038970149,0.761158478,0.84147321,0.523099232,0.603542995,0.350396472,0.268234938,0.068119758,0.016167908,0.318622735,0.251487121,0.418293726,0.050188896,0.969106996,0.996105933,0.024525587,0.019240187,0.017558772,0.033771423,0.029535438,0.107399959,0.041803962,0.936533523,0.301440468,0.148063776,0.016830088,0.022415282,0.103296971,0.017849586,0.61149323,0.136527248,-4.410412069,45.44369962,21.05493423,21.54410822,-7.139328858,2.118478062,2.007188018,91.19123208,-4.428675237,0.775990395,False,True,most
Vorinostat,0.857443976,0.963237405,0.857463002,0.507418168,0.502183688,0.245152414,0.222166058,0.169158773,0.108424126,0.703849649,0.118777019,0.563289738,0.586697537,0.496207049,0.993720889,0.042435126,0.029112983,0.174650069,0.054189798,0.032561234,0.203066599,0.031413247,0.833955848,0.043273074,0.338750079,0.164242588,0.059293593,0.102170503,0.497150469,0.750153995,0.605504817,-5.174625033,47.15087836,-5.674515682,6.885494669,-9.898080561,1.855213051,1.705514997,76.41829882,-2.756469245,-1.392790954,False,True,less
