Feature,MeanSHAP,MeanAbsSHAP
Drug Clearance (Hepatocyte),-1.4753205183328795,2.1264395648014203
Androgen Receptor (Full Length),-0.5891535393006684,1.8189405241597285
Human Intestinal Absorption,0.7756139465282986,1.4358347278946524
CYP3A4 Inhibition,-1.043972257957911,1.3468639727599705
Hydration Free Energy,-0.838470579886252,1.2853908237049612
CYP2C19 Inhibition,0.4252433763783178,1.0379152914710708
Clinical Toxicity,-0.03672016752684519,1.0048020691476947
Nrf2-Antioxidant Responsive Element,-0.44736321577342175,0.8930627178230024
CYP2D6 Substrate,-0.24337686572450162,0.8875312480780742
Aryl Hydrocarbon Receptor,0.8471415300830778,0.8704281679444692
