Time,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5.1,0.5,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.25.3,0.125,0.125.2,0.125.1,0.125.3,0.062.1,0.062
0,0.1859292266465088,0.0773947987356329,0.0415763276076152,0.0238826209322056,0.1709713055739102,0.1005947299317276,,0.127756436528956,0.1458729914458378,,0.1516749861933999,0.1044092078686832,0.0388391148233439,0.1079120247209044,0.0140247528947597,0.1344549785314868,0.0006033569648554,0.0093091658222426,0.1010235713825533,0.011277724031117,0.0885196058737763,0.1733070243468961,0.0991575519198599,0.0926413234660776,0.0005495638819628,0.0072407185609602,
4,0.1670944444775224,0.0733128986419658,0.0048785766825094,0.1382073556485402,0.2051966017482426,0.0936476371761216,0.0575470634190037,0.107884720192486,0.1633056178170167,0.1901942362149619,0.1551883215506132,0.1173437642333236,0.0522097164715449,0.1795228699875145,0.1155298822859954,0.1104465278817164,0.0495789284312495,0.0180486274943299,0.1475274602631325,0.0240837242344598,0.0005800975900495,0.215333630421126,0.1030398530685857,0.097167171553112,0.0006903280992509,0.1454733577076912,0.0680398085667234
6,0.1603945560624012,0.0816876383348867,0.0140134398565611,0.218966112153851,0.2349234714067963,0.0891567030735896,0.2039140271771499,0.2346910209827696,0.1619414522057292,0.1837555052212791,0.1575989446802807,0.0944095539915923,0.055421669548787,0.1888948062769842,0.1890775270736643,0.1117943619022008,0.0518871653344791,0.1816208644289833,0.1651163932428996,0.2039304569679475,0.0319748737426861,0.1087072452728871,0.0819078320166883,0.1016930196401464,0.0150666638649069,0.201690516573644,0.0675973092379882
9,0.1744646325758905,0.0914924592700716,0.0231483030306129,0.2353575935482723,0.2033738736690272,0.0740543892731596,0.2168798812451875,0.2232331809545003,0.1532449769374498,0.1716780052053179,0.1651077038000625,0.1048322615265232,0.0526821403722668,0.1365989849253954,0.211106002669746,0.1249665751367479,0.0515292872761024,0.2076017505300983,0.1439930118775165,0.1997199784416481,0.0163345053672128,0.0020808601246482,0.0790133965413333,0.1289005598293674,0.0006613071819813,0.1869665784867673,0.0658365613334959
12,0.1623296586171752,0.0955336903797831,0.1984004345334074,0.1347897536091592,0.1946086464263088,0.1299449432425368,0.1858252620505054,0.19609287053214,0.1724756440910471,0.2027579370630065,0.1568460148918266,0.1175465141057639,0.0594372507588131,0.146891035248264,0.2065682391129344,0.126429028897989,0.0567029397851794,0.1767889580947445,0.1600036757751815,0.1622004144046153,0.0006941369917394,0.1759832616224225,0.0774429393552392,0.1271799653690096,0.0006084193382378,0.1948371921234521,0.0724024371747384
14,0.1692100790498328,0.1017256479780872,0.1773445481227608,0.034221913670046,0.1086621567610703,0.1598216051914181,0.2168430536935367,0.1966772673911874,0.1726509131899827,0.1673038791532414,0.1572629670746593,0.1573288339698638,0.0540936695503908,0.1339279321866313,0.0903888616843389,0.1220015030972605,0.0626574898096662,0.2131572035396701,0.1483377748018788,0.1649237590104869,0.034683426503831,0.2201879926430903,0.0835413745141158,0.1169346644156861,0.0282408725750961,0.2254512348566936,0.0685175821163931
17,0.1785742340326236,0.131743928286214,0.2266782495356002,0.2209858608269471,0.0227156670958317,0.1364109975795188,0.2130160985449222,0.1957442097724099,0.1938463364892325,0.1845911420255699,0.1759649376815891,0.1497386864725547,0.0624393079261177,0.1423168372041752,0.1641747149370082,0.1273311189323906,0.0649505883019552,0.1854059340077787,0.1521830878449619,0.1214472430194368,0.0363171353836334,0.264392723663758,0.0857106708445404,0.1012686625038923,0.0006016022300619,0.1846901786171251,0.0862638786326974
19,0.2096466675900559,0.1481151147235061,0.1935887435824122,0.2423949960171908,0.201533652708473,0.1360653612103802,0.2000503380827449,0.211813387075276,0.1759750321494158,0.1518983717527527,0.1893789200726224,0.1623051175492969,0.053428497921582,0.139275853336185,0.1673961925543414,0.1233157787704376,0.0641912420471481,0.1930670911317674,0.1509712202836785,0.1764722950733704,0.0006523460061017,0.1333578213677847,0.087879967174965,0.0914922440636691,0.0005002213962051,0.2242546740212916,0.0820165506787253
22,0.1996896624267396,0.1661121336437874,0.2134615981980212,0.2185346865965048,0.2479526969787568,0.1568488401241989,0.0887216248600427,0.0941770326924031,0.1833150892611028,0.1437303215942554,0.1733091023943667,0.1498663227624809,0.0593590221849345,0.1413281098398264,0.1908842370245496,0.1238038729498477,0.0604586805373213,0.2236992042163969,0.1527553554936394,0.1107626917562214,0.0006326637250053,0.0023229190718112,0.0864597162833656,0.0976611026371802,0.0014552116772624,0.1952695540735867,0.0867003003068973
24,0.1832503871468245,0.1798179214512142,0.1904261235767852,0.21559147001837,0.2298808302527493,0.234088477021195,0.1003348437293503,0.2071708574299409,0.1757880873340206,0.1424244234427694,0.1835467941445386,0.1584144909820102,0.0563458392715484,0.199073845797658,0.1864466339787004,0.1272515380639379,0.0578427895168166,0.2070307568658152,0.1611098770869428,0.1001138231780417,0.0007791020472312,0.2285141715433724,0.0731334303690292,0.0984390187616886,0.0007145719373254,0.1967885455097314,0.084138273170587
27,0.1927239146961345,0.1812799727849048,0.1936026476983688,0.2595518401905837,0.3153976867019686,0.1415141942692105,0.0887053807697885,0.2312937017184861,0.2009836786379495,0.1905328140386556,0.1570073979144156,0.1771612964431906,0.0550306947875042,0.2304880095980985,0.1363048465845412,0.1194942148907391,0.0586605898675047,0.1866551955235108,0.1648357931355631,0.0827995820500999,0.0344720284194153,0.2108702595038636,0.0717815805636736,0.1086294673868301,0.0004759213858413,0.2145987623481782,0.0860566162839353
