Time,8.0.1,8.0,8.0.3,8.0.2,4.0,2.0.2,2.0,2.0.1,1.0.2,1.0.1,1.0,0.5.3,0.5.1,0.5.2,0.5,0.25.1,0.25,0.25.2,0.125,0.125.3,0.125.1,0.125.2,0.062.1,0.062
59,63.36,63.85946,61.87603,54.644,27.22222,50.42973,51.71096,55.09452,51.2726,50.57361,47.88919,47.13698,44.83919,37.98981,33.352,38.92222,33.09315,10.04861,38.01806,32.02838,14.22254,13.50417,40.56667,27.75352
61,64.31,65.71892,62.46027,55.18514,27.52432,50.88592,52.275,56.96892,51.39865,52.54459,48.0473,47.7493,46.33699,37.69583,32.77042,39.27808,31.3507,9.751389,37.6,31.02703,15.32466,13.07162,39.96986,27.06575
64,63.38088,66.83879,61.63333,56.54861,26.10278,51.1137,52.47432,57.05068,52.04857,52.72361,48.21507,47.80704,44.8375,37.46081,32.58784,38.07867,30.09467,68.81644,37.47123,30.73562,15.20986,12.56806,38.86571,25.87432
66,77.14,67.95867,61.07681,57.85139,24.79595,50.94384,52.59726,58.16486,52.68873,52.91081,48.31733,48.41111,45.30274,36.85634,31.84933,39.05405,28.72466,8.7,36.88356,30.53521,82.60533,11.18767,38.31096,24.8973
69,77.7029,70.21918,60.52319,58.16351,24.96056,51.28219,52.66986,58.49577,53.03699,52.62027,48.42917,48.18356,45.26944,36.57406,30.904,38.63151,27.82055,9.084722,36.84444,29.37123,14.51111,72.8274,37.44459,24.58533
72,78.56912,72.08904,61.93529,59.62297,24.36301,50.76757,53.19589,59.83108,52.86216,52.33784,47.93099,47.78206,45.99283,36.29178,30.99324,37.97826,27.08493,7.764865,36.46081,111.3557,14.10676,10.30685,37.44783,23.51486
74,77.45882,73.37534,62.01176,60.80811,21.57123,50.92895,53.65,58.4338,53.45,52.43,48.16761,47.38056,46.71622,35.93611,30.96133,36.09726,26.08219,7.795946,36.44324,28.69863,12.90137,9.898649,37.01644,22.42361
77,79.5913,73.11528,61.24286,61.94861,22.30137,51.55972,53.82055,59.72958,53.39775,52.16892,47.71805,48.09178,47.69167,35.78219,30.18919,37.27534,24.712,6.721918,34.85479,27.5,11.46757,9.063514,36.58611,20.712
80,77.85882,73.75676,61.46351,63.11831,21.04384,51.45417,54.22778,59.26712,53.3455,52.30972,47.26849,48.50274,48.03662,35.83378,29.62838,37.26216,23.43333,6.608219,34.44,27.03425,10.13784,8.561111,36.36216,20.06216
82,78.07429,74.11918,62.40556,63.44932,19.74933,51.6726,54.30946,59.22027,53.29324,51.87671,47.01806,48.35634,46.65616,35.45972,29.15417,36.25652,22.128,5.321333,34.0411,24.84167,8.641667,7.253425,35.23378,19.00548
85,79.36667,74.57361,63.35972,64.5,19.33919,51.55753,54.19306,59.88493,53.40133,52.1125,46.43973,48.13433,45.475,34.41918,28.125,36.19054,21.05634,5.476389,33.2274,24.68514,8.574648,6.612329,34.27778,18.12973
88,78.91324,74.89306,64.82113,64.48219,19.09583,51.40278,54.34189,60.20946,52.89306,51.04658,45.89583,47.91233,44.84865,34.1863,27.12639,35.12329,19.54595,5.423288,32.81233,23.74658,8.025676,6.4,33.4589,17.95811
90,78.325,73.97671,64.3209,64.90405,19.62877,51.84429,54.84932,60.1411,52.92083,51.41096,45.888,49.08,43.83176,34.212,105.9836,34.34725,17.856,4.883784,31.74932,23.25,7.379167,5.619178,117.7976,17.04306
93,78.73964,74.48732,62.87059,65.33288,19.25135,51.57432,54.75467,60.14795,52.55479,50.9,45.31486,49.30528,42.81486,33.46301,25.19726,33.57121,16.53836,4.736486,31.11096,21.36849,6.284722,61.41781,33.07971,15.75205
96,79.15429,,64.42029,65.09178,19.32192,51.24444,,,,50.54054,44.96806,49.53056,43.12466,32.72222,24.43151,32.73429,14.68767,4.39589,30.42329,20.01351,5.846575,5.756944,34.00541,15.52192
