drug,concentration,conc_uM,well,cmax_uM,exceeds_cmax,baseline_used,bpm_change,pct_change,0h_bpm,3h_bpm,4h_bpm,6h_bpm,9h_bpm,12h_bpm,14h_bpm,17h_bpm,19h_bpm,22h_bpm,24h_bpm,27h_bpm,30h_bpm,32h_bpm,35h_bpm,38h_bpm,40h_bpm,43h_bpm,45h_bpm,48h_bpm,51h_bpm,53h_bpm,56h_bpm,59h_bpm,61h_bpm,64h_bpm,66h_bpm,69h_bpm,72h_bpm,74h_bpm,77h_bpm,80h_bpm,82h_bpm,85h_bpm,88h_bpm,90h_bpm,93h_bpm,96h_bpm,0h_file,3h_file,4h_file,6h_file,9h_file,12h_file,14h_file,17h_file,19h_file,22h_file,24h_file,27h_file,30h_file,32h_file,35h_file,38h_file,40h_file,43h_file,45h_file,48h_file,51h_file,53h_file,56h_file,59h_file,61h_file,64h_file,66h_file,69h_file,72h_file,74h_file,77h_file,80h_file,82h_file,85h_file,88h_file,90h_file,93h_file,96h_file
epirubicin,0_75mM,0.75,I23,0.45,True,0h,-34.09,-38.1,89.47,105.41,105.41,54.55,50.0,113.64,102.99,83.82,40.91,57.35,55.38,40.91,95.45,98.51,66.18,59.09,94.03,92.31,54.55,53.73,90.91,35.82,45.45,98.51,34.09,89.55,82.61,67.16,89.55,90.91,89.55,40.3,111.94,83.82,88.52,104.76,,,I23_0h_05_29__14_48_10.csv,I23_4h_05_29__18_36_05.csv,I23_4h_05_29__18_36_05.csv,I23_6h_05_29__21_10_24.csv,I23_9h_05_29__23_44_59.csv,I23_12h_05_30__02_19_46.csv,I23_14h_05_30__04_54_46.csv,I23_17h_05_30__07_29_58.csv,I23_19h_05_30__10_05_25.csv,I23_22h_05_30__12_40_59.csv,I23_24h_05_30__15_16_48.csv,I23_27h_05_30__17_52_38.csv,I23_30h_05_30__20_28_48.csv,I23_32h_05_30__23_05_07.csv,I23_35h_05_31__01_41_46.csv,I23_38h_05_31__04_18_34.csv,I23_40h_05_31__06_55_18.csv,I23_43h_05_31__09_32_32.csv,I23_45h_05_31__12_09_49.csv,I23_48h_05_31__14_47_14.csv,I23_51h_05_31__17_25_01.csv,I23_53h_05_31__20_03_05.csv,I23_56h_05_31__22_41_10.csv,I23_59h_06_01__01_19_31.csv,I23_61h_06_01__03_57_56.csv,I23_64h_06_01__06_36_35.csv,I23_66h_06_01__09_15_25.csv,I23_69h_06_01__11_54_31.csv,I23_72h_06_01__14_33_53.csv,I23_74h_06_01__17_13_33.csv,I23_77h_06_01__19_53_29.csv,I23_80h_06_01__22_33_32.csv,I23_82h_06_02__01_13_47.csv,I23_85h_06_02__03_54_26.csv,I23_88h_06_02__06_35_11.csv,I23_90h_06_02__09_16_16.csv,,
epirubicin,0_75mM,0.75,I24,0.45,True,3h,-3.15,-3.0,,104.76,104.76,57.14,98.36,77.42,111.29,95.24,33.87,34.43,101.61,119.05,89.06,111.94,38.1,103.28,77.42,42.86,95.45,63.64,34.43,62.9,101.61,49.18,107.81,82.26,67.74,101.61,93.44,117.19,,104.76,52.38,109.52,71.43,88.52,95.24,32.81,,I24_4h_05_29__18_36_29.csv,I24_4h_05_29__18_36_29.csv,I24_6h_05_29__21_10_48.csv,I24_9h_05_29__23_45_22.csv,I24_12h_05_30__02_20_10.csv,I24_14h_05_30__04_55_10.csv,I24_17h_05_30__07_30_22.csv,I24_19h_05_30__10_05_49.csv,I24_22h_05_30__12_41_23.csv,I24_24h_05_30__15_17_12.csv,I24_27h_05_30__17_53_02.csv,I24_30h_05_30__20_29_13.csv,I24_32h_05_30__23_05_31.csv,I24_35h_05_31__01_42_10.csv,I24_38h_05_31__04_18_59.csv,I24_40h_05_31__06_55_43.csv,I24_43h_05_31__09_32_56.csv,I24_45h_05_31__12_10_14.csv,I24_48h_05_31__14_47_39.csv,I24_51h_05_31__17_25_26.csv,I24_53h_05_31__20_03_29.csv,I24_56h_05_31__22_41_34.csv,I24_59h_06_01__01_19_56.csv,I24_61h_06_01__03_58_20.csv,I24_64h_06_01__06_36_59.csv,I24_66h_06_01__09_15_50.csv,I24_69h_06_01__11_54_56.csv,I24_72h_06_01__14_34_18.csv,I24_74h_06_01__17_13_58.csv,,I24_80h_06_01__22_33_57.csv,I24_82h_06_02__01_14_12.csv,I24_85h_06_02__03_54_50.csv,I24_88h_06_02__06_35_36.csv,I24_90h_06_02__09_16_41.csv,I24_93h_06_02__11_57_51.csv,I24_96h_06_02__14_39_15.csv
epirubicin,0_75mM,0.75,J23,0.45,True,0h,57.46,114.9,50.0,100.0,100.0,63.64,45.45,68.18,40.3,35.29,101.47,57.35,107.46,92.65,86.96,52.94,31.82,44.78,77.78,105.88,59.09,70.59,100.0,86.36,104.08,81.82,,82.35,100.0,98.51,89.06,104.55,96.92,119.12,116.42,83.82,66.18,97.06,90.91,83.82,J23_0h_05_29__14_49_22.csv,J23_4h_05_29__18_37_17.csv,J23_4h_05_29__18_37_17.csv,J23_6h_05_29__21_11_36.csv,J23_9h_05_29__23_46_11.csv,J23_12h_05_30__02_20_59.csv,J23_14h_05_30__04_55_59.csv,J23_17h_05_30__07_31_10.csv,J23_19h_05_30__10_06_38.csv,J23_22h_05_30__12_42_12.csv,J23_24h_05_30__15_18_01.csv,J23_27h_05_30__17_53_51.csv,J23_30h_05_30__20_30_02.csv,J23_32h_05_30__23_06_20.csv,J23_35h_05_31__01_42_59.csv,J23_38h_05_31__04_19_48.csv,J23_40h_05_31__06_56_32.csv,J23_43h_05_31__09_33_46.csv,J23_45h_05_31__12_11_03.csv,J23_48h_05_31__14_48_28.csv,J23_51h_05_31__17_26_15.csv,J23_53h_05_31__20_04_18.csv,J23_56h_05_31__22_42_24.csv,J23_59h_06_01__01_20_46.csv,,J23_64h_06_01__06_37_49.csv,J23_66h_06_01__09_16_40.csv,J23_69h_06_01__11_55_46.csv,J23_72h_06_01__14_35_08.csv,J23_74h_06_01__17_14_48.csv,J23_77h_06_01__19_54_45.csv,J23_80h_06_01__22_34_47.csv,J23_82h_06_02__01_15_02.csv,J23_85h_06_02__03_55_41.csv,J23_88h_06_02__06_36_26.csv,J23_90h_06_02__09_17_32.csv,J23_93h_06_02__11_58_41.csv,J23_96h_06_02__14_40_06.csv
epirubicin,0_75mM,0.75,J24,0.45,True,0h,-57.92,-57.1,101.47,60.94,60.94,47.62,95.24,57.14,38.71,,,,43.55,91.94,114.29,37.5,38.71,63.64,119.12,79.41,45.45,107.46,119.12,88.24,102.99,94.03,39.71,111.94,70.59,35.82,41.54,50.77,80.6,72.73,35.82,111.94,68.18,98.51,118.18,92.31,J24_0h_05_29__14_48_58.csv,J24_4h_05_29__18_36_54.csv,J24_4h_05_29__18_36_54.csv,J24_6h_05_29__21_11_13.csv,J24_9h_05_29__23_45_47.csv,J24_12h_05_30__02_20_35.csv,J24_14h_05_30__04_55_35.csv,,,,J24_24h_05_30__15_17_37.csv,J24_27h_05_30__17_53_27.csv,J24_30h_05_30__20_29_38.csv,J24_32h_05_30__23_05_56.csv,J24_35h_05_31__01_42_35.csv,J24_38h_05_31__04_19_24.csv,J24_40h_05_31__06_56_08.csv,J24_43h_05_31__09_33_21.csv,J24_45h_05_31__12_10_39.csv,J24_48h_05_31__14_48_04.csv,J24_51h_05_31__17_25_51.csv,J24_53h_05_31__20_03_54.csv,J24_56h_05_31__22_42_00.csv,J24_59h_06_01__01_20_21.csv,J24_61h_06_01__03_58_46.csv,J24_64h_06_01__06_37_25.csv,J24_66h_06_01__09_16_15.csv,J24_69h_06_01__11_55_21.csv,J24_72h_06_01__14_34_43.csv,J24_74h_06_01__17_14_23.csv,J24_77h_06_01__19_54_20.csv,J24_80h_06_01__22_34_22.csv,J24_82h_06_02__01_14_37.csv,J24_85h_06_02__03_55_16.csv,J24_88h_06_02__06_36_01.csv,J24_90h_06_02__09_17_07.csv,J24_93h_06_02__11_58_16.csv,J24_96h_06_02__14_39_41.csv
epirubicin,12mM,12.0,A23,0.45,True,0h,-7.55,-19.3,39.13,92.86,92.86,88.89,44.12,105.88,82.61,111.94,55.97,118.18,31.58,73.68,94.03,94.03,62.69,104.55,35.82,52.94,113.04,114.71,110.77,79.41,76.12,90.91,72.73,68.18,89.55,75.0,94.03,71.64,54.55,78.26,111.94,80.6,100.0,95.45,118.18,31.82,A23_0h_05_29__13_31_23.csv,A23_4h_05_29__17_18_58.csv,A23_4h_05_29__17_18_58.csv,A23_6h_05_29__19_53_19.csv,A23_9h_05_29__22_27_43.csv,A23_12h_05_30__01_02_31.csv,A23_14h_05_30__03_37_20.csv,A23_17h_05_30__06_12_26.csv,A23_19h_05_30__08_47_50.csv,A23_22h_05_30__11_23_18.csv,A23_24h_05_30__13_58_58.csv,A23_27h_05_30__16_34_47.csv,A23_30h_05_30__19_10_47.csv,A23_32h_05_30__21_46_58.csv,A23_35h_05_31__00_23_32.csv,A23_38h_05_31__03_00_14.csv,A23_40h_05_31__05_36_59.csv,A23_43h_05_31__08_14_00.csv,A23_45h_05_31__10_51_12.csv,A23_48h_05_31__13_28_38.csv,A23_51h_05_31__16_06_11.csv,A23_53h_05_31__18_44_06.csv,A23_56h_05_31__21_22_14.csv,A23_59h_06_01__00_00_23.csv,A23_61h_06_01__02_38_53.csv,A23_64h_06_01__05_17_21.csv,A23_66h_06_01__07_56_05.csv,A23_69h_06_01__10_35_01.csv,A23_72h_06_01__13_14_23.csv,A23_74h_06_01__15_53_43.csv,A23_77h_06_01__18_33_30.csv,A23_80h_06_01__21_13_34.csv,A23_82h_06_01__23_53_48.csv,A23_85h_06_02__02_34_09.csv,A23_88h_06_02__05_14_56.csv,A23_90h_06_02__07_55_53.csv,A23_93h_06_02__10_36_52.csv,A23_96h_06_02__13_18_13.csv
epirubicin,12mM,12.0,A24,0.45,True,0h,-19.13,-17.7,108.2,42.86,42.86,33.33,63.93,36.29,116.13,57.14,,79.69,89.06,67.74,,85.07,47.62,47.62,60.0,,80.6,101.47,36.92,119.05,53.23,30.88,88.24,32.31,55.0,94.03,61.76,35.29,103.12,90.57,,,,,,,A24_0h_05_29__13_31_47.csv,A24_4h_05_29__17_19_22.csv,A24_4h_05_29__17_19_22.csv,A24_6h_05_29__19_53_43.csv,A24_9h_05_29__22_28_07.csv,A24_12h_05_30__01_02_55.csv,A24_14h_05_30__03_37_44.csv,A24_17h_05_30__06_12_50.csv,,A24_22h_05_30__11_23_41.csv,A24_24h_05_30__13_59_22.csv,A24_27h_05_30__16_35_11.csv,,A24_32h_05_30__21_47_22.csv,A24_35h_05_31__00_23_56.csv,A24_38h_05_31__03_00_38.csv,A24_40h_05_31__05_37_23.csv,,A24_45h_05_31__10_51_36.csv,A24_48h_05_31__13_29_02.csv,A24_51h_05_31__16_06_35.csv,A24_53h_05_31__18_44_30.csv,A24_56h_05_31__21_22_38.csv,A24_59h_06_01__00_00_47.csv,A24_61h_06_01__02_39_18.csv,A24_64h_06_01__05_17_46.csv,A24_66h_06_01__07_56_30.csv,A24_69h_06_01__10_35_25.csv,A24_72h_06_01__13_14_47.csv,A24_74h_06_01__15_54_08.csv,A24_77h_06_01__18_33_55.csv,A24_80h_06_01__21_13_58.csv,,,,,,
epirubicin,12mM,12.0,B23,0.45,True,0h,-12.02,-10.9,110.29,100.0,100.0,110.29,102.99,31.34,83.08,94.03,101.47,109.09,98.28,53.73,58.21,68.18,84.0,55.3,34.88,89.55,67.16,66.18,92.65,30.88,40.3,39.71,57.35,85.07,87.69,30.88,105.88,76.12,95.45,49.25,85.07,89.55,98.51,73.85,30.88,67.16,B23_0h_05_29__13_32_35.csv,B23_4h_05_29__17_20_10.csv,B23_4h_05_29__17_20_10.csv,B23_6h_05_29__19_54_31.csv,B23_9h_05_29__22_28_55.csv,B23_12h_05_30__01_03_43.csv,B23_14h_05_30__03_38_32.csv,B23_17h_05_30__06_13_39.csv,B23_19h_05_30__08_49_04.csv,B23_22h_05_30__11_24_30.csv,B23_24h_05_30__14_00_11.csv,B23_27h_05_30__16_36_00.csv,B23_30h_05_30__19_12_00.csv,B23_32h_05_30__21_48_10.csv,B23_35h_05_31__00_24_44.csv,B23_38h_05_31__03_01_27.csv,B23_40h_05_31__05_38_12.csv,B23_43h_05_31__08_15_14.csv,B23_45h_05_31__10_52_25.csv,B23_48h_05_31__13_29_51.csv,B23_51h_05_31__16_07_26.csv,B23_53h_05_31__18_45_19.csv,B23_56h_05_31__21_23_28.csv,B23_59h_06_01__00_01_36.csv,B23_61h_06_01__02_40_07.csv,B23_64h_06_01__05_18_35.csv,B23_66h_06_01__07_57_20.csv,B23_69h_06_01__10_36_15.csv,B23_72h_06_01__13_15_37.csv,B23_74h_06_01__15_54_57.csv,B23_77h_06_01__18_34_45.csv,B23_80h_06_01__21_14_48.csv,B23_82h_06_01__23_55_03.csv,B23_85h_06_02__02_35_24.csv,B23_88h_06_02__05_16_12.csv,B23_90h_06_02__07_57_07.csv,B23_93h_06_02__10_38_07.csv,B23_96h_06_02__13_19_28.csv
epirubicin,1_5mM,1.5,G23,0.45,True,0h,-13.43,-13.0,102.99,58.21,58.21,79.41,64.62,56.25,49.25,105.88,39.13,68.18,89.55,96.92,85.07,30.88,39.71,71.64,80.6,44.12,,120.0,40.3,87.69,31.34,54.55,118.18,90.91,85.07,92.65,107.46,88.24,44.12,76.12,109.09,83.82,31.34,,104.55,67.16,G23_0h_05_29__14_28_57.csv,G23_4h_05_29__18_16_46.csv,G23_4h_05_29__18_16_46.csv,G23_6h_05_29__20_51_09.csv,G23_9h_05_29__23_25_40.csv,G23_12h_05_30__02_00_29.csv,G23_14h_05_30__04_35_25.csv,G23_17h_05_30__07_10_36.csv,G23_19h_05_30__09_45_59.csv,G23_22h_05_30__12_21_33.csv,G23_24h_05_30__14_57_18.csv,G23_27h_05_30__17_33_10.csv,G23_30h_05_30__20_09_18.csv,G23_32h_05_30__22_45_32.csv,G23_35h_05_31__01_22_09.csv,G23_38h_05_31__03_58_57.csv,G23_40h_05_31__06_35_40.csv,G23_43h_05_31__09_12_53.csv,,G23_48h_05_31__14_27_32.csv,G23_51h_05_31__17_05_20.csv,G23_53h_05_31__19_43_18.csv,G23_56h_05_31__22_21_25.csv,G23_59h_06_01__00_59_45.csv,G23_61h_06_01__03_38_10.csv,G23_64h_06_01__06_16_45.csv,G23_66h_06_01__08_55_34.csv,G23_69h_06_01__11_34_38.csv,G23_72h_06_01__14_13_58.csv,G23_74h_06_01__16_53_34.csv,G23_77h_06_01__19_33_25.csv,G23_80h_06_01__22_13_29.csv,G23_82h_06_02__00_53_44.csv,G23_85h_06_02__03_34_20.csv,G23_88h_06_02__06_15_05.csv,,G23_93h_06_02__11_37_15.csv,G23_96h_06_02__14_18_39.csv
epirubicin,1_5mM,1.5,G24,0.45,True,0h,-55.53,-58.3,95.24,112.5,112.5,88.24,86.36,92.65,72.73,110.29,98.51,67.16,39.71,69.23,96.92,90.91,113.64,,72.73,31.34,92.65,,119.12,108.7,,97.06,80.6,44.12,39.71,92.65,35.82,96.92,36.36,49.25,44.12,79.41,39.71,43.48,102.99,110.29,G24_0h_05_29__14_29_22.csv,G24_4h_05_29__18_17_10.csv,G24_4h_05_29__18_17_10.csv,G24_6h_05_29__20_51_33.csv,G24_9h_05_29__23_26_04.csv,G24_12h_05_30__02_00_53.csv,G24_14h_05_30__04_35_50.csv,G24_17h_05_30__07_11_00.csv,G24_19h_05_30__09_46_24.csv,G24_22h_05_30__12_21_57.csv,G24_24h_05_30__14_57_42.csv,G24_27h_05_30__17_33_35.csv,G24_30h_05_30__20_09_43.csv,G24_32h_05_30__22_45_56.csv,G24_35h_05_31__01_22_34.csv,,G24_40h_05_31__06_36_04.csv,G24_43h_05_31__09_13_18.csv,G24_45h_05_31__11_50_35.csv,,G24_51h_05_31__17_05_45.csv,G24_53h_05_31__19_43_43.csv,,G24_59h_06_01__01_00_10.csv,G24_61h_06_01__03_38_35.csv,G24_64h_06_01__06_17_10.csv,G24_66h_06_01__08_55_59.csv,G24_69h_06_01__11_35_03.csv,G24_72h_06_01__14_14_23.csv,G24_74h_06_01__16_53_59.csv,G24_77h_06_01__19_33_50.csv,G24_80h_06_01__22_13_54.csv,G24_82h_06_02__00_54_09.csv,G24_85h_06_02__03_34_45.csv,G24_88h_06_02__06_15_30.csv,G24_90h_06_02__08_56_33.csv,G24_93h_06_02__11_37_40.csv,G24_96h_06_02__14_19_04.csv
epirubicin,1_5mM,1.5,H23,0.45,True,0h,-35.82,-33.3,107.46,94.03,94.03,32.31,62.69,62.69,69.57,80.6,71.64,64.62,71.64,44.78,71.64,89.55,62.69,107.46,109.09,77.42,79.69,95.24,,48.53,31.34,102.99,53.73,98.51,107.46,114.71,79.41,35.82,77.27,89.55,97.06,77.27,58.21,,40.3,40.3,H23_0h_05_29__14_30_10.csv,H23_4h_05_29__18_17_58.csv,H23_4h_05_29__18_17_58.csv,H23_6h_05_29__20_52_21.csv,H23_9h_05_29__23_26_52.csv,H23_12h_05_30__02_01_42.csv,H23_14h_05_30__04_36_38.csv,H23_17h_05_30__07_11_50.csv,H23_19h_05_30__09_47_12.csv,H23_22h_05_30__12_22_46.csv,H23_24h_05_30__14_58_31.csv,H23_27h_05_30__17_34_24.csv,H23_30h_05_30__20_10_32.csv,H23_32h_05_30__22_46_45.csv,H23_35h_05_31__01_23_23.csv,H23_38h_05_31__04_00_12.csv,H23_40h_05_31__06_36_53.csv,H23_43h_05_31__09_14_07.csv,H23_45h_05_31__11_51_25.csv,H23_48h_05_31__14_28_48.csv,,H23_53h_05_31__19_44_32.csv,H23_56h_05_31__22_22_41.csv,H23_59h_06_01__01_00_59.csv,H23_61h_06_01__03_39_25.csv,H23_64h_06_01__06_18_00.csv,H23_66h_06_01__08_56_49.csv,H23_69h_06_01__11_35_52.csv,H23_72h_06_01__14_15_13.csv,H23_74h_06_01__16_54_49.csv,H23_77h_06_01__19_34_40.csv,H23_80h_06_01__22_14_45.csv,H23_82h_06_02__00_54_59.csv,H23_85h_06_02__03_35_35.csv,H23_88h_06_02__06_16_22.csv,,H23_93h_06_02__11_38_30.csv,H23_96h_06_02__14_19_55.csv
epirubicin,1_5mM,1.5,H24,0.45,True,0h,,,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H24_0h_05_29__14_29_46.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,3mM,3.0,E23,0.45,True,0h,-15.11,-14.9,101.47,83.82,83.82,83.82,80.6,88.24,62.69,62.69,62.69,69.23,86.36,59.09,104.55,64.62,57.35,62.69,65.62,100.0,54.55,60.0,59.09,79.41,90.91,72.73,78.26,60.0,59.09,102.99,113.64,70.59,104.55,44.12,46.87,35.29,49.25,80.6,61.76,31.34,E23_0h_05_29__14_09_46.csv,E23_4h_05_29__17_57_29.csv,E23_4h_05_29__17_57_29.csv,E23_6h_05_29__20_31_50.csv,E23_9h_05_29__23_06_20.csv,E23_12h_05_30__01_41_09.csv,E23_14h_05_30__04_16_02.csv,E23_17h_05_30__06_51_10.csv,E23_19h_05_30__09_26_38.csv,E23_22h_05_30__12_02_08.csv,E23_24h_05_30__14_37_48.csv,E23_27h_05_30__17_13_42.csv,E23_30h_05_30__19_49_49.csv,E23_32h_05_30__22_25_59.csv,E23_35h_05_31__01_02_37.csv,E23_38h_05_31__03_39_21.csv,E23_40h_05_31__06_16_05.csv,E23_43h_05_31__08_53_17.csv,E23_45h_05_31__11_30_30.csv,E23_48h_05_31__14_07_54.csv,E23_51h_05_31__16_45_36.csv,E23_53h_05_31__19_23_37.csv,E23_56h_05_31__22_01_42.csv,E23_59h_06_01__00_40_00.csv,E23_61h_06_01__03_18_25.csv,E23_64h_06_01__05_56_57.csv,E23_66h_06_01__08_35_45.csv,E23_69h_06_01__11_14_43.csv,E23_72h_06_01__13_54_06.csv,E23_74h_06_01__16_33_37.csv,E23_77h_06_01__19_13_24.csv,E23_80h_06_01__21_53_30.csv,E23_82h_06_02__00_33_44.csv,E23_85h_06_02__03_14_17.csv,E23_88h_06_02__05_55_01.csv,E23_90h_06_02__08_36_00.csv,E23_93h_06_02__11_17_05.csv,E23_96h_06_02__13_58_30.csv
epirubicin,3mM,3.0,E24,0.45,True,0h,-28.18,-47.0,60.0,53.73,53.73,80.6,31.03,57.89,102.99,105.88,54.55,114.71,31.82,30.88,,98.51,113.04,95.45,72.73,40.91,104.55,115.38,91.94,55.1,,34.29,36.36,34.09,40.3,30.88,77.27,107.46,97.06,97.06,83.82,,107.46,107.46,81.82,72.73,E24_0h_05_29__14_10_10.csv,E24_4h_05_29__17_57_53.csv,E24_4h_05_29__17_57_53.csv,E24_6h_05_29__20_32_14.csv,E24_9h_05_29__23_06_44.csv,E24_12h_05_30__01_41_33.csv,E24_14h_05_30__04_16_26.csv,E24_17h_05_30__06_51_34.csv,E24_19h_05_30__09_27_02.csv,E24_22h_05_30__12_02_32.csv,E24_24h_05_30__14_38_12.csv,E24_27h_05_30__17_14_06.csv,,E24_32h_05_30__22_26_24.csv,E24_35h_05_31__01_03_01.csv,E24_38h_05_31__03_39_46.csv,E24_40h_05_31__06_16_29.csv,E24_43h_05_31__08_53_41.csv,E24_45h_05_31__11_30_54.csv,E24_48h_05_31__14_08_18.csv,E24_51h_05_31__16_46_01.csv,E24_53h_05_31__19_24_02.csv,,E24_59h_06_01__00_40_24.csv,E24_61h_06_01__03_18_49.csv,E24_64h_06_01__05_57_22.csv,E24_66h_06_01__08_36_10.csv,E24_69h_06_01__11_15_08.csv,E24_72h_06_01__13_54_31.csv,E24_74h_06_01__16_34_01.csv,E24_77h_06_01__19_13_49.csv,E24_80h_06_01__21_53_55.csv,E24_82h_06_02__00_34_09.csv,,E24_88h_06_02__05_55_26.csv,E24_90h_06_02__08_36_25.csv,E24_93h_06_02__11_17_30.csv,E24_96h_06_02__13_58_55.csv
epirubicin,3mM,3.0,F23,0.45,True,0h,-23.99,-28.9,83.08,102.99,102.99,116.42,62.69,44.78,39.71,58.21,115.38,69.23,59.09,,98.51,44.78,68.18,90.91,94.03,34.78,35.82,102.99,48.53,31.82,77.27,111.94,110.29,86.96,82.61,100.0,80.6,73.85,118.18,39.71,85.07,76.12,117.39,70.59,60.87,44.78,F23_0h_05_29__14_10_57.csv,F23_4h_05_29__17_58_41.csv,F23_4h_05_29__17_58_41.csv,F23_6h_05_29__20_33_03.csv,F23_9h_05_29__23_07_33.csv,F23_12h_05_30__01_42_21.csv,F23_14h_05_30__04_17_15.csv,F23_17h_05_30__06_52_23.csv,F23_19h_05_30__09_27_51.csv,F23_22h_05_30__12_03_20.csv,F23_24h_05_30__14_39_01.csv,,F23_30h_05_30__19_51_03.csv,F23_32h_05_30__22_27_12.csv,F23_35h_05_31__01_03_50.csv,F23_38h_05_31__03_40_34.csv,F23_40h_05_31__06_17_18.csv,F23_43h_05_31__08_54_30.csv,F23_45h_05_31__11_31_44.csv,F23_48h_05_31__14_09_08.csv,F23_51h_05_31__16_46_50.csv,F23_53h_05_31__19_24_51.csv,F23_56h_05_31__22_02_56.csv,F23_59h_06_01__00_41_14.csv,F23_61h_06_01__03_19_39.csv,F23_64h_06_01__05_58_11.csv,F23_66h_06_01__08_37_00.csv,F23_69h_06_01__11_15_57.csv,F23_72h_06_01__13_55_21.csv,F23_74h_06_01__16_34_51.csv,F23_77h_06_01__19_14_39.csv,F23_80h_06_01__21_54_46.csv,F23_82h_06_02__00_34_59.csv,F23_85h_06_02__03_15_33.csv,F23_88h_06_02__05_56_16.csv,F23_90h_06_02__08_37_15.csv,F23_93h_06_02__11_18_21.csv,F23_96h_06_02__13_59_46.csv
epirubicin,3mM,3.0,F24,0.45,True,0h,,,84.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F24_0h_05_29__14_10_33.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,6mM,6.0,C23,0.45,True,0h,46.43,86.7,53.57,110.2,110.2,52.94,77.27,54.55,,50.0,47.01,59.09,100.0,31.34,77.27,,,100.0,34.78,114.71,66.18,90.91,58.21,43.18,40.91,77.27,66.18,48.53,31.34,53.73,81.82,101.47,59.09,76.12,30.88,70.59,39.71,80.6,97.06,49.25,C23_0h_05_29__13_50_34.csv,C23_4h_05_29__17_38_11.csv,C23_4h_05_29__17_38_11.csv,C23_6h_05_29__20_12_33.csv,C23_9h_05_29__22_47_03.csv,C23_12h_05_30__01_21_52.csv,,C23_17h_05_30__06_31_47.csv,C23_19h_05_30__09_07_15.csv,C23_22h_05_30__11_42_41.csv,C23_24h_05_30__14_18_23.csv,C23_27h_05_30__16_54_14.csv,C23_30h_05_30__19_30_19.csv,,,C23_38h_05_31__03_19_49.csv,C23_40h_05_31__05_56_32.csv,C23_43h_05_31__08_33_38.csv,C23_45h_05_31__11_10_51.csv,C23_48h_05_31__13_48_16.csv,C23_51h_05_31__16_25_55.csv,C23_53h_05_31__19_03_48.csv,C23_56h_05_31__21_41_58.csv,C23_59h_06_01__00_20_14.csv,C23_61h_06_01__02_58_39.csv,C23_64h_06_01__05_37_11.csv,C23_66h_06_01__08_15_55.csv,C23_69h_06_01__10_54_53.csv,C23_72h_06_01__13_34_14.csv,C23_74h_06_01__16_13_36.csv,C23_77h_06_01__18_53_26.csv,C23_80h_06_01__21_33_32.csv,C23_82h_06_02__00_13_46.csv,C23_85h_06_02__02_54_12.csv,C23_88h_06_02__05_34_58.csv,C23_90h_06_02__08_15_54.csv,C23_93h_06_02__10_56_58.csv,C23_96h_06_02__13_38_20.csv
epirubicin,6mM,6.0,C24,0.45,True,0h,-13.33,-23.2,57.45,120.0,120.0,113.79,100.0,110.29,57.35,89.55,50.0,94.03,44.12,58.21,,49.25,106.15,62.07,56.25,37.5,48.53,104.35,94.03,87.69,59.09,87.69,40.91,103.12,58.21,35.29,114.71,45.45,47.83,40.3,47.83,91.3,64.62,108.7,44.78,97.06,C24_0h_05_29__13_50_58.csv,C24_4h_05_29__17_38_34.csv,C24_4h_05_29__17_38_34.csv,C24_6h_05_29__20_12_57.csv,C24_9h_05_29__22_47_27.csv,C24_12h_05_30__01_22_16.csv,C24_14h_05_30__03_57_06.csv,C24_17h_05_30__06_32_12.csv,C24_19h_05_30__09_07_39.csv,C24_22h_05_30__11_43_05.csv,C24_24h_05_30__14_18_47.csv,C24_27h_05_30__16_54_38.csv,,C24_32h_05_30__22_06_53.csv,C24_35h_05_31__00_43_29.csv,C24_38h_05_31__03_20_13.csv,C24_40h_05_31__05_56_56.csv,C24_43h_05_31__08_34_02.csv,C24_45h_05_31__11_11_16.csv,C24_48h_05_31__13_48_40.csv,C24_51h_05_31__16_26_20.csv,C24_53h_05_31__19_04_13.csv,C24_56h_05_31__21_42_23.csv,C24_59h_06_01__00_20_38.csv,C24_61h_06_01__02_59_04.csv,C24_64h_06_01__05_37_36.csv,C24_66h_06_01__08_16_20.csv,C24_69h_06_01__10_55_18.csv,C24_72h_06_01__13_34_39.csv,C24_74h_06_01__16_14_01.csv,C24_77h_06_01__18_53_51.csv,C24_80h_06_01__21_33_57.csv,C24_82h_06_02__00_14_11.csv,C24_85h_06_02__02_54_37.csv,C24_88h_06_02__05_35_23.csv,C24_90h_06_02__08_16_19.csv,C24_93h_06_02__10_57_23.csv,C24_96h_06_02__13_38_45.csv
