drug,concentration,conc_uM,well,cmax_uM,exceeds_cmax,baseline_used,bpm_change,pct_change,0h_bpm,3h_bpm,4h_bpm,6h_bpm,9h_bpm,12h_bpm,14h_bpm,17h_bpm,19h_bpm,22h_bpm,24h_bpm,27h_bpm,30h_bpm,32h_bpm,35h_bpm,38h_bpm,40h_bpm,43h_bpm,45h_bpm,48h_bpm,51h_bpm,53h_bpm,56h_bpm,59h_bpm,61h_bpm,64h_bpm,66h_bpm,69h_bpm,72h_bpm,74h_bpm,77h_bpm,80h_bpm,82h_bpm,85h_bpm,88h_bpm,90h_bpm,93h_bpm,96h_bpm
epirubicin,6mM,6.0,D24,0.45,True,3h,,,,37.5,37.5,88.24,111.94,86.36,83.82,,,,,,,,,,30.88,43.48,47.37,,,,95.65,54.55,89.55,52.38,66.18,,109.09,,,54.55,101.54,63.64,100.0,75.0,46.32,86.36
doxorubicin,0_16mM,0.16,O21,0.13,True,0h,18.43,47.6,38.71,51.56,51.56,57.14,77.42,119.05,75.0,91.94,106.45,89.06,57.14,54.1,71.43,119.05,,62.9,,42.19,51.56,70.31,90.48,84.37,100.0,85.71,64.62,61.9,67.74,,118.03,103.12,114.29,114.29,93.44,91.94,42.86,116.13,106.45,62.69
doxorubicin,0_16mM,0.16,O22,0.13,True,0h,-26.87,-35.3,76.12,48.53,48.53,48.53,49.25,50.77,49.25,49.25,49.25,49.25,49.25,47.01,45.45,45.45,79.41,89.55,44.12,44.12,88.24,116.42,44.12,36.36,46.15,44.78,88.24,104.55,39.71,44.12,40.3,40.3,79.41,39.71,41.54,39.71,39.71,81.82,83.82,80.6
doxorubicin,0_16mM,0.16,P21,0.13,True,0h,,,89.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,0_16mM,0.16,P22,0.13,True,0h,17.91,57.1,31.34,102.99,102.99,40.3,,107.46,44.12,40.91,67.16,76.12,49.25,92.65,54.55,68.18,100.0,104.55,55.15,89.55,30.88,98.51,50.0,97.06,119.12,90.91,73.85,71.64,81.82,93.75,62.69,79.41,88.24,30.88,53.73,31.34,,39.13,81.82,85.07
doxorubicin,0_31mM,0.31,M21,0.13,True,0h,20.81,24.5,85.07,102.99,102.99,44.78,58.21,107.46,70.59,115.38,102.99,40.91,105.88,31.34,46.15,120.0,114.71,88.24,119.12,58.21,67.16,40.3,77.27,50.0,91.3,85.07,83.82,50.77,45.45,82.61,63.64,62.69,31.34,71.64,80.6,118.18,76.12,52.94,116.42,41.54
doxorubicin,0_31mM,0.31,M22,0.13,True,0h,-16.5,-21.1,78.26,94.03,94.03,47.01,107.46,96.77,65.62,95.0,92.65,98.51,61.76,82.61,104.55,58.59,58.21,46.87,93.75,105.88,69.23,35.29,109.09,75.0,118.18,38.06,83.82,105.88,62.69,44.12,67.16,93.75,104.76,93.44,91.94,31.82,92.31,83.08,97.06,94.03
doxorubicin,0_31mM,0.31,N21,0.13,True,0h,8.96,25.0,35.82,36.92,36.92,85.07,96.92,49.25,94.03,62.69,40.3,101.47,44.78,83.82,83.82,85.07,100.0,107.46,120.0,44.12,,119.05,85.07,35.82,100.0,31.82,66.18,40.91,58.21,30.88,89.55,31.34,57.35,67.16,85.07,39.71,100.0,35.82,54.55,113.64
doxorubicin,0_31mM,0.31,N22,0.13,True,0h,19.91,24.0,83.08,104.55,104.55,30.88,110.29,65.22,89.55,76.12,58.21,50.0,102.99,78.46,97.06,35.29,53.73,102.99,31.34,31.82,43.18,53.73,109.09,111.94,102.99,63.64,118.18,50.0,113.64,95.45,54.55,116.42,68.18,39.71,109.09,50.77,109.09,54.55,94.03,53.73
doxorubicin,0_63mM,0.63,K21,0.13,True,0h,7.22,8.2,88.24,96.92,96.92,97.06,98.44,98.51,95.45,92.65,94.03,92.65,95.45,92.65,86.36,,88.24,87.69,83.82,86.36,83.82,80.6,79.41,79.41,81.82,80.6,79.41,83.82,79.41,81.82,80.6,85.07,86.36,80.6,81.82,80.6,80.6,85.07,72.73,77.27
doxorubicin,0_63mM,0.63,K22,0.13,True,0h,6.24,5.6,111.94,111.94,111.94,110.77,116.42,98.28,97.06,100.0,118.18,116.42,118.18,77.27,80.6,44.78,85.71,98.51,76.12,95.45,90.0,95.24,104.55,92.65,94.03,,92.65,86.96,88.24,90.91,85.07,86.36,83.82,88.24,83.82,85.07,85.07,88.24,85.07,89.55
doxorubicin,0_63mM,0.63,L21,0.13,True,0h,27.33,88.5,30.88,116.42,116.42,94.03,56.52,88.24,90.91,51.49,44.78,53.08,58.21,58.21,33.09,102.99,94.03,48.53,53.73,104.55,118.18,54.55,102.99,46.15,89.55,39.71,31.34,110.29,52.94,107.46,107.46,110.29,80.95,109.09,41.54,47.01,42.54,102.99,44.78,90.91
doxorubicin,0_63mM,0.63,L22,0.13,True,0h,16.13,16.1,100.0,80.95,80.95,96.77,90.48,87.1,116.13,100.0,68.85,117.19,116.13,90.48,98.44,76.19,76.19,38.71,100.0,,,,,,,,,,,,,,,,,,,,,
doxorubicin,10mM,10.0,C21,0.13,True,0h,,,111.94,111.94,111.94,89.55,109.09,95.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,10mM,10.0,C22,0.13,True,0h,,,91.3,117.19,117.19,90.91,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,10mM,10.0,D21,0.13,True,0h,-74.85,-70.7,105.88,31.82,31.82,104.55,111.94,61.76,98.36,87.27,,44.12,31.03,61.76,116.42,59.09,39.23,50.0,101.47,31.34,108.7,76.12,98.51,73.91,114.71,94.03,89.55,66.18,94.03,102.99,76.12,30.88,98.51,30.88,96.92,113.64,39.71,71.64,31.82,79.41
doxorubicin,10mM,10.0,D22,0.13,True,0h,,,90.48,90.48,90.48,32.31,94.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,1_25mM,1.25,I21,0.13,True,0h,-16.76,-17.8,94.03,85.07,85.07,114.71,67.16,31.34,31.82,114.71,49.25,35.82,77.27,109.09,48.53,58.21,90.91,76.12,77.27,44.78,92.65,32.31,35.82,85.07,95.45,86.36,68.18,,98.51,98.51,58.21,47.83,45.45,85.07,113.64,78.26,36.36,50.0,68.18,81.82
doxorubicin,1_25mM,1.25,I22,0.13,True,0h,-14.35,-18.9,76.12,119.12,119.12,113.64,51.43,102.99,92.65,119.12,113.64,53.73,61.76,45.45,111.94,69.57,44.12,45.45,81.82,59.09,86.36,35.29,48.53,100.0,35.82,39.71,31.34,98.51,35.82,98.51,30.88,67.16,110.29,,104.35,54.55,34.78,58.21,,101.47
doxorubicin,1_25mM,1.25,J21,0.13,True,0h,62.21,195.5,31.82,30.88,30.88,50.0,98.51,102.99,40.3,31.82,78.26,86.36,94.03,44.12,30.88,46.15,104.55,31.82,59.09,70.31,94.03,116.42,104.55,85.07,94.03,76.12,111.94,83.08,48.53,52.94,107.46,,,,,,,,,
doxorubicin,1_25mM,1.25,J22,0.13,True,3h,,,,,,,90.48,,102.99,,104.55,85.07,54.55,104.55,,95.45,98.44,91.94,97.06,101.47,61.9,,,,,,,,,,,,,,,,,,,
doxorubicin,20mM,20.0,A21,0.13,True,0h,,,110.77,62.9,62.9,113.11,68.18,83.82,75.0,53.73,110.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,20mM,20.0,A22,0.13,True,0h,,,117.39,72.73,72.73,80.6,57.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
