Target,Mean CV Accuracy,Std CV Accuracy,Mean CV F1-Score,Std CV F1-Score,Number of Features
Arrhythmia,0.8009259259259259,0.053591837512917705,0.812962962962963,0.05743726821952154,14
Heart Damage,0.8009259259259259,0.053591837512917705,0.8884920634920634,0.0325348428456661,14
Concern,0.7222222222222222,0.039283710065919325,0.541025641025641,0.05435700331497925,14
