Model,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std,AUC_Fold1,AUC_Fold2,AUC_Fold3
Arrhythmia,0.6851851851851851,0.13718085546323197,0.7248677248677248,0.12981845657550578,0.8777777777777778,0.10999438818457404,0.9,0.7333333333333334,1.0
Heart Damage,0.8009259259259259,0.053591837512917705,0.8884920634920634,0.0325348428456661,0.3611111111111111,0.2048941371972315,0.42857142857142855,0.5714285714285714,0.08333333333333333
No Concern,0.8425925925925926,0.045830995076905856,0.0,0.0,0.5952380952380952,0.12140522651411391,0.6428571428571428,0.7142857142857143,0.4285714285714286
Less Concern,0.8009259259259259,0.053591837512917705,0.2222222222222222,0.31426968052735443,0.5694444444444444,0.15340779190537862,0.75,0.5833333333333333,0.375
Most Concern,0.6435185185185185,0.0804543851712165,0.7722832722832723,0.048648893316572746,0.7083333333333334,0.24560959686883993,0.825,0.9333333333333333,0.3666666666666667
Concern (Overall OVR),0.7623456790123457,0.05995907258701336,0.3315018315018315,0.12097285794797573,0.6243386243386243,0.16565589614416282,0.7392857142857142,0.7436507936507937,0.3900793650793651
