,20,20,20,10,10,10,10,5,5,5,5,2.5,2.5,2.5,2.5,1.25,1.25,1.25,0.625,0.625,0.625,0.313,0.313,0.313,0.156,0.156,0.156,0.156
0,0.11860584690869061,0.1688004026398377,0.2038854927709568,0.0006853420389805847,0.15088579464697582,0.08749015244557141,0.07502325593281317,0.17981387075372185,0.13575995158006798,0.14885501049137545,0.16770348090007375,0.16325925044167408,0.15914673437293975,0.08632554802978136,0.09567694181690545,0.15313539903433737,0.0647998893870096,0.10377705766485353,0.05888792518268378,0.05217296625645352,0.24955268299926675,0.10739771689870976,0.03485229713660047,0.10005548038428268,0.04716895626132307,0.13763476576049363,0.036403368573954833,0.06720079623103067
3,0.1281775445616866,0.16020011576723225,0.19713573600906104,0.017907514146039468,0.07635202712019362,0.0869970647079498,0.08478104118308294,0.16745121273493874,0.14844385850409525,0.2159864383088172,0.13696541619552136,0.0961973788345121,0.19841935397311275,0.09050921835547059,0.09477231518814311,0.199293604738927,0.06971278282826068,0.11921306019939837,0.061304576636965445,0.04528568992862546,0.12504811106314662,0.1229888755275091,0.015309713556841832,0.09352712869199965,0.041096286585612096,0.1364264695460261,0.03522185605891082,0.06798697791487734
14,0.1377492422146826,0.15159982889462684,0.1903859792471653,0.03512968625309835,0.0018182595934114225,0.08650397697032818,0.0945388264333527,0.1550885547161556,0.16112776542812254,0.28311786612625894,0.10622735149096899,0.029135507227350095,0.2376919735732858,0.09469288868115984,0.09386768855938078,0.2454518104435166,0.07462567626951175,0.13464906273394323,0.06372122809124711,0.0383984136007974,0.0005435391270264684,0.09476239785584711,0.0004507137197189113,0.11071192567585807,0.04243619705000251,0.10917658424482982,0.03404034354386681,0.06877315959872403
16,0.12402477669976324,0.15066761175002863,0.16101239939365708,0.015792980535739437,0.11683649757471848,0.08837962704446066,0.09925615108492117,0.15106664475332623,0.1404643942681299,0.22524361817696492,0.17240053995864316,0.21124534525166516,0.2231351797366913,0.09285129731413895,0.08941308748877927,0.16192348662151743,0.07287621559394929,0.13940529081554848,0.059358041069208306,0.03494152829432879,0.00044048755140457807,0.08698884181616817,0.0005468424224644434,0.10282558015084581,0.04181440779672925,0.0988869709958016,0.0004952760526195122,0.0695593412825707
19,0.11030031118484386,0.1534944574410314,0.18385002311268042,0.00048438428982343546,0.11383387799513348,0.06691837062545536,0.10222138920298492,0.17355092933113073,0.13605162946962132,0.10556798683949326,0.1914915028697921,0.20887365920726317,0.21993103115944007,0.08949333694692381,0.09388978526184188,0.14236711492478973,0.06515966155930134,0.13681157044212688,0.062351443245919284,0.0006669106544147165,0.00033743597578268764,0.037923621771661795,0.03447814667016017,0.09056338142086925,0.041733043886766685,0.10023395293419178,0.0006028083966946265,0.061412842757302806
22,0.008676905156803635,0.17666421023740556,0.16393384883449474,0.0005997407088185627,0.12511158295281918,0.07139804336792578,0.08756599074866235,0.18479762206444408,0.1488767492427533,0.07439057265801557,0.001519370508163678,0.2070404193492967,0.23882451414688852,0.08823763188068141,0.08552644073113858,0.14673879538279358,0.07274210404638748,0.13834315537039713,0.06590156695566611,0.035112509169910364,0.00034851886644968075,0.0910591592287786,0.0005297140879053301,0.10599674952055191,0.0005730097011341531,0.11484011622477813,0.0010085064017760006,0.072706464905974
24,0.11012200315172047,0.15141353756286058,0.16692751224931593,0.0005398351227171955,0.0031714947171015678,0.07587771611039623,0.08664263318836618,0.15030992161281634,0.16766860457268293,0.1105925479564862,0.17516365282664784,0.21603309997118636,0.24302765763098083,0.09257940581127655,0.08346676615126343,0.14182597819088763,0.06457031213556759,0.15813351429962233,0.06755942003460713,0.03440029248770186,0.046609796356971524,0.08056465270104615,0.0027646990933200212,0.0970737625752577,0.042713320446099746,0.054164197063477304,0.0007517903710955561,0.057671017622735354
27,0.12701863648080863,0.16783497005963124,0.16047037442898865,0.0007377757599940636,0.13092719148544996,0.08035738885286665,0.08571927562807,0.1601628985665237,0.1388057803801435,0.23326594871361897,0.00143499104778452,0.20436000986005765,0.22518056979574902,0.08771714499107472,0.09942093433758631,0.13439814891398935,0.07188266361208248,0.13132581848059272,0.06044017938178388,0.0006963390407707238,0.10009663554388314,0.08945925563356241,0.00045162691871278223,0.09469590573715572,0.043448250994438706,0.10474912469147736,0.03577188269191602,0.05341764771607811
29,0.12419627460826463,0.1577999847473005,0.1628730095315131,0.0317739965515389,0.12230591275158371,0.08483706159533709,0.09386847724782646,0.18617280364045058,0.18401220287463735,0.24932439863049763,0.1886075950038038,0.20475065263324918,0.2671157783815809,0.08372022711845958,0.08828044280784138,0.15819861285471162,0.07631718431497327,0.15276486663723113,0.05955819108022415,0.0006256658856862096,0.1451305822155211,0.13941912511288312,0.0005016086653925852,0.09410208117723734,0.03950531629603099,0.11517416912492652,0.0007176290649428922,0.04549263023084964
