Time,2.4.1,2.4.2,2.4,2.4.3,1.2.3,1.2,1.2.2,1.2.1,0.6.3,0.6.2,0.6,0.6.1,0.3.1,0.3,0.3.2,0.15,0.15.2,0.15.1,0.15.3,0.075,0.075.2,0.075.3,0.075.1,0.038,0.038.2,0.038.1,0.019,0.019.3,0.019.1,0.019.2
0,0.1315571972786544,,0.0200231703397639,0.0504749630807149,0.1852263872931232,,0.0566548484428199,0.0712635285186842,0.2179105537145703,,,0.1750548226928184,0.3010754782960856,0.2090984930339549,0.0740960244299502,0.1250299479680324,0.1070624692754923,0.1647834443730008,0.0225837760521149,0.0220896993541525,0.0233819652506805,0.1378526116068967,0.0008351250984695,0.0360164519052493,0.0981436405063652,0.1292776942470455,0.0600706733904931,0.1572579239589768,0.0531686602235631,0.0617930961771605
4,0.1114987824228114,0.1412743225379437,0.1599250814855016,0.1386045986926117,0.2270752336677862,0.0874865155841101,0.0613553184122091,0.0400630179223316,0.2005434852209888,0.1552464561851024,,0.1148369886376241,0.2639883094577566,0.0307039836077415,0.0498706961677156,0.1655662899428342,0.0396292591417531,0.1744164216028654,0.0154179305531526,0.1378879926371891,0.1853274683669011,0.1134233556234718,0.000496031219811,0.0057200116418154,0.0624493724838822,0.146588977945475,0.0244580912852546,0.0434616453506815,0.1185923175487475,0.0502194862257738
6,0.0914403675669684,0.1534735503234733,0.1586656819661137,0.1393220645903537,0.2174901119652309,0.0015519994206741,0.0766989420431655,0.0541123299475675,0.1831764167274072,0.0210819181023411,0.2254270275814986,0.1180963584279949,0.2534165030085264,0.2065825909825956,0.0580942937362778,0.2061026319176359,0.0500571218930378,0.1701349470978585,0.1531257797080209,0.1809946074432641,0.2032963914716347,0.1250584526345279,0.000417018606694,0.2083809443392489,0.1106536374818624,0.1470271796911639,0.1896408524415667,0.1329147584352222,0.1201439256279601,0.0411605884705654
9,0.0883853015703649,0.1554069313961027,0.1634475700873227,0.1381234117311268,0.2513094319185021,0.1316329583137018,0.0717408370998087,0.0493897163495726,0.1531691311994494,0.1823332801848602,0.1005780603045752,0.1381602065003755,0.2700348105216367,0.082798578551989,0.0534250065735902,0.189519311451842,0.0616187920462104,0.1672171138888635,0.1637895364469201,0.0878295994458177,0.1903801697599775,0.1165329865568542,0.0004611736759836,0.2084060619532022,0.0825311324657971,0.186812298840837,0.0844608082504666,0.100535774898435,0.1077847624092123,0.0366628756042721
11,0.0853302355737615,0.1489637888789297,0.1690921083211664,0.1188251548076129,0.219733922317275,0.1257045860282515,0.0787011419508088,0.0423713818209876,0.1639863710997132,0.1880316590481811,0.2027014771595183,0.1367089870817996,0.2445033077764935,0.0676390757665039,0.0482225329659867,0.1961545645865467,0.0695731654034965,0.0123441562102015,0.1550117938270248,0.1459108006116512,0.195174111473394,0.1093614749907098,0.0136862811915618,0.2342243994751934,0.0852019902128187,0.185606020473572,0.1931564811111109,0.0770785688287717,0.1141155591675903,0.0467376307138957
14,0.1809739616740117,0.1538004613844501,0.1481568163377858,0.1041266602622902,0.1649434271631475,0.1078339455067517,0.0800789332011875,0.0439683355507001,0.1981740667171071,0.1592323102463051,0.0947329189907359,0.136089101090128,0.253455894653898,0.0606811894601614,0.0336422316479558,0.2065192955208693,0.064597564366742,0.1724837522999738,0.0400943104741104,0.1459008608087916,0.1994699960781855,0.1076817983723536,0.0021598532539729,0.2033281043286772,0.0952254784771557,0.1115156750610143,0.1727569222074156,0.0790578509546312,0.1122007799903432,0.0475288455293193
17,0.1686352450172401,0.1436040924113507,0.1255060468282463,0.1032593024503035,0.1444215759642909,0.1252445984001827,0.0760694585101888,0.0437375061935261,0.1611395443291326,0.1384137937433165,0.1874056705751133,0.1137292461747068,0.2457080582353508,0.0645927186049852,0.0135349326993915,0.1327424316826164,0.0744006624184624,0.167591460839981,0.0631653809623014,0.1450850180673545,0.0717634922691076,0.106904073940328,0.000400124358778,0.2158207672952036,0.0832304442684208,0.0792540497615333,0.193425060007834,0.0761630043932351,0.1189934501212262,0.0410514508332625
19,0.1562965283604686,0.1448033389005844,0.1335879362935877,0.0584859925958008,0.1320572257925883,0.1168202025161857,0.0691130066192472,0.0428518803997343,0.1568910483135471,0.1671098299618712,0.193694106359405,0.115940583585711,0.2802432843494487,0.0538767837550412,0.0394212387277078,0.1356296747770136,0.0750178159442112,0.1537327936356918,0.0609469302745037,0.1350782841665534,0.1944938085064396,0.0978417778389335,0.0003047767853509,0.1841491736375932,0.0660629023984428,0.0757274239104677,0.1913036602728498,0.0734792740273629,0.1030061405197734,0.0418562685307817
22,0.1564765299202796,0.1380612105518858,0.1134574821895077,0.0010301711514705,0.0512399929244557,0.0952357938741682,0.0757216506839872,0.0449023197917362,0.1601455385583366,0.1401728604157126,0.0894359757499627,0.1181519209967152,0.2363471699045919,0.0450304943333352,0.0374923219005542,0.1171353197467496,0.0688651077060127,0.1565545043508837,0.0755580284172058,0.1433681988540553,0.1944094966936157,0.0984271142568222,0.0330631369070267,0.1770370009761007,0.0438598670060678,0.0734470724447491,0.1660867120013534,0.0596509940786187,0.0962454193369688,0.0462057041277595
24,0.1437288760758459,0.1377575256779416,0.1091092864091918,0.0004205725351825,0.0865375246972489,0.091936349751556,0.0795947184368696,0.0452292544051012,0.1490826641015364,0.1117855674204638,0.1605597458022511,0.1135383396928159,0.2223791728240294,0.049499386989121,0.0365065131321217,0.1096469843616516,0.0660962575533371,0.147322931498656,0.0378749470216604,0.1626871951171909,0.2106184662797357,0.0375061295345657,0.0350800973000752,0.214102132158166,0.03377293262497,0.0624363125436528,0.1449223175630789,0.0742802297603816,0.1008049035924347,0.0153893414734326
