Time,2.4.1,2.4,2.4.2,1.2.3,1.2.2,1.2.1,1.2,0.6,0.6.2,0.6.1,0.6.3,0.3.1,0.3,0.3.2,0.15,0.15.2,0.15.1,0.075.3,0.075.1,0.075.2,0.075,0.038,0.038.1,0.019.3,0.019.2,0.019,0.019.1
51,44.87639,34.4967,15.73919,23.06081,11.09155,8.558571,-0.14915,28.85068,19.06944,25.68451,13.01486,33.87973,23.30959,9.476056,26.02027,12.32877,21.57571,20.916,12.63014,10.39459,8.9,114.5258,50.2,42.92703,43.60714,22.17123,26.02329
53,45.1973,34.58108,15.26944,24.48333,10.07361,9.869444,-0.2,28.15139,20.11389,23.30147,13.80704,35.58781,23.42297,11.17945,27.73243,13.98356,22.04265,21.55429,14.13919,16.30143,9.014865,33.32778,50.80857,42.43919,41.63429,21.79459,25.16986
56,45.01081,35.75833,15.14444,26.12877,9.773611,10.86575,0.186301,28.89306,21.11233,23.20959,15.7726,37.29589,24.26622,12.61806,28.42329,16.45857,21.68356,22.2,15.13803,24.60145,9.15,36.02571,47.81765,43.05694,41.64247,21.49296,24.0411
58,44.57432,38.13562,15.24306,27.29028,10.06164,11.39189,1.572973,29.97361,21.88533,23.236,16.45833,39.28784,25.20946,15.35205,113.0403,18.30135,22.24595,23.22083,16.91233,31.30143,9.527397,38.15714,47.20588,42.75753,39.74286,20.51972,23.9411
61,44.46438,41.05946,15.30541,28.64861,11.24595,79.50145,2.363014,31.43611,23.23562,23.33699,18.50959,41.20676,27.24795,16.56575,30.86479,19.63239,21.77945,23.48514,17.06486,30.46269,8.808333,39.0499,41.73623,43.33571,37.69296,20.57973,23.01507
64,45.78082,44.67361,15.03108,29.9589,11.23611,14.29718,3.173611,32.69865,24.12703,24.33521,20.56849,42.8,28.06133,19.13425,31.08767,20.13699,21.68493,99.39867,15.82958,25.02174,9.009859,39.94267,37.31014,43.09595,38.05811,19.37162,21.72877
66,46.65694,48.15,15.09067,30.44444,73.11486,14.52361,3.324658,34.85753,25.10556,26.21233,23.68243,44.08219,28.75342,21.96027,32.19178,20.5375,21.27361,23.86027,17.87671,19.79254,8.382013,39.088,34.57463,43.4473,38.02329,19.3625,19.78082
69,47.88533,48.63944,15.72639,30.45211,11.21644,15.06164,2.560563,36.04861,26.35,26.96712,25.66842,44.39324,29.16471,22.64444,32.13836,91.68219,19.83562,24.24648,90.12973,16.85217,7.754167,38.6726,33.25143,43.58649,37.23099,18.976,18.52192
72,50.96533,50.96216,16.12466,31.56712,12.0589,16.97612,3.716438,37.75,27.85135,26.10833,25.15205,45.84384,33.12162,22.89577,31.34865,20.53514,19.5411,24.93014,18.70143,15.06618,7.538356,39.36761,32.65217,43.53056,37.1,18.28571,16.97568
74,53.31081,51.96164,15.2411,31.06667,12.25946,19.46714,4.472973,39.05417,28.91216,27.364,26.67917,48.94459,33.825,28.27101,30.276,21.0137,19.2589,24.82466,87.84384,16.2,7.633333,38.8473,31.17536,43.9274,36.87534,18.04267,16.22432
77,55.9,52.52055,15.37568,32.41622,12.9831,20.75735,5.280822,40.30946,30.06761,28.13378,27.98333,49.56849,33.16912,28.6,27.80411,92.88333,19.18082,25.16528,20.41014,16.34412,7.781944,43.47536,30.81594,44.74795,36.80139,17.21918,14.0973
80,58.91644,53.92027,15.7625,32.18356,13.34459,21.37826,5.198592,41.40685,30.71507,28.67941,28.63014,46.50411,31.94348,29.88235,23.38493,20.47297,22.29452,24.82817,20.63824,16.87246,7.7625,38.75479,28.27917,45.4,35.65616,16.41507,13.30405
82,61.76301,54.85753,15.54028,32.77297,13.57123,21.88806,6.1625,42.63014,31.85479,28.10278,29.2027,46.85205,33.34058,30.25294,18.30417,20.69583,21.77162,24.7875,19.39429,18.46716,66.76164,38.92297,27.50417,45.36528,36.75753,15.85342,12.92778
85,63.95616,55.69865,16.2,32.92603,79.29437,24.63188,6.327397,43.72361,32.15,29.4726,29.77917,47.22329,31.97941,30.83676,15.74861,20.08784,19.69041,24.91351,20.10725,17.86029,7.506849,37.17297,30.15147,45.92083,36.59299,15.51233,12.86301
88,66.09861,56.34795,15.16,33.34865,14.41972,26.64559,6.967606,44.58082,32.36389,29.25556,29.14247,46.884,31.19143,30.98986,13.7726,19.99865,19.85278,24.85556,18.54429,21.06232,7.1,35.9589,24.2,46.47639,36.42844,15.38472,10.61757
90,67.46986,57.64085,15.94521,33.75753,14.36712,26.47391,7.127778,44.9274,33.0375,30.28286,29.13514,50.03913,31.12754,30.09143,12.90548,19.66575,18.67917,25.0971,13.79412,24.26418,7.131507,36.29189,22.03108,47.16849,36.26389,14.72286,11.72838
93,69.19189,59.38333,15.42703,33.78592,14.97123,27.17101,7.019178,45.52192,33.40676,29.22703,28.85753,50.94089,28.69275,29.35217,12.54865,19.59583,17.2029,102.9808,13.49275,,7.252703,34.22432,23.0625,48.225,36.7,13.90267,10.2125
96,69.21389,61.72055,15.69014,33.868,16.0726,28.81449,7.388889,46.19452,33.0125,29.28493,28.90685,51.84265,28.84286,27.91493,13.88378,89.12192,16.07639,25.78108,12.67391,,7.322973,33.19444,24.02222,48.40694,36.85556,77.92603,7.932877
