Time,200.0,200.0.2,200.0.1,100.0,50.0,50.0.1,50.0.3,50.0.2,25.0,25.0.1,12.5,12.5.1,6.25.2,6.25,6.25.3,6.25.1,3.125.2,3.125.1,3.125,1.5625,1.5625.1,0.78125.2,0.78125.3,0.78125,0.78125.1,0.390625,0.390625.1,0.195313.1,0.195313,0.0,0.0.1
32,55.11591,53.97294,43.26047,54.23793,54.51477,53.23068,36.97381,29.88409,42.76471,47.07326,42.96585,22.15233,44.75181,39.14886,37.05172,25.24767,43.28118,27.08675,33.28333,35.72955,72.89148,49.29529,44.1,33.6119,19.25275,42.37654,32.3275,47.96977,43.82414,40.0122,37.12184
34,58.08411,55.11084,42.24091,54.68023,54.26705,53.52955,40.74943,28.67865,42.70581,39.55529,42.31566,20.67412,44.61149,38.47674,37.7,23.83295,44.50602,37.08864,33.2191,35.75682,73.64642,49.72386,44.06163,33.09891,30.2125,33.56023,32.23636,49.02442,43.85057,39.67412,43.35955
37,56.13483,50.86782,41.98295,53.88977,52.48068,52.62414,51.7262,37.58353,41.75233,45.03953,41.28101,62.76792,44.46552,37.15455,19.95682,21.85,43.15568,36.89655,28.61818,33.89886,74.31696,48.37024,41.40941,31.13034,29.47386,37.48636,29.47727,51.93953,38.45795,37.51392,30.3977
39,55.73218,50.45116,41.43103,53.82273,54.32706,52.85057,36.27209,40.12045,41.28977,44.61463,39.96404,16.53176,43.77442,36.64138,16.04091,21.84023,43.51136,34.56627,22.1186,33.37931,19.75647,49.56353,40.97273,21.98636,28.93256,37.39647,29.28293,46.82235,37.62442,36.95934,-17.6472
40,56.07273,48.54643,40.23333,54.00941,51.99545,52.43793,17.78977,38.9012,40.23333,44.22955,39.99545,11.98523,42.89886,35.51071,30.12976,20.42558,41.65595,34.10123,27.45238,31.56279,16.38068,49.42824,39.31628,24.92841,28.89176,38.34483,27.51875,52.23023,36.02558,35.24828,9.416404
41,56.54039,40.88621,40.10271,53.61458,52.96875,52.27471,41.0378,36.16023,39.99255,42.02713,39.03649,14.72614,29.13409,39.99535,10.71512,32.58434,28.83596,18.16705,21.41687,30.88772,48.25,66.25747,59.4,26.65682,28.13832,37.35712,49.26136,50.13882,43.77614,40.15909,36.48
42,57.00805,47.47241,39.97209,53.21975,53.94205,52.11149,17.52,38.93537,39.75176,39.82471,38.07753,17.46705,41.76512,35.01954,31.67816,20.99545,41.53929,34.74773,26.82353,30.21264,15.93523,48.09101,39.26705,28.38523,27.38488,36.36941,27.37882,51.57273,36.89318,34.35,42.48706
44,55.98295,31.13765,39.53373,53.20814,52.32989,50.45172,34.1092,25.21839,39.72326,41.12184,37.86118,16.15114,41.38864,33.87614,31.17059,20.11591,40.85357,33.19268,10.95341,29.75465,14.12159,48.09024,37.40682,27.12805,12.15455,33.79205,25.65795,50.825,35.60233,33.41294,41.96977
49,55.84878,23.00706,38.27386,52.34217,50.92184,49.06023,28.26023,17.95862,39.02159,38.37386,37.95301,61.07083,41.41047,33.4236,20.54773,21.33864,39.27045,33.86667,26.00341,25.42907,12.67882,47.18046,36.47816,28.55287,26.45402,32.17831,23.98415,52.14886,33.74828,25.97045,40.20795
52,56.10568,41.26988,37.99639,52.29294,51.4069,48.74943,14.44483,13.15412,39.6093,37.99524,37.5875,18.58193,33.20575,34.09888,32.025,22.41954,40.07126,32.98916,26.17011,29.68202,10.96897,47.62955,37.11412,29.26818,27.3439,33.68506,24.23421,48.70854,35.75349,32.67011,40.41724
53,55.91931,42.24403,32.35217,16.4125,51.69992,48.56221,22.35878,13.39276,72.83793,37.83095,37.80846,44.61264,31.47817,34.17528,70.81264,22.73678,35.172,32.92128,26.868,29.33354,11.05862,47.62545,37.45124,25.09088,43.53448,34.44863,46.30682,50.09031,34.46674,32.63793,45.69545
54,55.73294,43.21818,26.70795,51.87159,51.99294,48.375,30.27273,13.6314,39.7881,37.66667,38.02941,18.18621,29.75059,34.25169,28.22,23.05402,30.27273,32.85341,27.56588,28.98506,11.14828,47.62135,37.78837,20.91358,26.2814,35.2122,24.70235,51.47209,33.18,32.60575,40.29024
55,55.9814,41.74588,38.66932,52.20116,51.29195,49.21585,32.44023,15.11461,40.16824,38.21667,38.67841,19.22841,32.11928,33.91954,22.74762,22.38721,39.13614,31.48023,27.02442,29.30568,10.47841,47.23295,36.92941,23.58706,26.82759,35.53529,23.27701,52.11647,35.41628,33.28765,40.775
57,56.73908,42.39545,38.62976,51.75698,51.73523,47.42588,33.11705,16.35059,40.29091,29.51279,38.67229,19.76552,38.52588,35.05977,29.83182,24.29146,26.41529,22.75455,25.11047,28.54432,11.7625,47.23837,37.12436,27.8092,14.92529,27.52386,24.60723,50.95412,33.99655,31.91279,40.37841
59,57.40854,41.33523,39.61023,52.1125,51.1908,49.03068,32.14884,17.58977,39.42386,22.66023,38.48916,19.31176,40.38916,34.21149,29.68295,23.46667,26.96353,22.3977,26.08851,27.865,11.06364,47.71818,37.31932,27.40732,25.97093,33.43636,23.91071,46.93647,32.46552,32.28621,40.58736
60,56.01047,36.86477,39.17955,50.18434,51.30824,48.48488,31.54659,20.77765,39.22045,36.71034,38.43977,19.45366,41.98023,33.27024,30.01591,21.90795,40.30682,22.01977,26.4,27.07791,16.23218,46.53418,37.25176,13.83537,10.89318,32.45227,22.94789,48.33415,33.49318,31.20471,40.38864
62,56.52299,40.4814,37.84884,26.82439,52.29318,48.46897,31.17931,21.42941,38.84634,35.54634,37.38851,15.99205,43.14235,32.90455,24.72184,9.718182,39.87294,21.10588,24.52791,25.55795,15.62235,46.66163,36.48721,22.73012,7.601149,15.68068,21.98506,44.9119,31.55977,29.73214,39.64545
64,57.0875,41.73295,38.78068,36.19166,52.55682,50.06437,30.42857,40.52909,39.71477,27.15476,39.00253,18.34186,45.56,34.15057,18.99659,13.8631,32.90795,21.89765,24.77647,15.33412,14.79432,47.24659,37.21647,28.18571,24.92625,31.83182,22.82184,48.07386,32.65412,30.11364,40.02841
65,56.49091,40.87529,36.33523,40.87529,48.47927,47.72674,29.31628,26.49318,37.74118,19.51765,36.6814,15.56353,43.14146,30.33977,11.52469,22.34253,23.66463,22.61059,22.36667,6.505682,19.59205,45.76471,34.57273,25.70698,22.69881,29.01829,21.53563,46.61517,29.77701,27.37586,38.24068
