Time,200,200.1,200.2,100,50,50.1,50.2,50.3,25,25.1,25.2,25.3,12.5.1,12.5,12.5.2,6.25.1,6.25.3,6.25.2,6.25,3.125.2,3.125.1,3.125,1.5625,1.5625.2,1.5625.1,1.5625.3,0.78125,0.78125.3,0.78125.2,0.78125.1,0.390625.2,0.390625,0.390625.1,0.195313.1,0.195313.3,0.195313,0.195313.2,0,0.1,0.2,0.3
0,0.0016561108299967,0.0148922556084843,0.0005524270385411,0.0059298620622308,0.0008873876211236,0.006626624764231,0.0019151463057746,0.0034400302911964,,0.0021212472447637,0.002414642176038,,0.0041565133745365,0.00058578478361,0.0006563522829454,0.0086209945028684,0.0015510132431791,0.0031029793552734,0.0029739894830644,0.0046439088269351,,0.0015134219735401,0.0076961005441349,0.002601889613752,0.0059002179136512,0.0016358266830771,0.0016305943714183,0.0076008427039816,0.0049383595821732,0.0025043961347997,0.01676503480388,0.004089492893117,0.0008190556470509,0.0033518158218788,0.0040954279532769,0.0012737840505854,0.0005290656800692,0.0045169156080941,0.0080869190785855,,0.0006315028789134
2,0.0012806521885395,0.0154305515575063,0.0005170449139465,0.0040597205788541,0.0011842370400163,0.0064296539256239,0.0014275397078838,0.0031366229541931,,0.0020909449138873,0.0030126019026336,,0.0024652010160193,0.0019631617620479,0.0006591296944897,0.0093647300987345,0.002057261388261,0.0038392035546175,0.0030221981851524,0.0028829909044696,0.0112004292884915,0.0021040097772722,0.0055712559368343,0.0023480353966139,0.005853152806117,0.0025027589480943,0.0016140870562,0.0065712945012312,0.0053205318177348,0.0028417056742809,0.0186014298718488,0.0029961435114129,0.000672529178174,0.0028645014910525,0.0021414719145448,0.0005085747256232,0.0006617060026703,0.003854831121464,0.0075735347096124,0.0015408217445718,0.0005620969900265
3,0.003672329381526,0.016153892004429,0.0005348401126074,0.0040079475849451,0.0010369418590985,0.0052813929942805,0.0014846150330342,0.0039846175827236,,0.0019184451964519,0.0026163745545276,,0.003322515528801,0.0020866609838746,0.000693789981057,0.0096345933108081,0.0017087315063973,0.0065295131867189,0.0019106174339129,0.0026156306039232,0.0096984393390253,0.002114513671563,0.0043156827556087,0.0024269327702462,0.005391959165519,0.0014602167875777,0.0016693774895246,0.0062127241685233,0.008500838965162,0.0035195441790195,0.0214817877965568,0.0031527999845879,0.0006211274452948,0.0029248007624709,0.0033663155293096,0.0006161122361785,0.0007881866449966,0.0046542082718543,0.0082454434453378,0.0017797040407207,0.000620178867903
4,0.0045067840914252,0.0160184589756937,0.0004898223419483,0.0042349028735708,0.0008985060562558,0.0055514840185041,0.001508742432619,0.0030212740328138,,0.0017337019086976,0.002262717890698,,0.0031505330095437,0.0024287967087684,0.0007281686853589,0.008405831630575,0.0013602016245335,0.0093184118125097,0.0020734813173618,0.0023482703033768,0.008196449389559,0.0021261780642135,0.0049814628993338,0.0025058301438785,0.004930765524921,0.0004176746270611,0.0016926195417607,0.0058541538358155,0.0116811461125891,0.0029026338096633,0.0243621457212648,0.0035917837286921,0.0005697257124155,0.0033420205257195,0.0045911591440744,0.000598978189978,0.0009146672873228,0.0045752130156561,0.0070855820768655,0.0020185863368696,0.0006782607457794
5,0.0053412388013243,0.0158830259469584,0.0004448045712892,0.0044618581621965,0.0007600702534131,0.0058215750427278,0.0015328698322038,0.0020579304829039,0.010427898845238,0.0015489586209433,0.0019090612268684,,0.0029785504902864,0.0027709324336623,0.0007625473896608,0.0071770699503418,0.0018951076155075,0.0121073104383006,0.0022363452008107,0.0024654712489974,0.0081663472303217,0.002137842456864,0.0056472430430589,0.0026703229486075,0.0044695718843231,0.0081663472303217,0.0017158615939968,0.0070488418215736,0.0106081288043545,0.0022857234403071,0.0215044407153654,0.0040307674727963,0.0005063170003565,0.003759240288968,0.0024654712489974,0.0005818441437776,0.0007269833756729,0.0044962177594578,0.0059257207083932,0.0016759436751815,0.0007172370684408
6,0.0003147561414356,0.0013631628241534,0.0004482998945955,0.0044407068181249,0.0008003609369294,0.0026490179931759,0.0015684022070072,0.0019531032192762,0.000683397136056,0.0016722473005952,0.0060382311586099,0.005643742891042,0.0016384798584354,0.0008613575576409,0.0014736290690174,0.0008050721309127,0.0015048103215924,0.0153441007614677,0.0017769582291173,0.0022208729145922,0.0060839099992033,0.0007409887104836,0.0005979287747153,0.0025046550326896,0.0088594756264895,0.0037567051868305,0.0014748956886633,0.0065892184450667,0.0102022052632575,0.0009813335568482,0.0114741944655745,0.0014602148630837,0.0009308028858443,0.0042163504191119,0.0036983987208416,0.0006962168301556,0.0011483886933373,0.006495447910809,0.0048460686609098,0.0019592559007569,0.0007279862585513
7,0.0066461262798748,0.0162134417711987,0.0004517952179017,0.0044195554740533,0.0008406516204458,0.005469066849332,0.0016039345818106,0.0018482759556484,0.0122231790617959,0.0017955359802471,0.0101674010903514,0.0017955359802471,0.0122231790617959,0.0029892762603634,0.0007548577683187,0.0048822360863158,0.0011145130276774,0.0185808910846348,0.001815566829716,0.0019762745801871,0.0040014727680849,0.0021499082627265,0.003108165768495,0.0023389871167718,0.0043000580390751,0.0029892762603634,0.001987605585217,0.0061295950685599,0.0097962817221605,0.0027675804235035,0.0014439482157835,0.0139406488903423,0.0005705314679759,0.0046734605492558,0.0049313261926858,0.0008105895165337,0.0015697940110017,0.0084946780621602,0.0037664166134263,0.0022425681263324,0.0007387354486618
8,0.0008365272128136,0.0133275421130727,0.0006072001178543,0.0005613035616417,0.0034543534799537,0.0087064886403443,0.0035061669762579,0.0013961653833904,0.0192966856767858,0.0032107078002074,0.0023630311020297,0.0026390208206318,0.0135919498542459,0.0033159247362471,0.0019062990068754,0.0014949916387726,0.0017142224242476,0.0007269152612935,0.0015447888636932,0.0008433083431109,0.0009682624374325,0.0019834063964437,0.0027250754878655,0.0015707639487574,0.0015748819258131,0.0017987178978231,0.0014624937599393,0.0010971617595086,0.0012694505688822,0.0012277589239376,0.0009686015175023,0.0055981959879346,0.0014380888997361,0.0022621403297726,0.0010089352669622,0.003995028160101,0.000696694998192,0.001224622960609,0.0114264808103148,0.0031770193673999,0.0012659339999202
9,0.0009292592006953,0.0140704369424513,0.0009276034749097,0.0005530821929909,0.0038723853911157,0.0058714572575317,0.0029278487687659,0.0020810011596177,0.0188232504126561,0.0025692416355328,0.0013232547322491,0.0034825056610165,0.0122346998731048,0.0029423218929391,0.0005797037353727,0.0019909093118359,0.0015501091886846,0.0145916458470813,0.0011692673118289,0.0055270961423614,0.0050832342311363,0.0023426249190474,0.0025164645892166,0.002485530126849,0.0017588754608722,0.0005170615508357,0.002181065725361,0.0064611688756206,0.0091255482165238,0.0012026812112869,0.0188099992032964,0.0051473723492844,0.0005979001320465,0.0023489717675314,0.0055604603760562,0.0037931639639227,0.0014131413647315,0.0011771925724889,0.0122089571586487,0.0041114706084675,0.0006278844830465
10,0.0054014521793263,0.0148133317718298,0.0012480068319651,0.0096257560329859,0.0007628462734202,0.0040351667292585,0.0023495305612739,0.0014614781551815,0.0109785016258147,0.0020324389730475,0.0019304828928679,0.0044521609017058,0.0019926064572318,0.0025687190496311,0.0005597772280445,0.0078272109478152,0.0015707153259969,0.000612757643628,0.0042933118464239,0.000896428055147,0.0009865054396485,0.0027018434416511,0.0023078536905677,0.0014697328820888,0.0019428689959313,0.00175405086712,0.0028996376907828,0.0010027540682651,0.0011819126134366,0.0011776034986361,0.0010217401600582,0.0046965487106342,0.0015878936244172,0.0024358032052901,0.0010192692530075,0.0035912997677444,0.0006142087791064,0.0011297621843689,0.0129914335069827,0.0005423966622262,0.0013011993011612
