Time,20.0.2,20.0.3,20.0,20.0.1,10.0,10.0.3,10.0.2,10.0.1,5.0.2,5.0.1,5.0,2.5.1,2.5,1.25.1,1.25,0.625.2,0.625.3,0.625.1,0.625,0.313.2,0.313.1,0.313,0.156
69,68.81429,65.27945,63.01268,63.32958,61.32329,52.87083,54.6403,51.79577,20.51667,24.72083,15.26301,37.75205,4.977778,16.07042,12.35342,14.27162,7.130556,11.59545,7.923288,26.7169,14.91233,11.81857,22.08732
71,70.2027,65.80685,64.42778,64.39577,61.51233,52.6863,54.97761,51.3125,18.76765,25.60833,15.16197,37.40704,5.789189,15.36389,11.9726,13.89726,6.164706,11.42603,7.837838,26.80147,14.6,11.52192,22.17568
74,71.32778,67.1375,64.72603,65.51781,62.2,52.77766,56.44493,51.76757,16.55147,25.31408,14.98356,36.65753,5.319178,15.33425,10.46944,12.07945,6.341429,11.22778,8.125,25.3029,14.21918,11.49583,21.78082
77,71.66338,66.79583,65.61865,66.65211,62.26377,52.86901,55.84865,51.43378,14.12059,25.43662,14.95068,36.20411,6.136986,15.93188,9.3,11.87222,7.02,10.50548,8.056164,25.29706,12.84865,10.93014,21.77162
79,73.15,69.18732,66.51127,67.46438,62.10423,52.32639,55.74118,51.1,13.07612,24.77123,15.20137,35.96622,4.958904,15.10417,8.049296,11.18649,6.211111,72.46,7.831944,25.72308,13.40694,11.80822,22.19041
82,72.83333,69.27778,68.33562,67.83803,62.60959,52.52361,56.2,50.85493,13.37164,24.92535,14.92817,35.27917,6.445205,15.98551,64.94306,72.46761,6.469863,10.51111,7.867606,23.46061,13.61111,12.00972,22.84795
85,73.52083,70.71408,68.66761,68.22838,62.95,52.72877,56.44706,50.54085,13.1,23.75797,15.57534,34.78219,6.287671,16.46986,6.026087,9.342667,5.830137,10.43936,7.833803,23.72143,14.01667,13.28333,22.83611
87,73.50972,72.7589,69.85946,68.89595,63.29444,51.64861,55.89706,50.30423,15.5791,23.16901,15.01111,33.75166,5.673973,15.88429,6.313889,69.71111,5.788235,10.36761,7.526761,24.08824,14.36901,11.37183,22.6
90,74.66351,73.37183,69.85342,68.87397,63.19028,51.55972,56.16111,48.97639,81.97206,23.3125,81.64583,32.72113,10.53,15.5875,5.880184,9.178082,5.25,10.62676,65.20274,25.3913,13.73699,11.11351,23.04722
93,74.38493,73.06389,70.12571,69.92838,63.43867,50.38493,55.38056,48.50857,15.00588,23.15429,15.11528,32.25,10.69041,15.84932,5.446479,8.992,5.124658,10.23333,7.143662,20.69028,14.67397,10.89722,23.80137
95,74.0726,74.36528,70.92222,69.96528,63.84247,50.30278,55.59054,48.18219,15.26567,22.81944,15.13143,32.04324,10.75694,16.82639,5.187324,10.26575,5.293056,9.628767,6.908219,21.23235,14.19054,11.53014,25.225
