,10,5,5,5,5,2.5,2.5,2.5,1.25,1.25,1.25,0.63,0.63,0.63,0.31,0.31,0.31,0.31,0.16,0.16,0.16
0,1.6226352656957301,1.6485551772775742,1.2475106645639011,0.9357520219777075,1.9605334039669347,2.241905785824064,3.527158458432265,2.6762769566619444,1.0959382599904095,1.6067340689550786,2.141211977454443,1.4918289106677691,7.236209789363304,1.9139407505442412,1.7418826743330196,2.9666385260331505,1.8120254062952212,2.5288380993643664,4.737998330795013,1.203618972157296,2.438748119353437
4,1.470731004300567,1.2548644088843564,1.5638668031543301,1.429500024356314,2.60069059084232,2.0641140886784024,3.428430022633002,4.126606958123169,1.1892161955747793,1.5152446366097216,2.0267372370911265,1.7591931569274255,3.0714599228768487,1.842097152109036,1.9539825856965765,3.4982829012573915,1.6058356857091518,2.950350765597643,3.891219877172861,1.255065264819301,2.1088383985436137
6,1.448551702366469,1.8296487133912933,1.463982859977349,1.5177990152971963,2.4515897871106183,2.024553099725906,2.95443669369685,3.299634148368342,1.0250292344644856,1.4308301922742723,2.099392098465313,1.683403865565836,2.900097132904636,1.8703648949289677,1.6689561899819743,3.148583310718611,1.559547362425034,5.538441606744784,3.559541647936291,1.266221659067887,2.2500228309343946
9,1.6351448346054813,1.0880450085047408,1.3583906747417054,1.526433145877593,3.172297714253243,2.5097552237728458,2.8955412371984255,3.2903056257908796,1.0314664974996675,1.6720887242471272,2.2646588273428288,1.8593844570196376,3.048998637924249,1.944719808901821,1.8772774093995017,3.281918546446559,2.0282174429719944,2.927279803715562,3.9716275913433248,2.946981403261988,2.3601610252714895
12,2.3300465647076747,1.3487945989325232,1.3238192086902567,1.336715174651307,3.065225772058434,2.6402091253065754,2.8939304975361173,3.4097058581708666,1.1828251529561558,1.7026391905185907,2.128512854337664,1.8100840062243082,5.2437923901459325,1.9499342587575843,1.8417562841064672,3.4142396642057284,2.058987426805781,2.7488461133637427,4.028601389565643,1.4957902025283756,2.470299219608585
14,2.0395135593005462,1.1770746912567573,1.913950422534123,1.6126283388308345,3.3463484494603186,2.661566293582622,2.9266866372666116,3.6879258100840513,1.3520980046152378,1.9167686927220722,1.5576076375363004,1.724752482752399,3.0568172668702185,1.7120031006363337,1.864794948493253,4.103391769812279,1.4899970886551803,2.5922419673030492,3.8159304306760933,1.214094673075481,2.3378539097576483
17,1.976266281476397,1.2686890405480633,2.2690376870329545,2.0032830740016325,3.4215423502851046,2.420015464639548,3.206792953298706,2.7325083920595845,1.2345963160807336,1.6204450872019087,2.140707161617321,2.104760915558427,3.23321475025759,1.9984002353785477,1.503181066910942,4.1670491199766735,1.5994564811233878,2.2802740896428437,3.7837982320123063,1.4616508254245375,2.166648158100794
19,2.538298040982272,1.197668006521905,1.437361274520024,2.6078407415586815,3.873613258211865,2.8486042487302785,3.4868992693307996,2.7344714883541923,1.4997183906125684,1.7890856504898622,1.9980729454891022,2.598550702492575,3.1840712710545485,1.822607687447847,2.0505799751286906,3.6805604683223745,1.7637263375045762,2.7186129118327163,4.1164022325049485,1.5258727572221993,2.1273639371665523
22,3.1003298004881468,1.5061934541954387,1.7953496223766383,2.8799700605157814,4.093372434762135,2.9067426740934486,3.382424598699015,2.9923019946797123,1.4636488254778461,1.9616092778390173,2.2580022018727024,2.21325522798064,2.7641382791350373,1.662373276209871,1.8947150780307465,2.7872767569689088,1.8314784239315833,3.067804442945556,4.378817116239741,1.2801969026634306,1.9899222887773556
