Time,1.5.2,1.5.1,1.5,0.75.3,0.75.2,0.75.1,0.75,0.375.1,0.375.3,0.375,0.375.2,0.1875.3,0.1875.2,0.1875.1,0.1875,0.0938.3,0.0938,0.0938.2,0.0938.1,0.0469.1,0.0469.2,0.0469.3,0.0469,0.0234.3,0.0234.1,0.0234,0.0234.2,0.0117.1,0.0117.2,0.0117
54,73.0338,73.54429,70.95405,69.15694,64.25135,61.7831,65.59054,67.77857,64.22027,62.86667,62.02603,71.91304,64.16438,57.42394,59.05135,68.19565,59.11571,54.46712,51.43239,63.31765,58.14328,49.65278,50.39857,56.89444,49.15205,48.24932,36.87083,48.2507,41.47857,42.79726
56,73.41944,74.37639,71.73803,69.49315,65.36849,64.22329,66.99167,69.85217,65.56197,63.88889,63.82568,72.36812,65.6087,57.58243,60.30274,69.79701,59.34167,53.73472,52.58382,66.71493,59.61692,49.86806,50.96806,57.68904,50.38169,48.68028,38.025,49.79189,40.86,43.01
59,72.86056,74.37808,71.67606,70.97397,67.16272,66.64583,68.01644,71.44091,66.26438,64.7726,64.98472,73.42121,67.42687,61.01507,61.67971,69.99863,60.53662,53.62286,54.24054,68.62714,58.69545,50.97027,52.08548,57.56081,51.59861,50.99155,39.26479,51.10411,42.89167,44.06479
62,72.825,75.09726,71.79857,71.78143,68.95694,67.47671,68.37808,73.55969,67.80282,65.51408,66.06808,71.37941,68.83714,64.86027,63.85139,71.66301,61.30986,54.62786,57.5137,71.77286,60.97164,50.79028,53.2029,58.41714,52.74795,52.32537,39.7169,52.5598,43.34932,46.0338
64,73.19178,74.5831,72.17639,70.98784,69.22676,68.36622,68.76944,75.67846,68.26712,66.25556,67.15143,75.65797,69.18356,67.04133,64.30694,72.95493,64.3125,55.63286,60.27808,71.88116,61.01176,51.96164,53.55556,58.91135,54.43623,57.82424,41.02958,54.01549,42.73056,48.00282
67,73.77826,74.75811,71.64444,71.30541,70.86056,69.22535,70.44384,76.5415,69.43472,67.23889,67.62319,75.48657,70.74118,67.71467,66.03889,73.74595,64.5507,57.8527,61.39583,72.67313,63.95652,52.45352,55.17778,59.40556,55.88133,59.43161,41.62568,56.14507,43.84571,46.91408
70,74.04861,75.54085,71.38767,71.98611,71.84658,70.19726,70.55972,77.40455,69.76164,67.65347,68.13014,77.16377,71.00694,69.99722,66.74028,72.89589,66.61892,61.27183,62.91127,75.27647,62.75,52.74384,57.00811,58.83889,56.94143,61.03899,42.18767,58.05,43.77703,47.40694
72,74.86389,75.72055,71.76027,72.57778,70.84167,70.35,70.40548,77.46211,71.03056,68.06806,69.17162,77.58824,71.64058,70.91857,68.8875,73.55556,68.53143,63.35417,63.84648,73.1971,64.63676,53.03067,58.37671,60.21622,57.39189,62.64636,42.74225,59.18451,45.03784,47.41351
75,74.16056,75.59189,72.25775,73.18732,71.10685,70.93125,71.272,77.51967,70.78056,68.59189,69.70946,76.49701,72.37183,71.93108,70.62917,73.38169,69.56849,65.53836,64.05,74.18116,65.0806,54.01806,58.10423,60.71622,58.35342,64.25373,43.00833,59.78921,46.65067,47.45278
78,74.79726,73.77162,72.64054,73.18082,71.99306,71.5125,71.57333,77.21515,72.22603,68.59178,69.81714,78.30909,73.14384,72.15205,71.03194,73.88169,69.33151,67.1125,65.88429,74.94118,66.38696,55.32535,58.40137,61.59577,58.67808,67.86029,44.26944,60.39392,46.25278,48.43108
80,73.28451,76.52192,72.20959,73.28028,72.05,71.82394,71.51757,73.35079,71.80556,69.22432,69.27042,78.56169,72.75634,72.36486,70.89437,73.09861,70.41918,68.35286,65.78088,73.73529,66.26119,57.76479,57.13699,61.53099,59.57496,67.13971,44.67465,60.99863,47.19118,49.54286
83,74.59859,75.67222,71.74583,72.79595,73.56849,72.70822,71.93194,77.16364,72.5,69.35371,69.77681,78.81429,73.46056,72.63056,73.12361,73.66712,71.74789,68.58904,66.15833,74.13768,69.98209,59.86944,57.82322,61.20282,60.47183,66.41912,45.26,60.18143,47.39718,49.16986
86,74.33333,75.20959,72.60833,73.56811,72.70278,73.05634,71.90282,78.65098,72.59178,69.4831,69.98169,80.22029,74.13151,72.77887,72.22676,74.27083,71.94658,69.0274,67.00735,75.12985,73.70299,63.03611,58.50946,60.87324,61.82329,65.69853,46.38169,61.63836,48.03971,50.93143
88,74.06712,76.64085,72.70833,74.34028,74.2589,73.75417,72.38056,80.13833,73.27297,69.70704,71.12113,79.12647,74.8625,74.16849,73.59589,75.1875,72.80986,69.9169,67.95405,75.79898,76.00882,64.39853,59.73042,61.26023,63.13889,67.81838,46.1973,60.90833,49.0625,50.98889
91,74.6493,77.7527,73.08611,74.36603,74.45362,73.52055,72.59167,,73.89155,69.80278,70.78472,80.80278,75.19306,74.74861,74.30137,74.91781,73.36575,70.3875,68.1831,76.46812,77.2806,64.93714,60.95139,61.64722,64.99028,69.93824,47.17778,62.25352,48.01159,50.94085
94,75.23973,77.45217,72.91111,74.39178,74.07143,73.91661,72.15833,,74.05493,70.26857,70.45694,83.89104,74.54861,74.19577,74.32917,75.15946,72.82877,70.2027,67.85224,75.6125,77.77164,64.83699,63.16806,61.79865,65.33472,64.92424,47.40833,61.45479,49.38286,52.00959
96,74.64189,76.67083,72.75942,74.61486,74.48429,74.31268,72.60822,,74.32222,69.81389,70.38356,81.47647,75.51127,74.60959,73.39437,74.92917,73.41429,70.16528,68.37162,,76.65522,66.99324,64.63836,61.43562,66.48194,64.29118,,61.24189,48.26866,51.53973
