Time,1.5,1.5.3,1.5.2,1.5.1,0.75,0.75.3,0.75.1,0.75.2,0.375,0.375.2,0.375.3,0.375.1,0.1875,0.1875.1,0.1875.2,0.1875.3,0.0938.2,0.0938.1,0.0938,0.0938.3,0.0469.3,0.0469,0.0469.2,0.0469.1,0.0234.1,0.0234.2,0.0234.3,0.0234,0.0117.1,0.0117,0.0117.2
0,0.0711963767142396,0.0631829302341341,0.1621344302822723,0.0004666007280935,0.173509372529028,0.1306960217732112,0.2350060689073321,0.0895298478253871,0.0253373969618689,0.1688089613080835,0.0521937819849357,0.0007376364866238,0.1055055032503898,0.072879449591128,0.1245130778899131,0.0768194226350178,0.1965554098398819,0.1064361669592921,0.0458671477588393,0.0589935830156308,0.075950092787095,0.0711441829003846,0.0634253788133841,0.0004265831948455,0.145406983055531,0.1240181352660213,0.0858045827837306,0.0649834670047644,0.1560505438501112,0.0835369536658274,0.0004168805929939
3,0.1032366119585864,0.032090589682093,0.1058500003668002,0.0005117458185199,0.1860127566287655,0.1235961142522989,0.158965897580157,0.084136305945715,0.1868384173726399,0.1482576414717194,0.0499296150264566,0.0009621944320633,0.1257386266118036,0.0647084733938695,0.1449946749504434,0.085944069439893,0.1962134155955325,0.1009536563397791,0.0414561136428929,0.0489371679651643,0.0662106419393819,0.0687046984193823,0.0749126342238894,0.0004056530952843,0.2335631974910051,0.1214780764712955,0.1621319802806774,0.0850922354670284,0.1528714892143459,0.0922506551329418,0.0201608763495544
15,0.1352768472029332,0.0009982491300519,0.049565570451328,0.0005568909089463,0.1950097168193276,0.1671288676565741,0.0535281336815559,0.0768950129148779,0.0251758273919424,0.1542013000975748,0.050751097143538,0.0004091864265386,0.1374688223580432,0.0716969544401544,0.0864142305439168,0.0583661392610773,0.1544527503245434,0.1134635950641025,0.0426839034789132,0.0017015689064486,0.0785988021905569,0.083407809847347,0.0591372678543349,0.0014916707361484,0.0229180880326243,0.098013458313455,0.1220590296450134,0.066817693592808,0.1553536240032581,0.0822267074576763,0.0399048721061148
17,0.1160218414670681,0.0652684248315262,0.0451115661367491,0.0006119846390629,0.1664395345432521,0.1339003337194337,0.115551800432992,0.0620231224214402,0.1964757426621341,0.16597944671339,0.0499569178869571,0.0003490507363863,0.1436514452309969,0.0651651155361924,0.0873471451194849,0.0726651417190569,0.0139413446592891,0.1115143133648588,0.0404017546589195,0.0468636734015237,0.071794459553194,0.0678647722194976,0.0499305414127041,0.0015429344659346,0.1912312958103283,0.1075495867198178,0.086432524562675,0.0640489490606707,0.1332573609401153,0.0015743046392744,0.0421992216902553
20,0.0949174245312871,0.067110081191634,0.0047155485283276,0.0006307062271825,0.172984710064062,0.1389906444680988,0.1167857254196708,0.0695625035825771,0.1956022039902066,0.1592028626956415,0.0533293652435066,0.0003517740741931,0.1081314225821315,0.0699211088553241,0.0827217496725064,0.0554767694148592,0.1633006452473595,0.123214744804096,0.0381196058389258,0.034557456237156,0.0708395495395809,0.0684896181825593,0.0467290768259396,0.0016888723619837,0.1745498766015416,0.0992745807484433,0.0587208687395879,0.0583816181442284,0.1347076741051992,0.09510195418338,0.0004983973436964
22,0.1252076103001492,0.0659505631868683,0.0473264983638414,0.0156739330485707,0.2093843905101749,0.1708116666245907,0.1112593354679196,0.0643146546791695,0.1666128541552475,0.1694348366217581,0.0567018126000561,0.000339968301241,0.1078171047742605,0.0645056284130348,0.0792245496378409,0.0473090163221658,0.1381752225107056,0.1558053908065502,0.0383586956660311,0.0189462930532692,0.0766925423513517,0.0699670686985611,0.0571205905349643,0.0004724917603139,0.195712308657603,0.1114337916095516,0.0769536983787328,0.0580243285655202,0.1297350878131797,0.0465086189363623,0.0004353432036961
25,0.0429158241764118,0.0663831287840025,0.0538896606824583,0.0006379851687896,0.1987333945367974,0.1695284422388833,0.1471790488774128,0.0743748496687465,0.1553959206220621,0.1658627775205813,0.0288787886466349,0.0003496384836285,0.1044493800386108,0.0619295865510274,0.0746407411650147,0.0005812277548394,0.1423944830306451,0.1324649049326379,0.0445180788081294,0.0348380991255971,0.0720947024788165,0.0717182604982084,0.0531452287478431,0.0004497877755344,0.1992901545394228,0.1072577416597326,0.0629023252162083,0.0521725292852891,0.1412974954562968,0.1064609904439496,0.0430889465797389
28,0.1197447785978391,0.0674280252517326,0.0470314240082865,0.0151259732326237,0.18808239856342,0.1753010408815262,0.1524680295516628,0.0700495923500396,0.1931839145989186,0.1622907184194044,0.0544913879234677,0.0004214826896953,0.108018469304115,0.0604600165483381,0.0361696667607783,0.0004378556091495,0.1297158586795214,0.137526999160033,0.0203816050402455,0.0006116446042512,0.0843320502952556,0.0617713340893651,0.0559711014462648,0.0004756188079939,0.1884992620199914,0.1034237313445584,0.063932148307326,0.0614427438476342,0.1652913858537187,0.1057404225434396,0.0460903091995777
30,0.1013811149362303,0.068060961617719,0.0500076909355684,0.0009962730622964,0.164822960983569,0.153739253267886,0.1465919247691141,0.0605567235923084,0.2139493676017827,0.1568112356710073,0.0616860075963857,0.0002976643087,0.0855516720662538,0.0592091540351572,0.0010434481778152,0.0003759225485552,0.1264509663813699,0.1487170774905288,0.0430051779204296,0.0384259767440813,0.0727377385619811,0.067133727040423,0.0555259403550618,0.0010139437072304,0.1711273267945687,0.1028413230024535,0.0711496330259964,0.0560822143632392,0.125847896119667,0.1061767444233342,0.0384071087373801
33,0.1185016320015908,0.0587667917892182,0.04900430215114,0.0396501169620881,0.1450677540803423,0.1516832264511611,0.0576539644974181,0.0655733401931511,0.1773017140797829,0.1867103361182342,0.063459458755407,0.0002773741557591,0.0981393965254822,0.0689820779096417,0.0003381521613171,0.0008635114737115,0.1205419414222747,0.156448002995222,0.0476259788997051,0.0427559006717613,0.0702195367197655,0.0741277914636305,0.0483918378402659,0.0003636900683996,0.2007460367224741,0.1009856662538422,0.0011509968195722,0.0611710272300588,0.0217733459579114,0.1070506114906549,0.0399155184723471
35,0.1195881751881782,0.0749552687217249,0.0505147782076428,0.0013366305744955,0.1692923089380523,0.1496271996344361,0.1322127482824198,0.0727403471100778,0.1980494004152394,0.153720624826592,0.0682171994746063,0.0003166191226172,0.0796250786476541,0.0543678873282636,0.0003389041546217,0.0004858251540001,0.1253662880505659,0.1641789284999152,0.0487135685467958,0.0375437810157387,0.0705056351040875,0.0667040844194296,0.0453333467101609,0.000518964322852,0.1858685765053245,0.1056789827953739,0.0601520421017781,0.0469394000350869,0.0963211880512571,0.1114543299548267,0.022620307816716
38,0.1026958562536542,0.0654470408767699,0.0458238688596651,0.0043755980304121,0.1805969775459832,0.12477522369322,0.1142906544172193,0.0650344656411236,0.1760551711075644,0.1534079100750283,0.0530867165928736,0.0007165769536571,0.0758090296534061,0.0442116861075769,0.0013824040112995,0.0002780521824924,0.133498787820525,0.1483410238963028,0.0489664631660736,0.0405274302865824,0.0699730979508131,0.0752929183937665,0.0448949136590163,0.000402655256376,0.1779580505213001,0.0958724410123892,0.0635149042538383,0.0529051428893651,0.0890045135407785,0.1062059034109229,0.0400923589440232
