Time,9.6,9.6.2,9.6.3,9.6.1,4.8.3,4.8.1,4.8,4.8.2,2.4.1,2.4,2.4.2,1.2,1.2.2,1.2.1,1.2.3,0.6.1,0.6.3,0.6.2,0.6,0.3,0.3.2,0.3.1,0.3.3,0.15.3,0.15.2,0.15.1,0.15,0.075.1,0.075,0.075.2,0.075.3
0,0.1616917136220142,0.0007972686664565,,,0.0656285026155082,0.0887212779616095,0.000477006264422,0.0007079009911209,0.1163566535279787,0.0439135288626142,0.000589521867321,0.0877902135907507,0.153619126298855,0.0511694460412609,0.096114606172238,0.1667960630734244,0.0467064621399844,0.0420782426689714,0.0115041256549459,0.1386811066563659,0.1582020182452314,0.0432591316522526,0.0009307547194755,0.1650929794962031,0.0769867201269012,0.0900847056992098,0.1132086660961928,0.1110585620024553,0.0640884995506049,0.0163640076370657,0.0022856039699051
4,0.0730302634209812,0.0006976325633809,0.0007453636937336,0.0003162951560583,0.0829295496578241,0.0581326799916449,0.0632259787422833,0.0011274748019465,0.1200508667400956,0.0014572156357364,0.0008005512438047,0.0767403672907895,0.1245185220029583,0.057864065506429,0.0024524250029497,0.1578036068330764,0.1135840079277246,0.0469068451239528,0.0990773140987082,0.0251052635937694,0.1357278961320489,0.0538729612969633,0.0006987688601129,0.1391074085290228,0.0949936439682476,0.0971873701258133,0.0620585297838728,0.1236996430398433,0.0413928301168658,0.0006781896512595,0.0004653723547563
6,0.0759968583429271,0.0017886487467148,0.0007212955687542,0.0003114580962856,0.0823352305061607,0.0024056812939098,0.0630015188124922,0.0008007859000611,0.0974745746280459,0.0009230536348254,0.0007227648565917,0.0836978420042925,0.1284370585490263,0.054567848479965,0.0009914615294517,0.1703989893720902,0.097934869040315,0.0402953765205865,0.0005256141619375,0.2124917341484857,0.1117858559303422,0.0465102240051685,0.0006688592309353,0.1325714396759805,0.0991510775866685,0.1107570752709157,0.0478024085487652,0.1314238732196506,0.0825964715388253,0.0005188723555293,0.0017492246486001
9,0.0662631622748443,0.0008039954723497,0.0006797862386144,0.000289699543352,0.0930360616103729,0.0628968129853917,0.061831987231037,0.0011711526584669,0.1212065936213052,0.0008506671589351,0.0007298727212113,0.0746750770605245,0.1083833333279257,0.0709890365770615,0.0015757049137174,0.1732700036720975,0.0745275646411989,0.0495760898358214,0.0003511619281655,0.2131390140727866,0.1178025035868517,0.0343184700756018,0.0136881093339379,0.132735389432973,0.105366139545283,0.0956775691747851,0.0473090278136853,0.1218375207079176,0.0747172936277087,0.0004800206942116,0.0003484734428747
12,0.0703798840667241,0.0007787005591224,0.002294551392547,0.0012489449938299,0.0843834132373139,0.0607178408242375,0.0642779020864942,0.0010484268589379,0.1185875059295587,0.0006833939043153,0.0007268620496589,0.0668535760465084,0.1179713855041017,0.059965023259276,0.0022932702861601,0.1632607829155672,0.0647063723027989,0.0537613510367513,0.0004034312880952,0.2165646196507455,0.1097222886290286,0.030134614774547,0.0005560275772537,0.1535292671338812,0.1008913960792341,0.1028462954093198,0.0359157608297261,0.1196734885337201,0.0767901016821418,0.0004411671058686,0.000382770445543
14,0.0695901348252435,0.0007786053046579,0.0005768361006077,0.0002772336244459,0.0847946989834183,0.0692996130283434,0.0636010147687783,0.0010994884003244,0.1340403217013053,0.0008113017842435,0.0007483290963276,0.085386561726482,0.1148907175477449,0.0314404107849615,0.0011043514387018,0.165029652402209,0.0783759565388536,0.052104268315177,0.0003738446660961,0.2182093230900308,0.1074021105227866,0.0136646986301984,0.0005161084025585,0.1463292805447661,0.119960621104153,0.0996560915843168,0.0409267500698901,0.1059305970475248,0.0739974670984507,0.0005501989585679,0.0003318397110789
17,0.0488472236824255,0.0007600984334305,0.0007106412362076,0.0002525210877667,0.084240057997429,0.0599697198502488,0.0612261489097453,0.0016892283676619,0.1293750974241054,0.0008048771498979,0.0008470800288566,0.0733956434558589,0.1065705253293279,0.0014170626032769,0.0012441728788108,0.1737994866071274,0.0951544990182252,0.0462988302019436,0.000458784131939,0.2047415692882541,0.1061771264590382,0.0414282539113097,0.0004761892278634,0.1378565601331788,0.1090860717517517,0.0959038200278411,0.0434379747982382,0.0392266892884946,0.0846590411345079,0.0005499895265027,0.0003817668798548
19,0.0465008897461383,0.00078560522669,0.0007294730723428,0.0002730975424453,0.0893047508687974,0.0289201702396554,0.0674362904226433,0.0010445843074412,0.1195419856603449,0.0007731582379054,0.0005912548653817,0.0666911677409883,0.097521336018925,0.0584819904383501,0.0013531223660613,0.1352465139238725,0.1158949707890109,0.0495528589056472,0.0003304084930154,0.2400819096098617,0.1033829075010965,0.0410085897468922,0.0004649234841926,0.1245916411573331,0.10224188654152,0.0847753221543676,0.0487261949311021,0.0960331047848181,0.0702546999787343,0.0004876220848352,0.0005152325888672
22,0.046416114507097,0.0007392639184298,0.0018287801103041,0.000261365865964,0.0927178094882652,0.0615365344245525,0.0588079876000813,0.0008335867191109,0.1130243756516631,0.000688578885711,0.0006281234306586,0.0673959753001216,0.0933991958251933,0.0634733379891974,0.0025121609848092,0.156427102132879,0.1009824596716649,0.0450770273907934,0.0003173071405692,0.1977218041315366,0.106711313679832,0.0397647253101971,0.0005613283478201,0.1376256730721409,0.0790291719281522,0.0899312040374603,0.0048590192848416,0.1065701283318343,0.0665059644731379,0.0004844985097708,0.0005276471568672
24,0.0449214635825116,0.0005663930316386,0.0007917360414797,0.0003004516958382,0.040343317994904,0.0467862494145419,0.0005916359682018,0.0010068670606539,0.054682291154813,,0.0006440960980729,0.0630452548857962,0.0971104894705231,0.0651746135787862,0.0008736927263434,0.1589473643853562,0.1101600780971401,0.0487481901080725,0.000304205788123,0.2321019721735615,0.1052646554292959,0.0422155549647984,0.0005452393050165,0.1487633656877646,0.0367926048907642,0.0880659136381808,0.0366115683975991,0.1042812343479809,0.0649467274377287,0.0005615067720628,0.0005400617248673
