Time,20.0,20.0.1,10.0.1,10.0,10.0.2,10.0.3,5.0.2,5.0.1,5.0,2.5.3,2.5.1,2.5.2,2.5,1.25.2,1.25,1.25.1,1.25.3,0.625,0.313,0.313.1,0.313.2,0.313.3,0.156.2,0.156.1,0.156
64,74.74776,69.99178,52.50972,48.72083,49.78904,47.5338,44.51528,47.19701,42.67222,42.61014,43.27183,35.16056,35.8,57.29722,27.74306,27.73194,14.53235,33.44658,50.12388,29.77941,31.50617,38.7833,36.48,102.8508,9.416667
67,73.73529,71.3266,56.35205,50.92917,53.11096,52.20694,44.79583,49.15672,44.30139,41.59559,44.32973,35.89189,37.35634,57.95537,107.4797,28.74247,20.40441,33.82877,51.20411,29.83056,31.98806,38.40145,37.95915,25.99403,9.077027
70,74.39,72.66143,58.43194,52.27162,56.16667,58.18333,45.76533,48.85522,45.67183,43.81304,45.70833,36.86571,38.7726,58.61351,27.97887,29.43286,17.675,33.97778,51.23699,29.33662,32.38657,36.74776,38.9831,28.07571,8.619178
72,72.89118,71.86944,58.82917,54.34247,60.00533,59.86806,46.21389,48.38971,47.25556,44.92794,47.14861,38.59863,40.26301,59.89265,28.88169,30.38493,15.22059,33.88611,50.325,29.33803,31.09412,29.50282,40.89437,28.13333,7.869863
75,73.99178,72.0507,61.31286,58.61622,63.55479,61.30139,46.34653,50.62836,47.94507,46.04478,48.77606,40.48082,42.49595,60.61423,29.35205,31.20606,18.14559,34.45139,49.52192,29.36528,29.6209,26.99324,39.36176,29.15797,8.338889
78,73.90169,73.35946,62.18732,61.22917,66.12917,63.04316,46.47917,50.35735,48.84865,47.46716,50.06944,44.74306,44.06111,61.33582,31.23571,32.28082,87.43115,34.79028,43.48378,29.74366,29.34143,25.15224,39.18261,28.8087,8.733333
80,73.81159,72.26111,63.09459,63.2726,66.87083,64.78493,47.27973,50.14179,50.05833,47.925,51.60278,49.40563,45.95857,62.32941,34.31304,33.23273,24.2194,34.38493,37.41507,30.13333,26.7194,22.98028,38.43699,29.58235,8.714925
83,74.93284,72.12329,63.85753,65.77286,67.32055,65.93649,50.55972,52.94559,50.60986,49.97391,53.13611,50.54247,48.00902,63.0913,34.94452,34.22429,96.84182,33.21644,31.72162,29.59178,25.78767,21.57183,41.07361,30.97246,9.147945
86,75.60441,73.20548,64.65143,67.65479,69.05634,66.75833,52.15493,56.2,52.06761,50.06324,54.35405,50.88028,50.05946,63.65147,35.57599,35.31549,28.88657,34.03333,28.13611,29.78169,24.69589,19.64789,41.44861,32.44179,8.028571
88,75.37639,72.95205,65.57465,68.85,70.68333,68.29315,55.97887,61.16119,53.64865,50.28406,55.25616,51.98082,52.37778,64.60882,36.20746,36.4493,32.82319,33.16164,24.86479,30.04085,24.99178,14.76216,41.34028,32.61765,9.264286
91,74.66029,73.20822,66.86389,69.55616,70.46571,68.84453,57.88904,63.73235,56.00959,52.56324,56.01142,52.57671,53.71268,64.94644,39.41014,37.59131,34.98209,114.086,23.04247,30.43836,24.66667,14.71918,41.75139,33.45833,9.631944
94,75.525,73.68919,66.24865,70.36164,71.05139,69.39592,60.84189,69.11176,58.14,53.67612,56.76667,52.83333,55.10548,65.28406,43.42647,38.73333,43.40435,32.93235,21.62055,30.11944,24.04028,14.15139,42.82535,34.96232,8.323611
96,74.62647,74.59315,67.86197,70.77083,71.77887,69.9473,62.45694,67.10145,60.16197,53.25294,58.15278,53.36933,56.29863,67.71061,,39.39315,41.67015,31.72877,20.64167,29.83056,23.44459,12.00563,41.52466,37.76667,8.569014
