,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.1,1.5.2,0.75,0.75.1,0.75.2,0.75.3,0.38,0.38.1,0.38.2,0.38.3,0.19,0.094
0,0.1437741057344263,0.000358167989510764,0.1634534073022172,0.008515621032983079,0.01357556262975895,0.002558459732853824,,0.1065185742791435,0.0983263377527388,0.0650537836826959,0.0705820970262431,0.000919760507896652,0.1616088398222855,0.02569930784988449,,0.009569543849710172,0.07078666957684591,0.1448771669399818,0.0493129071544596,0.07721159841167291,0.04087395460424572,0.1341677839163405,0.1546442256271067
4,0.01035467589385629,0.0003895480599071864,0.1267314139510121,0.0949062122819024,0.01216147048284838,0.1365150243681499,0.001092706076825694,0.06557009632292558,0.1665135285761803,0.14534127727762,0.03334756741419487,0.05353261754529875,0.2253242124369351,0.02392117245651542,0.0005565964956717142,0.1920457345117151,0.0005959143156827254,0.05492997851628993,0.04419755396598975,0.2283995146266519,0.0004512358024743229,0.102529270822612,0.1103109037923971
6,0.02666200390379093,0.0003836255131181893,0.1455240464804187,0.1894193264182316,0.02932947437272553,0.1630255859247093,0.00175910594440431,0.08340903348323148,0.1553418139853603,0.1336118577122076,0.04935065693182496,0.07732465437238087,0.1803296838627741,0.1517646768909014,0.0004932321156044054,0.1977016772033411,0.0003622947136041892,0.02588649315666976,0.06171023673760569,0.2160388771214214,0.0003289515309750814,0.1030154034897907,0.1061677356476784
9,0.2189319984993865,0.0004202605866813536,0.1519511171744368,0.16394225203389,0.1762369274012477,0.1386492819354104,0.04028839957131608,0.07883978380633284,0.1778492826020408,0.1231921359049647,0.0909793397628861,0.09117136575688457,0.1790421004620021,0.1712692633351947,0.0004990980087363911,0.1782620005584876,0.0003482754982436992,0.07655349776688383,0.07922291950922161,0.2004926917488224,0.0003716794794699714,0.1169911161075806,0.0003965806536302033
12,0.2358978008853295,0.0004817546093521805,0.1610244899668512,0.1650444335872996,0.2061114778021545,0.1831041403995597,0.04113837390409191,0.07548667623824942,0.08076742403559224,0.1118498390283026,0.07630868745191652,0.09451600031877198,0.1505864251302185,0.1356477206940803,0.0004473855676637835,0.1897871451433391,0.0005101568553399033,0.0966017933591975,0.08234348076775537,0.1978293244564789,0.0004221064281657629,0.100769464167851,0.04396712805020116
14,0.1986697662115114,0.0005872642069858083,0.1755499278486985,0.0934499723339316,0.1815324352086989,0.2008238507482757,0.04529644123047073,0.07847519659399244,0.1543388393938603,0.1185772631236927,0.07044791190551701,0.0007860226987973486,0.1693424608890993,0.1297649896761916,0.0004879113716493236,0.2293218318452973,0.0004253078211799124,0.09373858878908414,0.09303673365401975,0.194995778136473,0.0003630527945468856,0.1236865717987094,0.05921607378251393
17,0.2073536399294043,0.0005371625570344098,0.2214225951787773,0.02185551108056357,0.192990679821921,0.1847748088154392,,0.1087645495648474,0.1665680421194057,0.1460683030651877,0.0875247346527279,0.08941921239387098,0.1823176100130359,0.1487534595032328,0.000477168402735845,0.2176806313222867,0.0004075608577915138,0.08400327867092325,0.0940049063289825,0.1941774802261111,0.0003931257419584,0.1124652970575969,0.02502943829938964
19,0.2224739995713703,0.008089093716484256,0.2432393707295508,0.142422165732162,0.1933184173891777,0.2029155751543894,,0.08872197034192553,0.1558644944186544,0.1316487032535831,0.1044117421937342,0.09478828055100012,0.1635480715959319,0.06409586824969545,0.0005490573772492766,0.2399775599969929,0.0003898138944031151,0.09382458193498046,0.07736632946282891,0.1996720468725591,0.0003842154127256713,0.1151396677344388,0.04109893236376636
22,0.2430931969237106,0.0156410248759341,0.1672466576403832,0.1331811507004672,0.1935047308176064,0.07927863488997852,,0.08423492143457152,0.16592991919672,0.1264124013532933,0.09624946010832469,0.08584236348284323,0.1716202129969537,0.06510557036448007,0.0004518418009837461,0.1951261267746482,0.0003720669310147164,0.0832154126013321,0.0857444282661621,0.0996839149272539,0.0004799086937244983,0.1078238980155013,0.0962408586261676
24,0.001672677860198745,0.0008847568664547193,0.1040632433338752,0.1458255224443317,0.2213492563991973,0.2255369620688538,,0.08262137897225946,0.1792798211148386,0.1175113581524594,0.04639407610238757,0.08443635460138033,0.123023979078714,0.06765893187432274,0.0005019715301015428,0.1141947471049446,0.0003543199676263178,0.08252295013599831,0.06519402683348301,0.1792571820033964,0.0003677191745127626,0.107916062990854,0.1116779073573571
