,12.1,12.2,12,6.3,6.2,6,6.1,3,3.2,3.1,1.5,1.5.2,1.5.1,0.75,0.75.3,0.75.1,0.38.2,0.38,0.38.3,0.19,0.094
0,0.0003581679895107,0.1634534073022172,0.1437741057344263,0.0010927060768256,0.0025584597328538,0.008515621032983,0.0135755626297589,0.1065185742791435,0.0650537836826959,0.0983263377527388,0.0705820970262431,0.1616088398222855,0.0009197605078966,0.0256993078498844,0.0707866695768459,0.0005565964956717,0.0772115984116729,0.1448771669399818,0.0408739546042457,0.1341677839163405,0.1546442256271067
4,-0.0015984724084715,0.1340786444582871,0.217474471809553,0.0257634221125989,0.1463805496115414,0.1184931001520035,0.1692014913416581,0.0757399982247834,0.1337859003905076,0.1649485479495654,0.0466057190399238,0.2099277818739163,0.0908996216466409,0.1668921781880388,0.0004820789816604,0.0004911725230458,0.2181289580189764,0.0862029056005712,0.000389594195666,0.1049989288989755,0.0593725923371544
6,-0.0004426607645369,0.1435825557524247,0.2176408958270174,0.0305199613184565,0.1554525069760765,0.1220920377829373,0.1743145426423156,0.0766881820112455,0.1321924355935771,0.1646027318621306,0.0544806604380792,0.1994869125807722,0.0902638213330374,0.1568389454493824,0.0004660974345125,0.0004925215200649,0.2133703678904137,0.0860665951334307,0.0003906500170734,0.1062721500438955,0.0568702321427423
9,0.0007313698520551,0.1529771771625615,0.2178613931096429,0.0352425164057815,0.1643254020196094,0.1257057446964454,0.1795069986444343,0.0775871011513358,0.1306226378868056,0.1642481576518264,0.0622041475880707,0.1888286645856128,0.0894866184789992,0.1468995406409459,0.0004499745384129,0.0004966267156019,0.2086806681041621,0.08579373476958,0.0003916581358131,0.1075371558213798,0.0543351143852005
12,0.0019142055939148,0.1622761274503157,0.218133182450156,0.0399577706594399,0.1729768435764659,0.1294841175802449,0.1848003575449557,0.0784357998789882,0.1290302512403289,0.1638965782780285,0.0698046027858821,0.177881474993589,0.0885909828591232,0.1371416575244609,0.0004336029862888,0.0005045854399078,0.2040284880510433,0.0853940052715585,0.0003925364829266,0.1088165863490804,0.0517769895307514
14,0.0030944030844812,0.1714997135293033,0.2184282225954429,0.0446767228955007,0.1814188540510641,0.1334958209128886,0.1902125098396675,0.0792249817621805,0.1273850275235819,0.1635339102990734,0.0772838521082386,0.1666234393564239,0.087609802988449,0.1276091201375093,0.000417265822665,0.0005186811760241,0.1993971565673503,0.084922166344984,0.0003932800778687,0.110125838202117,0.049224667701289
17,0.0042622270549364,0.180675532295756,0.2186598175134331,0.0493883413488955,0.1896552429650731,0.1376818937792581,0.1956875620646867,0.0799475637869783,0.1256999733667285,0.1631320156049322,0.0846115993168675,0.1551329284203404,0.0865694368854865,0.1183307696866528,0.000401472848377,0.0005444247186758,0.1947967215267237,0.0844233153836652,0.0003939001832537,0.1114889588194684,0.0467500588502462
19,0.0054186570711743,0.1898103336788544,0.2187968793811289,0.0540418745792123,0.1976409176254462,0.1418509072123755,0.2011522436558819,0.080601200829246,0.1240618348125082,0.162672741665681,0.0917400784743764,0.1436520252338695,0.0855039130022496,0.1092715043596129,0.0003871084463572,0.000597841384782,0.1902810614944222,0.0838968059966047,0.0003945862270167,0.1129082650123824,0.0443643508690123
22,0.0066109771108264,0.198771248649682,0.2189292457416693,0.058519766083003,0.205247486746955,0.1450226000920175,0.206521942320935,0.081174515990816,0.1227366596705975,0.1621314016181219,0.0984713220158366,0.1327981462690542,0.0844413823828084,0.1001025890312865,0.0003741992887895,0.0007391723482655,0.1860347301771073,0.0832581135031833,0.000396008510322,0.1143139298493428,0.0420294575859206
24,0.0073700069739049,0.2046079022533457,0.2193353740678399,0.0628522691666346,0.2100367099557938,0.1473568097579991,0.2121874788581784,0.0810422275394127,0.122568672723651,0.1625655379736336,0.1024030116222129,0.1198493586890891,0.0824815809108144,0.0926042440126733,0.0003568584286256,0.0013073263345192,0.1830398462686055,0.0821573533110989,0.0003961961445991,0.1158799686662585,0.0404235372825587
27,0.0080249989227808,0.2059799437470664,0.2201262469262853,0.0672928833761166,0.2140039218283846,0.1503732725747204,0.2178105528955673,0.0805314295151661,0.1228607997947327,0.1641447417661384,0.1048350309999994,0.1055239772945337,0.0799290086033445,0.0852465948526463,0.0022228921435179,0.0016890837875867,0.1803196766558911,0.0810933222382034,0.0003971070628713,0.1173461229387227,0.038441451557356
30,0.0089579360118822,0.2052484976463862,0.2209414393477639,0.0719086408277403,0.2168923755550265,0.1543535162898641,0.221562430599376,0.0796949211516363,0.1233787970138901,0.166551701138717,0.1060347768627562,0.0897130819192243,0.0769373591862553,0.078888337479068,0.0099497760569503,0.0019974917614354,0.1779078976780458,0.080172707369026,0.0003998471058406,0.1186880833718122,0.0359648659857274
32,0.010305461066501,0.2044159419814127,0.220907491052804,0.0767716394733553,0.2172109175906094,0.1584677873801777,0.2217863075614247,0.0787117483088905,0.1242234940113742,0.1689553576633216,0.1059526735076413,0.0732886563794888,0.0738967582800652,0.0751822120488758,0.0166140190216023,0.0023008801055911,0.1762252003093646,0.0795817789994781,0.0004039693060821,0.1200390057128172,0.0334986961957634
35,0.0117138541323494,0.202624238028459,0.2194401263540777,0.081947660797822,0.2122354962119354,0.162105478869391,0.2189892540863413,0.077955372289283,0.1254161576050523,0.1711386934151145,0.1043736804456653,0.0577004548421287,0.0711151469837792,0.0742523132362383,0.0211319023438838,0.0026181644787606,0.1755080044119005,0.0793328792444624,0.0004086797358919,0.1216193773245956,0.0320744474531291
38,0.0127213098846647,0.1998759530296046,0.2163256656288042,0.0872617566671458,0.2008758962826388,0.1654708327420341,0.2148763061891744,0.077555328653687,0.126877866409371,0.1732513918929775,0.1013828299115167,0.0443974958071299,0.0687552915295014,0.0743161898807087,0.0249729319829859,0.0029865260279762,0.1757236360511077,0.0792503751685888,0.0004136097852215,0.1233495940749035,0.0302976784349728
40,0.0132572899582335,0.1957387591543294,0.2115464977419397,0.0923051109206406,0.1859341799747228,0.1686462506113895,0.2105635194367256,0.0772919750683661,0.1282897290307948,0.1751149063820839,0.097440611352053,0.0345317978399208,0.0669193490706329,0.0745974018453966,0.0291980710090376,0.0032769384264457,0.1767430896453093,0.0791543635057458,0.000417955721475,0.124868066391524,0.0261566140126465
43,0.0137684327032488,0.1895664015128587,0.2051457308696539,0.0967933654014609,0.1713761774225797,0.1715209031644942,0.2065326951944667,0.0771534860435242,0.1294356009206485,0.1766855623952953,0.0932509573875558,0.0280773350741052,0.0656270292549148,0.0749567162370532,0.0352083831303481,0.0028803504496799,0.1781920057032667,0.079034321532482,0.0004216295407378,0.1259104021106149,0.0214872896986709
45,0.0147389906230446,0.1822818876636438,0.1974837183849549,0.1006025664578818,0.1575251924603664,0.1737784317894474,0.2025964848022899,0.0771755935584353,0.1300481130157694,0.1767372030954402,0.0896310317699003,0.0245310920845875,0.0648227801353436,0.0752156075235746,0.0432069303938327,0.0024739402941746,0.1798267421312218,0.0788707818319277,0.0004250546393267,0.1264703779423143,0.017242390262244
48,0.0164333859379014,0.1747649301315304,0.1890540953192469,0.1038853293766878,0.142940199920701,0.1753083903276096,0.1978838530179654,0.0774174674583262,0.1301449922023524,0.175140828271701,0.086845451415762,0.0236544106990073,0.0643495292425444,0.0752434983255397,0.0455957635463253,0.0020919683870894,0.1815688003872699,0.0784914482173314,0.0004290331529183,0.1266275694242431,0.0134797711518935
51,0.0185433254285214,0.1681097322119229,0.17998813188849,0.1069976642778947,0.1266121910800322,0.1763792295569587,0.1918935737040941,0.077922457848083,0.1297223990134752,0.1734278396569448,0.0850759733102063,0.0251707557106096,0.0640697008400254,0.0752376223364886,0.0457080033405364,0.0017253165860749,0.1831664317294548,0.0776379590816561,0.0004329178817601,0.1265611910161433,0.0101144388294473
