,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.1,1.5.2,0.75,0.75.1,0.75.3,0.38,0.38.2,0.38.3,0.19,0.094
0,0.1437741057344263,0.0003581679895107,0.1634534073022172,0.008515621032983,0.0135755626297589,0.0025584597328538,0.0010927060768256,0.1065185742791435,0.0983263377527388,0.0650537836826959,0.0705820970262431,0.0009197605078966,0.1616088398222855,0.0256993078498844,0.0005565964956717,0.0707866695768459,0.1448771669399818,0.0772115984116729,0.0408739546042457,0.1341677839163405,0.1546442256271067
4,0.21747447180955307,-0.0015984724084715683,0.13407864445828718,0.11849310015200351,0.16920149134165813,0.14638054961154148,0.02576342211259895,0.07573999822478343,0.16494854794956548,0.13378590039050764,0.04660571903992385,0.09089962164664091,0.20992778187391636,0.1668921781880388,0.0004911725230458459,0.00048207898166040806,0.08620290560057127,0.21812895801897642,0.00038959419566608034,0.1049989288989755,0.05937259233715441
6,0.21764089582701746,-0.00044266076453698894,0.14358255575242476,0.12209203778293737,0.1743145426423156,0.15545250697607657,0.030519961318456523,0.07668818201124558,0.16460273186213062,0.13219243559357718,0.05448066043807924,0.09026382133303743,0.19948691258077228,0.15683894544938246,0.0004925215200649256,0.00046609743451253626,0.08606659513343075,0.21337036789041372,0.0003906500170734825,0.10627215004389558,0.05687023214274233
9,0.21786139310964292,0.0007313698520551829,0.1529771771625615,0.1257057446964454,0.1795069986444343,0.16432540201960946,0.035242516405781556,0.07758710115133584,0.16424815765182646,0.13062263788680564,0.062204147588070774,0.08948661847899925,0.18882866458561282,0.14689954064094599,0.0004966267156019094,0.0004499745384129579,0.08579373476958006,0.20868066810416214,0.00039165813581313875,0.10753715582137989,0.05433511438520057
12,0.21813318245015603,0.001914205593914856,0.16227612745031578,0.12948411758024495,0.18480035754495572,0.17297684357646598,0.03995777065943992,0.07843579987898824,0.16389657827802853,0.1290302512403289,0.06980460278588216,0.08859098285912324,0.17788147499358908,0.13714165752446092,0.0005045854399078198,0.0004336029862888024,0.08539400527155852,0.20402848805104337,0.00039253648292669573,0.1088165863490804,0.05177698953075146
14,0.21842822259544292,0.0030944030844812574,0.17149971352930332,0.1334958209128886,0.19021250983966756,0.18141885405106412,0.04467672289550074,0.07922498176218058,0.16353391029907344,0.12738502752358194,0.07728385210823864,0.08760980298844905,0.16662343935642399,0.12760912013750939,0.000518681176024132,0.0004172658226650873,0.08492216634498403,0.19939715656735035,0.00039328007786877716,0.11012583820211701,0.04922466770128906
17,0.21865981751343316,0.004262227054936456,0.18067553229575609,0.13768189377925819,0.19568756206468677,0.1896552429650731,0.04938834134889552,0.07994756378697838,0.16313201560493223,0.1256999733667285,0.08461159931686757,0.08656943688548653,0.15513292842034046,0.11833076968665285,0.0005444247186758305,0.00040147284837707675,0.08442331538366529,0.19479672152672375,0.00039390018325378235,0.11148895881946846,0.046750058850246225
19,0.21879687938112896,0.005418657071174372,0.18981033367885441,0.14185090721237556,0.2011522436558819,0.1976409176254462,0.054041874579212335,0.08060120082924604,0.16267274166568102,0.12406183481250829,0.09174007847437644,0.0855039130022496,0.1436520252338695,0.10927150435961291,0.0005978413847820063,0.00038710844635729444,0.08389680599660475,0.19028106149442223,0.000394586227016736,0.11290826501238249,0.04436435086901239
22,0.2189292457416693,0.0066109771108264145,0.19877124864968207,0.14502260009201753,0.20652194232093504,0.20524748674695503,0.058519766083003036,0.08117451599081602,0.16213140161812195,0.12273665967059759,0.09847132201583662,0.08444138238280846,0.13279814626905428,0.10010258903128658,0.0007391723482655169,0.00037419928878958743,0.08325811350318338,0.18603473017710737,0.0003960085103220866,0.11431392984934283,0.04202945758592064
24,0.21933537406783996,0.007370006973904969,0.20460790225334577,0.14735680975799917,0.21218747885817849,0.21003670995579388,0.06285226916663467,0.08104222753941275,0.16256553797363363,0.12256867272365106,0.10240301162221299,0.08248158091081444,0.11984935868908914,0.09260424401267332,0.0013073263345192978,0.00035685842862569737,0.08215735331109891,0.18303984626860553,0.0003961961445991301,0.11587996866625853,0.04042353728255877
