Time,2.0,2.0.1,2.0.2,1.0.1,1.0.3,1.0.2,1.0,0.5.2,0.5,0.5.1,0.25,0.25.1,0.125.3,0.125.2,0.125.1,0.125,0.0625.1,0.0625,0.0625.2,0.0312.1,0.0312.3,0.0312.2,0.0312,0.0156,0.0156.2,0.0156.1
51,61.39041,58.78529,21.84861,44.85441,34.49412,5.595833,15.75147,47.2913,37.91081,15.60278,15.82162,5.833784,35.65143,23.06986,7.468493,5.513514,40.38472,23.14722,81.99718,40.9875,32.12297,21.03283,7.313514,32.72432,27.87703,37.42192
53,61.04795,58.82836,22.65556,52.03286,40.93,5.777333,17.85,49.40746,40.03333,20.96528,21.26486,11.73151,35.09315,24.47123,7.130556,5.356757,41.19315,97.536,14.36857,42.30959,38.20972,22.80059,7.535135,32.87945,29.52917,37.48194
56,60.73784,56.21594,26.44865,53.44783,47.75588,9.340278,18.91304,49.89855,39.28904,27.59041,29.00556,20.1137,35.45946,24.57945,7.586301,4.564865,41.26986,22.95676,11.92647,42.45135,41.06056,25.45222,7.486486,33.15333,31.27945,36.21757
59,61.21233,57.26812,30.31918,59.08261,53.32286,11.11216,20.70299,48.74058,40.16667,35.46216,38.83836,22.19861,34.71528,25.83014,7.737838,4.9,41.15616,22.15135,9.411594,41.9875,41.87534,28.10386,7.309859,32.30405,30.52727,35.61806
61,60.84384,55.97794,35.70685,59.48116,56.08462,11.80685,20.74085,48.93382,41.22192,42.86575,44.4027,21.16571,34.47639,25.31233,8.635616,4.533333,41.30685,21.05541,11.18,40.84429,42.96533,29.87162,7.789474,32.40411,30.03919,33.70137
64,60.01233,55.56522,38.52773,60.1806,58.84638,14.97761,20.86377,47.36087,41.10685,47.96164,46.1137,24.46757,33.79452,24.82603,9.0125,3.877027,40.37945,20.33194,8.357353,39.91111,42.37042,30.07411,7.935135,31.66712,30.24412,114.8
66,60.59444,54.3971,41.34861,60.50735,56.7209,17.64658,20.20735,48.2942,40.74861,51.60135,46.4625,25.17838,32.57222,24.28919,9.743836,3.987671,40.47397,19.9726,5.157971,38.75342,41.43919,30.13146,7.824,31.19863,30.63623,29.55811
69,60.36849,56.7791,50.42466,60.96667,58.64429,21.08356,19.81618,48.18529,40.93919,53.80694,46.27639,21.39178,31.68333,24.03333,9.917568,3.371831,39.61644,19.91081,5.442857,37.45634,40.68378,30.15256,7.727397,31.25946,28.46765,28.45068
72,59.89444,57.19559,57.31667,57.55942,58.78986,21.91757,19.26486,46.94857,42.12917,53.97432,45.50946,19.07778,31.36338,22.87361,12.244,3.785135,39.08611,19.31233,4.910145,37.10959,38.69444,30.51696,66.6411,30.47606,28.90556,26.3274
74,60.7,57.14203,61.87286,60.6913,60.27206,22.36301,18.1,48.09168,42.59571,56.05479,44.26901,17.9,29.86806,23.04324,76.04583,3.541096,38.4137,17.74595,3.87973,35.86301,37.27945,30.13638,8.124324,29.64722,29.88714,23.7125
77,60.50959,55.73188,64.13649,60.83,61.32917,22.43676,16.5029,49.23478,43.16957,54.67838,44.01507,17.53889,29.59178,22.19041,13.41351,3.155405,37.648,17.58611,5.078873,116.9447,35.45286,28.83099,7.766667,29.40267,29.74706,22.2
80,60.9274,55.28429,64.40725,61.09265,59.84627,21.88356,16.62647,48.50735,43.62329,55.73,42.93836,18.06111,29.09452,20.72432,12.64247,3.041096,36.96849,16.40278,61.26232,32.5662,34.13425,27.63559,7.442466,29.22222,29.21143,19.63562
82,61.29343,55.60429,65.02877,61.0913,61.9875,20.75753,13.88841,49.0806,43.12838,56.02055,42.93836,18.72394,29.91486,19.8726,12.67808,3.202667,35.26575,15.89589,5.108696,30.08493,32.33662,27.2127,7.559155,28.91233,29.09118,13.58533
85,61.65946,57.2,66.13919,62.26377,61.31017,19.84507,14.10882,50.34328,44.68209,53.26757,42.23014,19.90946,30.14658,18.92667,13.22222,3.165753,35.34444,14.76944,4.081159,28.7493,29.88,27.0252,7.167568,29.1527,27.4209,11.14789
88,61.71918,58.65972,65.14722,62.08986,60.63284,20.00137,12.3137,51.20286,43.45342,57.32319,41.73973,19.53699,28.85342,18.71507,12.67083,3.07027,34.17671,14.19452,4.517391,27.89595,28.47222,27.00681,7.152055,28.62083,28.07681,8.989041
90,62.06667,59.5,64.92676,62.24928,59.18116,89.26389,12.36176,49.54853,43.04366,54.02466,41.72027,20.72877,28.68919,17.97361,11.69726,2.624658,33.6411,14.00676,4.625714,26.36712,26.81528,27.01493,7.077027,28.66714,28.14493,8.745205
93,63.04583,59.42639,65.13194,61.78986,61.43188,17.19452,11.19853,51.57879,43.64583,52.7087,41.14865,19.77917,28.31351,85.54658,11.12027,2.769014,32.61333,13.21216,4.610145,25.96892,27.23562,27.097,6.813699,27.76486,30.25373,7.174667
96,62.50946,60.93692,64.89306,65.21194,57.06857,15.4029,11.13286,51.78551,43.24167,52.28194,40.43919,18.24384,27.62432,16.54658,71.61233,2.809459,31.69444,12.83571,4.076812,24.85467,25.53056,103.5292,6.748649,28.82466,30.72059,6.989041
