Time,2,2.1,2.2,1,1.1,1.2,1.3,0.5,0.5.1,0.5.2,0.25,0.25.1,0.125.2,0.125,0.125.3,0.125.1,0.0625.1,0.0625,0.0625.3,0.0625.2,0.0312,0.0312.1,0.0312.3,0.0312.2,0.0156.3,0.0156,0.0156.1,0.0156.2
0,0.1388106658007499,0.0505878678635087,0.0579303504182291,0.0336777174702011,0.0005282540602527,0.0005038738599155,0.000505999236654,0.0583219667319654,0.0006579391720792,0.0474338226655241,0.0353356675282678,0.0834137055666098,0.2008005355418005,0.130220196789825,0.140702986851988,0.0776409667528029,0.0936427245193311,,0.052838557720494,0.0367439746973585,0.1793421856400959,0.1024462700063011,0.0011723213222013,0.0355194606008755,0.2423853227278291,0.1396324649577147,0.1411205059897629,0.0820309878850421
4,0.1193933815051364,0.0003518757881958,0.0153457697132559,0.0021712448643132,0.0005702080137381,0.048494680124539,0.0323740964673375,0.0584623011815417,0.0821929414221021,0.0438470642590689,0.1421103559182661,0.0691601347860225,0.1485584552635147,0.1189245181448373,0.1583287539953016,0.0401914109973417,0.0897562584149848,0.0706392311533044,0.0438404667616026,0.0005144717284946,0.1900302832946594,0.0927106434692093,0.1116622539167632,0.0374822596799522,0.1829866253814555,0.1164261658754449,0.1439344143137527,0.0571932513035651
6,0.1299975386166138,0.000375148861182,0.0415281978352216,0.0254856318507909,0.0005182824549915,0.053892029069036,0.0013075732258502,0.058602635631118,0.0818382358973938,0.0346431345825185,0.1223770253533195,0.0790234323535135,0.1701793800688731,0.1255951969013333,0.1278541460130301,0.0027418552418805,0.0833243301122436,0.0729853377642403,0.0386124842979828,0.0009753019280392,0.2123682062608276,0.0906837268194197,0.1144586413110703,0.0352821158783247,0.1978317560746714,0.108433066806989,0.1294987304169591,0.0614535220478404
9,0.1371841649771129,0.0005136938341652,0.0008388577063646,0.0242593878025425,0.0005732094674548,0.046392191911758,0.028409806607204,0.0600270170374666,0.0621034678844017,0.0410491675308505,0.1464800521686334,0.0781802695819659,0.1402444395997951,0.115563293449783,0.1711301095877942,0.0589045079458102,0.086251271157084,0.0009281136557465,0.0442013267910601,0.0003134526886018,0.1942615562911603,0.0815508999824644,0.1086202831050743,0.0165927645809528,0.1688892694760213,0.1069495639824494,0.1228887280840132,0.0704873226789804
12,0.1352886347143392,0.0004282582180319,0.0009689485597828,0.0004373363922049,0.0004566946751755,0.0484468596369518,0.0031375146920716,0.0293237331965367,0.0870162858504329,0.0469102441560748,0.1360503614105424,0.0896700653471119,0.1469884200603797,0.1117180545793426,0.1492472667140729,0.0571808151082017,0.0921690934043009,0.0543192221906424,0.0420694013902424,0.0004416942116907,0.1901173405680385,0.0891237301519297,0.0944571933399896,0.0004799272521383,0.115380999311823,0.1261060274330888,0.1420599126333201,0.0727639723956505
14,0.1240914360076659,0.0004127956104606,0.0008946167794007,0.0125292303161794,0.0004292295980928,0.0519124963123938,0.0316639095939559,0.0537474341603527,0.0893616808631036,0.0361357932357193,0.1368229231475716,0.0896122661501796,0.1542853928066096,0.1164778727183751,0.1560115626569018,0.0535718758490644,0.0844278205543744,0.0598962786582611,0.045033423291612,0.0004021892349792,0.1788201267384851,0.0843796712310954,0.0709763132188057,0.0004715617673634,0.1968935967692907,0.1149276300829984,0.0826223428405898,0.0780711752300404
17,0.1297841304780587,0.0003414232223544,0.0007716366376753,0.0129022006747207,0.0003974834342055,0.0509219456288314,0.0020477172684402,0.0614311513750322,0.0730327778598242,0.0369166254924777,0.1277792526701283,0.0822359371109973,0.1571233258085612,0.1305363008551402,0.11224644610848,0.0244859019923357,0.080302434303693,0.0488754700173461,0.0479974451929816,0.0003416523711479,0.2035323022519467,0.0902374747924908,0.0722512054535958,0.0004919156473121,0.1691398551379169,0.1172392161472299,0.137965404073081,0.0839550872926478
19,0.1147756914435138,0.0004073493274769,0.0444462885641854,0.0004886747233345,0.0004510477811549,0.0440281265664933,0.0014415646126394,0.056527975721027,0.0796880684089358,0.0306026092085431,0.1315728265617291,0.0804221836484714,0.1595398717542985,0.1262046279969712,0.1288102469544791,0.0483812724391478,0.0829608256323013,0.0490172375350688,0.0236449118612317,0.0005588778185142,0.1831969024915404,0.1019555635055279,0.0743699926647814,0.0004758053944688,0.1694469897755278,0.1216660284902259,0.1485914484123532,0.0763854311011402
22,0.0535755267664068,0.0005640042407009,0.0466430530180641,0.0004924969414479,0.0004919798994935,0.0006891505072524,0.0146725453838054,0.0653604387035175,0.0672578767559934,0.0321545663030225,0.1362547628091525,0.0733879894243182,0.1591187563624472,0.1250914879233483,0.1123180739910246,0.0462499556220205,0.0924406048150338,0.0390670010150258,0.0541842126662224,0.0004169451805478,0.1561140067212657,0.0898106273076106,0.0690320039102533,0.0031707582806852,0.1687364375743923,0.1552813189641694,0.1446287569330247,0.0831548311048315
24,0.1110288839569453,0.0004378229954077,0.038606946759003,0.0289171870976435,0.0004597661606141,0.0446169139230035,0.0014031040646891,0.0556168715907732,0.0490389417361793,0.0010320669214866,0.1282742875880769,0.0820421411248673,0.144391194631964,0.1306721839103002,0.0938467167475358,0.0393631150679925,0.0887513134161903,0.0407420629858998,0.0508405271441611,0.0004322586960148,0.1675977065773873,0.1027616440871568,0.0657934040079597,0.0005453758177703,0.1837650697868081,0.1373710091928667,0.1321497098734615,0.0749297035487166
27,0.1086628490821516,0.000419199761449,0.0010745946688941,0.0149140782470809,0.00048162936657,0.0456626420271556,0.0326665672831574,0.0580529704491551,0.0022146769105497,0.0260884914240297,0.0286492866113676,0.0788011434103944,0.1425476291102214,0.1146236303201334,0.0608796217874485,0.0463381078317247,0.0852135678830041,0.0334342972995619,0.0437967155242875,0.0003784193355536,0.179359725103897,0.0862863988225583,0.0870602393845212,0.000381398244137,0.1671773983046523,0.1391275607670527,0.1480690306020806,0.0742490950293406
30,0.1105309033428665,0.0004726236756093,0.0381363074083664,0.0286140870540267,0.0005105476717517,0.0425613638424165,0.0013718762666795,0.0548553035396086,0.0007821935535972,0.009946497928521,0.1439730402104065,0.0830134692383917,0.1275276157073317,0.0551212437582603,0.0717578594343231,0.038329879388325,0.0750675071772256,0.0010394097704021,0.0486988580104092,0.0003425557122969,0.1736618742337658,0.0906172467938581,0.0749559878883989,0.0004136935701596,0.1596045538307124,0.137494934825308,0.1307800697209833,0.0775911753044959
32,0.1037586717116288,0.0004536943731064,0.0389947416530964,0.0005223690907509,0.0005675646100213,0.0418394192069266,0.0350161910480075,0.0626085764155471,0.0003055217132992,0.00069224668798,0.1092203243122105,0.087248951747381,0.139000404281218,0.1299812609501777,0.066623302328692,0.049189689602252,0.0771626440567387,0.0317297844991318,0.049680341387673,0.0003669721636856,0.1767600020097937,0.0872042203693623,0.0746610672945317,0.0004236262591709,0.1709805109371466,0.1335640107572343,0.1484071413133236,0.0721641605784164
