Time(h) / Well,8,8.1,8.2,8.3,4,2,2.1,2.2,1,1.1,1.2,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.125,0.125.1,0.125.2,0.125.3,0.062,0.062.1,0.062.2,0.062.3
0,0.0438,0.0525,0.1414,0.0718,0.1663,0.1183,0.1151,0.1145,0.2128,0.1699,0.1832,0.013,0.0428,0.0019,0.0575,0.1756,0.0323,0.1483,0.0089,0.1355,0.1909,0.1925,0.1266,0.0362,0.0666,0.0627
4,0.1326,0.0005,0.153,0.1004,0.0769,0.1183,0.1166,0.1269,0.2128,0.1699,0.2079,0.013,0.0639,0.0839,0.0759,0.1552,0.0299,0.094,0.0211,0.0096,0.2078,0.0947,0.155,0.1385,0.0012,0.0854
6,0.14325,0.0007,0.1656,0.0951,0.1786,0.13653333333333334,0.1181,0.1698,0.2128,0.2093,0.2453,0.1253,0.0292,0.0737,0.0672,0.1595,0.0007,0.0815,0.0825,0.0914,0.1969,0.081,0.0247,0.2408,0.0441,0.066
9,0.1539,0.0007,0.1783,0.0468,0.1676,0.15476666666666666,0.1101,0.2033,0.2038,0.1724,0.2173,0.1624,0.0629,0.078,0.065,0.1449,0.0133,0.0747,0.2065,0.1859,0.1916,0.085,0.1853,0.1139,0.0884,0.0581
12,0.1326,0.0164,0.1892,0.04646666666666667,0.1553,0.173,0.1076,0.1689,0.2054,0.1356,0.211,0.1847,0.0684,0.0723,0.0664,0.1759,0.0007,0.0386,0.2022,0.1899,0.1818,0.0397,0.1639,0.2001,0.0892,0.066
14,0.1597,0.0007,0.1892,0.04613333333333333,0.0738,0.1826,0.1328,0.17615,0.2172,0.1841,0.2616,0.2172,0.0747,0.0754,0.0743,0.1292,0.0006,0.0806,0.1989,0.1964,0.172,0.0933,0.2126,0.0888,0.0994,0.001
17,0.1388,0.0086,0.1982,0.0458,0.1428,0.1699,0.099,0.1834,0.2232,0.1881,0.2189,0.2011,0.0698,0.0711,0.0684,0.1378,0.0007,0.0813,0.2461,0.1818,0.1866,0.087,0.1835,0.1604,0.0149,0.0856
19,0.1472,0.0165,0.1821,0.0955,0.0691,0.1701,0.0912,0.1676,0.2196,0.1863,0.2086,0.1737,0.0621,0.0623,0.071,0.1337,0.0007,0.0378,0.2246,0.1755,0.1736,0.0725,0.0841,0.1886,0.0827,0.0881
22,0.1098,0.0004,0.1934,0.0908,0.1448,0.1781,0.0834,0.1828,0.2241,0.1838,0.2094,0.1638,0.0653,0.0599,0.0697,0.1297,0.0006,0.0842,0.2288,0.1669,0.1606,0.0393,0.1673,0.1895,0.1095,0.0717
24,0.1466,0.0005,0.1778,0.0859,0.1464,0.1756,0.0868,0.1601,0.1838,0.1777,0.2008,0.1539,0.0708,0.0655,0.0672,0.159,0.0007,0.0836,0.2267,0.1811,0.1317,0.0963,0.1547,0.1701,0.0926,0.0636
27,0.1451,0.0006,0.1622,0.0925,0.1377,0.1731,0.0829,0.158,0.1939,0.1958,0.2039,0.1578,0.0304,0.0585,0.0568,0.1386,0.0009,0.083,0.2137,0.1546,0.1318,0.0872,0.1906,0.1578,0.0851,0.0879
30,0.153,0.0106,0.1444,0.0904,0.1388,0.15566666666666668,0.107,0.1681,0.1451,0.1931,0.1613,0.1402,0.0714,0.0662,0.0678,0.1341,0.0007,0.0824,0.1927,0.154,0.1349,0.0841,0.1756,0.1521,0.0923,0.0856
32,0.1608,0.0004,0.13406666666666667,0.0884,0.1272,0.13823333333333335,0.085,0.1672,0.1753,0.1808,0.0948,0.1358,0.0736,0.0624,0.0702,0.1357,0.0006,0.0804,0.1916,0.1436,0.1565,0.0809,0.1527,0.1692,0.0721,0.0937
35,0.128,0.0004,0.12373333333333333,0.077,0.1277,0.1208,0.0969,0.1494,0.1567,0.2128,0.1824,0.1368,0.0701,0.0606,0.0725,0.1373,0.0296,0.0926,0.187,0.1409,0.1328,0.0788,0.1587,0.1528,0.0932,0.083
38,0.1188,0.0005,0.1134,0.0899,0.1239,0.1328,0.074,0.1369,0.1376,0.22,0.2081,0.1131,0.0688,0.0597,0.0679,0.1341,0.0008,0.0779,0.1911,0.14305,0.1393,0.0863,0.1662,0.1618,0.0826,0.0947
40,0.1288,0.0005,0.1249,0.0848,0.0853,0.129,0.071,0.1672,0.1473,0.2122,0.2006,0.131,0.0678,0.0609,0.0609,0.1345,0.0007,0.0821,0.1788,0.1452,0.1295,0.0817,0.1492,0.1358,0.0914,0.0755
43,0.145,0.0005,0.1276,0.0828,0.0956,0.1332,0.087,0.1442,0.1357,0.2101,0.1938,0.1357,0.0749,0.0601,0.0551,0.1361,0.0006,0.075,0.1694,0.132,0.1122,0.0715,0.1708,0.1513,0.0873,0.0681
45,0.1384,0.0005,0.1091,0.089,0.0879,0.1569,0.0701,0.1673,0.1109,0.1632,0.2249,0.1117,0.0769,0.061,0.051,0.1134,0.0007,0.0845,0.1995,0.1164,0.0978,0.0719,0.164,0.1578,0.082,0.0756
48,0.1304,0.0004,0.0907,0.121,0.09025,0.1518,0.0663,0.1425,0.1488,0.1909,0.1799,0.1132,0.0764,0.0597,0.0466,0.141,0.0006,0.0745,0.2018,0.108,0.1057,0.0716,0.1649,0.1821,0.001,0.0579
51,0.1271,0.001,0.1029,0.0973,0.0926,0.1433,0.0775,0.1465,0.153,0.171,0.1905,0.1201,0.0702,0.0578,0.0475,0.1295,0.0306,0.0692,0.1713,0.1084,0.1115,0.0732,0.1535,0.1854,0.0864,0.0601
53,0.1282,0.0004,0.11443333333333335,0.0846,0.1158,0.1348,0.0738,0.1472,0.1571,0.1428,0.2334,0.1087,0.0673,0.0604,0.0513,0.1276,0.0009,0.0798,0.1823,0.1088,0.1223,0.0655,0.1743,0.1572,0.0829,0.0516
56,0.1679,0.0005,0.12596666666666667,0.1005,0.0961,0.1487,0.0754,0.171,0.1479,0.1675,0.2168,0.1218,0.0707,0.0576,0.0499,0.111,0.0005,0.0891,0.1933,0.1054,0.1222,0.07,0.185,0.1795,0.0777,0.0686
59,0.1365,0.0004,0.1375,0.071,0.0924,0.1566,0.0684,0.1421,0.1546,0.1466,0.2316,0.1334,0.0679,0.0584,0.0516,0.124,0.0004,0.0834,0.1773,0.1197,0.1326,0.0766,0.1655,0.1909,0.0849,0.061
61,0.1291,0.0004,0.1538,0.0414,0.1024,0.1513,0.0682,0.1603,0.1514,0.1253,0.1931,0.117,0.0662,0.0592,0.0533,0.1051,0.0336,0.0843,0.1813,0.1069,0.1241,0.0681,0.1639,0.1973,0.0878,0.0559
64,0.1308,0.0023,0.1302,0.0005,0.1021,0.1302,0.0735,0.1509,0.1442,0.141,0.17,0.1175,0.0729,0.0665,0.053,0.129,0.0341,0.0865,0.1781,0.0982,0.1006,0.0782,0.1618,0.1596,0.0966,0.0563
66,0.1325,0.0006,0.0622,0.0005,0.0998,0.163,0.0652,0.1431,0.1649,0.1669,0.1993,0.1227,0.0679,0.0554,0.0447,0.1343,0.0391,0.0908,0.171,0.1591,0.0927,0.0627,0.184,0.1941,0.099,0.0586
69,0.1208,0.0005,0.1285,0.0004,0.1175,0.1427,0.0681,0.1442,0.1404,0.1537,0.1956,0.1272,0.0628,0.0558,0.0478,0.1269,0.0329,0.0938,0.1817,0.1149,0.0973,0.0633,0.1563,0.1643,0.1013,0.0635
