Time,250,250.1,250.2,250.3,125,125.1,125.2,125.3,62.5.3,62.5.1,62.5,62.5.2,31.25,31.25.1,31.25.2,15.625.1,15.625,15.625.3,15.625.2,7.8125.2,7.8125,7.8125.1,3.90625.1,3.90625.3,3.90625,3.90625.2,1.95312.2,1.95312.3,1.95312,1.95312.1,0.976563,0.976563.1,0.976563.2,0.488281.1,0.488281.2,0.488281.3,0.488281,0.24414063,0.24414063.1,0.24414063.2,0.24414063.3,0,0.1,0.2,0.3
0,0.0009920413047251,0.0010244147164101,,,0.0009743503614817,0.0010568473123169,,,,0.0012574254493835,0.0016285466400096,,0.007569933362249,0.0063045576316328,,,0.0012401401254955,,,,0.0033613370169156,,0.0067764167289935,,0.0022794995352183,,,,0.0022346537489004,0.0048624100987094,0.0202379882604761,0.005311522023647,,0.0068677406118104,,,0.0011759950971554,,,,,,,,
1,0.0009485673615909,0.0009263273987846,0.0008016399330612,0.0022067095022002,0.001026523864474,0.0010316290677693,0.0036959771158683,0.00424712552531,0.0100328572666139,0.0012874580658937,0.0015584730128133,0.0024851235312592,0.0071214154848571,0.0060313486019598,0.0016295831672909,,0.0010199315383312,,0.0050131273809266,0.0063737416496261,0.0038153752757249,0.0016055626195515,0.0057649451975945,,0.0022627294052279,0.0010091847112955,0.0052024974893283,0.004324600355416,0.0022445114676993,0.0044651806634226,0.0218454562338122,0.0069496663463822,0.0012193206379199,0.007096086246434,0.001131054087296,0.0005837222861233,0.0012708406797758,0.0073225142226378,0.0061491053444535,0.0012506186364368,0.0010734708457754,0.010612111503801,0.004141994342511,0.0005520445313169,0.0015642544471116
2,0.0009050934184567,0.0008282400811591,0.0009393632744282,0.0019860236966,0.0010786973674663,0.0010064108232218,0.0024728179464122,0.0041695088345713,0.010874765025686,0.001317490682404,0.001488399385617,0.0043007562811426,0.0066728976074651,0.0057581395722868,0.0011283440788874,0.0084574953511362,0.0007997229511668,0.0022925029160838,0.0037100748435382,0.0043754942097815,0.0042694135345342,0.0018418742450682,0.0047534736661956,,0.0022459592752374,0.0008490808392638,0.0052049270718027,0.0038169957246548,0.0022543691864983,0.0040679512281358,0.0234529242071484,0.0085878106691174,0.0011900630235411,0.0073244318810575,0.0009721543260272,0.0006317720032858,0.0013656862623962,0.0065425549151028,0.0066709007516289,0.0014793464940245,0.0011285395646823,0.0100895643631755,0.0046141312064269,0.0005240781380069,0.0007530685995097
4,0.0007999022817542,0.0008520584054513,0.0012003185851607,0.0020361030290992,0.0011755165164555,0.0011534331405138,0.0012496587769561,0.0036977458286645,0.0087415712501005,0.0076172125945678,0.0017192272235837,0.0042376461644056,0.0155691849408687,0.0047672436969515,0.0019972019804737,0.0099226175990027,0.0008707813638287,0.0030807253485259,0.0035448202634661,0.0036373410618197,0.0040357504228509,0.0017209868930575,0.0137865009184038,,0.0019595533784357,0.0008341403499752,0.0065504466037337,0.0043603917657842,0.0021110380224306,0.0054389551424166,0.0199129248680978,0.0094183693014972,0.0011065304394254,0.0086323097092763,0.0013775707420765,0.0006575703264117,0.0009319835590987,0.0025535354924086,0.0058563687865702,0.0016085762043071,0.0012923944238113,0.0088979196888888,0.0050715659971293,0.0005277420414817,0.0008536193633738
5,0.0005063170003565,0.0009553658226523,0.0012271234058548,0.0019594929805206,0.0009732855748065,0.001017023313279,0.0010041624092788,0.0034134709735266,0.0093511467430018,0.0142570602602422,0.0014250886979068,0.0007269833756729,0.0091558560639883,0.0045889124688817,0.0018965848430983,0.0115739531589794,0.0215044407153654,0.0028372734084816,0.0036673302242225,0.0038730820555476,0.001285115586247,0.0017323675777449,0.0207267833191371,0.0028290260707338,0.002526174064382,0.0009077369534117,0.0060970947473879,0.0040585484763073,0.0020344500272946,0.0044205983999568,0.0203691854410326,0.0108078400189578,0.0010060571919088,0.0073819669463216,0.002069010355743,0.0016759436751815,0.0011685155418001,0.0033553791820438,0.0051528054073638,0.0015158300570152,0.0011985267342332,0.0093172536948611,0.0039296099923655,0.0004972365268883,0.0015908896793897
6,0.0012483500718353,0.0020908656272959,0.0012539282265488,0.001882882931942,0.0016422666262463,0.0012658203667617,0.0007586660416015,0.0031291961183887,0.0099607222359031,0.0013283966767085,0.0017242008633933,0.0036836778109075,0.0017528949462648,0.004103382875871,0.001795967705723,0.0106011619000769,0.0113327397251272,0.0025938214684373,0.0037898401849789,0.0041088230492755,0.0015996165606994,0.0017437482624323,0.0181355112184131,0.0011889106783537,0.0022503699102731,0.0009813335568482,0.005643742891042,0.0037567051868305,0.0019578620321587,0.0034022416574969,0.0208254460139674,0.0121973107364184,0.0009055839443921,0.0061316241833669,0.0027604499694095,0.0006399579818139,0.0013639151265838,0.004157222871679,0.0044492420281573,0.0014230839097233,0.001104659044655,0.0097365877008335,0.0027876539876017,0.0004667310122949,0.0007869093123243
7,0.0008426108131611,0.0010140157040703,0.0009639983141364,0.0015794616956799,0.0009995621476447,0.0010875820584643,0.0005407296079298,0.0013374208837359,0.0087421396466906,0.0185931649110527,0.0020857011214699,0.001987605585217,0.0095205361111198,0.0020071177356942,0.0011493841975655,0.0096283706411744,0.0011610387348889,0.0025929033423593,0.0026197954094106,0.0034021575281344,0.0019141175351517,0.0019542844019055,0.0155442391176891,0.002974970643505,0.0019745657561641,0.0027675804235035,0.0056423342425377,0.0032755108755336,0.0080977956673928,0.0031730112108404,0.0188183526316206,0.0092171379605552,0.0010602811317907,0.0060942964620281,0.0032667120444792,0.0052281149866677,0.0013164105396344,0.0015283776600058,0.0046624392066402,0.0036731130079403,0.0011961512353284,0.0043000580390751,0.0018640994373249,0.000487975521462,0.0013308761274173
8,0.008472762232192,0.0070510989133597,0.0045096565994236,0.0034104356107954,0.0055828548111895,0.001642134509699,0.0019462766882946,0.0075212776673424,0.0090281613134759,0.0031928196202139,0.0015620849653986,0.0016791313479623,0.0063734880949789,0.0017568906362124,0.0084259804554319,0.0016031989399393,0.0076823850754504,0.0025203996321286,0.0015900471691116,0.0025845003012194,0.0023356024888005,0.0017541653898516,0.0009795907373218,0.0047610306086563,0.0014856520999756,0.002246114449551,0.0038444167770517,0.0030472936698493,0.0027151683721019,0.0029437807641839,0.0007295842352202,0.0091924514775715,0.002743481049981,0.002303082341473,0.0007922620078149,0.0061397296713907,0.0013898236315436,0.0029551530870416,0.0031832941647987,0.0063193984413401,0.0060690607410726,0.0010846875883252,0.001907614879383,0.0008507204136179,0.0049485376707033
9,0.0023588898047834,0.0009213913529638,0.0007533402982306,0.0014797968666794,0.0043074047845671,0.0021966869609336,0.0005992771627863,0.003389346466177,0.0093141829802612,0.0181361822421875,0.0022161736789721,0.0028615327619824,0.0093834031396578,0.0034610350096312,0.0012250548941459,0.0095546841273301,0.0011704368707258,0.0024478959218979,0.001820559361435,0.0055781409908111,0.0027570874424493,0.0015540463777977,0.0163994344832396,0.0047442328199858,0.0020729575408035,0.0008392261624668,0.0060999886748341,0.0028190764641651,0.0016951560520777,0.0027145503175274,0.0179655352957809,0.0091677649945878,0.0009670381536928,0.004231874829052,0.0026845302958241,0.0005969162036699,0.0014632367234527,0.0033651359639726,0.0015277626150873,0.0089656838747399,0.0017699972124148,0.0093602125296445,0.0016473372261649,0.0004821355912709,0.0015575032242057
10,0.0084629988651194,0.010419684369574,0.0048778575190244,0.0024014774166446,0.0042833442896519,0.0033423968918781,0.0011320553797036,0.00422692836379,0.0093390928493943,0.015228389968215,0.0012156629548329,0.0017926738838058,0.0047062098110901,0.0015809632032813,0.007552909073691,0.0015565272958664,0.0072859680573148,0.0021876847068532,0.0018742399492229,0.0021904643487004,0.0025541781229408,0.0014713674011516,0.0012324461225449,0.0047274350313154,0.0014735989370111,0.0030682131322417,0.0031963993080107,0.0030530037827728,0.0030233651275818,0.0022223568002858,0.0008977141558869,0.0083270915786953,0.0030426945036083,0.002503515313941,0.0006046832651121,0.0054014521793263,0.0012888933205634,0.0028319750820838,0.0039618709100156,0.0109116766003129,0.0096257560329859,0.0009047779084854,0.0017777476071202,0.0007628462734202,0.0040351667292585
