Time,250.0,250.0.1,250.0.2,250.0.3,125.0,125.0.1,62.5.2,62.5,62.5.1,62.5.3,31.25.1,31.25.2,31.25,15.625.1,15.625.2,15.625.3,15.625,7.8125.2,7.8125,7.8125.1,3.90625,3.90625.1,1.95312.1,1.95312.2,1.95312,0.976563,0.976563.1,0.488281,0.488281.1,0.244141,0.244141.1,0.0,0.0.1
30,64.17773,54.60455,42.26147,31.40545,72.94713,32.30814,49.64679,49.86192,42.46386,39.45205,44.45747,39.47487,41.40011,51.79763,77.06125,43.30197,45.57456,49.35174,44.09337,36.31882,46.18851,42.32529,38.45357,74.95517,44.01149,47.71262,44.08824,36.13406,38.62099,48.89126,42.41689,45.29663,37.65081
31,64.82706,57.83636,43.75,34.64767,54.67241,52.22386,49.37614,50.05488,45.39773,39.41558,46.6407,39.09091,41.5593,51.88276,42.74651,43.91529,46.05618,50.94419,44.24819,41.56824,45.72159,41.98621,50.18295,47.6814,26.51932,48.00366,42.77976,36.3988,38.57416,49.32045,42.77241,40.34588,32.16353
34,64.95455,58.86552,42.19882,16.90682,54.58409,49.13571,49.40706,51.12717,45.58824,39.16322,47.16471,38.31047,40.11446,52.02159,44.18953,45.08409,44.72273,49.90575,43.82326,41.3186,46.76818,43.88353,50.35682,49.82841,28.90682,47.17529,42.38427,45.19195,38.08824,48.97059,41.98182,41.16477,41.01818
36,64.47955,58.91573,40.92941,24.65,54.82471,49.72791,49.78333,50.34091,46.38409,40.04318,46.0875,37.83218,39.42069,50.1125,43.01176,45.475,45.31954,47.37558,44.17791,41.78068,46.20909,42.20682,49.47273,49.175,35.92727,46.525,40.91379,45.3125,36.8061,49.34253,40.8869,39.54659,39.40875
39,65.83452,60.32759,40.45647,14.25977,55.48046,52.78182,51.13103,50.59639,44.89036,39.78471,46.43678,38.96705,37.30357,39.48636,43.25747,45.84023,41.96364,49.31807,46.91591,41.13837,45.10465,41.35,50.00843,49.52069,34.23182,46.78506,39.32289,44.33953,36.14368,41.36477,40.05227,38.21264,26.57471
40,66.046,59.86379,39.59203,14.20577,55.41296,51.02159,51.80183,50.3676,45.11165,39.19178,46.02919,48.82386,36.89179,42.27865,47.00568,45.525,42.31314,53.73488,45.84678,52.88523,45.18642,40.84826,52.7,49.47909,34.32784,47.3908,39.31883,43.38965,36.61839,41.65652,39.6579,37.73048,25.32486
41,66.25747,59.4,38.72759,14.15176,55.34545,49.26136,52.47262,50.13882,45.33294,38.59886,45.62159,42.86742,36.48,45.07093,43.66875,45.38851,42.66265,50.3253,44.77765,40.74588,45.26818,40.34651,50.63409,49.4375,34.42386,47.99655,39.31477,42.43977,37.0931,41.94828,39.26353,37.24831,24.075
46,65.7,60.73256,38.36824,26.38837,54.74886,50.61364,51.66163,50.28409,43.73563,37.11529,46.29773,42.95057,34.63218,50.13793,44.55909,45.56429,33.23165,50.10488,44.03977,40.26818,45.43908,40.3186,49.39881,49.70602,32.97386,47.21154,38.99545,30.0125,35.33976,48.77558,27.14318,35.92759,37.86364
51,66.63529,61.67727,39.72588,29.26023,55.74186,50.17816,52.36136,51.15517,44.58235,38.36364,47.41294,39.72874,33.96207,46.40674,44.23765,46.33523,41.39326,51.55568,46.35114,40.38864,44.18295,40.75632,48.31395,50.05747,33.22824,46.58523,38.33529,41.96364,33.54023,46.58171,39.27262,35.38415,34.19659
54,66.9407,62.32907,40.19286,31.07907,62.32907,50.10115,53.43929,51.58588,46.03409,38.80795,48.73146,38.26322,34.53593,52.68,45.16023,60.23707,59.65455,50.37727,44.35783,28.98506,45.82529,42.06627,51.58588,50.4908,32.77273,50.10115,37.88539,41.9977,33.81494,42.7593,38.13412,34.3814,37.29318
