Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Bortezomib,0.0829262266475628,0.0535867481794034,8.545975482253716,0.3302764704881487,0.1,46.44101342700215,0.2491710449607061,13.04410675294302,16.10902628839287,2.275122280309364,0.7077695858256847,5.826039946796964,30.71917310140304,1.001559577447759e-06
Cobimetinib,0.0588691447077927,0.0245333950498048,22.16408255799771,1.79187109505889,1.476861819200785,4.446107109359694,0.0569133430857783,13.29089572817788,99.99999999986444,0.2682960431497693,0.4019393537320818,2.089560437459591,23.19315979502688,0.0773642915077465
Daunorubicin,0.1054798399908165,0.0967476135073991,0.8058480168459975,1.637432130990324,2.243915524502204,33.78916862931288,0.0332180229605795,10.82655932069234,63.70828769747873,1.014505525188892,0.8984295617208985,3.473334645882282,56.20062233696039,0.0479821269834651
Doxorubicin,0.1062506009310123,0.0985739791115109,6.986977096160837e-05,5.999999999999999,4.762491427787012,80.78055669052792,0.0314121917228155,13.70437898296855,99.99999999790406,0.697881423881619,0.5359602971254094,2.429096859679737,73.18873953121471,0.0522204980763567
Epirubicin,0.0762420333846386,0.0803934159485069,0.0012878304994285,5.999999999874293,0.1,56.94892968638312,0.009824796481789,14.78383557145948,99.99999999994256,1.874794378403164,0.4016140769517811,3.021163684687175,48.59323128700392,0.1094433540848653
Ibrutinib,0.0991559480911188,0.036381616087404,0.1573254167753929,5.999999999999999,0.1265376285998315,95.98040564681835,0.0010500413294075,18.22337050978557,100.0,6.308157319558783,0.2517065704244862,4.152554435964713,54.37111977018883,0.2688294971152821
Ibuprofen,0.0046215682269111,0.1999999998663852,0.1777098816710087,4.275799201185808,5.999999999999999,41.9887498198396,0.0219122463902487,25.0,28.11222376036599,8.433808468018123,0.2751287426877481,0.5185184980512797,63.79820279829792,0.1295884966937573
Isoproterenol,0.0880487553435942,0.0114053521853714,99.9999690786949,0.2310637655484282,0.5673671873021731,0.1000000000261778,0.9999999999999936,13.32257509159443,9.587326864999005,1.114544548840634,0.1,5.999999999999999,32.52402059579047,1.899000567852365e-06
Mexiletine,0.0709432368758356,0.0552836345295785,99.99999999999922,5.999999999999999,0.4398750323541416,0.1,0.002258914964647,16.29468594126503,32.58809052027273,1.217337572132196,0.3403410817487749,2.909866253232015,24.89054124136089,0.1418669399461065
Panobinostat,0.0690826652875224,0.0690963620615461,99.99971040570564,5.999914495918393,0.99199287678431,0.1000000000000001,0.0104897801549811,14.98778847230095,99.99968593228522,1.549711472678037,0.1,4.853679560068212,52.4553134534042,0.5207985859063212
Rosiglitazone,0.003043797265452,0.0019302338062504,24.13061885655413,0.1,0.1000000000000071,65.47718049510398,1.0,25.0,45.84369229797213,0.6098365303566925,0.1000000000000038,0.2123818986475873,66.65243321485958,0.0582835066387058
Sotalol,0.0909654640244394,0.0184373498863037,19.25161640320192,0.1000000000000002,0.1,44.96867425881644,0.9999999999959224,24.45659000983551,25.7064855598353,0.2640211856854879,0.9010242639026154,1.795165095942948,24.24657604484054,0.0283917605758548
Sunitinib,0.0670228927869563,0.0023850183074522,0.0017778517650656,5.303861716298199,5.956545091955285,91.38973696321123,0.7720576852312379,17.16692482545181,100.0,2.659530265077786,0.5132163222147438,3.77365660471192,72.8803721042494,0.0808350353561498
Vandetanib,0.1138410955075837,0.0226201089858565,22.49647267516372,0.2369592620607585,2.904803905601828,8.240361729762526,0.9999999999981118,9.691657290983851,99.99999993245362,4.934677441414606,0.2386010637481505,2.402865289916519,65.61790787331165,0.1574756189254208
Vioxx,0.0036838420468374,0.0013225880192815,19.57895297690608,0.1605669598048122,0.1,45.88984835133848,0.9999772311993176,25.0,11.77266614807589,15.07975011286224,0.1000000004734767,1.684064901515937,17.40800947464662,0.8622520263962306
Amiodarone,0.0647553414402564,0.0156961030491264,99.99999913717885,0.1476282391534124,0.1,0.1000000000612601,1.0,19.9555950991654,44.02627534504795,1.439241389165355,1.677311880901234,2.355303398746209,79.2977284108934,0.0117362510845253
Chlorpromazine,0.0888199692534469,0.0221107867878384,36.38049304197861,0.1000000000002439,0.1000000000017458,56.74357684526998,0.9999999999861244,19.27507699438041,43.4423830068813,0.0242569206703038,3.873025316215175,1.272522219312432,82.15451041716074,0.003191802371934
Gemcitibine,0.0727099740100441,0.0321635010682231,57.62398978587682,0.9389078947882958,2.503409309486903,11.63509041250175,0.1820511670446028,23.60838450098085,27.76195281138421,25.3272008353538,3.513408356892254,5.999999999998449,28.05069727965732,0.034098022220561
Nifedipine,0.0696022798817398,0.0142347598751826,99.99800187762636,0.2310450415327096,0.1,0.1000005720358684,1.0,19.07167344774891,99.9999999995925,0.0016500638260617,2.171059492171126,0.80076539259529,80.41705345256405,0.0050448083497421
Vincristine,0.0697492469144728,0.0246137063938818,1.00000000654647e-06,5.978625695708634,4.599124624469145,95.99231467163249,0.0189064794993321,9.803032618866997,16.40076682605998,4.618773214160077,5.443629600889649,5.991839545677391,57.50269394601074,0.0202594884099557
Vorinostat,0.0614400402637172,0.0018513831056511,0.0992181923983903,4.646847429179168,5.608215640274471,87.32971559974412,0.7744912219437823,15.81477955775194,99.99999999985184,13.39219651805708,0.3824486796545016,5.999999989613419,55.59207159856874,0.2003496809985601
Dactinomycin,0.0675257146234863,0.028821262984644,3.089154190601016e-06,5.996794973356409,0.1832167159734083,81.85009850723674,0.0017856462666722,18.15774147235748,56.30879000547787,1.567243877453897,0.3290377605664042,1.591797590040695,61.13149966564249,0.0187929060411529
Erlotinib,0.0639198874461425,0.0133820448552289,12.5957022350468,3.185208688024278,3.237879570082291,2.383775628938664,0.0563639693937855,13.81634537913241,99.99999999265172,1.139413406941385,0.4153113967603776,2.612645709674053,59.07766049474541,0.0831532199634039
Etomoxir,0.062319430551792,0.024326195072241,1.000000000000004e-06,4.456999577810833,4.832724839286574,96.0,0.0236484322902226,22.16240213959347,22.74991920975636,2.685983959373769,0.5178480260192784,4.895795818858317,33.01549150628264,0.1554595153986488
Plicamycin,0.0534746213883415,0.0264651981874607,0.0002188870604898,5.997570053085488,0.913063651587764,95.99705515249724,0.0098380428722988,17.52264341177785,67.51684549369756,0.1114975001554558,0.5133440934607981,1.769344064384362,54.82645731408999,0.0105114931152858
