Feature,Importance
mt_Contractility,0.19548035
R0_Contractility,0.14649414
mb_Contractility,0.121794224
tau_b_O2,0.093878135
tau_b_Contractility,0.08641235
A_tox_O2,0.07900663
nb_Contractility,0.07762766
mb_O2,0.07328323
nt_Contractility,0.052704513
tau_t_Contractility,0.05027283
mt_O2,0.012909438
A_benefit_Contractility,0.010136518
A_tox_Contractility,0.0
kb_Contractility,0.0
kt_Contractility,0.0
R0_O2,0.0
A_benefit_O2,0.0
kb_O2,0.0
tau_t_O2,0.0
kt_O2,0.0
nt_O2,0.0
nb_O2,0.0
