Feature,Importance,Std
kb_O2,0.06399999999999999,0.019595917942265388
nb_O2,0.059999999999999984,0.02683281572999745
nb_Contractility,0.055999999999999994,0.026532998322843174
mb_O2,0.05200000000000001,0.018330302779823327
nt_Contractility,0.04800000000000001,0.023999999999999976
mt_O2,0.04400000000000002,0.021540659228537998
tau_b_Contractility,0.04000000000000002,0.01788854381999831
R0_Contractility,0.040000000000000015,0.02529822128134702
A_tox_O2,0.040000000000000015,0.02529822128134702
A_tox_Contractility,0.03600000000000003,0.012000000000000009
kt_O2,0.036,0.033226495451672285
nt_O2,0.032000000000000015,0.023999999999999997
tau_b_O2,0.031999999999999994,0.034871191548325374
tau_t_Contractility,0.020000000000000018,0.020000000000000018
tau_t_O2,0.020000000000000018,0.020000000000000018
A_benefit_O2,0.016000000000000014,0.019595917942265444
kt_Contractility,0.016000000000000014,0.019595917942265444
mb_Contractility,0.016000000000000014,0.019595917942265444
mt_Contractility,0.01200000000000001,0.018330302779823376
A_benefit_Contractility,0.01200000000000001,0.018330302779823376
R0_O2,0.01200000000000001,0.018330302779823376
kb_Contractility,0.008000000000000007,0.016000000000000014
