Time,0.496.1,0.496.2,0.496,0.496.3,0.248.1,0.248.3,0.248,0.248.2,0.124.2,0.124.1,0.124,0.062.2,0.062.1,0.062,0.031.2,0.031.1,0.031,0.0155.1,0.0155.2,0.0155,0.0077.1,0.0077
0,39.56667,12.86901,19.67959,5.850685,7.724,4.26,,3.278689,2.543243,3.687838,3.341892,29.02174,12.81216,5.945238,4.923288,3.485135,4.932432,10.97681,6.916216,1.601818,15.35676,5.085938
4,43.07917,13.82432,41.69111,30.22222,8.603935,21.2274,14.93387,5.454167,16.98611,7.059459,98.48732,48.02667,14.39595,18.02093,11.97162,67.56438,10.3589,22.60833,6.676712,3.482,25.66338,3.502632
6,40.03649,10.07917,30.90822,15.01918,9.483871,11.23333,6.840541,3.304,71.15694,5.371622,9.542466,44.22838,12.14324,12.28356,6.963014,6.089041,8.002778,19.79855,6.160274,1.375342,24.40448,4.695946
9,40.34521,69.34247,26.91111,14.30274,8.832432,10.63378,5.111538,3.379452,10.38267,5.033784,7.146575,44.10822,11.69167,10.376,6.244595,5.116667,7.521127,18.58714,62.31389,1.20411,24.05764,5.397222
12,41.00411,8.581081,22.67027,13.40137,66.57867,9.891892,4.867123,3.40137,9.820548,4.504054,6.870423,43.33108,11.525,9.036,6.53,5.572973,7.167123,18.3,6.038667,1.044595,23.71081,6.408219
14,41.8137,67.68767,20.66438,12.5,7.022973,9.567123,4.467568,2.522973,10.81081,3.814865,5.205405,42.72973,12.13836,9.954054,6.158904,6.348611,7.452778,19.58784,6.593056,1.294521,23.14521,7.460811
17,41.36575,8.161111,19.63194,12.39452,6.775676,9.506757,4.675,2.565278,11.35811,4.026761,4.190278,42.92973,12.476,10.34384,5.99589,6.406944,7.317568,20.30685,4.604167,0.97973,24.49412,7.720548
19,41.86575,8.286301,23.24865,12.63973,6.695833,9.449315,4.841333,2.808219,12.45479,4.548611,3.164384,42.74865,12.87083,10.09722,6.213889,6.339437,7.415068,21.85616,3.036986,0.834722,25.10448,8.123611
22,36.54324,7.809722,24.60959,13.80959,6.619178,10.27808,4.164103,3.787838,13.69861,3.969444,3.332877,43.92817,13.89452,9.893151,6.747297,6.944444,7.7,23.15541,3.384722,1.091892,27.85652,9.578378
24,32.64865,8.242857,24.78514,14.61781,6.976712,10.92162,4.485441,3.982192,13.84247,58.77973,3.566216,44.94658,14.86301,10.56761,6.327143,7.890411,8.035135,25.32361,4.789189,0.732,29.08143,9.276712
27,32.20972,9.230137,25.88649,15.92917,7.2875,11.96081,4.80678,4.350685,15.65417,3.908108,3.694595,47.00986,15.71111,12.03562,6.366216,9.185135,8.122973,27.20195,4.464384,0.778378,32.55,9.701408
