Time,40.0.1,40.0.2,40.0,20.0.1,20.0.2,20.0,10.0.3,10.0.1,10.0.2,10.0,5.0.1,5.0.2,5.0,2.5,2.5.2,2.5.1,1.25,1.25.1,1.25.2,0.625,0.625.1,0.313.1,0.313
69,60.89178,49.77941,35.23611,58.64444,39.62429,39.27361,49.21692,43.13803,23.31216,13.01507,57.92055,43.07671,33.43889,33.3589,16.25882,3.439726,36.7,29.40959,6.563514,34.97917,19.27164,38.25753,21.06389
71,61.08904,48.63043,35.44459,58.45417,39.77011,37.58169,49.56111,43.008,22.59429,12.99167,58.07324,43.61622,34.56081,33.27945,15.15942,2.935616,37.00274,109.55,5.768493,35.43836,19.07887,38.2662,20.69865
74,61.3973,48.64706,36.22297,58.59595,39.91594,38.05714,51.66618,42.0378,21.55068,12.71528,58.49726,43.89155,34.90139,32.90986,15.06912,2.933803,36.72394,29.32676,5.365753,35.28169,19.24328,38.65946,18.93056
77,61.15775,47.30448,36.95139,58.93333,40.43919,36.45479,51.04203,41.06761,21.09054,12.48767,58.75797,43.70959,34.82254,32.53288,15.36418,2.8,36.04658,29.18889,4.694444,34.97042,19.23382,38.56622,16.95286
79,61.51549,47.67463,37.40855,59.00135,40.28194,34.95068,53.21324,41.12547,19.7589,12.10845,58.71111,43.79041,35.29865,31.61528,14.88676,3.795775,36.37571,27.80946,4.454795,35.09444,18.85735,38.55139,16.40137
82,61.79595,46.29275,37.86571,58.78472,40.02769,33.98056,52.63881,41.18333,19.62055,11.93472,58.94706,43.41781,34.88767,31.02329,17.86618,3.355714,36.02254,25.19855,4.277778,35.25476,19.80909,38.08493,17.43889
85,62.18356,46.99265,38.39722,58.85694,39.46857,33.29452,54.03235,41.49,19.06667,11.53243,58.96027,43.23944,34.61918,31.07778,22.60441,3.002703,36.12778,25.74928,4.320548,35.41507,19.7375,37.73521,18.9726
87,62.58667,46.54783,38.70685,58.59429,39.26345,32.78767,54.42985,40.925,18.20278,10.85205,59.59437,41.57639,34.42917,30.4,18.03478,3.4375,35.81622,23.69429,3.869014,34.51944,19.79861,38.34722,20.65417
90,62.42432,47.36765,38.32877,60.00282,39.05833,31.37361,54.94118,40.81806,16.94595,72.50411,59.85915,41.53194,34.19054,29.08784,85.64154,3.125676,35.37714,23.64328,3.4,33.80411,20.71216,37.65352,21.18933
93,62.98904,46.65173,39.22113,59.29718,38.80714,30.40405,56.28507,40.69718,16.34459,10.6863,60.15634,40.92432,33.96892,28.975,18.62353,3.485915,35.18472,101.9868,3.260274,33.54795,20.06849,38.11944,21.94085
95,62.95,45.93582,,59.26667,39.09863,30.01096,53.88696,40.95479,16.36164,10.14795,59.9137,40.06806,33.29028,28.29155,17.77971,2.679452,35.19306,21.36957,3.409722,33.68219,19.17397,38.49041,22.15342
