,250,250,250,250,125,125,125,125,62.5,62.5,62.5,62.5,31.25,31.25,31.25,15.625,15.625,15.625,15.625,7.8125,7.8125,7.8125,3.90625,3.90625,3.90625,3.90625,1.95312,1.95312,1.95312,1.95312,0.976563,0.976563,0.976563,0.488281,0.488281,0.488281,0.488281,0.24414063,0.24414063,0.24414063,0.24414063,0,0,0,0
0,61.8659090909091,57.53103448275863,,,52.30232558139534,50.96823529411765,,,50.97674418604651,46.761904761904766,,,38.73647058823529,38.41294117647059,,35.508235294117654,,,,35.41279069767442,,,36.01046511627906,30.65632183908046,,,47.19146341463416,29.448780487804875,,,38.83703703703704,37.882758620689664,,37.17674418604652,33.79176470588236,,,,,,,,,,
1,62.43920454545455,58.06610547667343,45.68255813953488,36.11973684210527,52.94828922747928,51.82423392612859,33.37790697674419,30.57790697674419,50.71337209302325,46.21785714285714,33.27674418604651,34.53012048192771,37.11009575923393,36.753494397759106,26.682954545454546,34.830861833105345,,32.73522727272727,,37.39219080338266,32.04186046511629,35.877011494252876,38.270175086875156,34.4051724137931,61.46022727272727,,48.98899013428337,30.838758059994394,36.04659090909092,32.992045454545455,40.595223063973066,39.33345248107654,37.794318181818184,38.9309857293869,34.78036511156186,49.709523809523816,63.46279069767441,42.09506172839506,38.61954022988506,51.10481927710843,51.127586206896545,42.06785714285714,45.13977272727273,61.04318181818181,59.48735632183909
2,63.0125,58.60117647058823,46.17058823529412,37.395294117647055,53.594252873563214,52.68023255813954,35.67702167019028,31.837209302325576,50.449999999999996,45.673809523809524,37.27325581395349,36.49659090909091,35.48372093023256,35.09404761904762,34.92051282051282,34.15348837209303,32.95443037974684,36.18414634146341,35.12588235294118,39.371590909090905,37.38522727272727,39.01494252873563,40.52988505747126,38.154022988505744,65.25542168674698,,50.78651685393258,32.22873563218391,36.42380952380953,32.050000000000004,42.35340909090908,40.78414634146342,32.94523809523808,40.685227272727275,35.76896551724137,49.86704545454547,61.68470588235293,41.85909090909091,38.90116279069768,51.10574712643678,51.78823529411765,41.331460674157306,43.14,61.89318181818182,60.41411764705882
4,64.54252873563217,58.02588235294119,47.59540229885059,37.15,53.82613636363636,53.28620689655172,37.976136363636364,32.014942528735624,46.11136363636364,39.36931818181818,38.02272727272727,36.73409090909091,34.74235294117646,33.55057471264368,34.38068181818182,38.489655172413805,40.074712643678154,37.08390804597701,36.705681818181816,40.179545454545455,39.11494252873564,41.678823529411765,42.34235294117647,36.3093023255814,66.33023255813954,,51.81818181818182,32.3566265060241,39.175000000000004,37.57931034482758,42.79886363636364,41.81818181818182,33.685227272727275,40.44418604651162,36.05113636363637,42.551685393258424,63.30681818181818,41.88522727272727,38.85681818181818,51.97471264367816,52.097727272727276,41.04117647058824,44.40344827586207,63.877011494252876,59.04367816091954
5,61.724705882352936,57.292857142857144,47.0699903060518,37.239705882352936,54.29540229885056,53.42790697674419,39.448309145673605,31.621839080459765,42.85,18.496470588235294,27.259756097560977,36.56704545454545,35.523863636363636,39.15517241379311,34.72328208556149,21.754545454545454,40.944943820224715,37.783130493576735,36.95637032085561,9.31358024691358,39.52963035527691,42.62470588235294,42.480232558139534,37.76823529411765,66.32234519473242,21.560227272727275,50.70909090909092,32.64965471642668,40.22424698795181,38.17001231527094,42.16119652406418,41.67460815047022,34.70437834224599,15.512658227848098,36.30085553814003,40.738783873099806,-6.152873563218393,41.6875,39.423647186147186,51.82201541274817,52.44944503171248,41.326470588235296,44.52643678160919,63.04646029258099,44.249425287356324
6,38.85232558139535,43.61818181818182,46.54457831325301,37.329411764705874,43.449999999999996,45.04235294117647,40.92048192771084,31.22873563218391,40.349999999999994,36.92179487179488,39.6764705882353,36.4,46.43214285714286,51.223863636363625,35.06588235294117,31.873863636363637,41.65503004964724,38.482352941176465,37.207058823529415,25.39315375982042,39.94431818181818,43.57058823529411,42.03023255813953,37.887024623803015,66.3144578313253,56.65316455696204,49.60000000000001,32.94268292682927,41.27349397590361,38.760714285714286,41.52352941176471,41.53103448275862,35.72352941176471,41.90340909090909,36.55057471264368,38.92588235294118,59.90352941176471,41.48977272727273,39.990476190476194,51.66931818181818,52.80116279069768,41.61176470588235,44.64942528735632,62.21590909090909,59.4904761904762
7,63.95058823529412,57.55454545454545,47.597674418604655,36.04512195121951,53.655681818181826,51.18977272727273,39.43563218390804,47.33529411764706,41.75116279069768,37.18202247191011,40.85402298850575,36.703529411764706,41.73488372093023,41.86987951807228,35.29186046511629,41.99318181818182,42.36511627906977,37.90113636363637,37.04204545454545,41.47272727272727,36.89879518072289,44.39880952380952,41.580232558139535,38.00581395348838,38.834482758620695,49.73405354284884,39.809090909090905,32.98659481943657,42.186206896551724,41.08941176470588,41.59431818181818,41.758620689655174,35.03103448275861,41.55609756097561,36.207317073170735,42.14252873563218,44.36136363636364,48.84705882352941,39.79431818181818,47.82317073170732,47.870588235294115,51.80919540229883,44.90126582278481,60.29431818181819,58.81411764705882
8,30.012500000000003,37.859523809523814,53.76705882352941,49.41477272727273,39.55227272727273,49.545467758985204,41.23882352941177,51.595454545454544,40.65,44.339772727272724,47.959090909090904,36.6618837535014,42.96588235294117,44.38117647058822,43.15172413793104,41.88333333333333,45.91882352941177,38.89770114942529,37.353606996935646,41.62531712473573,36.13121577217963,35.529545454545456,51.762790697674426,47.530952380952385,42.449999999999996,42.814942528735635,45.86022727272728,33.03050671204386,38.86046511627907,41.32058823529411,34.91348314606741,41.99195402298851,36.68823529411764,41.596439585085506,42.16976744186046,68.1654761904762,43.316091954022994,50.85581395348838,44.02045454545455,47.133424446313434,45.166292134831465,48.075,48.3215909090909,52.08588235294117,45.70909090909091
9,65.34204545454546,57.40487804878049,50.078823529411764,37.08170731707317,49.189772727272725,47.901162790697676,41.45697674418605,34.31882352941177,41.076470588235296,39.44431818181818,43.51954022988505,36.62023809523809,43.06352941176471,42.431034482758626,34.424418604651166,42.037647058823524,43.65172413793104,38.67159090909091,37.66516853932584,41.777906976744184,35.36363636363637,44.47882352941176,43.08735632183908,40.46951219512194,68.56551724137933,44.134300532660504,52.56506024096384,33.07441860465116,43.35402298850575,41.55176470588235,42.435227272727275,42.225287356321836,36.91931818181818,41.636781609195396,36.339999999999996,42.260919540229885,60.21309523809524,43.232183908045975,39.902197802197804,46.443678160919546,46.083720930232566,42.1547619047619,46.2952380952381,62.833720930232545,55.045238095238105
